date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-06-19,0,30,42,0,3,3,0,3,32,103,0,3,0,0,0,0,0,0
2014-06-20,0,31,42,0,3,3,0,4,55,103,0,4,0,0,0,0,0,0
2014-06-21,0,31,42,0,3,3,0,5,80,103,0,5,0,0,0,0,0,0
2014-06-22,0,30,42,0,3,3,0,6,104,103,0,6,0,0,0,0,0,0
2014-06-23,0,30,42,0,3,3,0,6,127,103,0,6,0,0,0,0,0,0
2014-06-24,0,31,42,0,3,3,0,7,152,103,0,7,0,0,0,0,0,0
2014-06-25,0,29,42,0,3,3,0,8,176,103,0,8,0,0,0,0,0,0
2014-06-26,0,29,42,0,3,3,0,9,199,103,0,9,0,0,0,0,0,0
2014-06-27,0,29,42,0,3,3,0,10,224,103,0,10,0,0,0,0,0,0
2014-06-28,0,29,42,0,3,3,0,11,248,103,0,11,0,0,0,0,0,0
2014-06-29,0,29,42,0,3,3,0,12,271,103,0,12,0,0,0,0,0,0
2014-06-30,0,29,42,0,3,3,0,13,296,103,0,13,0,0,0,0,0,0
2014-07-01,0,29,42,0,3,3,0,14,320,103,0,14,0,0,0,0,0,0
2014-07-02,0,29,42,0,3,3,0,15,344,103,0,15,0,0,0,0,0,0
2014-07-03,0,29,42,0,3,3,0,16,367,103,0,16,0,0,0,0,0,0
2014-07-04,0,29,42,0,3,3,0,16,392,103,0,16,0,0,0,0,0,0
2014-07-05,0,29,42,0,3,3,0,17,416,103,0,17,0,0,0,0,0,0
2014-07-06,0,29,42,0,3,3,0,18,439,103,0,18,0,0,0,0,0,0
2014-07-07,0,29,42,0,3,3,0,19,464,103,0,19,0,0,0,0,0,0
2014-07-08,0,29,42,0,3,3,0,20,488,103,0,20,0,0,0,0,0,0
2014-07-09,0,30,42,0,3,3,0,21,511,103,0,21,0,0,0,0,0,0
2014-07-10,0,31,42,0,3,3,0,22,536,103,0,22,0,0,0,0,0,0
2014-07-11,0,30,42,0,3,3,0,23,560,103,0,23,0,0,0,0,0,0
2014-07-12,0,31,42,0,3,3,0,23,584,103,0,23,0,0,0,0,0,0
2014-07-13,0,31,42,0,3,3,0,23,607,103,0,23,0,0,0,0,0,0
2014-07-14,0,33,42,0,3,3,0,23,632,103,0,23,0,0,0,0,0,0
2014-07-15,0,31,42,0,3,3,0,23,656,103,0,23,0,0,0,0,0,0
2014-07-16,0,31,42,0,3,3,0,23,680,103,0,23,0,0,0,0,0,0
2014-07-17,0,31,42,0,3,3,0,23,704,103,0,23,0,0,0,0,0,0
2014-07-18,0,31,42,0,3,3,0,23,728,103,0,23,0,0,0,0,0,0
2014-07-19,0,34,42,0,3,3,0,23,751,103,0,23,0,0,0,0,0,0
2014-07-20,0,35,42,0,3,3,0,23,776,103,0,23,0,0,0,0,0,0
2014-07-21,0,35,42,0,3,3,0,23,800,103,0,23,0,0,0,0,0,0
2014-07-22,0,36,42,0,3,3,0,23,824,103,0,23,0,0,0,0,0,0
2014-07-23,0,32,42,0,3,3,0,23,848,103,0,23,0,0,0,0,0,0
2014-07-24,0,33,42,0,3,3,0,23,872,103,0,23,0,0,0,0,0,0
2014-08-09,0,32,41,0,3,3,0,29,1256,104,0,29,0,0,0,0,0,0
2014-08-10,0,36,41,0,3,3,0,30,1280,104,0,30,0,0,0,0,0,0
2014-08-11,0,36,41,0,3,3,0,30,1304,104,0,30,0,0,0,0,0,0
2014-08-12,0,36,41,0,3,3,0,30,1328,104,0,30,0,0,0,0,0,0
2014-08-13,0,32,41,0,3,3,0,30,1352,104,0,30,0,0,0,0,0,0
2014-08-14,0,32,42,0,3,3,0,31,1376,104,0,31,0,0,0,0,0,0
2014-08-15,0,32,42,0,3,3,0,31,1400,104,0,31,0,0,0,0,0,0
2014-08-16,0,32,42,0,3,3,0,31,1424,104,0,31,0,0,0,0,0,0
2014-08-17,0,32,41,0,3,3,0,31,1448,104,0,31,0,0,0,0,0,0
2014-08-18,0,32,41,0,3,3,0,32,1472,104,0,32,0,0,0,0,0,0
2014-08-19,0,32,41,0,3,3,0,32,1496,104,0,32,0,0,0,0,0,0
2014-08-20,0,32,41,0,3,3,0,32,1520,104,0,32,0,0,0,0,0,0
2014-08-21,0,32,40,0,3,3,0,33,1543,104,0,33,0,0,0,0,0,0
2014-08-22,0,31,41,0,3,3,0,34,1568,104,0,34,0,0,0,0,0,0
2014-08-23,0,31,41,0,3,3,0,34,1592,104,0,34,0,0,0,0,0,0
2014-08-24,0,32,41,0,3,3,0,34,1616,104,0,34,0,0,0,0,0,0
2014-08-25,0,31,41,0,3,3,0,34,1640,104,0,34,0,0,0,0,0,0
2014-08-26,0,27,42,0,3,3,0,35,1664,104,0,35,0,0,0,0,0,0
2014-08-27,0,27,42,0,3,3,0,35,1688,104,0,35,0,0,0,0,0,0
2014-08-28,0,28,42,0,3,3,0,36,1712,104,0,36,0,0,0,0,0,0
2014-08-29,0,28,42,0,3,3,0,36,1736,104,0,36,0,0,0,0,0,0
2014-08-30,0,33,42,0,3,3,0,36,1760,104,0,36,0,0,0,0,0,0
2014-08-31,0,29,42,0,3,3,0,36,1783,104,0,36,0,0,0,0,0,0
2014-09-01,0,28,42,0,3,3,0,37,1808,104,0,37,0,0,0,0,0,0
2014-09-02,0,29,42,0,3,3,0,37,1832,104,0,37,0,0,0,0,0,0
2014-09-03,0,28,42,0,3,3,0,37,1856,104,0,37,0,0,0,0,0,0
2014-09-04,0,28,42,0,3,3,0,37,1880,104,0,37,0,0,0,0,0,0
2014-09-05,0,28,42,0,3,3,0,37,1904,104,0,37,0,0,0,0,0,0
2014-09-06,0,28,42,0,3,3,0,37,1928,104,0,37,0,0,0,0,0,0
2014-09-07,0,28,42,0,3,3,0,37,1952,104,0,37,0,0,0,0,0,0
2014-09-08,0,29,41,0,3,3,0,38,1976,104,0,38,0,0,0,0,0,0
2014-09-09,0,29,41,0,3,3,0,38,2000,104,0,38,0,0,0,0,0,0
2014-09-10,0,28,41,0,3,3,0,38,2023,104,0,38,0,0,0,0,0,0
2014-09-11,0,33,41,0,3,3,0,38,2048,104,0,38,0,0,0,0,0,0
2014-09-12,0,34,41,0,3,3,0,38,2072,104,0,38,0,0,0,0,0,0
2014-09-13,0,36,41,0,3,3,0,38,2095,104,0,38,0,0,0,0,0,0
2014-09-14,0,35,41,0,3,3,0,38,2120,104,0,38,0,0,0,0,0,0
2014-09-15,0,35,42,0,3,3,0,39,2144,104,0,39,0,0,0,0,0,0
2014-09-16,0,36,42,0,3,3,0,39,2168,104,0,39,0,0,0,0,0,0
2014-09-17,0,36,42,0,3,3,0,39,2192,104,0,39,0,0,0,0,0,0
2014-09-18,0,36,42,0,3,3,0,39,2216,104,0,39,0,0,0,0,0,0
2014-09-19,0,35,42,0,3,3,0,40,2240,104,0,40,0,0,0,0,0,0
2014-09-20,0,36,41,0,3,3,0,41,2264,104,0,41,0,0,0,0,0,0
2014-09-21,0,36,41,0,3,3,0,42,2288,104,0,42,0,0,0,0,0,0
2014-09-22,0,35,41,0,3,3,0,43,2312,103,0,43,0,0,0,0,0,0
2014-09-23,0,35,42,0,3,3,0,44,2336,104,0,44,0,0,0,0,0,0
2014-09-24,0,31,42,0,3,3,0,44,2360,104,0,44,0,0,0,0,0,0
2014-09-25,0,29,42,0,3,3,0,45,2384,104,0,45,0,0,0,0,0,0
2014-09-26,0,27,42,0,3,3,0,45,2407,104,0,45,0,0,0,0,0,0
2014-09-27,0,28,42,0,3,3,0,46,2432,104,0,46,0,0,0,0,0,0
2014-09-28,0,30,42,0,3,3,0,47,2456,104,0,47,0,0,0,0,0,0
2014-09-29,0,30,42,0,3,3,0,48,2480,104,0,48,0,0,0,0,0,0
2014-09-30,0,31,42,0,3,3,0,49,2504,104,0,49,0,0,0,0,0,0
2014-10-01,0,29,42,0,3,3,0,50,2528,104,0,50,0,0,0,0,0,0
2014-10-02,0,32,42,0,3,3,0,51,2552,104,0,51,0,0,0,0,0,0
2014-10-03,0,32,42,0,3,3,0,52,2576,104,0,52,0,0,0,0,0,0
2014-10-04,0,32,42,0,3,3,0,52,2600,104,0,52,0,0,0,0,0,0
2014-10-05,0,32,42,0,3,3,0,53,2624,104,0,53,0,0,0,0,0,0
2014-10-06,0,33,42,0,3,3,0,54,2647,104,0,54,0,0,0,0,0,0
2014-10-07,0,32,42,0,3,3,0,54,2672,104,0,54,0,0,0,0,0,0
2014-10-08,0,32,42,0,3,3,0,54,2696,104,0,54,0,0,0,0,0,0
2014-10-09,0,31,42,0,3,3,0,54,2720,104,0,54,0,0,0,0,0,0
2014-10-10,0,32,42,0,3,3,0,54,2744,104,0,54,0,0,0,0,0,0
2014-10-11,0,31,42,0,3,3,0,54,2768,104,0,54,0,0,0,0,0,0
2014-10-12,0,31,42,0,3,3,0,54,2792,104,0,54,0,0,0,0,0,0
2014-10-13,0,31,42,0,3,3,0,54,2816,104,0,54,0,0,0,0,0,0
