date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-07-12,0,30,43,0,3,3,0,3,34,99,0,3,0,0,0,0,0,0
2014-07-13,0,30,43,0,3,3,0,3,57,99,0,3,0,0,0,0,0,0
2014-07-14,0,30,43,0,3,3,0,3,81,99,0,3,0,0,0,0,0,0
2014-07-15,0,30,43,0,3,3,0,3,106,99,0,3,0,0,0,0,0,0
2014-07-16,0,29,43,0,3,3,0,3,129,99,0,3,0,0,0,0,0,0
2014-07-17,0,29,43,0,3,3,0,3,153,99,0,3,0,0,0,0,0,0
2014-07-18,0,29,43,0,3,3,0,3,177,99,0,3,0,0,0,0,0,0
2014-07-19,0,27,43,0,3,3,0,3,202,99,0,3,0,0,0,0,0,0
2014-07-20,0,28,43,0,3,3,0,3,225,99,0,3,0,0,0,0,0,0
2014-07-21,0,26,43,0,3,3,0,3,249,99,0,3,0,0,0,0,0,0
2014-07-22,0,25,43,0,3,3,0,3,274,99,0,3,0,0,0,0,0,0
2014-07-23,0,26,43,0,3,3,0,3,297,99,0,3,0,0,0,0,0,0
2014-07-24,0,26,43,0,3,3,0,3,321,99,0,3,0,0,0,0,0,0
2014-07-25,0,26,43,0,3,3,0,3,346,99,0,3,0,0,0,0,0,0
2014-07-26,0,26,43,0,3,3,0,3,369,99,0,3,0,0,0,0,0,0
2014-07-27,0,26,43,0,3,3,0,3,393,99,0,3,0,0,0,0,0,0
2014-07-28,0,26,43,0,3,3,0,3,417,99,0,3,0,0,0,0,0,0
2014-07-29,0,26,43,0,3,3,0,3,442,99,0,3,0,0,0,0,0,0
2014-07-30,0,26,43,0,3,3,0,3,465,99,0,3,0,0,0,0,0,0
2014-07-31,0,26,43,0,3,3,0,3,489,99,0,3,0,0,0,0,0,0
2014-08-01,0,26,43,0,3,3,0,3,514,99,0,3,0,0,0,0,0,0
2014-08-02,0,26,42,0,3,3,0,3,537,100,0,3,0,0,0,0,0,0
2014-08-03,0,26,42,0,3,3,0,3,561,100,0,3,0,0,0,0,0,0
2014-08-04,0,26,42,0,3,3,0,3,585,100,0,3,0,0,0,0,0,0
2014-08-05,0,26,42,0,3,3,0,3,610,100,0,3,0,0,0,0,0,0
2014-08-06,0,26,42,0,3,3,0,3,633,100,0,3,0,0,0,0,0,0
2014-08-07,0,26,42,0,3,3,0,3,657,100,0,3,0,0,0,0,0,0
2014-08-08,0,26,42,0,3,3,0,3,682,100,0,3,0,0,0,0,0,0
2014-08-09,0,26,42,0,3,3,0,3,705,100,0,3,0,0,0,0,0,0
2014-08-10,0,31,42,0,3,3,0,3,729,100,0,3,0,0,0,0,0,0
2014-08-11,0,32,42,0,3,3,0,3,754,100,0,3,0,0,0,0,0,0
2014-08-12,0,32,42,0,3,3,0,3,777,100,0,3,0,0,0,0,0,0
2014-08-13,0,26,42,0,3,3,0,3,801,100,0,3,0,0,0,0,0,0
