date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-06-14,0,36,42,0,3,3,0,4,31,103,0,4,0,0,0,0,0,0
2014-06-15,0,36,42,0,3,3,0,5,55,103,0,5,0,0,0,0,0,0
2014-06-16,0,37,42,0,3,3,0,6,78,103,0,6,0,0,0,0,0,0
2014-06-17,0,36,43,0,3,3,0,7,103,103,0,7,0,0,0,0,0,0
2014-06-18,0,35,43,0,3,3,0,8,127,103,0,8,0,0,0,0,0,0
2014-06-19,0,35,43,0,3,3,0,9,151,103,0,9,0,0,0,0,0,0
2014-06-20,0,35,43,0,3,3,0,10,175,103,0,10,0,0,0,0,0,0
2014-06-21,0,35,43,0,3,3,0,11,199,103,0,11,0,0,0,0,0,0
2014-06-22,0,34,43,0,3,3,0,12,223,103,0,12,0,0,0,0,0,0
2014-06-23,0,34,43,0,3,3,0,13,247,103,0,13,0,0,0,0,0,0
2014-06-24,0,35,43,0,3,3,0,14,271,103,0,14,0,0,0,0,0,0
2014-06-25,0,35,43,0,3,3,0,15,295,103,0,15,0,0,0,0,0,0
2014-06-26,0,35,43,0,3,3,0,16,318,103,0,16,0,0,0,0,0,0
2014-06-27,0,35,43,0,3,3,0,17,343,103,0,17,0,0,0,0,0,0
2014-06-28,0,35,43,0,3,3,0,18,367,103,0,18,0,0,0,0,0,0
2014-06-29,0,36,43,0,3,3,0,19,391,103,0,19,0,0,0,0,0,0
2014-06-30,0,35,43,0,3,3,0,20,415,103,0,20,0,0,0,0,0,0
2014-07-01,0,35,43,0,3,3,0,21,439,103,0,21,0,0,0,0,0,0
2014-07-02,0,35,43,0,3,3,0,22,463,103,0,22,0,0,0,0,0,0
2014-07-03,0,35,43,0,3,3,0,23,487,103,0,23,0,0,0,0,0,0
2014-07-04,0,34,43,0,3,3,0,24,510,103,0,24,0,0,0,0,0,0
2014-07-05,0,34,43,0,3,3,0,25,535,103,0,25,0,0,0,0,0,0
2014-07-06,0,34,43,0,3,3,0,26,559,103,0,26,0,0,0,0,0,0
2014-07-07,0,34,43,0,3,3,0,26,583,103,0,26,0,0,0,0,0,0
2014-07-08,0,34,43,0,3,3,0,27,607,103,0,27,0,0,0,0,0,0
2014-07-09,0,34,43,0,3,3,0,28,631,103,0,28,0,0,0,0,0,0
2014-07-10,0,35,43,0,3,3,0,28,655,103,0,28,0,0,0,0,0,0
2014-07-11,0,35,43,0,3,3,0,28,679,103,0,28,0,0,0,0,0,0
2014-07-12,0,35,43,0,3,3,0,28,703,103,0,28,0,0,0,0,0,0
2014-07-13,0,35,43,0,3,3,0,28,727,103,0,28,0,0,0,0,0,0
2014-07-14,0,36,43,0,3,3,0,28,750,103,0,28,0,0,0,0,0,0
2014-07-15,0,35,43,0,3,3,0,28,775,103,0,28,0,0,0,0,0,0
2014-07-16,0,35,43,0,3,3,0,28,799,103,0,28,0,0,0,0,0,0
2014-07-17,0,35,43,0,3,3,0,28,823,103,0,28,0,0,0,0,0,0
2014-07-18,0,35,43,0,3,3,0,28,847,103,0,28,0,0,0,0,0,0
2014-07-19,0,36,43,0,3,3,0,28,871,103,0,28,0,0,0,0,0,0
2014-07-20,0,35,43,0,3,3,0,28,895,103,0,28,0,0,0,0,0,0
2014-07-21,0,35,43,0,3,3,0,28,919,103,0,28,0,0,0,0,0,0
2014-07-22,0,33,43,0,3,3,0,28,943,103,0,28,0,0,0,0,0,0
2014-07-23,0,33,43,0,3,3,0,28,967,103,0,28,0,0,0,0,0,0
2014-07-24,0,33,43,0,3,3,0,28,991,103,0,28,0,0,0,0,0,0
2014-07-25,0,33,43,0,3,3,0,28,1015,103,0,28,0,0,0,0,0,0
2014-07-26,0,33,43,0,3,3,0,28,1039,103,0,28,0,0,0,0,0,0
2014-07-27,0,33,43,0,3,3,0,28,1063,103,0,28,0,0,0,0,0,0
2014-07-28,0,32,43,0,3,3,0,28,1087,103,0,28,0,0,0,0,0,0
2014-07-29,0,33,43,0,3,3,0,28,1111,103,0,28,0,0,0,0,0,0
2014-07-30,0,31,43,0,3,3,0,28,1135,103,0,28,0,0,0,0,0,0
2014-07-31,0,31,43,0,3,3,0,28,1159,103,0,28,0,0,0,0,0,0
2014-08-01,0,31,42,0,3,3,0,29,1183,104,0,29,0,0,0,0,0,0
2014-08-02,0,31,42,0,3,3,0,30,1207,104,0,30,0,0,0,0,0,0
2014-08-03,0,31,42,0,3,3,0,30,1230,104,0,30,0,0,0,0,0,0
2014-08-04,0,31,42,0,3,3,0,31,1255,104,0,31,0,0,0,0,0,0
2014-08-05,0,31,42,0,3,3,0,32,1279,104,0,32,0,0,0,0,0,0
2014-08-06,0,31,42,0,3,3,0,33,1303,104,0,33,0,0,0,0,0,0
2014-08-07,0,31,42,0,3,3,0,34,1327,104,0,34,0,0,0,0,0,0
2014-08-08,0,30,42,0,3,3,0,35,1351,104,0,35,0,0,0,0,0,0
2014-08-09,0,30,42,0,3,3,0,36,1375,104,0,36,0,0,0,0,0,0
2014-08-10,0,32,42,0,3,3,0,37,1399,104,0,37,0,0,0,0,0,0
2014-08-11,0,32,42,0,3,3,0,38,1423,104,0,38,0,0,0,0,0,0
2014-08-12,0,32,42,0,3,3,0,38,1447,104,0,38,0,0,0,0,0,0
2014-08-13,0,35,42,0,3,3,0,39,1471,104,0,39,0,0,0,0,0,0
2014-08-14,0,36,42,0,3,3,0,39,1495,104,0,39,0,0,0,0,0,0
2014-08-15,0,35,42,0,3,3,0,40,1519,104,0,40,0,0,0,0,0,0
2014-08-16,0,34,42,0,3,3,0,41,1543,104,0,41,0,0,0,0,0,0
2014-08-17,0,34,42,0,3,3,0,42,1567,104,0,42,0,0,0,0,0,0
2014-08-18,0,35,42,0,3,3,0,43,1591,104,0,43,0,0,0,0,0,0
2014-08-19,0,34,42,0,3,3,0,44,1615,104,0,44,0,0,0,0,0,0
2014-08-20,0,34,42,0,3,3,0,45,1639,104,0,45,0,0,0,0,0,0
2014-08-21,0,35,42,0,3,3,0,45,1663,104,0,45,0,0,0,0,0,0
2014-08-22,0,33,42,0,3,3,0,46,1687,104,0,46,0,0,0,0,0,0
2014-08-23,0,34,42,0,3,3,0,47,1711,104,0,47,0,0,0,0,0,0
2014-08-24,0,33,42,0,3,3,0,48,1735,104,0,48,0,0,0,0,0,0
2014-08-25,0,33,42,0,3,3,0,49,1759,104,0,49,0,0,0,0,0,0
2014-08-26,0,32,42,0,3,3,0,49,1783,104,0,49,0,0,0,0,0,0
2014-08-27,0,33,43,0,3,3,0,50,1807,103,0,50,0,0,0,0,0,0
2014-08-28,0,32,43,0,3,3,0,51,1831,103,0,51,0,0,0,0,0,0
2014-08-29,0,32,43,0,3,3,0,52,1855,103,0,52,0,0,0,0,0,0
2014-08-30,0,32,43,0,3,3,0,53,1879,103,0,53,0,0,0,0,0,0
2014-08-31,0,32,43,0,3,3,0,53,1903,103,0,53,0,0,0,0,0,0
2014-09-01,0,32,43,0,3,3,0,54,1927,103,0,54,0,0,0,0,0,0
2014-09-02,0,32,43,0,3,3,0,55,1951,103,0,55,0,0,0,0,0,0
2014-09-03,0,32,43,0,3,3,0,55,1975,103,0,55,0,0,0,0,0,0
2014-09-04,0,32,43,0,3,3,0,56,1999,103,0,56,0,0,0,0,0,0
2014-09-05,0,32,43,0,3,3,0,57,2023,103,0,57,0,0,0,0,0,0
2014-09-06,0,32,43,0,3,3,0,57,2047,103,0,57,0,0,0,0,0,0
2014-09-07,0,32,43,0,3,3,0,58,2071,103,0,58,0,0,0,0,0,0
2014-09-08,0,32,43,0,3,3,0,59,2095,103,0,59,0,0,0,0,0,0
2014-09-09,0,31,43,0,3,3,0,60,2118,103,0,60,0,0,0,0,0,0
2014-09-10,0,32,43,0,3,3,0,60,2143,103,0,60,0,0,0,0,0,0
2014-09-11,0,33,43,0,3,3,0,61,2167,103,0,61,0,0,0,0,0,0
2014-09-12,0,33,43,0,3,3,0,62,2191,103,0,62,0,0,0,0,0,0
2014-09-13,0,33,42,0,3,3,0,63,2215,104,0,63,0,0,0,0,0,0
2014-09-14,0,33,44,0,3,3,0,64,2239,103,0,64,0,0,0,0,0,0
2014-09-15,0,32,42,0,3,3,0,65,2263,104,0,65,0,0,0,0,0,0
2014-09-16,0,33,43,0,4,4,0,67,2286,104,0,67,0,0,0,0,0,0
2014-09-17,0,32,43,0,4,4,0,67,2311,103,0,67,0,0,0,0,0,0
2014-09-18,0,33,43,0,4,4,0,68,2335,103,0,68,0,0,0,0,0,0
2014-09-19,0,33,43,0,4,4,0,69,2359,103,0,69,0,0,0,0,0,0
2014-09-20,0,33,43,0,4,4,0,70,2383,103,0,70,0,0,0,0,0,0
2014-09-21,0,33,43,0,4,4,0,71,2407,103,0,71,0,0,0,0,0,0
2014-09-22,0,33,43,0,4,4,0,72,2431,103,0,72,0,0,0,0,0,0
2014-09-23,0,34,43,0,4,4,0,72,2455,103,0,72,0,0,0,0,0,0
2014-09-24,0,31,43,0,4,4,0,73,2479,103,0,73,0,0,0,0,0,0
2014-09-25,0,31,43,0,4,4,0,73,2503,103,0,73,0,0,0,0,0,0
2014-09-26,0,31,43,0,4,4,0,74,2527,103,0,74,0,0,0,0,0,0
2014-09-27,0,31,43,0,4,4,0,75,2551,103,0,75,0,0,0,0,0,0
2014-09-28,0,31,43,0,4,4,0,75,2575,103,0,75,0,0,0,0,0,0
2014-09-29,0,31,43,0,4,4,0,76,2599,103,0,76,0,0,0,0,0,0
2014-09-30,0,31,43,0,4,4,0,77,2623,103,0,77,0,0,0,0,0,0
2014-10-01,0,32,43,0,4,4,0,77,2647,103,0,77,0,0,0,0,0,0
2014-10-02,0,28,43,0,4,4,0,78,2671,103,0,78,0,0,0,0,0,0
2014-10-03,0,28,43,0,4,4,0,78,2695,103,0,78,0,0,0,0,0,0
2014-10-04,0,29,43,0,4,4,0,79,2719,103,0,79,0,0,0,0,0,0
2014-10-05,0,29,43,0,4,4,0,79,2743,103,0,79,0,0,0,0,0,0
2014-10-06,0,29,43,0,4,4,0,79,2767,103,0,79,0,0,0,0,0,0
2014-10-07,0,29,43,0,4,4,0,80,2791,103,0,80,0,0,0,0,0,0
2014-10-08,0,29,43,0,4,4,0,81,2815,103,0,81,0,0,0,0,0,0
2014-10-09,0,28,43,0,4,4,0,82,2839,103,0,82,0,0,0,0,0,0
2014-10-10,0,28,43,0,4,4,0,82,2863,103,0,82,0,0,0,0,0,0
2014-10-11,0,28,43,0,4,4,0,83,2887,103,0,83,0,0,0,0,0,0
2014-10-12,0,29,43,0,4,4,0,84,2911,103,0,84,0,0,0,0,0,0
2014-10-13,0,28,43,0,4,4,0,84,2935,103,0,84,0,0,0,0,0,0
2014-10-14,0,28,43,0,4,4,0,85,2959,103,0,85,0,0,0,0,0,0
2014-10-15,0,27,43,0,5,5,0,86,2983,103,0,86,451,0,0,0,0,0
2014-10-16,0,28,43,0,5,5,0,86,3007,103,0,86,451,0,0,0,0,0
2014-10-17,0,27,43,0,5,5,0,86,3031,103,0,86,451,0,0,0,0,0
2014-10-18,0,27,43,0,5,5,0,86,3055,103,0,86,451,0,0,0,0,0
2014-10-19,0,27,43,0,5,5,0,86,3079,103,0,86,451,0,0,0,0,0
2014-10-20,0,27,43,0,5,5,0,86,3102,103,0,86,451,0,0,0,0,0
2014-10-21,0,27,43,0,5,5,0,86,3127,103,0,86,451,0,0,0,0,0
2014-10-22,0,27,43,0,5,5,0,86,3151,103,0,86,451,0,0,0,0,0
2014-10-23,0,27,43,0,5,5,0,86,3174,103,0,86,451,0,0,0,0,0
2014-10-24,0,28,42,0,5,5,0,86,3199,104,0,86,451,0,0,0,0,0
2014-10-25,0,28,42,0,5,5,0,87,3223,104,0,87,451,0,0,0,0,0
2014-10-26,0,28,42,0,5,5,0,88,3247,104,0,88,451,0,0,0,0,0
2014-10-27,0,28,42,0,5,5,0,89,3271,104,0,89,451,0,0,0,0,0
2014-10-28,0,27,42,0,5,5,0,89,3295,104,0,89,451,0,0,0,0,0
2014-10-29,0,27,42,0,5,5,0,90,3319,104,0,90,451,0,0,0,0,0
2014-10-30,0,27,42,0,5,5,0,91,3342,104,0,91,451,0,0,0,0,0
2014-10-31,0,27,42,0,5,5,0,92,3367,104,0,92,451,0,0,0,0,0
2014-11-01,0,28,42,0,5,5,0,92,3391,104,0,92,451,0,0,0,0,0
2014-11-03,0,27,42,0,5,5,0,94,3440,104,0,94,451,0,0,0,0,0
2014-11-04,0,28,42,0,5,5,0,95,3464,104,0,95,451,0,0,0,0,0
2014-11-05,0,31,42,0,5,5,0,96,3488,104,0,96,451,0,0,0,0,0
2014-11-06,0,28,42,0,5,5,0,96,3512,104,0,96,451,0,0,0,0,0
2014-11-07,0,28,42,0,5,5,0,96,3536,104,0,96,451,0,0,0,0,0
