date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-07-12,0,37,43,0,4,4,0,5,32,101,0,5,0,0,0,0,0,0
2014-07-13,0,37,43,0,4,4,0,6,55,101,0,6,0,0,0,0,0,0
2014-07-14,0,37,43,0,4,4,0,6,79,101,0,6,0,0,0,0,0,0
2014-07-15,0,36,43,0,4,4,0,7,104,101,0,7,0,0,0,0,0,0
2014-07-16,0,37,43,0,4,4,0,8,127,101,0,8,0,0,0,0,0,0
2014-07-17,0,37,43,0,4,4,0,9,151,101,0,9,0,0,0,0,0,0
2014-07-18,0,38,43,0,4,4,0,10,176,101,0,10,0,0,0,0,0,0
2014-07-19,0,35,43,0,4,4,0,11,200,101,0,11,0,0,0,0,0,0
2014-07-20,0,35,43,0,4,4,0,12,223,101,0,12,0,0,0,0,0,0
2014-07-21,0,35,43,0,4,4,0,12,248,101,0,12,0,0,0,0,0,0
2014-07-22,0,39,43,0,4,4,0,12,272,101,0,12,0,0,0,0,0,0
2014-07-23,0,37,43,0,4,4,0,12,295,101,0,12,0,0,0,0,0,0
2014-07-24,0,37,43,0,4,4,0,12,319,101,0,12,0,0,0,0,0,0
2014-07-25,0,36,43,0,4,4,0,12,344,101,0,12,0,0,0,0,0,0
2014-07-26,0,36,43,0,5,5,0,13,367,101,0,13,396,0,0,0,0,0
2014-07-27,0,36,43,0,5,5,0,13,390,101,0,13,396,0,0,0,0,0
2014-07-28,0,36,43,0,5,5,0,13,414,101,0,13,396,0,0,0,0,0
2014-07-29,0,35,42,0,5,5,0,14,439,101,0,14,396,0,0,0,0,0
2014-07-30,0,36,42,0,5,5,0,15,463,101,0,15,396,0,0,0,0,0
2014-07-31,0,36,42,0,5,5,0,15,486,101,0,15,396,0,0,0,0,0
2014-08-01,0,36,42,0,5,5,0,15,510,101,0,15,396,0,0,0,0,0
2014-08-02,0,36,42,0,5,5,0,16,535,101,0,16,396,0,0,0,0,0
2014-08-03,0,36,42,0,5,5,0,17,558,101,0,17,396,0,0,0,0,0
2014-08-04,0,37,42,0,5,5,0,18,582,101,0,18,396,0,0,0,0,0
2014-08-05,0,36,42,0,5,5,0,19,607,101,0,19,396,0,0,0,0,0
2014-08-06,0,36,42,0,5,5,0,20,631,101,0,20,396,0,0,0,0,0
2014-08-07,0,36,42,0,5,5,0,21,654,101,0,21,396,0,0,0,0,0
2014-08-08,0,36,42,0,5,5,0,22,678,101,0,22,396,0,0,0,0,0
2014-08-09,0,37,42,0,5,5,0,23,703,101,0,23,396,0,0,0,0,0
2014-08-10,0,40,42,0,5,5,0,23,726,101,0,23,396,0,0,0,0,0
2014-08-11,0,40,42,0,5,5,0,24,750,101,0,24,396,0,0,0,0,0
2014-08-12,0,39,42,0,5,5,0,24,775,101,0,24,396,0,0,0,0,0
2014-08-13,0,35,42,0,5,5,0,25,798,101,0,25,396,0,0,0,0,0
2014-08-14,0,35,42,0,5,5,0,25,822,101,0,25,396,0,0,0,0,0
2014-08-15,0,35,42,0,5,5,0,26,847,101,0,26,396,0,0,0,0,0
2014-08-16,0,36,42,0,5,5,0,27,871,101,0,27,396,0,0,0,0,0
2014-08-17,0,36,42,0,5,5,0,28,894,101,0,28,396,0,0,0,0,0
2014-08-18,0,35,42,0,5,5,0,28,918,101,0,28,396,0,0,0,0,0
2014-08-19,0,34,42,0,5,5,0,29,943,101,0,29,396,0,0,0,0,0
2014-08-20,0,36,42,0,5,5,0,30,966,101,0,30,396,0,0,0,0,0
2014-08-21,0,35,42,0,5,5,0,31,990,101,0,31,396,0,0,0,0,0
2014-08-22,0,36,42,0,5,5,0,32,1015,101,0,32,396,0,0,0,0,0
2014-08-23,0,36,42,0,5,5,0,32,1038,101,0,32,396,0,0,0,0,0
2014-08-24,0,36,42,0,5,5,0,33,1062,101,0,33,396,0,0,0,0,0
2014-08-25,0,35,42,0,5,5,0,34,1087,101,0,34,396,0,0,0,0,0
2014-08-26,0,33,42,0,5,5,0,35,1111,101,0,35,396,0,0,0,0,0
2014-08-27,0,34,42,0,6,6,0,36,1134,101,0,36,396,0,0,0,0,0
2014-08-28,0,34,42,0,8,8,0,39,1158,101,0,39,396,0,0,0,0,0
2014-08-29,0,34,42,0,8,8,0,40,1182,101,0,40,396,0,0,0,0,0
2014-08-30,0,34,42,0,8,8,0,41,1206,101,0,41,396,0,0,0,0,0
2014-08-31,0,34,42,0,8,8,0,42,1231,101,0,42,396,0,0,0,0,0
2014-09-01,0,33,42,0,8,8,0,43,1254,101,0,43,396,0,0,0,0,0
