date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-11-14,0,29,42,0,7,7,0,151,3750,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-15,0,28,42,0,7,7,0,151,3774,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-16,0,28,41,0,7,7,0,151,3797,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-17,0,28,42,0,7,7,0,151,3822,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-18,0,29,42,0,7,7,0,151,3846,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-19,0,28,42,0,7,7,0,151,3869,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-20,0,28,42,0,7,7,0,151,3894,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-21,0,28,42,0,7,7,0,151,3918,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-22,0,28,42,0,7,7,0,151,3942,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-23,0,28,42,0,7,7,0,151,3965,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-24,0,28,42,0,7,7,0,151,3990,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-25,0,28,42,0,7,7,0,151,4014,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-26,0,28,42,0,7,7,0,151,4037,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-27,0,28,42,0,7,7,0,151,4061,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-28,0,28,42,0,7,7,0,151,4086,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-29,0,28,42,0,7,7,0,151,4109,99,0,151,436,0,0,0,0,0,False,False,False
2014-11-30,0,28,42,0,7,7,0,151,4133,100,0,151,436,0,0,0,0,0,False,False,False
2014-12-01,0,28,42,0,7,7,0,151,4158,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-02,0,28,42,0,7,7,0,151,4182,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-03,0,29,42,0,7,7,0,151,4205,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-04,0,28,42,0,7,7,0,151,4230,100,0,151,436,0,0,0,0,0,False,False,False
2014-12-05,0,28,42,0,7,7,0,151,4254,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-06,0,28,42,0,7,7,0,151,4277,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-07,0,28,42,0,7,7,0,151,4302,100,0,151,436,0,0,0,0,0,False,False,False
2014-12-08,0,28,42,0,7,7,0,151,4326,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-09,0,28,42,0,7,7,0,151,4349,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-10,0,28,42,0,7,7,0,151,4373,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-11,0,29,42,0,7,7,0,151,4398,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-12,0,28,42,0,7,7,0,151,4422,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-13,0,30,42,0,7,7,0,151,4445,100,0,151,436,0,0,0,0,0,False,False,False
2014-12-14,0,28,42,0,7,7,0,151,4470,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-15,0,28,42,0,7,7,0,151,4494,99,0,151,436,0,0,0,0,0,False,False,False
2014-12-16,0,28,42,0,8,8,0,152,4518,100,0,152,436,0,0,0,0,0,False,False,False
2014-12-17,0,27,42,0,9,9,0,153,4542,99,0,153,436,0,0,0,0,0,False,False,False
2014-12-18,0,27,43,0,9,9,0,153,4565,99,0,153,436,0,0,0,0,0,False,False,False
2014-12-19,0,27,43,0,9,9,0,153,4589,99,0,153,436,0,0,0,0,0,False,False,False
2014-12-20,0,27,43,0,9,9,0,153,4614,99,0,153,436,0,0,0,0,0,False,False,False
2014-12-21,0,28,43,0,9,9,0,153,4637,99,0,153,436,0,0,0,0,0,False,False,False
2014-12-22,0,27,43,0,9,9,0,153,4661,99,0,153,436,0,0,0,0,0,False,False,False
2014-12-23,0,27,43,0,9,9,0,153,4685,99,0,153,436,0,0,0,0,0,False,False,False
2014-12-24,0,27,43,0,9,9,0,153,4710,100,0,153,436,0,0,0,0,0,False,False,False
2014-12-25,0,27,43,0,9,9,0,153,4733,100,0,153,436,0,0,0,0,0,False,False,False
2014-12-26,0,27,43,0,9,9,0,153,4757,100,0,153,436,0,0,0,0,0,False,False,False
2014-12-27,0,27,43,0,9,9,0,153,4782,100,0,153,436,0,0,0,0,0,False,False,False
2014-12-28,0,27,42,0,9,9,0,153,4805,100,0,153,436,0,0,0,0,0,False,False,False
2014-12-29,0,27,42,0,9,9,0,153,4829,100,0,153,436,0,0,0,0,0,False,False,False
2014-12-30,0,27,42,0,9,9,0,153,4853,100,0,153,436,0,0,0,0,0,False,False,False
2014-12-31,0,27,42,0,9,9,0,153,4877,100,0,153,436,0,0,0,0,0,False,False,False
