date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-11-14,0,28,41,0,6,6,0,150,3753,100,0,150,455,0,0,0,0,0
2014-11-15,0,27,42,0,6,6,0,150,3777,100,0,150,455,0,0,0,0,0
2014-11-16,0,27,42,0,6,6,0,150,3801,101,0,150,455,0,0,0,0,0
2014-11-17,0,27,42,0,6,6,0,150,3825,101,0,150,455,0,0,0,0,0
2014-11-18,0,27,41,0,6,6,0,150,3849,101,0,150,455,0,0,0,0,0
2014-11-19,0,27,41,0,6,6,0,150,3873,101,0,150,455,0,0,0,0,0
2014-11-20,0,27,42,0,6,6,0,150,3896,101,0,150,455,0,0,0,0,0
2014-11-21,0,27,42,0,6,6,0,150,3921,101,0,150,455,0,0,0,0,0
2014-11-22,0,27,42,0,6,6,0,150,3945,101,0,150,455,0,0,0,0,0
2014-11-23,0,27,42,0,6,6,0,150,3969,101,0,150,455,0,0,0,0,0
2014-11-24,0,27,43,0,6,6,0,150,3993,100,0,150,455,0,0,0,0,0
2014-11-25,0,27,42,0,6,6,0,150,4017,101,0,150,455,0,0,0,0,0
2014-11-26,0,28,42,0,6,6,0,150,4041,101,0,150,455,0,0,0,0,0
2014-11-27,0,27,42,0,6,6,0,150,4064,100,0,150,455,0,0,0,0,0
2014-11-28,0,27,43,0,6,6,0,150,4089,101,0,150,455,0,0,0,0,0
2014-11-29,0,27,42,0,6,6,0,150,4113,101,0,150,455,0,0,0,0,0
2014-11-30,0,27,42,0,6,6,0,150,4137,101,0,150,455,0,0,0,0,0
2014-12-01,0,27,42,0,6,6,0,150,4161,101,0,150,455,0,0,0,0,0
2014-12-02,0,27,42,0,6,6,0,150,4185,101,0,150,455,0,0,0,0,0
2014-12-03,0,27,42,0,6,6,0,150,4209,101,0,150,455,0,0,0,0,0
2014-12-04,0,27,42,0,6,6,0,150,4233,101,0,150,455,0,0,0,0,0
2014-12-05,0,27,42,0,6,6,0,150,4257,101,0,150,455,0,0,0,0,0
2014-12-06,0,27,43,0,6,6,0,150,4281,101,0,150,455,0,0,0,0,0
2014-12-07,0,27,42,0,6,6,0,150,4305,100,0,150,455,0,0,0,0,0
2014-12-08,0,27,42,0,6,6,0,150,4329,101,0,150,455,0,0,0,0,0
2014-12-09,0,27,42,0,6,6,0,150,4353,101,0,150,455,0,0,0,0,0
2014-12-10,0,28,42,0,6,6,0,150,4377,101,0,150,455,0,0,0,0,0
2014-12-11,0,28,42,0,6,6,0,150,4401,101,0,150,455,0,0,0,0,0
2014-12-12,0,27,42,0,6,6,0,150,4425,101,0,150,455,0,0,0,0,0
2014-12-13,0,29,42,0,6,6,0,150,4449,101,0,150,455,0,0,0,0,0
2014-12-14,0,27,43,0,6,6,0,150,4473,101,0,150,455,0,0,0,0,0
2014-12-15,0,27,42,0,6,6,0,150,4497,101,0,150,455,0,0,0,0,0
2014-12-16,0,27,43,0,7,7,0,151,4521,101,0,151,455,0,0,0,0,0
2014-12-17,0,28,43,0,7,7,0,151,4545,100,0,151,455,0,0,0,0,0
2014-12-18,0,26,43,0,8,8,0,152,4569,100,0,152,455,0,0,0,0,0
2014-12-19,0,26,43,0,8,8,0,152,4592,100,0,152,455,0,0,0,0,0
2014-12-20,0,26,43,0,8,8,0,152,4616,100,0,152,455,0,0,0,0,0
2014-12-21,0,27,43,0,8,8,0,152,4641,100,0,152,455,0,0,0,0,0
2014-12-22,0,26,43,0,8,8,0,152,4664,100,0,152,455,0,0,0,0,0
2014-12-23,0,26,43,0,8,8,0,152,4688,100,0,152,455,0,0,0,0,0
2014-12-24,0,26,43,0,8,8,0,152,4713,100,0,152,455,0,0,0,0,0
2014-12-25,0,26,43,0,8,8,0,152,4737,100,0,152,455,0,0,0,0,0
2014-12-26,0,26,43,0,8,8,0,152,4760,100,0,152,455,0,0,0,0,0
2014-12-27,0,26,43,0,8,8,0,152,4785,100,0,152,455,0,0,0,0,0
2014-12-28,0,26,43,0,8,8,0,152,4809,100,0,152,455,0,0,0,0,0
2014-12-29,0,25,43,0,8,8,0,152,4832,100,0,152,455,0,0,0,0,0
2014-12-30,0,26,43,0,8,8,0,152,4856,100,0,152,455,0,0,0,0,0
2014-12-31,0,26,43,0,8,8,0,152,4881,100,0,152,455,0,0,0,0,0
2015-01-01,0,26,43,0,8,8,0,152,4905,100,0,152,455,0,0,0,0,0
2015-01-02,0,26,43,0,8,8,0,152,4928,100,0,152,455,0,0,0,0,0
2015-01-03,0,26,43,0,8,8,0,152,4953,100,0,152,455,0,0,0,0,0
2015-01-04,0,26,43,0,8,8,0,152,4977,100,0,152,455,0,0,0,0,0
2015-01-05,0,26,43,0,8,8,0,152,5000,100,0,152,455,0,0,0,0,0
2015-01-06,0,26,43,0,8,8,0,152,5025,100,0,152,455,0,0,0,0,0
2015-01-07,0,26,43,0,8,8,0,152,5049,100,0,152,455,0,0,0,0,0
2015-01-08,0,26,43,0,8,8,0,152,5073,100,0,152,455,0,0,0,0,0
2015-01-09,0,26,43,0,8,8,0,152,5096,100,0,152,455,0,0,0,0,0
2015-01-10,0,26,43,0,8,8,0,152,5120,100,0,152,455,0,0,0,0,0
2015-01-11,0,26,43,0,8,8,0,152,5145,100,0,152,455,0,0,0,0,0
2015-01-12,0,26,43,0,8,8,0,152,5169,100,0,152,455,0,0,0,0,0
2015-01-13,0,26,43,0,8,8,0,152,5192,100,0,152,455,0,0,0,0,0
