date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-07-31,0,21,42,0,2,2,0,4,129,105,0,4,0,0,0,0,0,0
2014-08-01,0,21,42,0,2,2,0,5,153,106,0,5,0,0,0,0,0,0
2014-08-09,0,21,43,0,4,4,0,14,345,106,0,14,0,0,0,0,0,0
2014-08-10,0,22,43,0,4,4,0,14,368,106,0,14,0,0,0,0,0,0
2014-08-11,0,22,43,0,4,4,0,14,392,106,0,14,0,0,0,0,0,0
2014-08-12,0,22,43,0,4,4,0,15,417,106,0,15,0,0,0,0,0,0
2014-08-13,0,21,43,0,4,4,0,16,440,105,0,16,0,0,0,0,0,0
2014-08-14,0,21,42,0,4,4,0,17,464,105,0,17,0,0,0,0,0,0
2014-08-15,0,22,42,0,4,4,0,18,489,105,0,18,0,0,0,0,0,0
2014-08-16,0,22,42,0,4,4,0,19,513,105,0,19,0,0,0,0,0,0
2014-08-17,0,22,42,0,4,4,0,20,536,105,0,20,0,0,0,0,0,0
2014-08-18,0,22,42,0,4,4,0,20,560,105,0,20,0,0,0,0,0,0
2014-08-19,0,22,42,0,4,4,0,21,585,106,0,21,0,0,0,0,0,0
2014-09-03,0,23,43,0,4,4,0,28,944,105,0,28,0,0,0,0,0,0
2014-09-04,0,23,43,0,4,4,0,28,968,105,0,28,0,0,0,0,0,0
2014-09-05,0,23,43,0,4,4,0,28,992,108,0,28,0,0,0,0,0,0
2014-09-06,0,23,43,0,4,4,0,29,1017,108,0,29,0,0,0,0,0,0
2014-09-07,0,23,43,0,4,4,0,29,1040,108,0,29,0,0,0,0,0,0
2014-09-08,0,23,43,0,4,4,0,29,1064,108,0,29,0,0,0,0,0,0
2014-09-09,0,21,43,0,4,4,0,29,1089,108,0,29,0,0,0,0,0,0
2014-09-10,0,23,44,0,4,4,0,30,1113,108,0,30,0,0,0,0,0,0
2014-09-11,0,24,42,0,4,4,0,31,1136,107,0,31,0,0,0,0,0,0
2014-09-12,0,24,42,0,4,4,0,31,1160,107,0,31,0,0,0,0,0,0
2014-09-13,0,24,42,0,4,4,0,31,1185,108,0,31,0,0,0,0,0,0
2014-09-14,0,24,44,0,4,4,0,32,1208,108,0,32,0,0,0,0,0,0
2014-09-15,0,24,44,0,4,4,0,33,1232,108,0,33,0,0,0,0,0,0
2014-09-16,0,24,44,0,4,4,0,33,1257,108,0,33,0,0,0,0,0,0
2014-09-17,0,24,44,0,4,4,0,33,1280,108,0,33,0,0,0,0,0,0
2014-09-18,0,24,44,0,4,4,0,33,1304,108,0,33,0,0,0,0,0,0
2014-09-19,0,24,43,0,4,4,0,34,1329,108,0,34,0,0,0,0,0,0
2014-09-20,0,24,43,0,4,4,0,34,1352,108,0,34,0,0,0,0,0,0
2014-09-21,0,24,44,0,4,4,0,35,1376,108,0,35,0,0,0,0,0,0
2014-09-22,0,23,44,0,4,4,0,36,1400,108,0,36,0,0,0,0,0,0
2014-09-23,0,24,44,0,4,4,0,36,1425,108,0,36,0,0,0,0,0,0
2014-09-24,0,22,44,0,4,4,0,36,1448,108,0,36,0,0,0,0,0,0
2014-09-25,0,21,42,0,4,4,0,37,1472,108,0,37,0,0,0,0,0,0
2014-09-26,0,21,42,0,4,4,0,38,1497,108,0,38,0,0,0,0,0,0
