date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-06-19,0,29,42,0,3,3,0,4,31,100,0,4,0,0,0,0,0,0
2014-06-20,0,29,42,0,3,3,0,5,56,100,0,5,0,0,0,0,0,0
2014-06-21,0,29,42,0,3,3,0,5,80,100,0,5,0,0,0,0,0,0
2014-06-22,0,29,42,0,3,3,0,6,103,100,0,6,0,0,0,0,0,0
2014-06-23,0,29,42,0,3,3,0,7,128,100,0,7,0,0,0,0,0,0
2014-06-24,0,29,42,0,3,3,0,8,152,100,0,8,0,0,0,0,0,0
2014-06-25,0,28,42,0,3,3,0,9,175,100,0,9,0,0,0,0,0,0
2014-06-26,0,28,42,0,3,3,0,10,200,100,0,10,0,0,0,0,0,0
2014-06-27,0,29,42,0,3,3,0,11,224,100,0,11,0,0,0,0,0,0
2014-06-28,0,29,42,0,3,3,0,12,248,100,0,12,0,0,0,0,0,0
2014-06-29,0,28,42,0,3,3,0,13,272,100,0,13,0,0,0,0,0,0
2014-06-30,0,28,42,0,3,3,0,13,296,100,0,13,0,0,0,0,0,0
2014-07-01,0,28,42,0,3,3,0,14,320,100,0,14,0,0,0,0,0,0
2014-07-02,0,28,42,0,3,3,0,15,343,100,0,15,0,0,0,0,0,0
2014-07-03,0,28,42,0,3,3,0,16,368,100,0,16,0,0,0,0,0,0
2014-07-04,0,28,42,0,3,3,0,17,392,100,0,17,0,0,0,0,0,0
2014-07-05,0,28,42,0,3,3,0,18,415,100,0,18,0,0,0,0,0,0
2014-07-06,0,28,42,0,3,3,0,19,440,100,0,19,0,0,0,0,0,0
2014-07-07,0,28,42,0,3,3,0,20,464,100,0,20,0,0,0,0,0,0
2014-07-08,0,28,42,0,3,3,0,21,487,100,0,21,0,0,0,0,0,0
2014-07-09,0,28,42,0,3,3,0,22,512,100,0,22,0,0,0,0,0,0
2014-07-10,0,29,42,0,3,3,0,23,536,100,0,23,0,0,0,0,0,0
2014-07-11,0,28,42,0,3,3,0,24,560,100,0,24,0,0,0,0,0,0
2014-07-12,0,29,42,0,3,3,0,25,583,100,0,25,0,0,0,0,0,0
2014-07-13,0,29,42,0,3,3,0,26,608,100,0,26,0,0,0,0,0,0
2014-07-14,0,30,42,0,3,3,0,27,632,100,0,27,0,0,0,0,0,0
2014-07-15,0,29,42,0,3,3,0,27,655,100,0,27,0,0,0,0,0,0
2014-07-16,0,29,42,0,3,3,0,29,680,100,0,29,0,0,0,0,0,0
2014-07-29,0,30,42,0,3,3,0,33,992,100,0,33,0,0,0,0,0,0
2014-07-30,0,30,42,0,3,3,0,34,1016,100,0,34,0,0,0,0,0,0
2014-07-31,0,30,42,0,3,3,0,34,1040,100,0,34,0,0,0,0,0,0
2014-08-01,0,29,42,0,3,3,0,35,1063,100,0,35,0,0,0,0,0,0
2014-08-02,0,29,42,0,3,3,0,35,1088,100,0,35,0,0,0,0,0,0
2014-08-03,0,29,42,0,3,3,0,36,1112,100,0,36,0,0,0,0,0,0
2014-08-04,0,30,42,0,3,3,0,36,1135,100,0,36,0,0,0,0,0,0
