date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-11-14,0,32,42,0,10,10,0,12,3749,103,0,12,553,0,0,0,0,0
2014-11-15,0,30,42,0,10,10,0,12,3773,103,0,12,553,0,0,0,0,0
2014-11-16,0,30,42,0,10,10,0,12,3797,103,0,12,553,0,0,0,0,0
2014-11-17,0,30,42,0,10,10,0,12,3821,103,0,12,553,0,0,0,0,0
2014-11-18,0,31,42,0,10,10,0,12,3845,104,0,12,553,0,0,0,0,0
2014-11-19,0,30,42,0,10,10,0,12,3869,103,0,12,553,0,0,0,0,0
2014-11-20,0,30,42,0,10,10,0,12,3893,103,0,12,553,0,0,0,0,0
2014-11-21,0,30,42,0,10,10,0,12,3917,103,0,12,553,0,0,0,0,0
2014-11-22,0,30,41,0,10,10,0,12,3941,103,0,12,553,0,0,0,0,0
2014-11-23,0,30,41,0,10,10,0,12,3965,104,0,12,553,0,0,0,0,0
2014-11-24,0,30,42,0,10,10,0,12,3989,103,0,12,553,0,0,0,0,0
2014-11-25,0,30,42,0,10,10,0,12,4013,103,0,12,553,0,0,0,0,0
2014-11-26,0,30,41,0,10,10,0,12,4037,103,0,12,553,0,0,0,0,0
2014-11-27,0,30,42,0,10,10,0,12,4061,103,0,12,553,0,0,0,0,0
2014-11-28,0,30,41,0,10,10,0,12,4085,103,0,12,553,0,0,0,0,0
2014-11-29,0,30,41,0,10,10,0,12,4109,103,0,12,553,0,0,0,0,0
2014-11-30,0,30,41,0,10,10,0,12,4133,103,0,12,553,0,0,0,0,0
2014-12-01,0,30,41,0,10,10,0,12,4157,103,0,12,553,0,0,0,0,0
2014-12-02,0,30,42,0,10,10,0,12,4181,103,0,12,553,0,0,0,0,0
2014-12-03,0,31,42,0,10,10,0,12,4205,103,0,12,553,0,0,0,0,0
2014-12-04,0,30,41,0,10,10,0,12,4229,103,0,12,553,0,0,0,0,0
2014-12-05,0,30,42,0,10,10,0,12,4253,103,0,12,553,0,0,0,0,0
2014-12-06,0,31,42,0,10,10,0,12,4277,103,0,12,553,0,0,0,0,0
2014-12-07,0,31,42,0,10,10,0,12,4301,103,0,12,553,0,0,0,0,0
2014-12-08,0,31,42,0,10,10,0,12,4325,103,0,12,553,0,0,0,0,0
2014-12-09,0,31,42,0,10,10,0,12,4349,103,0,12,553,0,0,0,0,0
2014-12-10,0,31,42,0,10,10,0,12,4373,103,0,12,553,0,0,0,0,0
2014-12-11,0,31,42,0,10,10,0,12,4397,103,0,12,553,0,0,0,0,0
2014-12-12,0,30,42,0,10,10,0,12,4421,103,0,12,553,0,0,0,0,0
2014-12-13,0,32,42,0,10,10,0,12,4445,103,0,12,553,0,0,0,0,0
2014-12-14,0,30,42,0,10,10,0,12,4469,103,0,12,553,0,0,0,0,0
2014-12-15,0,30,42,0,10,10,0,12,4493,104,0,12,553,0,0,0,0,0
2014-12-16,0,31,42,0,11,11,0,13,4517,103,0,13,553,0,0,0,0,0
2014-12-17,0,31,43,0,11,11,0,13,4541,104,0,13,553,0,0,0,0,0
2014-12-18,0,30,42,0,12,12,0,14,4565,103,0,14,553,0,0,0,0,0
2014-12-19,0,30,41,0,12,12,0,15,4588,103,0,15,553,0,0,0,0,0
2014-12-20,0,30,41,0,12,12,0,16,4612,103,0,16,553,0,0,0,0,0
2014-12-21,0,30,41,0,12,12,0,17,4637,103,0,17,553,0,0,0,0,0
2014-12-22,0,30,41,0,12,12,0,18,4661,103,0,18,553,0,0,0,0,0
2014-12-23,0,29,41,0,12,12,0,18,4684,103,0,18,553,0,0,0,0,0
2014-12-24,0,30,41,0,12,12,0,18,4709,103,0,18,553,0,0,0,0,0
2014-12-25,0,30,41,0,12,12,0,18,4733,103,0,18,553,0,0,0,0,0
2014-12-26,0,29,41,0,12,12,0,18,4756,103,0,18,553,0,0,0,0,0
2014-12-27,0,30,41,0,12,12,0,18,4781,103,0,18,553,0,0,0,0,0
2014-12-28,0,29,41,0,12,12,0,18,4805,103,0,18,553,0,0,0,0,0
2014-12-29,0,30,42,0,12,12,0,19,4828,103,0,19,553,0,0,0,0,0
2014-12-30,0,29,42,0,12,12,0,19,4852,103,0,19,553,0,0,0,0,0
