date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-08-13,0,28,0,0,3,3,0,3,11,0,0,3,0,0,0,0,0,0
2014-08-14,0,28,0,0,3,3,0,4,36,0,0,4,0,0,0,0,0,0
2014-08-15,0,28,0,0,3,3,0,5,60,0,0,5,0,0,0,0,0,0
2014-08-16,0,28,0,0,3,3,0,5,83,0,0,5,0,0,0,0,0,0
2014-08-17,0,28,0,0,3,3,0,6,108,0,0,6,0,0,0,0,0,0
2014-08-18,0,28,0,0,3,3,0,6,132,0,0,6,0,0,0,0,0,0
2014-08-19,0,28,0,0,3,3,0,6,155,0,0,6,0,0,0,0,0,0
2014-08-20,0,28,0,0,3,3,0,6,179,0,0,6,0,0,0,0,0,0
2014-08-21,0,28,0,0,3,3,0,6,204,0,0,6,0,0,0,0,0,0
2014-08-22,0,27,0,0,3,3,0,6,228,0,0,6,0,0,0,0,0,0
2014-10-01,0,24,42,0,3,3,0,14,1188,102,0,14,0,0,0,0,0,0
2014-10-02,0,23,42,0,3,3,0,14,1212,102,0,14,0,0,0,0,0,0
2014-10-03,0,23,42,0,3,3,0,14,1235,102,0,14,0,0,0,0,0,0
2014-10-04,0,23,42,0,3,3,0,14,1260,104,0,14,0,0,0,0,0,0
2014-10-05,0,23,42,0,3,3,0,14,1284,104,0,14,0,0,0,0,0,0
2014-10-06,0,23,42,0,3,3,0,14,1307,104,0,14,0,0,0,0,0,0
2014-10-07,0,23,43,0,3,3,0,15,1332,104,0,15,0,0,0,0,0,0
2014-10-08,0,23,43,0,3,3,0,15,1356,104,0,15,0,0,0,0,0,0
2014-10-09,0,23,43,0,3,3,0,15,1379,104,0,15,0,0,0,0,0,0
2014-10-10,0,23,43,0,3,3,0,15,1403,104,0,15,0,0,0,0,0,0
2014-10-11,0,24,42,0,3,3,0,16,1428,104,0,16,0,0,0,0,0,0
2014-10-12,0,23,42,0,3,3,0,16,1452,104,0,16,0,0,0,0,0,0
2014-10-13,0,24,42,0,3,3,0,16,1475,104,0,16,0,0,0,0,0,0
2014-10-14,0,23,42,0,3,3,0,17,1500,104,0,17,0,0,0,0,0,0
2014-10-15,0,23,42,0,3,3,0,17,1524,104,0,17,0,0,0,0,0,0
2014-10-16,0,23,42,0,3,3,0,17,1547,104,0,17,0,0,0,0,0,0
2014-10-17,0,23,43,0,3,3,0,18,1572,104,0,18,0,0,0,0,0,0
2014-10-18,0,23,42,0,3,3,0,19,1596,103,0,19,0,0,0,0,0,0
2014-10-19,0,23,42,0,3,3,0,19,1619,103,0,19,0,0,0,0,0,0
2014-10-20,0,22,42,0,3,3,0,19,1643,103,0,19,0,0,0,0,0,0
2014-10-21,0,23,42,0,3,3,0,19,1668,103,0,19,0,0,0,0,0,0
2014-10-22,0,23,44,0,3,3,0,20,1692,104,0,20,0,0,0,0,0,0
2014-10-23,0,23,44,0,3,3,0,20,1715,104,0,20,0,0,0,0,0,0
2014-10-24,0,23,44,0,3,3,0,20,1740,104,0,20,0,0,0,0,0,0
2014-10-25,0,23,44,0,3,3,0,21,1764,104,0,21,0,0,0,0,0,0
2014-10-26,0,22,44,0,3,3,0,21,1787,104,0,21,0,0,0,0,0,0
2014-10-27,0,22,44,0,3,3,0,21,1811,104,0,21,0,0,0,0,0,0
2014-10-28,0,23,44,0,3,3,0,21,1836,104,0,21,0,0,0,0,0,0
2014-10-29,0,23,44,0,3,3,0,21,1860,104,0,21,0,0,0,0,0,0
2014-10-30,0,23,44,0,3,3,0,22,1883,104,0,22,0,0,0,0,0,0
2014-10-31,0,23,44,0,3,3,0,22,1908,104,0,22,0,0,0,0,0,0
2014-11-01,0,22,44,0,3,3,0,22,1932,104,0,22,0,0,0,0,0,0
2014-11-03,0,23,44,0,3,3,0,22,1981,104,0,22,0,0,0,0,0,0
2014-11-04,0,23,44,0,3,3,0,22,2004,104,0,22,0,0,0,0,0,0
2014-11-05,0,27,44,0,3,3,0,23,2028,104,0,23,0,0,0,0,0,0
2014-11-06,0,23,44,0,3,3,0,23,2053,104,0,23,0,0,0,0,0,0
2014-11-07,0,23,44,0,3,3,0,23,2077,104,0,23,0,0,0,0,0,0
2014-11-08,0,23,43,0,3,3,0,24,2100,104,0,24,0,0,0,0,0,0
2014-11-09,0,23,42,0,3,3,0,25,2125,104,0,25,0,0,0,0,0,0
2014-11-10,0,23,42,0,3,3,0,26,2149,102,0,26,0,0,0,0,0,0
2014-11-11,0,24,42,0,3,3,0,27,2172,102,0,27,0,0,0,0,0,0
2014-11-12,0,24,42,0,3,3,0,27,2197,102,0,27,0,0,0,0,0,0
2014-11-13,0,23,42,0,3,3,0,28,2221,102,0,28,0,0,0,0,0,0
2014-11-14,0,24,42,0,3,3,0,29,2244,102,0,29,0,0,0,0,0,0
2014-11-15,0,23,42,0,3,3,0,30,2268,102,0,30,0,0,0,0,0,0
2014-11-16,0,23,42,0,3,3,0,31,2293,102,0,31,0,0,0,0,0,0
2014-11-17,0,23,42,0,3,3,0,32,2317,102,0,32,0,0,0,0,0,0
2014-11-18,0,24,42,0,3,3,0,32,2340,102,0,32,0,0,0,0,0,0
2014-11-19,0,23,42,0,3,3,0,33,2365,102,0,33,0,0,0,0,0,0
2014-11-20,0,23,42,0,3,3,0,33,2389,102,0,33,0,0,0,0,0,0
2014-11-21,0,23,42,0,3,3,0,33,2412,102,0,33,0,0,0,0,0,0
2014-11-22,0,23,42,0,3,3,0,33,2437,102,0,33,0,0,0,0,0,0
2014-11-23,0,23,42,0,3,3,0,33,2461,102,0,33,0,0,0,0,0,0
2014-11-24,0,23,42,0,3,3,0,33,2484,102,0,33,0,0,0,0,0,0
2014-11-25,0,23,42,0,3,3,0,33,2509,102,0,33,0,0,0,0,0,0
2014-11-26,0,23,42,0,3,3,0,33,2533,102,0,33,0,0,0,0,0,0
2014-11-27,0,23,42,0,3,3,0,33,2556,102,0,33,0,0,0,0,0,0
2014-11-28,0,23,42,0,3,3,0,33,2580,102,0,33,0,0,0,0,0,0
2014-11-29,0,23,42,0,3,3,0,33,2605,104,0,33,0,0,0,0,0,0
2014-11-30,0,24,44,0,3,3,0,34,2629,104,0,34,0,0,0,0,0,0
2014-12-01,0,23,44,0,3,3,0,34,2652,104,0,34,0,0,0,0,0,0
2014-12-02,0,23,41,0,3,3,0,35,2677,102,0,35,0,0,0,0,0,0
2014-12-03,0,23,41,0,4,4,0,36,2701,102,0,36,0,0,0,0,0,0
2014-12-04,0,23,41,0,4,4,0,36,2725,102,0,36,0,0,0,0,0,0
2014-12-05,0,23,42,0,4,4,0,37,2748,102,0,37,0,0,0,0,0,0
2014-12-06,0,23,42,0,4,4,0,38,2772,102,0,38,0,0,0,0,0,0
2014-12-07,0,23,42,0,4,4,0,39,2797,102,0,39,0,0,0,0,0,0
2014-12-08,0,23,42,0,4,4,0,40,2820,102,0,40,0,0,0,0,0,0
2014-12-09,0,23,42,0,4,4,0,41,2844,102,0,41,0,0,0,0,0,0
2014-12-10,0,24,43,0,4,4,0,41,2869,102,0,41,0,0,0,0,0,0
2014-12-11,0,24,43,0,4,4,0,42,2892,102,0,42,0,0,0,0,0,0
2014-12-12,0,24,43,0,4,4,0,43,2917,102,0,43,0,0,0,0,0,0
2014-12-13,0,24,43,0,4,4,0,43,2941,102,0,43,0,0,0,0,0,0
2014-12-14,0,23,43,0,4,4,0,43,2964,102,0,43,0,0,0,0,0,0
2014-12-15,0,23,43,0,4,4,0,43,2988,104,0,43,0,0,0,0,0,0
2014-12-16,0,23,42,0,4,4,0,44,3013,104,0,44,0,0,0,0,0,0
2014-12-17,0,23,42,0,4,4,0,44,3036,104,0,44,0,0,0,0,0,0
2014-12-18,0,23,42,0,4,4,0,44,3061,104,0,44,0,0,0,0,0,0
2014-12-19,0,23,42,0,4,4,0,44,3085,104,0,44,0,0,0,0,0,0
2014-12-20,0,23,42,0,4,4,0,44,3109,104,0,44,0,0,0,0,0,0
2014-12-21,0,30,42,0,4,4,0,45,3132,104,0,45,0,0,0,0,0,0
2014-12-22,0,23,42,0,4,4,0,45,3157,104,0,45,0,0,0,0,0,0
2014-12-23,0,24,42,0,4,4,0,45,3181,104,0,45,0,0,0,0,0,0
2014-12-24,0,23,42,0,4,4,0,45,3204,104,0,45,0,0,0,0,0,0
2014-12-25,0,23,42,0,4,4,0,45,3229,104,0,45,0,0,0,0,0,0
2014-12-26,0,23,41,0,4,4,0,46,3253,104,0,46,0,0,0,0,0,0
2014-12-27,0,23,41,0,4,4,0,46,3276,104,0,46,0,0,0,0,0,0
2014-12-28,0,23,41,0,4,4,0,46,3300,104,0,46,0,0,0,0,0,0
2014-12-29,0,23,41,0,4,4,0,46,3325,104,0,46,0,0,0,0,0,0
2014-12-30,0,23,42,0,4,4,0,47,3349,104,0,47,0,0,0,0,0,0
2014-12-31,0,23,42,0,4,4,0,47,3372,104,0,47,0,0,0,0,0,0
2015-01-01,0,23,42,0,4,4,0,47,3397,104,0,47,0,0,0,0,0,0
2015-01-02,0,23,42,0,4,4,0,48,3421,104,0,48,0,0,0,0,0,0
2015-01-03,0,23,42,0,4,4,0,48,3444,104,0,48,0,0,0,0,0,0
2015-01-04,0,23,42,0,4,4,0,48,3469,104,0,48,0,0,0,0,0,0
2015-01-05,0,23,42,0,4,4,0,48,3493,104,0,48,0,0,0,0,0,0
2015-01-06,0,23,42,0,4,4,0,49,3516,104,0,49,0,0,0,0,0,0
