date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-07-11,0,29,42,0,2,2,0,3,58,101,0,3,0,0,0,0,0,0
2014-07-12,0,30,42,0,2,2,0,4,82,101,0,4,0,0,0,0,0,0
2014-07-13,0,29,42,0,2,2,0,5,106,101,0,5,0,0,0,0,0,0
2014-07-14,0,29,42,0,2,2,0,6,130,101,0,6,0,0,0,0,0,0
2014-07-15,0,29,42,0,2,2,0,7,154,101,0,7,0,0,0,0,0,0
2014-07-16,0,29,42,0,2,2,0,8,178,101,0,8,0,0,0,0,0,0
2014-07-17,0,29,42,0,2,2,0,9,202,101,0,9,0,0,0,0,0,0
2014-07-18,0,29,42,0,2,2,0,10,226,101,0,10,0,0,0,0,0,0
2014-07-19,0,29,42,0,2,2,0,11,249,101,0,11,0,0,0,0,0,0
2014-07-20,0,30,42,0,2,2,0,12,274,101,0,12,0,0,0,0,0,0
2014-07-21,0,29,42,0,2,2,0,13,298,101,0,13,0,0,0,0,0,0
2014-07-22,0,25,42,0,2,2,0,14,322,101,0,14,0,0,0,0,0,0
2014-07-23,0,27,42,0,2,2,0,14,346,101,0,14,0,0,0,0,0,0
2014-07-24,0,27,42,0,2,2,0,15,370,101,0,15,0,0,0,0,0,0
2014-07-25,0,27,42,0,2,2,0,16,394,101,0,16,0,0,0,0,0,0
2014-07-26,0,27,42,0,2,2,0,17,418,101,0,17,0,0,0,0,0,0
2014-07-27,0,27,42,0,2,2,0,18,442,101,0,18,0,0,0,0,0,0
2014-07-28,0,27,42,0,2,2,0,19,466,101,0,19,0,0,0,0,0,0
2014-07-29,0,26,42,0,2,2,0,20,490,101,0,20,0,0,0,0,0,0
2014-07-30,0,27,42,0,2,2,0,21,509,102,0,21,0,0,0,0,0,0
2014-08-13,0,26,43,0,2,2,0,34,850,104,0,34,0,0,0,0,0,0
2014-08-14,0,26,43,0,2,2,0,34,874,104,0,34,0,0,0,0,0,0
2014-08-15,0,26,43,0,2,2,0,35,898,104,0,35,0,0,0,0,0,0
2014-08-16,0,26,43,0,2,2,0,35,922,104,0,35,0,0,0,0,0,0
2014-08-17,0,26,43,0,2,2,0,35,946,104,0,35,0,0,0,0,0,0
2014-08-18,0,26,43,0,2,2,0,35,970,104,0,35,0,0,0,0,0,0
2014-08-19,0,26,41,0,2,2,0,36,994,104,0,36,0,0,0,0,0,0
2014-08-20,0,26,41,0,2,2,0,36,1018,104,0,36,0,0,0,0,0,0
2014-08-21,0,26,41,0,2,2,0,36,1042,104,0,36,0,0,0,0,0,0
2014-08-22,0,25,43,0,2,2,0,37,1066,104,0,37,0,0,0,0,0,0
2014-08-23,0,25,43,0,2,2,0,37,1090,104,0,37,0,0,0,0,0,0
2014-08-24,0,25,43,0,2,2,0,37,1114,104,0,37,0,0,0,0,0,0
2014-08-25,0,25,42,0,2,2,0,38,1138,104,0,38,0,0,0,0,0,0
2014-08-26,0,28,42,0,2,2,0,38,1162,104,0,38,0,0,0,0,0,0
2014-08-27,0,28,42,0,2,2,0,38,1186,103,0,38,0,0,0,0,0,0
2014-08-28,0,28,42,0,2,2,0,39,1210,103,0,39,0,0,0,0,0,0
2014-08-29,0,28,42,0,2,2,0,39,1234,103,0,39,0,0,0,0,0,0
2014-08-30,0,29,42,0,2,2,0,39,1258,104,0,39,0,0,0,0,0,0
2014-08-31,0,28,43,0,2,2,0,40,1282,104,0,40,0,0,0,0,0,0
2014-09-01,0,28,43,0,2,2,0,40,1306,104,0,40,0,0,0,0,0,0
2014-09-02,0,28,43,0,2,2,0,40,1330,104,0,40,0,0,0,0,0,0
2014-09-03,0,28,43,0,2,2,0,40,1354,104,0,40,0,0,0,0,0,0
2014-09-04,0,28,41,0,2,2,0,41,1378,104,0,41,0,0,0,0,0,0
2014-09-05,0,28,41,0,2,2,0,41,1402,104,0,41,0,0,0,0,0,0
2014-09-06,0,28,44,0,2,2,0,42,1426,104,0,42,0,0,0,0,0,0
2014-09-07,0,28,44,0,2,2,0,42,1450,104,0,42,0,0,0,0,0,0
2014-09-08,0,28,44,0,2,2,0,42,1474,104,0,42,0,0,0,0,0,0
2014-09-09,0,28,44,0,2,2,0,42,1498,104,0,42,0,0,0,0,0,0
2014-09-10,0,28,43,0,2,2,0,43,1522,104,0,43,0,0,0,0,0,0
2014-09-11,0,28,43,0,2,2,0,43,1546,104,0,43,0,0,0,0,0,0
2014-09-12,0,28,43,0,2,2,0,43,1570,104,0,43,0,0,0,0,0,0
2014-09-13,0,27,42,0,2,2,0,44,1594,104,0,44,0,0,0,0,0,0
