date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-07-11,0,30,42,0,1,1,0,2,58,98,0,2,0,0,0,0,0,0
2014-07-12,0,30,42,0,1,1,0,3,82,98,0,3,0,0,0,0,0,0
2014-07-13,0,30,42,0,1,1,0,4,106,98,0,4,0,0,0,0,0,0
2014-07-14,0,30,42,0,1,1,0,5,130,98,0,5,0,0,0,0,0,0
2014-07-15,0,30,42,0,1,1,0,6,154,98,0,6,0,0,0,0,0,0
2014-07-16,0,30,42,0,1,1,0,7,178,98,0,7,0,0,0,0,0,0
2014-07-17,0,30,42,0,1,1,0,8,202,98,0,8,0,0,0,0,0,0
2014-07-18,0,30,42,0,1,1,0,9,226,98,0,9,0,0,0,0,0,0
2014-07-19,0,31,42,0,1,1,0,10,250,98,0,10,0,0,0,0,0,0
2014-07-20,0,32,42,0,1,1,0,11,274,98,0,11,0,0,0,0,0,0
2014-07-21,0,31,42,0,1,1,0,11,298,98,0,11,0,0,0,0,0,0
2014-07-22,0,28,42,0,1,1,0,12,322,98,0,12,0,0,0,0,0,0
2014-07-23,0,29,42,0,1,1,0,13,346,98,0,13,0,0,0,0,0,0
2014-07-24,0,29,42,0,1,1,0,14,370,98,0,14,0,0,0,0,0,0
2014-07-25,0,29,42,0,1,1,0,15,394,98,0,15,0,0,0,0,0,0
2014-07-26,0,29,42,0,1,1,0,16,418,98,0,16,0,0,0,0,0,0
2014-07-27,0,29,42,0,1,1,0,17,442,98,0,17,0,0,0,0,0,0
2014-07-28,0,29,42,0,1,1,0,18,466,98,0,18,0,0,0,0,0,0
2014-07-29,0,29,42,0,1,1,0,19,490,98,0,19,0,0,0,0,0,0
2014-07-30,0,28,41,0,1,1,0,20,508,98,0,20,0,0,0,0,0,0
2014-08-13,0,29,42,0,1,1,0,30,850,100,0,30,0,0,0,0,0,0
2014-08-14,0,28,42,0,1,1,0,30,874,100,0,30,0,0,0,0,0,0
2014-08-15,0,28,42,0,1,1,0,31,898,100,0,31,0,0,0,0,0,0
2014-08-16,0,28,42,0,1,1,0,32,922,100,0,32,0,0,0,0,0,0
2014-08-17,0,28,42,0,1,1,0,32,946,100,0,32,0,0,0,0,0,0
2014-08-18,0,28,41,0,1,1,0,33,970,100,0,33,0,0,0,0,0,0
2014-08-19,0,28,41,0,1,1,0,33,994,100,0,33,0,0,0,0,0,0
2014-08-20,0,28,41,0,1,1,0,33,1018,100,0,33,0,0,0,0,0,0
2014-08-21,0,28,42,0,1,1,0,34,1042,100,0,34,0,0,0,0,0,0
2014-08-22,0,27,42,0,1,1,0,35,1066,98,0,35,0,0,0,0,0,0
2014-08-23,0,27,42,0,1,1,0,35,1090,98,0,35,0,0,0,0,0,0
2014-08-24,0,27,42,0,1,1,0,35,1114,100,0,35,0,0,0,0,0,0
2014-08-25,0,27,42,0,1,1,0,35,1138,100,0,35,0,0,0,0,0,0
2014-08-26,0,28,42,0,1,1,0,36,1162,100,0,36,0,0,0,0,0,0
2014-08-27,0,28,42,0,1,1,0,36,1186,100,0,36,0,0,0,0,0,0
2014-08-28,0,28,41,0,1,1,0,37,1210,100,0,37,0,0,0,0,0,0
2014-08-29,0,28,42,0,1,1,0,38,1234,99,0,38,0,0,0,0,0,0
2014-08-30,0,29,42,0,1,1,0,39,1258,99,0,39,0,0,0,0,0,0
2014-08-31,0,28,42,0,1,1,0,39,1282,100,0,39,0,0,0,0,0,0
2014-09-01,0,28,42,0,1,1,0,39,1306,100,0,39,0,0,0,0,0,0
