date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-06-19,0,29,43,0,1,1,0,1,32,103,0,1,0,0,0,0,0,0
2014-06-20,0,29,43,0,1,1,0,1,56,103,0,1,0,0,0,0,0,0
2014-06-21,0,29,43,0,1,1,0,1,80,103,0,1,0,0,0,0,0,0
2014-06-22,0,30,43,0,1,1,0,1,104,103,0,1,0,0,0,0,0,0
2014-06-23,0,29,43,0,1,1,0,1,128,103,0,1,0,0,0,0,0,0
2014-06-24,0,29,43,0,1,1,0,1,152,103,0,1,0,0,0,0,0,0
2014-06-25,0,29,43,0,1,1,0,1,176,103,0,1,0,0,0,0,0,0
2014-06-26,0,30,43,0,1,1,0,1,200,103,0,1,0,0,0,0,0,0
2014-06-27,0,30,43,0,1,1,0,1,224,103,0,1,0,0,0,0,0,0
2014-06-28,0,30,43,0,1,1,0,1,248,103,0,1,0,0,0,0,0,0
2014-06-29,0,30,43,0,1,1,0,1,272,103,0,1,0,0,0,0,0,0
2014-06-30,0,30,43,0,1,1,0,1,296,103,0,1,0,0,0,0,0,0
2014-07-01,0,30,43,0,1,1,0,1,320,103,0,1,0,0,0,0,0,0
2014-07-02,0,30,43,0,1,1,0,1,344,103,0,1,0,0,0,0,0,0
2014-07-03,0,29,43,0,1,1,0,1,368,103,0,1,0,0,0,0,0,0
2014-07-04,0,29,43,0,1,1,0,1,392,103,0,1,0,0,0,0,0,0
2014-07-05,0,29,43,0,1,1,0,1,416,103,0,1,0,0,0,0,0,0
2014-07-06,0,29,43,0,1,1,0,1,440,103,0,1,0,0,0,0,0,0
2014-07-07,0,29,43,0,1,1,0,1,464,103,0,1,0,0,0,0,0,0
2014-07-08,0,29,43,0,1,1,0,1,488,103,0,1,0,0,0,0,0,0
2014-07-09,0,29,43,0,1,1,0,1,512,103,0,1,0,0,0,0,0,0
2014-07-10,0,30,43,0,1,1,0,1,536,103,0,1,0,0,0,0,0,0
2014-07-11,0,30,43,0,1,1,0,1,560,103,0,1,0,0,0,0,0,0
2014-07-12,0,30,43,0,1,1,0,1,584,103,0,1,0,0,0,0,0,0
2014-07-13,0,30,43,0,1,1,0,1,608,103,0,1,0,0,0,0,0,0
2014-07-14,0,30,43,0,1,1,0,1,632,103,0,1,0,0,0,0,0,0
2014-07-15,0,30,43,0,1,1,0,1,656,103,0,1,0,0,0,0,0,0
2014-07-16,0,30,43,0,1,1,0,1,680,103,0,1,0,0,0,0,0,0
2014-07-17,0,30,43,0,1,1,0,1,704,103,0,1,0,0,0,0,0,0
2014-07-18,0,30,43,0,1,1,0,1,728,103,0,1,0,0,0,0,0,0
2014-07-19,0,31,43,0,1,1,0,1,752,103,0,1,0,0,0,0,0,0
2014-07-20,0,31,43,0,1,1,0,1,776,103,0,1,0,0,0,0,0,0
2014-07-21,0,31,43,0,1,1,0,1,800,103,0,1,0,0,0,0,0,0
2014-07-22,0,30,43,0,1,1,0,1,824,103,0,1,0,0,0,0,0,0
2014-07-23,0,27,43,0,1,1,0,1,848,103,0,1,0,0,0,0,0,0
2014-07-24,0,27,43,0,1,1,0,1,872,103,0,1,0,0,0,0,0,0
2014-07-25,0,27,43,0,1,1,0,1,896,103,0,1,0,0,0,0,0,0
2014-07-26,0,27,43,0,1,1,0,1,920,103,0,1,0,0,0,0,0,0
2014-07-27,0,27,43,0,1,1,0,1,944,103,0,1,0,0,0,0,0,0
2014-07-28,0,27,43,0,1,1,0,1,968,103,0,1,0,0,0,0,0,0
2014-07-29,0,27,43,0,1,1,0,1,992,103,0,1,0,0,0,0,0,0
2014-07-30,0,27,43,0,1,1,0,1,1016,103,0,1,0,0,0,0,0,0
2014-07-31,0,26,43,0,1,1,0,1,1040,103,0,1,0,0,0,0,0,0
2014-08-01,0,26,43,0,1,1,0,1,1064,103,0,1,0,0,0,0,0,0
2014-08-02,0,26,43,0,1,1,0,1,1088,103,0,1,0,0,0,0,0,0
2014-08-03,0,26,43,0,1,1,0,1,1112,103,0,1,0,0,0,0,0,0
2014-08-04,0,26,43,0,1,1,0,1,1136,103,0,1,0,0,0,0,0,0
2014-08-05,0,26,43,0,1,1,0,1,1160,103,0,1,0,0,0,0,0,0
2014-08-06,0,26,43,0,1,1,0,1,1184,103,0,1,0,0,0,0,0,0
2014-08-07,0,26,43,0,1,1,0,1,1208,103,0,1,0,0,0,0,0,0
2014-08-08,0,26,43,0,1,1,0,1,1232,103,0,1,0,0,0,0,0,0
2014-08-09,0,26,43,0,1,1,0,1,1256,103,0,1,0,0,0,0,0,0
2014-08-10,0,30,43,0,1,1,0,1,1280,103,0,1,0,0,0,0,0,0
2014-08-11,0,32,43,0,1,1,0,1,1304,103,0,1,0,0,0,0,0,0
2014-08-12,0,31,43,0,1,1,0,1,1328,103,0,1,0,0,0,0,0,0
2014-08-13,0,28,43,0,1,1,0,1,1352,103,0,1,0,0,0,0,0,0
2014-08-14,0,28,43,0,1,1,0,1,1376,103,0,1,0,0,0,0,0,0
2014-08-15,0,28,43,0,1,1,0,1,1400,103,0,1,0,0,0,0,0,0
2014-08-16,0,27,43,0,1,1,0,1,1424,103,0,1,0,0,0,0,0,0
2014-08-17,0,27,43,0,1,1,0,1,1448,103,0,1,0,0,0,0,0,0
2014-08-18,0,28,43,0,1,1,0,1,1472,103,0,1,0,0,0,0,0,0
2014-08-19,0,28,43,0,1,1,0,1,1496,103,0,1,0,0,0,0,0,0
2014-08-20,0,27,43,0,1,1,0,1,1520,103,0,1,0,0,0,0,0,0
2014-08-21,0,28,43,0,1,1,0,1,1544,103,0,1,0,0,0,0,0,0
2014-08-22,0,27,43,0,1,1,0,1,1568,103,0,1,0,0,0,0,0,0
2014-08-23,0,27,43,0,1,1,0,1,1592,103,0,1,0,0,0,0,0,0
2014-08-24,0,27,43,0,1,1,0,1,1616,103,0,1,0,0,0,0,0,0
2014-08-25,0,27,43,0,1,1,0,1,1640,103,0,1,0,0,0,0,0,0
2014-08-26,0,27,43,0,1,1,0,1,1664,103,0,1,0,0,0,0,0,0
2014-08-27,0,27,43,0,1,1,0,1,1688,103,0,1,0,0,0,0,0,0
2014-08-28,0,27,43,0,1,1,0,1,1712,103,0,1,0,0,0,0,0,0
2014-08-29,0,27,43,0,1,1,0,1,1736,103,0,1,0,0,0,0,0,0
2014-08-30,0,29,43,0,1,1,0,1,1760,103,0,1,0,0,0,0,0,0
2014-08-31,0,27,43,0,1,1,0,1,1784,103,0,1,0,0,0,0,0,0
2014-09-01,0,27,43,0,1,1,0,1,1808,103,0,1,0,0,0,0,0,0
2014-09-02,0,28,43,0,1,1,0,1,1832,103,0,1,0,0,0,0,0,0
2014-09-03,0,28,43,0,1,1,0,1,1856,103,0,1,0,0,0,0,0,0
2014-09-04,0,27,43,0,1,1,0,1,1880,103,0,1,0,0,0,0,0,0
2014-09-05,0,27,43,0,1,1,0,1,1904,103,0,1,0,0,0,0,0,0
2014-09-06,0,27,43,0,1,1,0,1,1928,103,0,1,0,0,0,0,0,0
2014-09-07,0,27,43,0,1,1,0,1,1952,103,0,1,0,0,0,0,0,0
2014-09-08,0,27,43,0,1,1,0,1,1976,103,0,1,0,0,0,0,0,0
2014-09-09,0,27,43,0,1,1,0,1,2000,103,0,1,0,0,0,0,0,0
2014-09-10,0,27,43,0,1,1,0,1,2024,103,0,1,0,0,0,0,0,0
2014-09-11,0,28,43,0,1,1,0,1,2048,103,0,1,0,0,0,0,0,0
2014-09-12,0,28,43,0,1,1,0,1,2072,103,0,1,0,0,0,0,0,0
2014-09-13,0,30,43,0,1,1,0,1,2096,103,0,1,0,0,0,0,0,0
2014-09-14,0,30,43,0,1,1,0,1,2120,103,0,1,0,0,0,0,0,0
2014-09-15,0,29,43,0,1,1,0,1,2144,103,0,1,0,0,0,0,0,0
2014-09-16,0,30,43,0,1,1,0,1,2168,103,0,1,0,0,0,0,0,0
2014-09-17,0,30,43,0,1,1,0,1,2192,103,0,1,0,0,0,0,0,0
2014-09-18,0,29,43,0,1,1,0,1,2216,103,0,1,0,0,0,0,0,0
2014-09-19,0,29,43,0,1,1,0,1,2240,103,0,1,0,0,0,0,0,0
2014-09-20,0,29,43,0,1,1,0,1,2264,103,0,1,0,0,0,0,0,0
2014-09-21,0,30,43,0,1,1,0,1,2288,103,0,1,0,0,0,0,0,0
2014-09-22,0,30,43,0,1,1,0,1,2312,103,0,1,0,0,0,0,0,0
2014-09-23,0,30,43,0,1,1,0,1,2336,103,0,1,0,0,0,0,0,0
2014-09-24,0,26,43,0,1,1,0,1,2360,103,0,1,0,0,0,0,0,0
2014-09-25,0,27,43,0,1,1,0,1,2384,103,0,1,0,0,0,0,0,0
