date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-06-19,0,30,42,0,1,1,0,2,32,102,0,2,0,0,0,0,0,0,False,False,False
2014-06-20,0,30,42,0,1,1,0,3,56,102,0,3,0,0,0,0,0,0,False,False,False
2014-06-21,0,30,42,0,1,1,0,4,80,102,0,4,0,0,0,0,0,0,False,False,False
2014-06-22,0,30,42,0,1,1,0,5,104,102,0,5,0,0,0,0,0,0,False,False,False
2014-06-23,0,30,42,0,1,1,0,6,128,102,0,6,0,0,0,0,0,0,False,False,False
2014-06-24,0,29,42,0,1,1,0,7,152,102,0,7,0,0,0,0,0,0,False,False,False
2014-06-25,0,29,42,0,1,1,0,8,176,102,0,8,0,0,0,0,0,0,False,False,False
2014-06-26,0,30,42,0,1,1,0,8,200,102,0,8,0,0,0,0,0,0,False,False,False
2014-06-27,0,30,42,0,1,1,0,8,224,102,0,8,0,0,0,0,0,0,False,False,False
2014-06-28,0,30,42,0,1,1,0,8,248,102,0,8,0,0,0,0,0,0,False,False,False
2014-06-29,0,30,42,0,1,1,0,8,272,102,0,8,0,0,0,0,0,0,False,False,False
2014-06-30,0,30,42,0,1,1,0,8,296,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-01,0,30,42,0,1,1,0,8,320,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-02,0,30,42,0,1,1,0,8,344,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-03,0,30,42,0,1,1,0,8,368,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-04,0,30,42,0,1,1,0,8,392,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-05,0,29,42,0,1,1,0,8,416,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-06,0,30,42,0,1,1,0,8,440,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-07,0,29,42,0,1,1,0,8,464,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-08,0,29,42,0,1,1,0,8,488,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-09,0,30,42,0,1,1,0,8,512,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-10,0,30,42,0,1,1,0,8,536,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-11,0,30,42,0,1,1,0,8,560,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-12,0,30,42,0,1,1,0,8,584,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-13,0,30,42,0,1,1,0,8,608,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-14,0,31,42,0,1,1,0,8,632,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-15,0,30,42,0,1,1,0,8,656,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-16,0,30,42,0,1,1,0,8,680,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-17,0,30,42,0,1,1,0,8,704,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-18,0,31,42,0,1,1,0,8,728,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-19,0,31,42,0,1,1,0,8,752,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-20,0,30,42,0,1,1,0,8,776,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-21,0,30,42,0,1,1,0,8,800,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-22,0,30,42,0,1,1,0,8,824,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-23,0,27,42,0,1,1,0,8,848,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-24,0,27,42,0,1,1,0,8,872,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-25,0,27,42,0,1,1,0,8,896,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-26,0,27,42,0,1,1,0,8,920,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-27,0,27,42,0,1,1,0,8,944,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-28,0,27,42,0,1,1,0,8,968,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-29,0,27,42,0,1,1,0,8,992,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-30,0,26,42,0,1,1,0,8,1016,102,0,8,0,0,0,0,0,0,False,False,False
2014-07-31,0,26,42,0,1,1,0,8,1040,102,0,8,0,0,0,0,0,0,False,False,False
2014-08-01,0,26,41,0,1,1,0,9,1064,103,0,9,0,0,0,0,0,0,False,False,False
2014-08-02,0,26,41,0,1,1,0,9,1088,103,0,9,0,0,0,0,0,0,False,False,False
2014-08-03,0,26,41,0,1,1,0,10,1112,103,0,10,0,0,0,0,0,0,False,False,False
2014-08-04,0,26,41,0,1,1,0,11,1136,103,0,11,0,0,0,0,0,0,False,False,False
2014-08-05,0,26,41,0,1,1,0,11,1160,103,0,11,0,0,0,0,0,0,False,False,False
2014-08-06,0,26,41,0,1,1,0,11,1184,103,0,11,0,0,0,0,0,0,False,False,False
2014-08-07,0,26,41,0,1,1,0,11,1208,103,0,11,0,0,0,0,0,0,False,False,False
2014-08-08,0,26,41,0,1,1,0,11,1232,103,0,11,0,0,0,0,0,0,False,False,False
2014-08-09,0,26,41,0,1,1,0,12,1256,103,0,12,0,0,0,0,0,0,False,False,False
2014-08-10,0,30,41,0,1,1,0,12,1280,103,0,12,0,0,0,0,0,0,False,False,False
2014-08-11,0,32,41,0,1,1,0,13,1304,103,0,13,0,0,0,0,0,0,False,False,False
2014-08-12,0,32,41,0,1,1,0,13,1328,103,0,13,0,0,0,0,0,0,False,False,False
2014-08-13,0,29,41,0,1,1,0,14,1352,102,0,14,0,0,0,0,0,0,False,False,False
2014-08-14,0,28,41,0,1,1,0,14,1376,102,0,14,0,0,0,0,0,0,False,False,False
2014-08-15,0,28,42,0,1,1,0,15,1400,102,0,15,0,0,0,0,0,0,False,False,False
2014-08-16,0,28,42,0,1,1,0,15,1424,102,0,15,0,0,0,0,0,0,False,False,False
2014-08-17,0,28,42,0,1,1,0,15,1448,102,0,15,0,0,0,0,0,0,False,False,False
2014-08-18,0,28,42,0,1,1,0,15,1472,102,0,15,0,0,0,0,0,0,False,False,False
2014-08-19,0,28,42,0,1,1,0,15,1496,102,0,15,0,0,0,0,0,0,False,False,False
2014-08-20,0,27,42,0,1,1,0,15,1520,102,0,15,0,0,0,0,0,0,False,False,False
2014-08-21,0,28,42,0,1,1,0,15,1544,104,0,15,0,0,0,0,0,0,False,False,False
2014-08-22,0,27,42,0,1,1,0,15,1568,104,0,15,0,0,0,0,0,0,False,False,False
2014-08-23,0,27,42,0,1,1,0,15,1592,104,0,15,0,0,0,0,0,0,False,False,False
2014-08-24,0,27,42,0,1,1,0,15,1616,104,0,15,0,0,0,0,0,0,False,False,False
2014-08-25,0,27,42,0,1,1,0,15,1640,104,0,15,0,0,0,0,0,0,False,False,False
2014-08-26,0,27,42,0,1,1,0,15,1664,104,0,15,0,0,0,0,0,0,False,False,False
2014-08-27,0,28,42,0,1,1,0,16,1688,103,0,16,0,0,0,0,0,0,False,False,False
2014-08-28,0,27,42,0,1,1,0,16,1712,103,0,16,0,0,0,0,0,0,False,False,False
2014-08-29,0,28,42,0,1,1,0,16,1736,103,0,16,0,0,0,0,0,0,False,False,False
2014-08-30,0,28,42,0,1,1,0,16,1760,103,0,16,0,0,0,0,0,0,False,False,False
2014-08-31,0,28,42,0,1,1,0,16,1784,103,0,16,0,0,0,0,0,0,False,False,False
2014-09-01,0,28,42,0,1,1,0,16,1808,103,0,16,0,0,0,0,0,0,False,False,False
2014-09-02,0,28,42,0,1,1,0,16,1832,103,0,16,0,0,0,0,0,0,False,False,False
2014-09-03,0,28,42,0,1,1,0,16,1856,103,0,16,0,0,0,0,0,0,False,False,False
2014-09-04,0,27,42,0,1,1,0,16,1880,103,0,16,0,0,0,0,0,0,False,False,False
