date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-08-30,0,34,42,0,3,3,0,3,30,102,0,3,0,0,0,0,0,0,False,False,False
2014-08-31,0,31,42,0,3,3,0,4,54,102,0,4,0,0,0,0,0,0,False,False,False
2014-09-01,0,31,42,0,3,3,0,4,79,102,0,4,0,0,0,0,0,0,False,False,False
2014-09-02,0,31,42,0,3,3,0,5,102,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-03,0,31,42,0,3,3,0,6,126,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-04,0,31,42,0,3,3,0,6,150,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-05,0,32,42,0,3,3,0,6,174,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-06,0,32,42,0,3,3,0,6,199,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-07,0,32,42,0,3,3,0,6,222,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-08,0,32,42,0,3,3,0,6,246,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-09,0,31,42,0,3,3,0,6,271,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-10,0,32,42,0,3,3,0,6,295,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-11,0,35,42,0,3,3,0,6,318,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-12,0,35,42,0,3,3,0,6,343,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-13,0,37,42,0,3,3,0,6,367,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-14,0,37,42,0,3,3,0,6,390,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-15,0,37,42,0,3,3,0,6,414,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-16,0,37,42,0,3,3,0,6,439,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-17,0,36,42,0,3,3,0,6,462,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-18,0,37,42,0,3,3,0,6,486,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-19,0,37,42,0,3,3,0,6,511,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-20,0,37,42,0,3,3,0,6,535,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-21,0,37,42,0,3,3,0,6,558,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-22,0,36,42,0,3,3,0,6,583,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-23,0,37,42,0,3,3,0,6,607,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-24,0,33,42,0,3,3,0,6,630,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-25,0,31,42,0,3,3,0,6,654,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-26,0,31,42,0,3,3,0,6,679,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-27,0,31,42,0,3,3,0,6,702,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-28,0,31,42,0,3,3,0,6,726,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-29,0,31,42,0,3,3,0,6,751,102,0,6,0,0,0,0,0,0,False,False,False
2014-09-30,0,31,42,0,3,3,0,6,774,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-01,0,32,42,0,3,3,0,6,798,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-02,0,30,42,0,3,3,0,6,823,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-03,0,31,42,0,3,3,0,6,847,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-04,0,30,42,0,3,3,0,6,870,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-05,0,31,42,0,3,3,0,6,894,102,0,6,0,0,0,0,0,0,False,False,False
