date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-08-30,0,34,41,0,3,3,0,4,55,100,0,4,0,0,0,0,0,0,False,False,False
2014-08-31,0,30,41,0,3,3,0,5,79,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-01,0,30,41,0,3,3,0,5,102,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-02,0,30,41,0,3,3,0,5,127,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-03,0,30,41,0,3,3,0,5,151,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-04,0,30,41,0,3,3,0,5,175,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-05,0,30,41,0,3,3,0,5,198,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-06,0,30,41,0,3,3,0,5,223,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-07,0,30,41,0,3,3,0,5,247,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-08,0,30,41,0,3,3,0,5,270,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-09,0,28,41,0,3,3,0,5,295,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-10,0,30,41,0,3,3,0,5,319,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-11,0,36,41,0,3,3,0,5,342,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-12,0,36,41,0,3,3,0,5,367,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-13,0,36,41,0,3,3,0,5,391,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-14,0,36,41,0,3,3,0,5,414,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-15,0,36,41,0,3,3,0,5,438,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-16,0,36,41,0,3,3,0,5,463,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-17,0,37,41,0,3,3,0,5,487,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-18,0,37,41,0,3,3,0,5,510,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-19,0,36,41,0,3,3,0,5,535,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-20,0,37,41,0,3,3,0,5,559,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-21,0,36,41,0,3,3,0,5,582,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-22,0,36,41,0,3,3,0,5,607,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-23,0,36,41,0,3,3,0,5,631,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-24,0,32,41,0,3,3,0,5,654,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-25,0,29,41,0,3,3,0,5,679,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-26,0,29,41,0,3,3,0,5,703,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-27,0,29,41,0,3,3,0,5,727,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-28,0,29,41,0,3,3,0,5,751,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-29,0,29,41,0,3,3,0,5,775,100,0,5,0,0,0,0,0,0,False,False,False
2014-09-30,0,28,41,0,3,3,0,5,799,100,0,5,0,0,0,0,0,0,False,False,False
2014-10-01,0,30,41,0,3,3,0,5,822,100,0,5,0,0,0,0,0,0,False,False,False
2014-10-02,0,29,41,0,3,3,0,5,847,100,0,5,0,0,0,0,0,0,False,False,False
2014-10-03,0,29,41,0,3,3,0,5,871,100,0,5,0,0,0,0,0,0,False,False,False
2014-10-04,0,30,41,0,3,3,0,5,894,100,0,5,0,0,0,0,0,0,False,False,False
2014-10-05,0,30,41,0,3,3,0,5,919,100,0,5,0,0,0,0,0,0,False,False,False
2014-10-06,0,30,41,0,3,3,0,5,943,100,0,5,0,0,0,0,0,0,False,False,False
2014-10-07,0,30,41,0,3,3,0,5,967,100,0,5,0,0,0,0,0,0,False,False,False
2014-10-08,0,30,41,0,3,3,0,5,990,100,0,5,0,0,0,0,0,0,False,False,False
2014-10-09,0,29,41,0,3,3,0,5,1015,100,0,5,0,0,0,0,0,0,False,False,False
2014-10-10,0,30,41,0,3,3,0,5,1039,100,0,5,0,0,0,0,0,0,False,False,False
2014-10-11,0,30,41,0,3,3,0,5,1063,100,0,5,0,0,0,0,0,0,False,False,False
