date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-08-30,0,26,42,0,3,3,0,5,78,104,0,5,0,0,0,0,0,0
2014-08-31,0,26,42,0,3,3,0,6,103,104,0,6,0,0,0,0,0,0
2014-09-01,0,26,42,0,3,3,0,7,127,104,0,7,0,0,0,0,0,0
2014-09-02,0,26,42,0,3,3,0,8,151,104,0,8,0,0,0,0,0,0
2014-09-03,0,26,42,0,3,3,0,9,175,104,0,9,0,0,0,0,0,0
2014-09-04,0,26,42,0,3,3,0,10,199,104,0,10,0,0,0,0,0,0
2014-09-05,0,26,42,0,3,3,0,11,223,104,0,11,0,0,0,0,0,0
2014-09-06,0,26,42,0,3,3,0,11,247,104,0,11,0,0,0,0,0,0
2014-09-07,0,26,42,0,3,3,0,13,271,104,0,13,0,0,0,0,0,0
2014-09-08,0,26,42,0,3,3,0,13,295,104,0,13,0,0,0,0,0,0
2014-09-09,0,25,42,0,3,3,0,13,319,104,0,13,0,0,0,0,0,0
2014-09-10,0,26,42,0,3,3,0,13,343,104,0,13,0,0,0,0,0,0
2014-09-11,0,29,42,0,3,3,0,13,367,104,0,13,0,0,0,0,0,0
2014-09-12,0,29,44,0,4,4,0,14,389,104,0,14,0,0,0,0,0,0
2014-09-13,0,30,42,0,4,4,0,15,412,104,0,15,0,0,0,0,0,0
2014-09-14,0,30,42,0,4,4,0,16,436,104,0,16,0,0,0,0,0,0
2014-09-15,0,30,42,0,4,4,0,17,461,104,0,17,0,0,0,0,0,0
2014-09-16,0,30,42,0,4,4,0,18,484,104,0,18,0,0,0,0,0,0
2014-09-17,0,30,41,0,4,4,0,19,508,104,0,19,0,0,0,0,0,0
2014-09-18,0,30,42,0,4,4,0,20,533,104,0,20,0,0,0,0,0,0
2014-09-19,0,30,41,0,4,4,0,21,557,104,0,21,0,0,0,0,0,0
2014-09-20,0,30,41,0,4,4,0,22,580,104,0,22,0,0,0,0,0,0
2014-09-21,0,30,41,0,4,4,0,22,604,104,0,22,0,0,0,0,0,0
2014-09-22,0,30,41,0,4,4,0,22,629,104,0,22,0,0,0,0,0,0
2014-09-23,0,30,41,0,4,4,0,22,647,104,0,22,0,0,0,0,0,0
2014-09-30,0,30,42,0,5,5,0,27,779,104,0,27,450,0,0,0,0,0
2014-10-01,0,29,42,0,5,5,0,28,803,104,0,28,450,0,0,0,0,0
2014-10-02,0,29,42,0,5,5,0,29,828,104,0,29,450,0,0,0,0,0
2014-10-03,0,28,42,0,5,5,0,29,851,104,0,29,450,0,0,0,0,0
2014-10-04,0,29,43,0,5,5,0,30,876,104,0,30,450,0,0,0,0,0
2014-10-05,0,29,43,0,5,5,0,31,899,104,0,31,450,0,0,0,0,0
2014-10-06,0,29,43,0,5,5,0,31,923,104,0,31,450,0,0,0,0,0
2014-10-07,0,29,43,0,5,5,0,31,948,104,0,31,450,0,0,0,0,0
2014-10-08,0,29,43,0,5,5,0,31,971,104,0,31,450,0,0,0,0,0
2014-10-09,0,29,43,0,5,5,0,31,995,104,0,31,450,0,0,0,0,0
2014-10-10,0,30,43,0,5,5,0,31,1020,104,0,31,450,0,0,0,0,0
2014-10-11,0,30,43,0,5,5,0,31,1043,104,0,31,450,0,0,0,0,0
2014-10-12,0,29,43,0,5,5,0,31,1067,104,0,31,450,0,0,0,0,0
2014-10-13,0,30,43,0,5,5,0,31,1091,104,0,31,450,0,0,0,0,0
2014-10-14,0,30,42,0,5,5,0,32,1116,104,0,32,450,0,0,0,0,0
2014-10-15,0,30,42,0,5,5,0,33,1139,104,0,33,450,0,0,0,0,0
2014-10-16,0,30,42,0,5,5,0,34,1164,104,0,34,450,0,0,0,0,0
2014-10-17,0,30,42,0,5,5,0,34,1188,104,0,34,450,0,0,0,0,0
2014-10-18,0,30,42,0,5,5,0,35,1211,104,0,35,450,0,0,0,0,0
2014-10-19,0,30,42,0,5,5,0,36,1235,104,0,36,450,0,0,0,0,0
2014-10-20,0,30,42,0,5,5,0,37,1260,104,0,37,450,0,0,0,0,0
2014-10-21,0,30,42,0,5,5,0,38,1283,104,0,38,450,0,0,0,0,0
2014-10-22,0,30,42,0,5,5,0,39,1307,104,0,39,450,0,0,0,0,0
2014-10-23,0,30,42,0,5,5,0,40,1332,104,0,40,450,0,0,0,0,0
2014-10-24,0,30,42,0,5,5,0,41,1356,104,0,41,450,0,0,0,0,0
2014-10-25,0,30,42,0,5,5,0,41,1379,104,0,41,450,0,0,0,0,0
2014-10-26,0,30,42,0,5,5,0,41,1404,104,0,41,450,0,0,0,0,0
2014-10-27,0,30,42,0,5,5,0,41,1428,104,0,41,450,0,0,0,0,0
2014-10-28,0,30,42,0,5,5,0,41,1451,104,0,41,450,0,0,0,0,0
2014-10-29,0,30,42,0,5,5,0,42,1475,104,0,42,450,0,0,0,0,0
2014-10-30,0,30,42,0,5,5,0,43,1500,104,0,43,450,0,0,0,0,0
2014-10-31,0,30,42,0,5,5,0,43,1523,104,0,43,450,0,0,0,0,0
2014-11-01,0,30,42,0,5,5,0,44,1547,104,0,44,450,0,0,0,0,0
2014-11-03,0,30,42,0,5,5,0,46,1596,104,0,46,450,0,0,0,0,0
2014-11-04,0,30,42,0,5,5,0,47,1620,104,0,47,450,0,0,0,0,0
2014-11-05,0,29,42,0,5,5,0,47,1645,104,0,47,450,0,0,0,0,0
2014-11-06,0,30,42,0,5,5,0,47,1668,104,0,47,450,0,0,0,0,0
2014-11-07,0,30,42,0,5,5,0,47,1692,104,0,47,450,0,0,0,0,0
2014-11-08,0,30,42,0,5,5,0,47,1717,104,0,47,450,0,0,0,0,0
2014-11-09,0,29,42,0,5,5,0,47,1740,104,0,47,450,0,0,0,0,0
2014-11-10,0,30,42,0,5,5,0,47,1765,104,0,47,450,0,0,0,0,0
2014-11-11,0,30,42,0,5,5,0,47,1789,104,0,47,450,0,0,0,0,0
2014-11-12,0,30,42,0,5,5,0,47,1812,104,0,47,450,0,0,0,0,0
2014-11-13,0,30,42,0,5,5,0,47,1836,104,0,47,450,0,0,0,0,0
2014-11-14,0,30,42,0,5,5,0,47,1861,104,0,47,450,0,0,0,0,0
2014-11-15,0,30,42,0,5,5,0,47,1885,104,0,47,450,0,0,0,0,0
2014-11-16,0,30,42,0,5,5,0,47,1908,104,0,47,450,0,0,0,0,0
2014-11-17,0,30,42,0,5,5,0,47,1933,104,0,47,450,0,0,0,0,0
2014-11-18,0,30,42,0,5,5,0,47,1957,104,0,47,450,0,0,0,0,0
2014-11-19,0,30,42,0,5,5,0,47,1980,104,0,47,450,0,0,0,0,0
2014-11-20,0,30,42,0,5,5,0,47,2004,104,0,47,450,0,0,0,0,0
2014-11-21,0,30,42,0,5,5,0,47,2029,104,0,47,450,0,0,0,0,0
2014-11-22,0,30,42,0,5,5,0,47,2052,104,0,47,450,0,0,0,0,0
2014-11-23,0,30,42,0,5,5,0,47,2076,104,0,47,450,0,0,0,0,0
2014-11-24,0,30,42,0,5,5,0,47,2101,104,0,47,450,0,0,0,0,0
