date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-09-03,0,31,42,0,3,3,0,4,104,103,0,4,0,0,0,0,0,0,False,False,False
2014-09-04,0,31,42,0,4,4,0,6,127,103,0,6,0,0,0,0,0,0,False,False,False
2014-09-05,0,30,42,0,4,4,0,6,151,103,0,6,0,0,0,0,0,0,False,False,False
2014-09-06,0,30,42,0,4,4,0,7,176,103,0,7,0,0,0,0,0,0,False,False,False
2014-09-07,0,31,42,0,4,4,0,8,200,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-08,0,31,42,0,4,4,0,8,223,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-09,0,30,42,0,4,4,0,8,247,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-10,0,31,42,0,4,4,0,8,272,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-11,0,35,42,0,4,4,0,8,296,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-12,0,35,42,0,4,4,0,8,319,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-13,0,36,42,0,4,4,0,8,343,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-14,0,36,42,0,4,4,0,8,368,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-15,0,36,42,0,4,4,0,8,391,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-16,0,36,42,0,4,4,0,8,415,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-17,0,36,42,0,4,4,0,8,440,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-18,0,36,42,0,4,4,0,8,463,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-19,0,36,42,0,4,4,0,8,487,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-20,0,36,42,0,4,4,0,8,512,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-21,0,36,42,0,4,4,0,8,536,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-22,0,36,42,0,4,4,0,8,559,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-23,0,36,42,0,4,4,0,8,584,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-24,0,34,42,0,4,4,0,8,608,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-25,0,30,42,0,4,4,0,8,631,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-26,0,29,42,0,4,4,0,8,656,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-27,0,30,42,0,4,4,0,8,680,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-28,0,31,42,0,4,4,0,8,703,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-29,0,30,42,0,4,4,0,8,727,103,0,8,0,0,0,0,0,0,False,False,False
2014-09-30,0,30,42,0,4,4,0,8,752,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-01,0,31,42,0,4,4,0,8,775,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-02,0,32,42,0,4,4,0,8,799,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-03,0,32,42,0,4,4,0,8,824,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-04,0,32,42,0,4,4,0,8,848,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-05,0,32,42,0,4,4,0,8,871,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-06,0,32,42,0,4,4,0,8,895,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-07,0,32,42,0,4,4,0,8,920,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-08,0,32,42,0,4,4,0,8,943,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-09,0,32,42,0,4,4,0,8,967,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-10,0,32,42,0,4,4,0,8,992,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-11,0,32,42,0,4,4,0,8,1015,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-12,0,32,42,0,4,4,0,8,1039,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-13,0,32,42,0,4,4,0,8,1064,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-14,0,32,42,0,4,4,0,8,1088,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-15,0,32,42,0,4,4,0,8,1111,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-16,0,33,42,0,4,4,0,8,1136,103,0,8,0,0,0,0,0,0,False,False,False
