date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-09-09,0,24,42,0,3,3,0,4,81,102,0,4,0,0,0,0,0,0
2014-09-10,0,26,42,0,3,3,0,5,105,102,0,5,0,0,0,0,0,0
2014-09-11,0,29,42,0,3,3,0,6,129,102,0,6,0,0,0,0,0,0
2014-09-12,0,29,42,0,3,3,0,7,153,102,0,7,0,0,0,0,0,0
2014-09-13,0,32,42,0,3,3,0,8,178,102,0,8,0,0,0,0,0,0
2014-09-14,0,32,42,0,3,3,0,9,201,102,0,9,0,0,0,0,0,0
2014-09-15,0,32,42,0,3,3,0,10,225,102,0,10,0,0,0,0,0,0
2014-09-16,0,33,42,0,3,3,0,11,250,102,0,11,0,0,0,0,0,0
2014-09-17,0,33,42,0,3,3,0,11,273,102,0,11,0,0,0,0,0,0
2014-09-18,0,33,42,0,3,3,0,11,297,102,0,11,0,0,0,0,0,0
2014-09-19,0,33,42,0,3,3,0,11,322,102,0,11,0,0,0,0,0,0
2014-09-20,0,33,42,0,3,3,0,11,345,102,0,11,0,0,0,0,0,0
2014-09-21,0,33,42,0,3,3,0,11,369,102,0,11,0,0,0,0,0,0
2014-09-22,0,32,42,0,3,3,0,11,394,102,0,11,0,0,0,0,0,0
2014-09-23,0,32,42,0,3,3,0,11,418,102,0,11,0,0,0,0,0,0
2014-09-24,0,28,42,0,3,3,0,11,441,102,0,11,0,0,0,0,0,0
2014-09-25,0,24,42,0,3,3,0,11,466,102,0,11,0,0,0,0,0,0
2014-09-26,0,24,42,0,3,3,0,11,490,102,0,11,0,0,0,0,0,0
2014-09-27,0,25,42,0,3,3,0,11,513,102,0,11,0,0,0,0,0,0
