date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-10-02,0,24,42,0,3,3,0,9,152,97,0,9,0,0,0,0,0,0
2014-10-03,0,24,42,0,3,3,0,9,176,97,0,9,0,0,0,0,0,0
2014-10-04,0,24,42,0,3,3,0,10,201,97,0,10,0,0,0,0,0,0
2014-10-05,0,24,42,0,3,3,0,11,224,97,0,11,0,0,0,0,0,0
2014-10-06,0,24,42,0,3,3,0,12,248,97,0,12,0,0,0,0,0,0
2014-10-07,0,24,42,0,3,3,0,13,272,97,0,13,0,0,0,0,0,0
2014-10-08,0,24,42,0,3,3,0,14,296,97,0,14,0,0,0,0,0,0
2014-10-09,0,24,42,0,3,3,0,14,321,97,0,14,0,0,0,0,0,0
2014-10-10,0,24,42,0,3,3,0,14,344,97,0,14,0,0,0,0,0,0
2014-10-23,0,23,42,0,3,3,0,23,657,98,0,23,0,0,0,0,0,0
2014-10-24,0,23,42,0,3,3,0,23,680,98,0,23,0,0,0,0,0,0
2014-10-25,0,23,42,0,3,3,0,23,704,98,0,23,0,0,0,0,0,0
2014-10-26,0,22,42,0,3,3,0,24,729,98,0,24,0,0,0,0,0,0
2014-10-27,0,23,42,0,3,3,0,24,752,98,0,24,0,0,0,0,0,0
2014-10-28,0,23,42,0,3,3,0,24,776,100,0,24,0,0,0,0,0,0
2014-10-29,0,23,42,0,3,3,0,25,801,100,0,25,0,0,0,0,0,0
2014-10-30,0,23,42,0,3,3,0,26,825,99,0,26,0,0,0,0,0,0
2014-10-31,0,23,42,0,3,3,0,27,848,99,0,27,0,0,0,0,0,0
2014-11-01,0,23,42,0,3,3,0,27,873,99,0,27,0,0,0,0,0,0
2014-11-03,0,23,43,0,3,3,0,28,921,99,0,28,0,0,0,0,0,0
2014-11-04,0,23,43,0,3,3,0,29,946,99,0,29,0,0,0,0,0,0
2014-11-05,0,29,43,0,3,3,0,29,969,99,0,29,0,0,0,0,0,0
2014-11-06,0,23,43,0,3,3,0,29,993,100,0,29,0,0,0,0,0,0
2014-11-07,0,23,41,0,3,3,0,30,1018,100,0,30,0,0,0,0,0,0
2014-11-08,0,23,41,0,3,3,0,30,1041,100,0,30,0,0,0,0,0,0
2014-11-09,0,23,41,0,3,3,0,30,1065,100,0,30,0,0,0,0,0,0
2014-11-10,0,23,43,0,3,3,0,31,1089,100,0,31,0,0,0,0,0,0
2014-11-11,0,23,43,0,3,3,0,31,1114,100,0,31,0,0,0,0,0,0
2014-11-12,0,23,43,0,3,3,0,31,1137,99,0,31,0,0,0,0,0,0
2014-11-13,0,23,43,0,3,3,0,31,1162,99,0,31,0,0,0,0,0,0
2014-11-14,0,23,43,0,3,3,0,32,1186,98,0,32,0,0,0,0,0,0
2014-11-15,0,23,42,0,3,3,0,32,1209,98,0,32,0,0,0,0,0,0
2014-11-16,0,23,42,0,3,3,0,33,1233,98,0,33,0,0,0,0,0,0
2014-11-17,0,23,42,0,3,3,0,33,1258,98,0,33,0,0,0,0,0,0
2014-11-18,0,23,42,0,3,3,0,33,1281,100,0,33,0,0,0,0,0,0
2014-11-19,0,23,42,0,3,3,0,34,1305,100,0,34,0,0,0,0,0,0
2014-11-20,0,23,42,0,3,3,0,34,1330,100,0,34,0,0,0,0,0,0
2014-11-21,0,23,42,0,3,3,0,35,1354,99,0,35,0,0,0,0,0,0
2014-11-22,0,23,42,0,3,3,0,36,1377,99,0,36,0,0,0,0,0,0
2014-11-23,0,23,42,0,3,3,0,36,1401,98,0,36,0,0,0,0,0,0
2014-11-24,0,23,43,0,3,3,0,36,1426,98,0,36,0,0,0,0,0,0
2014-11-25,0,23,43,0,3,3,0,37,1449,98,0,37,0,0,0,0,0,0
2014-11-26,0,23,42,0,3,3,0,37,1473,98,0,37,0,0,0,0,0,0
2014-11-27,0,23,42,0,3,3,0,38,1498,98,0,38,0,0,0,0,0,0
2014-11-28,0,23,41,0,3,3,0,39,1521,99,0,39,0,0,0,0,0,0
