date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-09-23,0,28,41,0,3,3,0,6,106,106,0,6,0,0,0,0,0,0
2014-09-24,0,26,41,0,3,3,0,7,129,106,0,7,0,0,0,0,0,0
2014-09-25,0,25,41,0,3,3,0,7,154,106,0,7,0,0,0,0,0,0
2014-09-26,0,24,41,0,3,3,0,7,178,106,0,7,0,0,0,0,0,0
2014-09-27,0,26,41,0,3,3,0,7,201,106,0,7,0,0,0,0,0,0
2014-09-28,0,25,41,0,3,3,0,7,226,106,0,7,0,0,0,0,0,0
2014-09-29,0,25,41,0,3,3,0,7,250,106,0,7,0,0,0,0,0,0
2014-09-30,0,25,41,0,3,3,0,7,274,106,0,7,0,0,0,0,0,0
2014-10-01,0,27,41,0,3,3,0,7,298,106,0,7,0,0,0,0,0,0
2014-10-02,0,26,41,0,3,3,0,7,322,106,0,7,0,0,0,0,0,0
2014-10-07,0,27,42,0,3,3,0,8,442,106,0,8,0,0,0,0,0,0
2014-10-08,0,26,42,0,3,3,0,9,466,108,0,9,0,0,0,0,0,0
2014-10-09,0,27,42,0,3,3,0,9,490,108,0,9,0,0,0,0,0,0
2014-10-10,0,27,42,0,3,3,0,10,514,108,0,10,0,0,0,0,0,0
2014-10-11,0,27,42,0,3,3,0,10,538,108,0,10,0,0,0,0,0,0
2014-10-12,0,27,42,0,3,3,0,11,561,108,0,11,0,0,0,0,0,0
2014-10-13,0,26,42,0,3,3,0,11,586,108,0,11,0,0,0,0,0,0
2014-10-14,0,26,42,0,3,3,0,12,610,108,0,12,0,0,0,0,0,0
2014-10-15,0,26,42,0,3,3,0,12,633,108,0,12,0,0,0,0,0,0
2014-10-16,0,26,42,0,3,3,0,12,658,108,0,12,0,0,0,0,0,0
2014-10-17,0,26,42,0,3,3,0,13,682,106,0,13,0,0,0,0,0,0
2014-10-18,0,25,42,0,3,3,0,14,706,106,0,14,0,0,0,0,0,0
2014-10-19,0,25,42,0,3,3,0,15,729,106,0,15,0,0,0,0,0,0
2014-10-20,0,25,42,0,3,3,0,15,754,106,0,15,0,0,0,0,0,0
2014-10-21,0,25,42,0,3,3,0,16,778,106,0,16,0,0,0,0,0,0
2014-10-22,0,25,42,0,3,3,0,16,801,106,0,16,0,0,0,0,0,0
2014-10-23,0,25,42,0,3,3,0,17,826,106,0,17,0,0,0,0,0,0
2014-10-24,0,26,42,0,3,3,0,18,850,106,0,18,0,0,0,0,0,0
2014-10-25,0,26,42,0,3,3,0,18,874,106,0,18,0,0,0,0,0,0
2014-10-26,0,26,42,0,3,3,0,18,898,106,0,18,0,0,0,0,0,0
2014-10-27,0,26,42,0,3,3,0,18,922,106,0,18,0,0,0,0,0,0
2014-10-28,0,26,42,0,3,3,0,18,946,106,0,18,0,0,0,0,0,0
2014-10-29,0,26,42,0,3,3,0,18,969,106,0,18,0,0,0,0,0,0
2014-10-30,0,26,42,0,3,3,0,18,994,106,0,18,0,0,0,0,0,0
2014-10-31,0,26,42,0,3,3,0,18,1018,106,0,18,0,0,0,0,0,0
2014-11-01,0,26,42,0,3,3,0,18,1041,106,0,18,0,0,0,0,0,0
2014-11-03,0,26,42,0,3,3,0,18,1091,106,0,18,0,0,0,0,0,0
2014-11-04,0,26,42,0,3,3,0,18,1115,106,0,18,0,0,0,0,0,0
2014-11-05,0,26,42,0,3,3,0,19,1139,106,0,19,0,0,0,0,0,0
2014-11-06,0,25,42,0,3,3,0,19,1163,106,0,19,0,0,0,0,0,0
2014-11-07,0,26,42,0,3,3,0,20,1187,106,0,20,0,0,0,0,0,0
2014-11-08,0,26,42,0,3,3,0,21,1211,106,0,21,0,0,0,0,0,0
2014-11-09,0,26,42,0,3,3,0,21,1235,106,0,21,0,0,0,0,0,0
2014-11-10,0,26,42,0,3,3,0,21,1258,106,0,21,0,0,0,0,0,0
2014-11-11,0,26,42,0,3,3,0,21,1283,106,0,21,0,0,0,0,0,0
2014-11-12,0,26,42,0,3,3,0,21,1307,106,0,21,0,0,0,0,0,0
2014-11-13,0,26,42,0,3,3,0,21,1331,106,0,21,0,0,0,0,0,0
2014-11-14,0,26,42,0,3,3,0,21,1355,106,0,21,0,0,0,0,0,0
2014-11-15,0,26,42,0,3,3,0,21,1379,106,0,21,0,0,0,0,0,0
2014-11-16,0,26,42,0,3,3,0,21,1403,107,0,21,0,0,0,0,0,0
2014-11-17,0,26,42,0,3,3,0,21,1426,107,0,21,0,0,0,0,0,0
2014-11-18,0,26,42,0,3,3,0,21,1451,107,0,21,0,0,0,0,0,0
2014-11-19,0,27,42,0,3,3,0,21,1475,107,0,21,0,0,0,0,0,0
2014-11-20,0,26,42,0,3,3,0,21,1498,107,0,21,0,0,0,0,0,0
2014-11-21,0,26,42,0,3,3,0,22,1523,107,0,22,0,0,0,0,0,0
2014-11-22,0,26,42,0,3,3,0,23,1547,107,0,23,0,0,0,0,0,0
2014-11-23,0,26,42,0,3,3,0,23,1570,107,0,23,0,0,0,0,0,0
2014-11-24,0,26,42,0,3,3,0,23,1595,107,0,23,0,0,0,0,0,0
2014-11-25,0,26,42,0,3,3,0,23,1619,107,0,23,0,0,0,0,0,0
2014-11-26,0,26,42,0,3,3,0,23,1643,107,0,23,0,0,0,0,0,0
2014-11-27,0,26,42,0,3,3,0,23,1667,107,0,23,0,0,0,0,0,0
2014-11-28,0,26,42,0,3,3,0,23,1691,107,0,23,0,0,0,0,0,0
2014-11-29,0,26,42,0,3,3,0,23,1715,107,0,23,0,0,0,0,0,0
2014-11-30,0,26,42,0,3,3,0,23,1738,107,0,23,0,0,0,0,0,0
2014-12-01,0,26,42,0,3,3,0,23,1763,108,0,23,0,0,0,0,0,0
2014-12-02,0,26,42,0,3,3,0,23,1787,108,0,23,0,0,0,0,0,0
2014-12-03,0,26,42,0,3,3,0,23,1810,108,0,23,0,0,0,0,0,0
2014-12-04,0,26,42,0,3,3,0,23,1835,108,0,23,0,0,0,0,0,0
2014-12-05,0,26,42,0,3,3,0,23,1859,108,0,23,0,0,0,0,0,0
2014-12-06,0,25,42,0,3,3,0,23,1883,108,0,23,0,0,0,0,0,0
2014-12-07,0,25,42,0,3,3,0,23,1907,108,0,23,0,0,0,0,0,0
2014-12-08,0,25,42,0,3,3,0,23,1931,108,0,23,0,0,0,0,0,0
2014-12-09,0,25,42,0,3,3,0,23,1955,108,0,23,0,0,0,0,0,0
2014-12-10,0,25,42,0,3,3,0,23,1979,108,0,23,0,0,0,0,0,0
2014-12-11,0,26,42,0,3,3,0,23,2003,108,0,23,0,0,0,0,0,0
2014-12-12,0,26,42,0,3,3,0,23,2027,108,0,23,0,0,0,0,0,0
2014-12-13,0,26,42,0,3,3,0,23,2050,108,0,23,0,0,0,0,0,0
2014-12-14,0,26,42,0,3,3,0,23,2075,108,0,23,0,0,0,0,0,0
2014-12-15,0,26,42,0,3,3,0,23,2099,108,0,23,0,0,0,0,0,0
2014-12-16,0,25,42,0,3,3,0,23,2123,108,0,23,0,0,0,0,0,0
2014-12-17,0,25,42,0,3,3,0,23,2147,108,0,23,0,0,0,0,0,0
2014-12-18,0,25,42,0,3,3,0,23,2171,108,0,23,0,0,0,0,0,0
2014-12-19,0,25,42,0,3,3,0,23,2195,108,0,23,0,0,0,0,0,0
2014-12-20,0,26,42,0,3,3,0,23,2219,108,0,23,0,0,0,0,0,0
2014-12-21,0,24,42,0,3,3,0,23,2243,108,0,23,0,0,0,0,0,0
2014-12-22,0,26,42,0,3,3,0,23,2267,108,0,23,0,0,0,0,0,0
2014-12-23,0,25,42,0,3,3,0,23,2291,108,0,23,0,0,0,0,0,0
2014-12-24,0,25,42,0,3,3,0,23,2315,108,0,23,0,0,0,0,0,0
2014-12-25,0,26,42,0,3,3,0,23,2339,108,0,23,0,0,0,0,0,0
2014-12-26,0,26,42,0,3,3,0,23,2362,108,0,23,0,0,0,0,0,0
