date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-09-03,0,31,41,0,3,3,0,4,103,106,0,4,0,0,0,0,0,0
2014-09-04,0,31,42,0,5,5,0,7,127,105,0,7,455,0,0,0,0,0
2014-09-05,0,31,42,0,5,5,0,8,152,105,0,8,455,0,0,0,0,0
2014-09-06,0,31,42,0,5,5,0,8,175,105,0,8,455,0,0,0,0,0
2014-09-07,0,31,42,0,5,5,0,9,199,105,0,9,455,0,0,0,0,0
2014-09-08,0,31,42,0,5,5,0,9,223,105,0,9,455,0,0,0,0,0
2014-09-09,0,31,42,0,5,5,0,9,248,105,0,9,455,0,0,0,0,0
2014-09-10,0,32,42,0,5,5,0,9,271,105,0,9,455,0,0,0,0,0
2014-09-11,0,35,42,0,5,5,0,9,295,105,0,9,455,0,0,0,0,0
2014-09-12,0,35,42,0,5,5,0,9,319,105,0,9,455,0,0,0,0,0
2014-09-13,0,36,42,0,5,5,0,9,344,105,0,9,455,0,0,0,0,0
2014-09-14,0,36,42,0,5,5,0,9,367,105,0,9,455,0,0,0,0,0
2014-09-15,0,36,42,0,5,5,0,9,391,105,0,9,455,0,0,0,0,0
2014-09-16,0,36,42,0,5,5,0,9,416,105,0,9,455,0,0,0,0,0
2014-09-17,0,37,42,0,5,5,0,9,439,105,0,9,455,0,0,0,0,0
2014-09-18,0,37,42,0,5,5,0,9,463,105,0,9,455,0,0,0,0,0
2014-09-19,0,36,42,0,5,5,0,9,488,105,0,9,455,0,0,0,0,0
2014-09-20,0,36,42,0,5,5,0,9,511,105,0,9,455,0,0,0,0,0
2014-09-21,0,36,42,0,5,5,0,9,535,105,0,9,455,0,0,0,0,0
2014-09-22,0,36,42,0,5,5,0,9,560,105,0,9,455,0,0,0,0,0
2014-09-23,0,36,42,0,5,5,0,9,583,105,0,9,455,0,0,0,0,0
2014-09-24,0,35,42,0,5,5,0,9,607,105,0,9,455,0,0,0,0,0
2014-09-25,0,31,42,0,5,5,0,9,631,105,0,9,455,0,0,0,0,0
2014-09-26,0,30,42,0,5,5,0,9,656,105,0,9,455,0,0,0,0,0
2014-09-27,0,30,42,0,5,5,0,9,679,105,0,9,455,0,0,0,0,0
2014-09-28,0,31,42,0,5,5,0,9,703,105,0,9,455,0,0,0,0,0
2014-09-29,0,31,42,0,5,5,0,9,728,105,0,9,455,0,0,0,0,0
2014-09-30,0,31,42,0,5,5,0,9,751,105,0,9,455,0,0,0,0,0
2014-10-01,0,32,42,0,5,5,0,9,775,105,0,9,455,0,0,0,0,0
2014-10-02,0,32,42,0,5,5,0,9,800,105,0,9,455,0,0,0,0,0
2014-10-03,0,32,42,0,5,5,0,9,823,105,0,9,455,0,0,0,0,0
2014-10-04,0,32,42,0,5,5,0,9,847,105,0,9,455,0,0,0,0,0
2014-10-05,0,32,42,0,5,5,0,9,871,105,0,9,455,0,0,0,0,0
2014-10-06,0,32,42,0,5,5,0,9,896,105,0,9,455,0,0,0,0,0
