date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-10-02,0,23,42,0,3,3,0,8,152,101,0,8,0,0,0,0,0,0,False,False,False
2014-10-03,0,23,42,0,3,3,0,9,177,101,0,9,0,0,0,0,0,0,False,False,False
2014-10-04,0,23,42,0,3,3,0,10,201,101,0,10,0,0,0,0,0,0,False,False,False
2014-10-05,0,23,42,0,3,3,0,10,223,101,0,10,0,0,0,0,0,0,False,False,False
2014-10-06,0,23,42,0,3,3,0,11,248,102,0,11,0,0,0,0,0,0,False,False,False
2014-10-07,0,23,42,0,3,3,0,12,273,101,0,12,0,0,0,0,0,0,False,False,False
2014-10-08,0,23,42,0,3,3,0,13,297,101,0,13,0,0,0,0,0,0,False,False,False
2014-10-09,0,23,41,0,3,3,0,14,320,102,0,14,0,0,0,0,0,0,False,False,False
2014-10-10,0,23,42,0,3,3,0,15,344,101,0,15,0,0,0,0,0,0,False,False,False
2014-10-11,0,23,42,0,3,3,0,16,369,101,0,16,0,0,0,0,0,0,False,False,False
2014-10-12,0,23,42,0,3,3,0,16,392,102,0,16,0,0,0,0,0,0,False,False,False
2014-10-13,0,23,42,0,3,3,0,17,416,102,0,17,0,0,0,0,0,0,False,False,False
2014-10-14,0,23,42,0,3,3,0,18,441,101,0,18,0,0,0,0,0,0,False,False,False
2014-10-15,0,22,42,0,3,3,0,19,464,102,0,19,0,0,0,0,0,0,False,False,False
2014-10-16,0,23,42,0,3,3,0,20,488,102,0,20,0,0,0,0,0,0,False,False,False
2014-10-17,0,23,42,0,3,3,0,21,513,102,0,21,0,0,0,0,0,0,False,False,False
2014-10-18,0,23,42,0,3,3,0,21,537,102,0,21,0,0,0,0,0,0,False,False,False
2014-10-19,0,23,42,0,3,3,0,22,560,101,0,22,0,0,0,0,0,0,False,False,False
2014-10-20,0,22,42,0,3,3,0,23,584,101,0,23,0,0,0,0,0,0,False,False,False
2014-10-21,0,22,42,0,3,3,0,24,609,102,0,24,0,0,0,0,0,0,False,False,False
2014-10-22,0,23,42,0,3,3,0,24,633,102,0,24,0,0,0,0,0,0,False,False,False
2014-10-23,0,23,41,0,3,3,0,25,656,102,0,25,0,0,0,0,0,0,False,False,False
2014-10-24,0,23,41,0,3,3,0,25,680,102,0,25,0,0,0,0,0,0,False,False,False
2014-10-25,0,23,42,0,3,3,0,26,705,101,0,26,0,0,0,0,0,0,False,False,False
2014-10-26,0,23,42,0,3,3,0,27,728,101,0,27,0,0,0,0,0,0,False,False,False
