date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-09-09,0,28,42,0,3,3,0,5,82,100,0,5,0,0,0,0,0,0
2014-09-10,0,30,42,0,3,3,0,6,105,100,0,6,0,0,0,0,0,0
2014-09-11,0,32,42,0,3,3,0,7,129,100,0,7,0,0,0,0,0,0
2014-09-12,0,31,42,0,3,3,0,8,154,100,0,8,0,0,0,0,0,0
2014-09-13,0,34,42,0,3,3,0,9,177,100,0,9,0,0,0,0,0,0
2014-09-14,0,35,42,0,3,3,0,10,201,100,0,10,0,0,0,0,0,0
2014-09-15,0,35,42,0,3,3,0,11,226,100,0,11,0,0,0,0,0,0
2014-09-16,0,36,42,0,3,3,0,12,249,100,0,12,0,0,0,0,0,0
2014-09-17,0,36,42,0,3,3,0,13,273,100,0,13,0,0,0,0,0,0
2014-09-18,0,36,42,0,3,3,0,14,298,100,0,14,0,0,0,0,0,0
2014-09-19,0,36,42,0,3,3,0,14,321,100,0,14,0,0,0,0,0,0
2014-09-20,0,36,42,0,3,3,0,14,345,100,0,14,0,0,0,0,0,0
2014-09-21,0,35,42,0,3,3,0,14,369,100,0,14,0,0,0,0,0,0
2014-09-22,0,35,42,0,3,3,0,14,394,100,0,14,0,0,0,0,0,0
2014-09-23,0,36,42,0,3,3,0,14,417,100,0,14,0,0,0,0,0,0
2014-09-24,0,31,42,0,3,3,0,14,441,100,0,14,0,0,0,0,0,0
2014-09-25,0,28,42,0,3,3,0,14,466,100,0,14,0,0,0,0,0,0
2014-09-26,0,28,42,0,3,3,0,14,489,100,0,14,0,0,0,0,0,0
2014-09-27,0,29,42,0,3,3,0,14,513,100,0,14,0,0,0,0,0,0
2014-09-28,0,28,42,0,3,3,0,14,538,100,0,14,0,0,0,0,0,0
2014-09-29,0,28,42,0,3,3,0,14,561,100,0,14,0,0,0,0,0,0
2014-09-30,0,28,42,0,3,3,0,14,585,100,0,14,0,0,0,0,0,0
2014-10-01,0,30,42,0,3,3,0,14,609,100,0,14,0,0,0,0,0,0
2014-10-02,0,30,42,0,3,3,0,14,634,100,0,14,0,0,0,0,0,0
2014-10-03,0,30,42,0,3,3,0,14,657,100,0,14,0,0,0,0,0,0
2014-10-04,0,31,42,0,3,3,0,14,681,100,0,14,0,0,0,0,0,0
2014-10-05,0,31,42,0,3,3,0,14,706,100,0,14,0,0,0,0,0,0
2014-10-06,0,30,42,0,3,3,0,14,729,100,0,14,0,0,0,0,0,0
2014-10-07,0,30,42,0,3,3,0,14,753,100,0,14,0,0,0,0,0,0
2014-10-08,0,31,42,0,3,3,0,14,778,100,0,14,0,0,0,0,0,0
2014-10-09,0,31,42,0,3,3,0,14,801,100,0,14,0,0,0,0,0,0
2014-10-10,0,31,42,0,3,3,0,14,825,100,0,14,0,0,0,0,0,0
2014-10-11,0,30,42,0,3,3,0,14,850,100,0,14,0,0,0,0,0,0
