date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-10-02,0,26,42,0,3,3,0,9,153,100,0,9,0,0,0,0,0,0
2014-10-03,0,26,42,0,3,3,0,9,176,100,0,9,0,0,0,0,0,0
2014-10-04,0,26,42,0,3,3,0,10,200,100,0,10,0,0,0,0,0,0
2014-10-05,0,26,42,0,3,3,0,11,225,100,0,11,0,0,0,0,0,0
2014-10-06,0,26,42,0,3,3,0,12,249,100,0,12,0,0,0,0,0,0
2014-10-07,0,28,42,0,3,3,0,13,273,100,0,13,0,0,0,0,0,0
2014-10-08,0,26,42,0,3,3,0,13,296,100,0,13,0,0,0,0,0,0
2014-10-09,0,26,42,0,3,3,0,13,320,100,0,13,0,0,0,0,0,0
2014-10-10,0,25,42,0,3,3,0,13,339,100,0,13,0,0,0,0,0,0
2014-10-24,0,24,42,0,6,6,0,25,680,100,0,25,424,0,0,0,0,0
2014-10-25,0,25,42,0,6,6,0,25,705,100,0,25,424,0,0,0,0,0
2014-10-26,0,25,42,0,6,6,0,25,728,100,0,25,424,0,0,0,0,0
2014-10-27,0,24,42,0,6,6,0,26,752,100,0,26,424,0,0,0,0,0
2014-10-28,0,25,42,0,6,6,0,26,777,100,0,26,424,0,0,0,0,0
2014-10-29,0,25,42,0,6,6,0,26,801,100,0,26,424,0,0,0,0,0
2014-10-30,0,25,42,0,6,6,0,27,824,100,0,27,424,0,0,0,0,0
2014-10-31,0,25,42,0,6,6,0,27,849,100,0,27,424,0,0,0,0,0
2014-11-01,0,25,42,0,6,6,0,27,873,100,0,27,424,0,0,0,0,0
2014-11-03,0,25,41,0,6,6,0,29,922,100,0,29,424,0,0,0,0,0
2014-11-04,0,25,41,0,6,6,0,30,945,100,0,30,424,0,0,0,0,0
2014-11-05,0,25,42,0,6,6,0,31,969,100,0,31,424,0,0,0,0,0
2014-11-06,0,25,42,0,6,6,0,31,994,100,0,31,424,0,0,0,0,0
2014-11-07,0,25,42,0,6,6,0,31,1018,100,0,31,424,0,0,0,0,0
2014-11-08,0,25,41,0,6,6,0,32,1041,100,0,32,424,0,0,0,0,0
