date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-10-02,0,25,42,0,3,3,0,4,30,104,0,4,0,0,0,0,0,0
2014-10-03,0,26,42,0,3,3,0,5,53,104,0,5,0,0,0,0,0,0
2014-10-04,0,26,42,0,3,3,0,6,77,104,0,6,0,0,0,0,0,0
2014-10-05,0,26,42,0,3,3,0,7,101,104,0,7,0,0,0,0,0,0
2014-10-06,0,26,42,0,3,3,0,8,126,104,0,8,0,0,0,0,0,0
2014-10-07,0,27,42,0,3,3,0,8,149,104,0,8,0,0,0,0,0,0
2014-10-08,0,27,42,0,3,3,0,9,174,104,0,9,0,0,0,0,0,0
2014-10-09,0,26,42,0,3,3,0,10,198,104,0,10,0,0,0,0,0,0
2014-10-10,0,26,42,0,3,3,0,10,221,104,0,10,0,0,0,0,0,0
2014-10-11,0,26,42,0,3,3,0,11,246,104,0,11,0,0,0,0,0,0
2014-10-12,0,27,42,0,3,3,0,12,270,104,0,12,0,0,0,0,0,0
2014-10-13,0,26,42,0,3,3,0,13,293,104,0,13,0,0,0,0,0,0
2014-10-14,0,26,42,0,3,3,0,14,317,104,0,14,0,0,0,0,0,0
2014-10-15,0,26,42,0,3,3,0,14,342,104,0,14,0,0,0,0,0,0
2014-10-16,0,25,42,0,3,3,0,15,366,104,0,15,0,0,0,0,0,0
2014-10-17,0,25,42,0,3,3,0,16,389,104,0,16,0,0,0,0,0,0
2014-10-18,0,25,42,0,3,3,0,17,414,104,0,17,0,0,0,0,0,0
2014-10-19,0,25,42,0,3,3,0,17,438,104,0,17,0,0,0,0,0,0
2014-10-20,0,25,42,0,3,3,0,18,461,104,0,18,0,0,0,0,0,0
2014-10-21,0,25,42,0,3,3,0,19,485,104,0,19,0,0,0,0,0,0
2014-10-22,0,25,42,0,3,3,0,20,510,104,0,20,0,0,0,0,0,0
2014-10-23,0,25,42,0,3,3,0,21,533,104,0,21,0,0,0,0,0,0
2014-10-24,0,25,42,0,3,3,0,21,557,104,0,21,0,0,0,0,0,0
2014-10-25,0,25,42,0,3,3,0,21,582,104,0,21,0,0,0,0,0,0
2014-10-26,0,25,42,0,3,3,0,21,606,104,0,21,0,0,0,0,0,0
2014-10-27,0,25,42,0,3,3,0,21,629,104,0,21,0,0,0,0,0,0
2014-10-28,0,25,42,0,3,3,0,21,654,104,0,21,0,0,0,0,0,0
2014-10-29,0,25,42,0,3,3,0,21,678,104,0,21,0,0,0,0,0,0
2014-10-30,0,25,42,0,3,3,0,21,701,104,0,21,0,0,0,0,0,0
2014-10-31,0,25,42,0,3,3,0,21,726,104,0,21,0,0,0,0,0,0
2014-11-01,0,25,42,0,3,3,0,21,750,104,0,21,0,0,0,0,0,0
2014-11-03,0,25,42,0,3,3,0,21,799,104,0,21,0,0,0,0,0,0
2014-11-04,0,25,42,0,3,3,0,21,822,104,0,21,0,0,0,0,0,0
2014-11-05,0,26,42,0,3,3,0,21,846,104,0,21,0,0,0,0,0,0
2014-11-06,0,25,42,0,3,3,0,21,871,104,0,21,0,0,0,0,0,0
2014-11-07,0,25,42,0,3,3,0,21,895,104,0,21,0,0,0,0,0,0
2014-11-08,0,25,42,0,3,3,0,21,918,104,0,21,0,0,0,0,0,0
2014-11-09,0,25,42,0,3,3,0,21,943,104,0,21,0,0,0,0,0,0
2014-11-10,0,25,42,0,3,3,0,21,967,104,0,21,0,0,0,0,0,0
2014-11-11,0,25,42,0,3,3,0,21,990,104,0,21,0,0,0,0,0,0
2014-11-12,0,25,42,0,3,3,0,21,1014,104,0,21,0,0,0,0,0,0
2014-11-13,0,24,42,0,3,3,0,21,1039,104,0,21,0,0,0,0,0,0
2014-11-14,0,25,42,0,3,3,0,21,1062,104,0,21,0,0,0,0,0,0
2014-11-15,0,25,42,0,3,3,0,21,1086,104,0,21,0,0,0,0,0,0
2014-11-16,0,25,42,0,3,3,0,21,1111,104,0,21,0,0,0,0,0,0
2014-11-17,0,25,42,0,3,3,0,21,1135,104,0,21,0,0,0,0,0,0
2014-11-18,0,25,42,0,3,3,0,21,1158,104,0,21,0,0,0,0,0,0
2014-11-19,0,25,42,0,3,3,0,21,1183,104,0,21,0,0,0,0,0,0
2014-11-20,0,25,42,0,3,3,0,21,1207,104,0,21,0,0,0,0,0,0
2014-11-21,0,25,42,0,3,3,0,21,1230,104,0,21,0,0,0,0,0,0
2014-11-22,0,25,42,0,3,3,0,21,1254,104,0,21,0,0,0,0,0,0
2014-11-23,0,25,42,0,3,3,0,21,1279,104,0,21,0,0,0,0,0,0
2014-11-24,0,25,42,0,3,3,0,21,1302,104,0,21,0,0,0,0,0,0
2014-11-25,0,25,42,0,3,3,0,21,1326,104,0,21,0,0,0,0,0,0
2014-11-26,0,25,42,0,3,3,0,21,1351,104,0,21,0,0,0,0,0,0
2014-11-27,0,25,42,0,3,3,0,21,1375,104,0,21,0,0,0,0,0,0
2014-11-28,0,25,42,0,3,3,0,21,1398,104,0,21,0,0,0,0,0,0
2014-11-29,0,25,42,0,3,3,0,21,1423,104,0,21,0,0,0,0,0,0
2014-11-30,0,25,42,0,3,3,0,21,1447,104,0,21,0,0,0,0,0,0
2014-12-01,0,25,42,0,3,3,0,21,1470,104,0,21,0,0,0,0,0,0
2014-12-02,0,25,42,0,3,3,0,21,1495,104,0,21,0,0,0,0,0,0
2014-12-03,0,25,42,0,3,3,0,21,1519,104,0,21,0,0,0,0,0,0
2014-12-04,0,25,42,0,3,3,0,21,1542,104,0,21,0,0,0,0,0,0
2014-12-05,0,25,42,0,3,3,0,21,1567,104,0,21,0,0,0,0,0,0
2014-12-06,0,25,42,0,3,3,0,21,1591,104,0,21,0,0,0,0,0,0
2014-12-07,0,25,42,0,3,3,0,21,1614,104,0,21,0,0,0,0,0,0
2014-12-08,0,25,42,0,3,3,0,21,1638,104,0,21,0,0,0,0,0,0
2014-12-09,0,25,42,0,3,3,0,21,1663,104,0,21,0,0,0,0,0,0
2014-12-10,0,25,42,0,3,3,0,21,1687,104,0,21,0,0,0,0,0,0
2014-12-11,0,25,42,0,3,3,0,21,1710,104,0,21,0,0,0,0,0,0
2014-12-12,0,25,42,0,3,3,0,21,1735,104,0,21,0,0,0,0,0,0
2014-12-13,0,26,42,0,3,3,0,21,1759,104,0,21,0,0,0,0,0,0
2014-12-14,0,25,42,0,3,3,0,21,1782,104,0,21,0,0,0,0,0,0
2014-12-15,0,25,42,0,3,3,0,21,1806,104,0,21,0,0,0,0,0,0
2014-12-16,0,24,42,0,3,3,0,21,1831,104,0,21,0,0,0,0,0,0
2014-12-17,0,25,42,0,3,3,0,21,1854,104,0,21,0,0,0,0,0,0
2014-12-18,0,25,42,0,3,3,0,21,1878,104,0,21,0,0,0,0,0,0
2014-12-19,0,25,42,0,3,3,0,21,1903,104,0,21,0,0,0,0,0,0
2014-12-20,0,25,42,0,3,3,0,21,1927,104,0,21,0,0,0,0,0,0
2014-12-21,0,25,42,0,3,3,0,21,1950,104,0,21,0,0,0,0,0,0
2014-12-22,0,25,42,0,3,3,0,21,1975,104,0,21,0,0,0,0,0,0
2014-12-23,0,25,42,0,3,3,0,21,1999,104,0,21,0,0,0,0,0,0
2014-12-24,0,25,42,0,3,3,0,21,2022,104,0,21,0,0,0,0,0,0
2014-12-25,0,25,42,0,3,3,0,21,2047,104,0,21,0,0,0,0,0,0
2014-12-26,0,25,42,0,3,3,0,21,2071,104,0,21,0,0,0,0,0,0
2014-12-27,0,25,42,0,3,3,0,21,2094,104,0,21,0,0,0,0,0,0
2014-12-28,0,25,42,0,3,3,0,21,2118,104,0,21,0,0,0,0,0,0
2014-12-29,0,25,42,0,3,3,0,21,2143,104,0,21,0,0,0,0,0,0
2014-12-30,0,25,42,0,3,3,0,21,2166,104,0,21,0,0,0,0,0,0
2014-12-31,0,25,42,0,3,3,0,21,2190,104,0,21,0,0,0,0,0,0
2015-01-01,0,25,42,0,3,3,0,21,2215,104,0,21,0,0,0,0,0,0
2015-01-02,0,25,42,0,3,3,0,21,2239,104,0,21,0,0,0,0,0,0
2015-01-03,0,25,42,0,3,3,0,21,2262,104,0,21,0,0,0,0,0,0
2015-01-04,0,25,42,0,3,3,0,21,2287,104,0,21,0,0,0,0,0,0
2015-01-05,0,25,42,0,3,3,0,21,2311,104,0,21,0,0,0,0,0,0
2015-01-06,0,25,42,0,3,3,0,21,2334,104,0,21,0,0,0,0,0,0
2015-01-07,0,25,42,0,3,3,0,21,2359,104,0,21,0,0,0,0,0,0
2015-01-08,0,25,42,0,3,3,0,21,2383,104,0,21,0,0,0,0,0,0
2015-01-09,0,25,42,0,3,3,0,21,2406,104,0,21,0,0,0,0,0,0
2015-01-10,0,24,42,0,3,3,0,21,2430,104,0,21,0,0,0,0,0,0
2015-01-11,0,25,42,0,3,3,0,21,2455,104,0,21,0,0,0,0,0,0
2015-01-12,0,24,42,0,3,3,0,21,2479,104,0,21,0,0,0,0,0,0
2015-01-13,0,25,42,0,3,3,0,21,2502,104,0,21,0,0,0,0,0,0
2015-01-14,0,25,42,0,3,3,0,21,2527,104,0,21,0,0,0,0,0,0
2015-01-15,0,25,42,0,3,3,0,22,2551,104,0,22,0,0,0,0,0,0
2015-01-16,0,25,42,0,3,3,0,22,2574,104,0,22,0,0,0,0,0,0
2015-01-17,0,25,42,0,3,3,0,23,2599,104,0,23,0,0,0,0,0,0
2015-01-18,0,25,42,0,3,3,0,23,2623,104,0,23,0,0,0,0,0,0
2015-01-19,0,25,42,0,3,3,0,24,2647,104,0,24,0,0,0,0,0,0
2015-01-20,0,25,42,0,3,3,0,25,2670,104,0,25,0,0,0,0,0,0
2015-01-21,0,25,42,0,3,3,0,26,2695,104,0,26,0,0,0,0,0,0
2015-01-22,0,25,42,0,3,3,0,26,2719,104,0,26,0,0,0,0,0,0
2015-01-23,0,25,42,0,3,3,0,27,2742,104,0,27,0,0,0,0,0,0
2015-01-24,0,25,42,0,3,3,0,27,2767,104,0,27,0,0,0,0,0,0
2015-01-25,0,25,42,0,3,3,0,28,2791,104,0,28,0,0,0,0,0,0
2015-01-26,0,25,42,0,3,3,0,29,2814,104,0,29,0,0,0,0,0,0
2015-01-27,0,25,42,0,3,3,0,30,2839,104,0,30,0,0,0,0,0,0
2015-01-28,0,25,42,0,3,3,0,30,2863,104,0,30,0,0,0,0,0,0
2015-01-29,0,26,42,0,3,3,0,31,2887,104,0,31,0,0,0,0,0,0
2015-01-30,0,26,42,0,3,3,0,31,2910,104,0,31,0,0,0,0,0,0
2015-01-31,0,26,42,0,3,3,0,32,2935,104,0,32,0,0,0,0,0,0
2015-02-01,0,26,42,0,3,3,0,33,2959,104,0,33,0,0,0,0,0,0
2015-02-02,0,26,42,0,3,3,0,33,2982,104,0,33,0,0,0,0,0,0
2015-02-03,0,26,42,0,3,3,0,34,3007,104,0,34,0,0,0,0,0,0
2015-02-04,0,26,42,0,3,3,0,34,3031,104,0,34,0,0,0,0,0,0
2015-02-05,0,26,42,0,3,3,0,34,3054,104,0,34,0,0,0,0,0,0
2015-02-06,0,26,42,0,3,3,0,34,3078,104,0,34,0,0,0,0,0,0
2015-02-07,0,26,42,0,3,3,0,34,3103,104,0,34,0,0,0,0,0,0
2015-02-08,0,27,42,0,3,3,0,34,3127,104,0,34,0,0,0,0,0,0
2015-02-09,0,27,42,0,3,3,0,34,3150,104,0,34,0,0,0,0,0,0
2015-02-10,0,26,42,0,3,3,0,34,3175,104,0,34,0,0,0,0,0,0
2015-02-11,0,26,42,0,3,3,0,34,3199,104,0,34,0,0,0,0,0,0
2015-02-12,0,26,42,0,3,3,0,34,3222,104,0,34,0,0,0,0,0,0
2015-02-13,0,26,42,0,3,3,0,34,3247,104,0,34,0,0,0,0,0,0
2015-02-14,0,26,42,0,3,3,0,34,3271,104,0,34,0,0,0,0,0,0
2015-02-15,0,27,42,0,3,3,0,34,3294,104,0,34,0,0,0,0,0,0
2015-02-16,0,26,42,0,3,3,0,34,3319,104,0,34,0,0,0,0,0,0
2015-02-17,0,26,42,0,3,3,0,34,3343,104,0,34,0,0,0,0,0,0
2015-02-18,0,26,42,0,3,3,0,34,3366,104,0,34,0,0,0,0,0,0
2015-02-19,0,26,42,0,3,3,0,34,3391,104,0,34,0,0,0,0,0,0
2015-02-20,0,26,42,0,3,3,0,34,3415,104,0,34,0,0,0,0,0,0
2015-02-21,0,26,42,0,3,3,0,34,3439,104,0,34,0,0,0,0,0,0
2015-02-22,0,26,42,0,3,3,0,34,3462,104,0,34,0,0,0,0,0,0
2015-02-23,0,26,42,0,3,3,0,34,3487,104,0,34,0,0,0,0,0,0
2015-02-24,0,26,42,0,3,3,0,34,3511,104,0,34,0,0,0,0,0,0
2015-02-25,0,26,42,0,3,3,0,34,3534,104,0,34,0,0,0,0,0,0
2015-02-26,0,26,42,0,3,3,0,34,3559,104,0,34,0,0,0,0,0,0
2015-02-27,0,26,42,0,3,3,0,34,3583,104,0,34,0,0,0,0,0,0
2015-02-28,0,27,42,0,3,3,0,34,3607,104,0,34,0,0,0,0,0,0
2015-03-01,0,25,42,0,3,3,0,34,3630,104,0,34,0,0,0,0,0,0
2015-03-02,0,25,42,0,3,3,0,34,3655,104,0,34,0,0,0,0,0,0
2015-03-03,0,26,42,0,3,3,0,34,3679,104,0,34,0,0,0,0,0,0
2015-03-04,0,26,42,0,3,3,0,34,3702,104,0,34,0,0,0,0,0,0
2015-03-05,0,26,42,0,3,3,0,34,3727,104,0,34,0,0,0,0,0,0
2015-03-06,0,26,42,0,3,3,0,34,3751,104,0,34,0,0,0,0,0,0
2015-03-07,0,26,42,0,3,3,0,34,3774,104,0,34,0,0,0,0,0,0
2015-03-08,0,26,42,0,3,3,0,34,3799,104,0,34,0,0,0,0,0,0
2015-03-09,0,26,42,0,3,3,0,34,3823,104,0,34,0,0,0,0,0,0
2015-03-10,0,26,42,0,3,3,0,34,3846,104,0,34,0,0,0,0,0,0
2015-03-11,0,26,42,0,3,3,0,34,3870,104,0,34,0,0,0,0,0,0
2015-03-12,0,26,42,0,3,3,0,34,3894,104,0,34,0,0,0,0,0,0
2015-03-13,0,26,42,0,3,3,0,34,3918,104,0,34,0,0,0,0,0,0
2015-03-14,0,27,42,0,3,3,0,34,3942,104,0,34,0,0,0,0,0,0
2015-03-15,0,27,42,0,3,3,0,34,3965,104,0,34,0,0,0,0,0,0
2015-03-16,0,26,42,0,3,3,0,34,3990,104,0,34,0,0,0,0,0,0
2015-03-17,0,26,42,0,3,3,0,34,4014,104,0,34,0,0,0,0,0,0
2015-03-18,0,26,42,0,3,3,0,34,4037,104,0,34,0,0,0,0,0,0
2015-03-19,0,27,42,0,3,3,0,34,4062,104,0,34,0,0,0,0,0,0
2015-03-20,0,27,42,0,3,3,0,34,4086,104,0,34,0,0,0,0,0,0
2015-03-21,0,26,42,0,3,3,0,34,4109,104,0,34,0,0,0,0,0,0
2015-03-22,0,27,42,0,3,3,0,34,4134,104,0,34,0,0,0,0,0,0
2015-03-23,0,26,42,0,3,3,0,34,4158,104,0,34,0,0,0,0,0,0
2015-03-24,0,26,42,0,3,3,0,34,4182,104,0,34,0,0,0,0,0,0
2015-03-25,0,27,42,0,3,3,0,34,4205,104,0,34,0,0,0,0,0,0
2015-03-26,0,27,42,0,3,3,0,34,4230,104,0,34,0,0,0,0,0,0
2015-03-27,0,27,42,0,3,3,0,34,4254,104,0,34,0,0,0,0,0,0
2015-03-28,0,27,42,0,3,3,0,34,4277,104,0,34,0,0,0,0,0,0
2015-03-29,0,26,42,0,3,3,0,34,4302,104,0,34,0,0,0,0,0,0
2015-03-30,0,26,42,0,3,3,0,34,4326,104,0,34,0,0,0,0,0,0
2015-03-31,0,27,42,0,3,3,0,34,4349,104,0,34,0,0,0,0,0,0
2015-04-01,0,27,42,0,3,3,0,34,4374,104,0,34,0,0,0,0,0,0
2015-04-02,0,27,42,0,3,3,0,34,4398,104,0,34,0,0,0,0,0,0
2015-04-03,0,27,42,0,3,3,0,34,4422,104,0,34,0,0,0,0,0,0
2015-04-04,0,27,42,0,3,3,0,34,4446,104,0,34,0,0,0,0,0,0
2015-04-05,0,27,42,0,3,3,0,34,4470,104,0,34,0,0,0,0,0,0
2015-04-06,0,27,42,0,3,3,0,34,4494,104,0,34,0,0,0,0,0,0
2015-04-07,0,27,42,0,3,3,0,34,4517,104,0,34,0,0,0,0,0,0
2015-04-08,0,27,42,0,3,3,0,34,4542,104,0,34,0,0,0,0,0,0
2015-04-09,0,28,42,0,3,3,0,34,4566,104,0,34,0,0,0,0,0,0
2015-04-10,0,28,42,0,3,3,0,34,4589,104,0,34,0,0,0,0,0,0
2015-04-11,0,27,42,0,3,3,0,34,4614,104,0,34,0,0,0,0,0,0
2015-04-12,0,27,42,0,3,3,0,34,4638,104,0,34,0,0,0,0,0,0
2015-04-13,0,27,42,0,3,3,0,34,4661,104,0,34,0,0,0,0,0,0
2015-04-14,0,27,42,0,3,3,0,34,4686,104,0,34,0,0,0,0,0,0
2015-04-15,0,27,42,0,3,3,0,34,4710,104,0,34,0,0,0,0,0,0
