date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-10-02,0,24,43,0,3,3,0,8,152,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-03,0,24,43,0,3,3,0,8,176,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-04,0,24,43,0,3,3,0,8,201,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-05,0,25,43,0,3,3,0,8,224,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-06,0,24,43,0,3,3,0,8,248,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-07,0,25,43,0,3,3,0,8,272,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-08,0,25,43,0,3,3,0,8,296,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-09,0,24,43,0,3,3,0,8,321,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-10,0,24,43,0,3,3,0,8,344,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-23,0,23,41,0,3,3,0,19,657,103,0,19,0,0,0,0,0,0,False,False,False
2014-10-24,0,23,41,0,3,3,0,20,680,101,0,20,0,0,0,0,0,0,False,False,False
2014-10-25,0,23,41,0,3,3,0,21,704,101,0,21,0,0,0,0,0,0,False,False,False
2014-10-26,0,23,42,0,3,3,0,22,729,104,0,22,0,0,0,0,0,0,False,False,False
2014-10-27,0,23,42,0,3,3,0,22,752,104,0,22,0,0,0,0,0,0,False,False,False
2014-10-28,0,23,42,0,3,3,0,22,776,104,0,22,0,0,0,0,0,0,False,False,False
2014-10-29,0,23,40,0,3,3,0,23,801,104,0,23,0,0,0,0,0,0,False,False,False
2014-10-30,0,23,41,0,3,3,0,24,825,103,0,24,0,0,0,0,0,0,False,False,False
2014-10-31,0,23,41,0,3,3,0,24,848,103,0,24,0,0,0,0,0,0,False,False,False
2014-11-01,0,23,41,0,3,3,0,24,873,103,0,24,0,0,0,0,0,0,False,False,False
2014-11-03,0,23,41,0,3,3,0,24,921,103,0,24,0,0,0,0,0,0,False,False,False
2014-11-04,0,23,42,0,3,3,0,25,946,103,0,25,0,0,0,0,0,0,False,False,False
2014-11-05,0,30,42,0,3,3,0,25,969,101,0,25,0,0,0,0,0,0,False,False,False
2014-11-06,0,24,41,0,3,3,0,26,993,101,0,26,0,0,0,0,0,0,False,False,False
2014-11-07,0,23,41,0,3,3,0,26,1017,101,0,26,0,0,0,0,0,0,False,False,False
2014-11-08,0,23,40,0,3,3,0,27,1042,104,0,27,0,0,0,0,0,0,False,False,False
2014-11-09,0,23,40,0,3,3,0,27,1065,104,0,27,0,0,0,0,0,0,False,False,False
2014-11-10,0,24,41,0,3,3,0,28,1089,104,0,28,0,0,0,0,0,0,False,False,False
2014-11-11,0,23,41,0,3,3,0,28,1114,104,0,28,0,0,0,0,0,0,False,False,False
2014-11-12,0,23,41,0,3,3,0,28,1137,103,0,28,0,0,0,0,0,0,False,False,False
2014-11-13,0,24,42,0,3,3,0,28,1162,103,0,28,0,0,0,0,0,0,False,False,False
2014-11-14,0,23,42,0,3,3,0,29,1186,103,0,29,0,0,0,0,0,0,False,False,False
2014-11-15,0,23,42,0,3,3,0,30,1209,104,0,30,0,0,0,0,0,0,False,False,False
2014-11-16,0,23,42,0,3,3,0,30,1233,104,0,30,0,0,0,0,0,0,False,False,False
2014-11-17,0,23,42,0,3,3,0,30,1258,104,0,30,0,0,0,0,0,0,False,False,False
2014-11-18,0,23,41,0,3,3,0,31,1282,104,0,31,0,0,0,0,0,0,False,False,False
2014-11-19,0,23,41,0,3,3,0,31,1305,104,0,31,0,0,0,0,0,0,False,False,False
2014-11-20,0,23,41,0,3,3,0,31,1330,104,0,31,0,0,0,0,0,0,False,False,False
2014-11-21,0,23,44,0,3,3,0,31,1354,104,0,31,0,0,0,0,0,0,False,False,False
2014-11-22,0,23,44,0,3,3,0,32,1377,104,0,32,0,0,0,0,0,0,False,False,False
2014-11-23,0,23,44,0,3,3,0,32,1401,102,0,32,0,0,0,0,0,0,False,False,False
2014-11-24,0,23,42,0,3,3,0,33,1426,102,0,33,0,0,0,0,0,0,False,False,False
2014-11-25,0,23,42,0,3,3,0,33,1449,102,0,33,0,0,0,0,0,0,False,False,False
2014-11-26,0,23,42,0,3,3,0,33,1473,102,0,33,0,0,0,0,0,0,False,False,False
2014-11-27,0,23,42,0,3,3,0,33,1498,103,0,33,0,0,0,0,0,0,False,False,False
2014-11-28,0,23,42,0,3,3,0,34,1521,103,0,34,0,0,0,0,0,0,False,False,False
2014-11-29,0,23,42,0,3,3,0,34,1545,104,0,34,0,0,0,0,0,0,False,False,False
2014-11-30,0,23,41,0,3,3,0,35,1570,104,0,35,0,0,0,0,0,0,False,False,False
2014-12-01,0,23,41,0,3,3,0,35,1594,104,0,35,0,0,0,0,0,0,False,False,False
2014-12-02,0,23,42,0,3,3,0,35,1617,104,0,35,0,0,0,0,0,0,False,False,False
2014-12-03,0,23,42,0,3,3,0,36,1642,101,0,36,0,0,0,0,0,0,False,False,False
2014-12-04,0,23,42,0,3,3,0,37,1666,101,0,37,0,0,0,0,0,0,False,False,False
2014-12-05,0,23,40,0,3,3,0,38,1689,101,0,38,0,0,0,0,0,0,False,False,False
2014-12-06,0,23,40,0,3,3,0,39,1713,101,0,39,0,0,0,0,0,0,False,False,False
2014-12-07,0,23,40,0,3,3,0,39,1738,101,0,39,0,0,0,0,0,0,False,False,False
2014-12-08,0,23,40,0,3,3,0,40,1761,101,0,40,0,0,0,0,0,0,False,False,False
2014-12-09,0,23,40,0,3,3,0,41,1785,101,0,41,0,0,0,0,0,0,False,False,False
2014-12-10,0,23,40,0,3,3,0,42,1810,101,0,42,0,0,0,0,0,0,False,False,False
2014-12-11,0,23,40,0,3,3,0,43,1834,101,0,43,0,0,0,0,0,0,False,False,False
2014-12-12,0,23,40,0,3,3,0,44,1857,101,0,44,0,0,0,0,0,0,False,False,False
