date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-10-02,0,27,42,0,3,3,0,8,132,96,0,8,0,0,0,0,0,0
2014-10-03,0,27,42,0,3,3,0,9,156,96,0,9,0,0,0,0,0,0
2014-10-04,0,28,42,0,3,3,0,9,180,96,0,9,0,0,0,0,0,0
2014-10-05,0,28,42,0,3,3,0,10,204,96,0,10,0,0,0,0,0,0
2014-10-06,0,27,42,0,3,3,0,11,228,96,0,11,0,0,0,0,0,0
2014-10-07,0,30,42,0,3,3,0,12,252,96,0,12,0,0,0,0,0,0
2014-10-08,0,28,42,0,3,3,0,13,276,96,0,13,0,0,0,0,0,0
2014-10-09,0,28,42,0,3,3,0,14,300,96,0,14,0,0,0,0,0,0
2014-10-10,0,28,42,0,3,3,0,15,324,96,0,15,0,0,0,0,0,0
2014-10-11,0,28,42,0,3,3,0,16,348,96,0,16,0,0,0,0,0,0
2014-10-12,0,28,42,0,3,3,0,17,372,96,0,17,0,0,0,0,0,0
2014-10-13,0,27,42,0,3,3,0,18,396,96,0,18,0,0,0,0,0,0
2014-10-14,0,27,42,0,3,3,0,18,420,96,0,18,0,0,0,0,0,0
2014-10-15,0,27,42,0,3,3,0,19,444,96,0,19,0,0,0,0,0,0
2014-10-16,0,27,42,0,3,3,0,20,468,96,0,20,0,0,0,0,0,0
2014-10-17,0,26,42,0,3,3,0,21,492,96,0,21,0,0,0,0,0,0
2014-10-18,0,26,42,0,3,3,0,22,516,96,0,22,0,0,0,0,0,0
2014-10-19,0,26,42,0,3,3,0,23,540,96,0,23,0,0,0,0,0,0
2014-10-20,0,26,42,0,3,3,0,23,564,96,0,23,0,0,0,0,0,0
2014-10-21,0,26,42,0,3,3,0,24,588,96,0,24,0,0,0,0,0,0
2014-10-22,0,26,42,0,3,3,0,25,612,96,0,25,0,0,0,0,0,0
2014-10-23,0,26,42,0,3,3,0,26,636,96,0,26,0,0,0,0,0,0
2014-10-24,0,26,42,0,3,3,0,26,660,96,0,26,0,0,0,0,0,0
2014-10-25,0,27,42,0,3,3,0,26,684,96,0,26,0,0,0,0,0,0
2014-10-26,0,27,42,0,3,3,0,26,708,96,0,26,0,0,0,0,0,0
2014-10-27,0,26,42,0,3,3,0,26,732,96,0,26,0,0,0,0,0,0
2014-10-28,0,26,42,0,3,3,0,26,756,96,0,26,0,0,0,0,0,0
2014-10-29,0,26,42,0,3,3,0,27,780,96,0,27,0,0,0,0,0,0
2014-10-30,0,27,42,0,3,3,0,27,804,96,0,27,0,0,0,0,0,0
2014-10-31,0,27,42,0,3,3,0,28,828,96,0,28,0,0,0,0,0,0
2014-11-01,0,27,42,0,3,3,0,29,852,96,0,29,0,0,0,0,0,0
2014-11-03,0,27,42,0,3,3,0,31,901,96,0,31,0,0,0,0,0,0
2014-11-04,0,27,42,0,3,3,0,32,925,96,0,32,0,0,0,0,0,0
2014-11-05,0,28,42,0,3,3,0,32,949,96,0,32,0,0,0,0,0,0
2014-11-06,0,26,42,0,3,3,0,32,973,96,0,32,0,0,0,0,0,0
2014-11-07,0,26,42,0,3,3,0,32,997,96,0,32,0,0,0,0,0,0
2014-11-08,0,26,42,0,3,3,0,32,1021,96,0,32,0,0,0,0,0,0
2014-11-09,0,26,42,0,3,3,0,32,1045,96,0,32,0,0,0,0,0,0
2014-11-10,0,26,42,0,3,3,0,32,1069,96,0,32,0,0,0,0,0,0
2014-11-11,0,27,42,0,3,3,0,32,1093,96,0,32,0,0,0,0,0,0
2014-11-12,0,27,42,0,3,3,0,32,1117,96,0,32,0,0,0,0,0,0
2014-11-13,0,27,42,0,3,3,0,32,1141,96,0,32,0,0,0,0,0,0
2014-11-14,0,27,42,0,3,3,0,32,1165,96,0,32,0,0,0,0,0,0
2014-11-15,0,26,42,0,3,3,0,32,1189,96,0,32,0,0,0,0,0,0
2014-11-16,0,26,42,0,3,3,0,32,1213,96,0,32,0,0,0,0,0,0
2014-11-17,0,27,42,0,3,3,0,32,1237,96,0,32,0,0,0,0,0,0
2014-11-18,0,27,42,0,3,3,0,32,1261,96,0,32,0,0,0,0,0,0
2014-11-19,0,26,42,0,3,3,0,32,1285,96,0,32,0,0,0,0,0,0
2014-11-20,0,26,42,0,3,3,0,32,1309,96,0,32,0,0,0,0,0,0
2014-11-21,0,26,42,0,3,3,0,32,1333,96,0,32,0,0,0,0,0,0
2014-11-22,0,26,42,0,3,3,0,32,1357,96,0,32,0,0,0,0,0,0
2014-11-23,0,26,42,0,3,3,0,32,1381,96,0,32,0,0,0,0,0,0
2014-11-24,0,26,42,0,3,3,0,32,1405,96,0,32,0,0,0,0,0,0
2014-11-25,0,26,42,0,3,3,0,32,1429,96,0,32,0,0,0,0,0,0
2014-11-26,0,26,42,0,3,3,0,32,1453,96,0,32,0,0,0,0,0,0
2014-11-27,0,26,42,0,3,3,0,32,1477,96,0,32,0,0,0,0,0,0
2014-11-28,0,26,42,0,3,3,0,32,1501,96,0,32,0,0,0,0,0,0
2014-11-29,0,26,42,0,3,3,0,32,1525,96,0,32,0,0,0,0,0,0
2014-11-30,0,26,42,0,3,3,0,32,1549,96,0,32,0,0,0,0,0,0
2014-12-01,0,26,42,0,3,3,0,32,1573,96,0,32,0,0,0,0,0,0
2014-12-02,0,26,42,0,3,3,0,32,1597,96,0,32,0,0,0,0,0,0
2014-12-03,0,26,42,0,3,3,0,32,1621,96,0,32,0,0,0,0,0,0
2014-12-04,0,26,42,0,3,3,0,32,1645,96,0,32,0,0,0,0,0,0
2014-12-05,0,26,42,0,3,3,0,32,1669,96,0,32,0,0,0,0,0,0
2014-12-06,0,26,42,0,3,3,0,32,1693,96,0,32,0,0,0,0,0,0
2014-12-07,0,26,42,0,3,3,0,32,1717,96,0,32,0,0,0,0,0,0
2014-12-08,0,26,42,0,3,3,0,32,1741,96,0,32,0,0,0,0,0,0
2014-12-09,0,26,42,0,3,3,0,32,1765,96,0,32,0,0,0,0,0,0
2014-12-10,0,26,42,0,3,3,0,32,1789,96,0,32,0,0,0,0,0,0
2014-12-11,0,26,42,0,3,3,0,32,1813,96,0,32,0,0,0,0,0,0
2014-12-12,0,26,42,0,3,3,0,32,1837,96,0,32,0,0,0,0,0,0
2014-12-13,0,28,42,0,3,3,0,32,1861,96,0,32,0,0,0,0,0,0
2014-12-14,0,27,42,0,3,3,0,32,1885,96,0,32,0,0,0,0,0,0
2014-12-15,0,27,42,0,3,3,0,32,1909,96,0,32,0,0,0,0,0,0
2014-12-16,0,27,42,0,3,3,0,32,1933,96,0,32,0,0,0,0,0,0
2014-12-17,0,27,42,0,3,3,0,32,1957,96,0,32,0,0,0,0,0,0
2014-12-18,0,27,42,0,3,3,0,32,1981,96,0,32,0,0,0,0,0,0
2014-12-19,0,27,42,0,3,3,0,32,2005,96,0,32,0,0,0,0,0,0
2014-12-20,0,27,42,0,3,3,0,32,2029,96,0,32,0,0,0,0,0,0
2014-12-21,0,27,42,0,3,3,0,32,2053,96,0,32,0,0,0,0,0,0
2014-12-22,0,27,42,0,3,3,0,32,2077,96,0,32,0,0,0,0,0,0
2014-12-23,0,27,42,0,3,3,0,32,2101,96,0,32,0,0,0,0,0,0
2014-12-24,0,27,42,0,3,3,0,32,2125,96,0,32,0,0,0,0,0,0
2014-12-25,0,27,42,0,3,3,0,32,2149,96,0,32,0,0,0,0,0,0
2014-12-26,0,27,42,0,3,3,0,32,2173,96,0,32,0,0,0,0,0,0
2014-12-27,0,27,42,0,3,3,0,32,2197,96,0,32,0,0,0,0,0,0
2014-12-28,0,27,42,0,3,3,0,32,2221,96,0,32,0,0,0,0,0,0
2014-12-29,0,27,42,0,3,3,0,32,2245,96,0,32,0,0,0,0,0,0
2014-12-30,0,27,42,0,3,3,0,32,2269,96,0,32,0,0,0,0,0,0
2014-12-31,0,27,42,0,3,3,0,32,2293,96,0,32,0,0,0,0,0,0
2015-01-01,0,27,42,0,3,3,0,32,2317,96,0,32,0,0,0,0,0,0
2015-01-02,0,27,42,0,3,3,0,32,2341,96,0,32,0,0,0,0,0,0
2015-01-03,0,27,42,0,3,3,0,32,2365,96,0,32,0,0,0,0,0,0
2015-01-04,0,27,42,0,3,3,0,32,2389,96,0,32,0,0,0,0,0,0
2015-01-05,0,27,42,0,3,3,0,32,2413,96,0,32,0,0,0,0,0,0
2015-01-06,0,27,42,0,3,3,0,32,2437,96,0,32,0,0,0,0,0,0
2015-01-07,0,26,42,0,3,3,0,32,2461,96,0,32,0,0,0,0,0,0
2015-01-08,0,26,42,0,3,3,0,32,2485,96,0,32,0,0,0,0,0,0
2015-01-09,0,27,42,0,3,3,0,32,2509,96,0,32,0,0,0,0,0,0
2015-01-10,0,27,42,0,3,3,0,32,2533,96,0,32,0,0,0,0,0,0
2015-01-11,0,27,42,0,3,3,0,32,2557,96,0,32,0,0,0,0,0,0
2015-01-12,0,26,42,0,3,3,0,32,2581,96,0,32,0,0,0,0,0,0
2015-01-13,0,27,42,0,3,3,0,32,2605,96,0,32,0,0,0,0,0,0
2015-01-14,0,27,42,0,3,3,0,32,2629,96,0,32,0,0,0,0,0,0
2015-01-15,0,26,42,0,3,3,0,32,2654,96,0,32,0,0,0,0,0,0
2015-01-16,0,26,42,0,3,3,0,32,2677,96,0,32,0,0,0,0,0,0
2015-01-17,0,27,42,0,3,3,0,32,2701,96,0,32,0,0,0,0,0,0
2015-01-18,0,27,42,0,3,3,0,32,2725,96,0,32,0,0,0,0,0,0
2015-01-19,0,27,42,0,3,3,0,32,2749,96,0,32,0,0,0,0,0,0
2015-01-20,0,27,42,0,3,3,0,32,2773,96,0,32,0,0,0,0,0,0
2015-01-21,0,26,42,0,3,3,0,32,2797,96,0,32,0,0,0,0,0,0
2015-01-22,0,27,42,0,3,3,0,32,2821,96,0,32,0,0,0,0,0,0
2015-01-23,0,26,42,0,3,3,0,32,2845,96,0,32,0,0,0,0,0,0
2015-01-24,0,26,42,0,3,3,0,32,2869,96,0,32,0,0,0,0,0,0
2015-01-25,0,27,42,0,3,3,0,32,2893,96,0,32,0,0,0,0,0,0
2015-01-26,0,26,42,0,3,3,0,32,2917,96,0,32,0,0,0,0,0,0
2015-01-27,0,27,42,0,3,3,0,32,2941,96,0,32,0,0,0,0,0,0
2015-01-28,0,27,42,0,3,3,0,32,2965,96,0,32,0,0,0,0,0,0
2015-01-29,0,27,42,0,3,3,0,32,2989,96,0,32,0,0,0,0,0,0
2015-01-30,0,27,42,0,3,3,0,32,3013,96,0,32,0,0,0,0,0,0
2015-01-31,0,28,42,0,3,3,0,32,3037,96,0,32,0,0,0,0,0,0
2015-02-01,0,27,42,0,3,3,0,32,3061,96,0,32,0,0,0,0,0,0
2015-02-02,0,28,42,0,3,3,0,32,3085,96,0,32,0,0,0,0,0,0
2015-02-03,0,28,42,0,3,3,0,32,3109,96,0,32,0,0,0,0,0,0
2015-02-04,0,28,42,0,3,3,0,32,3133,96,0,32,0,0,0,0,0,0
2015-02-05,0,27,42,0,3,3,0,32,3157,96,0,32,0,0,0,0,0,0
2015-02-06,0,28,42,0,3,3,0,32,3181,96,0,32,0,0,0,0,0,0
2015-02-07,0,28,42,0,3,3,0,32,3205,96,0,32,0,0,0,0,0,0
2015-02-08,0,29,42,0,3,3,0,32,3229,96,0,32,0,0,0,0,0,0
2015-02-09,0,29,42,0,3,3,0,32,3253,96,0,32,0,0,0,0,0,0
2015-02-10,0,28,42,0,3,3,0,32,3277,96,0,32,0,0,0,0,0,0
2015-02-11,0,28,42,0,3,3,0,32,3301,96,0,32,0,0,0,0,0,0
2015-02-12,0,28,42,0,3,3,0,32,3325,96,0,32,0,0,0,0,0,0
2015-02-13,0,28,42,0,3,3,0,32,3349,96,0,32,0,0,0,0,0,0
2015-02-14,0,28,42,0,3,3,0,32,3373,96,0,32,0,0,0,0,0,0
2015-02-15,0,28,42,0,3,3,0,32,3397,96,0,32,0,0,0,0,0,0
2015-02-16,0,28,42,0,3,3,0,32,3421,96,0,32,0,0,0,0,0,0
2015-02-17,0,28,42,0,3,3,0,32,3446,96,0,32,0,0,0,0,0,0
2015-02-18,0,27,42,0,3,3,0,32,3469,96,0,32,0,0,0,0,0,0
2015-02-19,0,27,42,0,3,3,0,32,3493,96,0,32,0,0,0,0,0,0
2015-02-20,0,27,42,0,3,3,0,32,3517,96,0,32,0,0,0,0,0,0
2015-02-21,0,27,42,0,3,3,0,32,3541,96,0,32,0,0,0,0,0,0
2015-02-22,0,27,42,0,3,3,0,32,3565,96,0,32,0,0,0,0,0,0
2015-02-23,0,27,42,0,3,3,0,32,3589,96,0,32,0,0,0,0,0,0
2015-02-24,0,28,42,0,3,3,0,32,3613,96,0,32,0,0,0,0,0,0
2015-02-25,0,28,42,0,3,3,0,32,3637,96,0,32,0,0,0,0,0,0
2015-02-26,0,27,42,0,3,3,0,32,3661,96,0,32,0,0,0,0,0,0
2015-02-27,0,28,42,0,3,3,0,32,3686,96,0,32,0,0,0,0,0,0
2015-02-28,0,28,42,0,3,3,0,32,3709,96,0,32,0,0,0,0,0,0
2015-03-01,0,27,42,0,3,3,0,32,3733,96,0,32,0,0,0,0,0,0
2015-03-02,0,27,42,0,3,3,0,32,3757,96,0,32,0,0,0,0,0,0
2015-03-03,0,27,42,0,3,3,0,32,3781,96,0,32,0,0,0,0,0,0
2015-03-04,0,27,42,0,3,3,0,32,3805,96,0,32,0,0,0,0,0,0
2015-03-05,0,27,42,0,3,3,0,32,3829,96,0,32,0,0,0,0,0,0
2015-03-06,0,28,42,0,3,3,0,32,3853,96,0,32,0,0,0,0,0,0
2015-03-07,0,28,42,0,3,3,0,32,3877,96,0,32,0,0,0,0,0,0
2015-03-08,0,28,42,0,3,3,0,32,3901,96,0,32,0,0,0,0,0,0
2015-03-09,0,28,42,0,3,3,0,32,3926,96,0,32,0,0,0,0,0,0
2015-03-10,0,28,42,0,3,3,0,32,3949,96,0,32,0,0,0,0,0,0
2015-03-11,0,28,42,0,3,3,0,32,3972,96,0,32,0,0,0,0,0,0
2015-03-12,0,28,42,0,3,3,0,32,3996,96,0,32,0,0,0,0,0,0
2015-03-13,0,28,42,0,3,3,0,32,4020,96,0,32,0,0,0,0,0,0
2015-03-14,0,28,42,0,3,3,0,32,4044,96,0,32,0,0,0,0,0,0
2015-03-15,0,29,42,0,3,3,0,32,4068,96,0,32,0,0,0,0,0,0
2015-03-16,0,28,42,0,3,3,0,32,4092,96,0,32,0,0,0,0,0,0
2015-03-17,0,28,42,0,3,3,0,32,4116,96,0,32,0,0,0,0,0,0
2015-03-18,0,28,42,0,3,3,0,32,4140,96,0,32,0,0,0,0,0,0
2015-03-19,0,29,42,0,3,3,0,32,4164,96,0,32,0,0,0,0,0,0
2015-03-20,0,29,42,0,3,3,0,32,4189,96,0,32,0,0,0,0,0,0
2015-03-21,0,28,42,0,3,3,0,32,4212,96,0,32,0,0,0,0,0,0
2015-03-22,0,29,42,0,3,3,0,32,4236,96,0,32,0,0,0,0,0,0
2015-03-23,0,28,42,0,3,3,0,32,4260,96,0,32,0,0,0,0,0,0
2015-03-24,0,28,42,0,3,3,0,32,4284,96,0,32,0,0,0,0,0,0
2015-03-25,0,28,42,0,3,3,0,32,4308,96,0,32,0,0,0,0,0,0
2015-03-26,0,28,42,0,3,3,0,32,4332,96,0,32,0,0,0,0,0,0
2015-03-27,0,29,42,0,3,3,0,32,4356,96,0,32,0,0,0,0,0,0
2015-03-28,0,29,42,0,3,3,0,32,4380,96,0,32,0,0,0,0,0,0
2015-03-29,0,28,42,0,3,3,0,32,4404,96,0,32,0,0,0,0,0,0
2015-03-30,0,28,42,0,3,3,0,32,4428,96,0,32,0,0,0,0,0,0
2015-03-31,0,28,42,0,3,3,0,32,4452,96,0,32,0,0,0,0,0,0
2015-04-01,0,28,42,0,3,3,0,32,4476,96,0,32,0,0,0,0,0,0
2015-04-02,0,28,42,0,3,3,0,32,4500,96,0,32,0,0,0,0,0,0
2015-04-03,0,28,42,0,3,3,0,32,4524,96,0,32,0,0,0,0,0,0
2015-04-04,0,28,42,0,3,3,0,32,4548,96,0,32,0,0,0,0,0,0
2015-04-05,0,28,42,0,3,3,0,32,4572,96,0,32,0,0,0,0,0,0
2015-04-06,0,28,42,0,3,3,0,32,4596,96,0,32,0,0,0,0,0,0
2015-04-07,0,28,42,0,3,3,0,32,4620,96,0,32,0,0,0,0,0,0
2015-04-08,0,28,42,0,3,3,0,32,4644,96,0,32,0,0,0,0,0,0
2015-04-09,0,30,42,0,3,3,0,32,4668,96,0,32,0,0,0,0,0,0
2015-04-10,0,29,42,0,3,3,0,32,4692,96,0,32,0,0,0,0,0,0
2015-04-11,0,28,42,0,3,3,0,32,4716,96,0,32,0,0,0,0,0,0
2015-04-12,0,29,42,0,3,3,0,32,4741,96,0,32,0,0,0,0,0,0
2015-04-13,0,28,42,0,3,3,0,32,4764,96,0,32,0,0,0,0,0,0
2015-04-14,0,29,42,0,3,3,0,32,4788,96,0,32,0,0,0,0,0,0
2015-04-15,0,28,42,0,3,3,0,32,4812,96,0,32,0,0,0,0,0,0
2015-04-16,0,28,42,0,3,3,0,32,4836,96,0,32,0,0,0,0,0,0
2015-04-17,0,29,42,0,3,3,0,32,4860,96,0,32,0,0,0,0,0,0
2015-04-18,0,27,42,0,3,3,0,32,4884,96,0,32,0,0,0,0,0,0
2015-04-19,0,29,42,0,3,3,0,32,4908,96,0,32,0,0,0,0,0,0
2015-04-20,0,30,42,0,3,3,0,32,4932,96,0,32,0,0,0,0,0,0
2015-04-21,0,29,42,0,3,3,0,32,4956,96,0,32,0,0,0,0,0,0
2015-04-22,0,30,42,0,3,3,0,32,4981,96,0,32,0,0,0,0,0,0
2015-04-23,0,27,42,0,3,3,0,33,5004,96,0,33,0,0,0,0,0,0
2015-04-24,0,29,42,0,3,3,0,34,5028,96,0,34,0,0,0,0,0,0
