date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-11-14,0,31,42,0,7,7,0,7,3751,105,0,7,433,0,0,0,0,0
2014-11-15,0,29,42,0,7,7,0,7,3775,105,0,7,433,0,0,0,0,0
2014-11-16,0,29,41,0,7,7,0,7,3798,105,0,7,433,0,0,0,0,0
2014-11-17,0,30,42,0,7,7,0,7,3822,105,0,7,433,0,0,0,0,0
2014-11-18,0,31,42,0,7,7,0,7,3847,105,0,7,433,0,0,0,0,0
2014-11-19,0,30,42,0,7,7,0,7,3870,106,0,7,433,0,0,0,0,0
2014-11-20,0,30,42,0,7,7,0,7,3894,105,0,7,433,0,0,0,0,0
2014-11-21,0,30,41,0,7,7,0,7,3918,107,0,7,433,0,0,0,0,0
2014-11-22,0,30,42,0,7,7,0,7,3943,106,0,7,433,0,0,0,0,0
2014-11-23,0,30,41,0,7,7,0,7,3966,105,0,7,433,0,0,0,0,0
2014-11-24,0,30,42,0,7,7,0,7,3990,105,0,7,433,0,0,0,0,0
2014-11-25,0,29,42,0,7,7,0,7,4015,105,0,7,433,0,0,0,0,0
2014-11-26,0,30,41,0,7,7,0,7,4038,106,0,7,433,0,0,0,0,0
2014-11-27,0,30,42,0,7,7,0,7,4062,105,0,7,433,0,0,0,0,0
2014-11-28,0,29,42,0,7,7,0,7,4087,106,0,7,433,0,0,0,0,0
2014-11-29,0,30,42,0,7,7,0,7,4110,105,0,7,433,0,0,0,0,0
2014-11-30,0,30,41,0,7,7,0,7,4134,105,0,7,433,0,0,0,0,0
2014-12-01,0,29,42,0,7,7,0,7,4158,105,0,7,433,0,0,0,0,0
2014-12-02,0,30,42,0,7,7,0,7,4183,105,0,7,433,0,0,0,0,0
2014-12-03,0,31,42,0,7,7,0,7,4206,105,0,7,433,0,0,0,0,0
2014-12-04,0,30,42,0,7,7,0,7,4230,105,0,7,433,0,0,0,0,0
2014-12-05,0,29,42,0,7,7,0,7,4255,105,0,7,433,0,0,0,0,0
2014-12-06,0,30,42,0,7,7,0,7,4278,105,0,7,433,0,0,0,0,0
2014-12-07,0,30,42,0,7,7,0,7,4302,105,0,7,433,0,0,0,0,0
2014-12-08,0,30,41,0,7,7,0,7,4327,105,0,7,433,0,0,0,0,0
2014-12-09,0,30,42,0,7,7,0,7,4350,105,0,7,433,0,0,0,0,0
2014-12-10,0,30,42,0,7,7,0,7,4374,105,0,7,433,0,0,0,0,0
2014-12-11,0,30,42,0,7,7,0,7,4398,105,0,7,433,0,0,0,0,0
2014-12-12,0,30,41,0,7,7,0,7,4423,106,0,7,433,0,0,0,0,0
2014-12-13,0,31,42,0,7,7,0,7,4446,105,0,7,433,0,0,0,0,0
2014-12-14,0,29,42,0,7,7,0,7,4470,105,0,7,433,0,0,0,0,0
2014-12-15,0,30,42,0,7,7,0,7,4495,106,0,7,433,0,0,0,0,0
2014-12-16,0,29,42,0,8,8,0,8,4519,106,0,8,433,0,0,0,0,0
2014-12-17,0,30,43,0,8,8,0,8,4542,106,0,8,433,0,0,0,0,0
2014-12-18,0,28,42,0,9,9,0,9,4566,105,0,9,433,0,0,0,0,0
2014-12-19,0,28,42,0,9,9,0,9,4590,105,0,9,433,0,0,0,0,0
2014-12-20,0,28,42,0,9,9,0,9,4614,105,0,9,433,0,0,0,0,0
2014-12-21,0,29,42,0,9,9,0,9,4638,105,0,9,433,0,0,0,0,0
2014-12-22,0,28,42,0,9,9,0,9,4662,105,0,9,433,0,0,0,0,0
2014-12-23,0,28,42,0,9,9,0,9,4686,105,0,9,433,0,0,0,0,0
2014-12-24,0,28,42,0,9,9,0,9,4710,105,0,9,433,0,0,0,0,0
2014-12-25,0,28,42,0,9,9,0,9,4734,105,0,9,433,0,0,0,0,0
2014-12-26,0,28,42,0,9,9,0,9,4758,105,0,9,433,0,0,0,0,0
2014-12-27,0,28,42,0,9,9,0,9,4783,105,0,9,433,0,0,0,0,0
2014-12-28,0,28,42,0,9,9,0,9,4806,105,0,9,433,0,0,0,0,0
2014-12-29,0,28,42,0,9,9,0,9,4830,105,0,9,433,0,0,0,0,0
2014-12-30,0,28,40,0,9,9,0,9,4854,108,0,9,433,0,0,0,0,0
2014-12-31,0,28,40,0,9,9,0,9,4878,108,0,9,433,0,0,0,0,0
2015-01-01,0,29,40,0,9,9,0,9,4902,108,0,9,433,0,0,0,0,0
