date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-08-30,0,25,42,0,3,3,0,3,79,101,0,3,0,0,0,0,0,0
2014-08-31,0,25,42,0,3,3,0,4,103,101,0,4,0,0,0,0,0,0
2014-09-01,0,25,42,0,3,3,0,5,127,101,0,5,0,0,0,0,0,0
2014-09-02,0,25,42,0,3,3,0,6,152,101,0,6,0,0,0,0,0,0
2014-09-03,0,25,42,0,3,3,0,7,176,101,0,7,0,0,0,0,0,0
2014-09-04,0,25,42,0,3,3,0,8,199,101,0,8,0,0,0,0,0,0
2014-09-05,0,25,42,0,3,3,0,9,224,101,0,9,0,0,0,0,0,0
2014-09-06,0,25,42,0,3,3,0,10,248,101,0,10,0,0,0,0,0,0
2014-09-07,0,25,42,0,3,3,0,10,271,101,0,10,0,0,0,0,0,0
2014-09-08,0,25,42,0,3,3,0,10,296,101,0,10,0,0,0,0,0,0
2014-09-09,0,24,42,0,3,3,0,10,320,101,0,10,0,0,0,0,0,0
2014-09-10,0,25,42,0,3,3,0,10,343,101,0,10,0,0,0,0,0,0
2014-09-11,0,27,42,0,3,3,0,10,367,101,0,10,0,0,0,0,0,0
2014-09-12,0,27,42,0,4,4,0,11,390,101,0,11,0,0,0,0,0,0
2014-09-13,0,30,42,0,4,4,0,11,415,101,0,11,0,0,0,0,0,0
2014-09-14,0,30,42,0,4,4,0,11,439,101,0,11,0,0,0,0,0,0
2014-09-15,0,30,42,0,4,4,0,11,462,101,0,11,0,0,0,0,0,0
2014-09-16,0,31,42,0,4,4,0,11,487,101,0,11,0,0,0,0,0,0
2014-09-17,0,30,42,0,4,4,0,11,511,101,0,11,0,0,0,0,0,0
2014-09-18,0,31,42,0,4,4,0,11,528,101,0,11,0,0,0,0,0,0
2014-12-10,0,24,42,0,10,11,0,93,2526,101,0,93,558,0,0,0,0,0
2014-12-11,0,24,42,0,10,11,0,94,2549,101,0,94,558,0,0,0,0,0
2014-12-12,0,23,42,0,10,11,0,95,2574,101,0,95,558,0,0,0,0,0
2014-12-13,0,25,42,0,10,11,0,96,2598,101,0,96,558,0,0,0,0,0
2014-12-14,0,24,42,0,10,11,0,97,2621,101,0,97,558,0,0,0,0,0
2014-12-15,0,24,42,0,10,11,0,98,2646,101,0,98,558,0,0,0,0,0
2014-12-16,0,24,42,0,11,12,0,100,2670,101,0,100,558,0,0,0,0,0
2014-12-17,0,24,42,0,11,12,0,100,2694,101,0,100,558,0,0,0,0,0
2014-12-18,0,24,42,0,11,12,0,101,2717,101,0,101,558,0,0,0,0,0
2014-12-19,0,24,42,0,11,12,0,102,2734,102,0,102,558,0,0,0,0,0
2014-12-23,0,24,42,0,11,12,0,105,2838,101,0,105,558,0,0,0,0,0
2014-12-24,0,24,42,0,11,12,0,105,2862,101,0,105,558,0,0,0,0,0
2014-12-25,0,25,42,0,11,12,0,106,2886,102,0,106,558,0,0,0,0,0
2014-12-26,0,24,42,0,11,12,0,107,2910,101,0,107,558,0,0,0,0,0
2014-12-27,0,24,42,0,11,12,0,108,2934,101,0,108,558,0,0,0,0,0
2014-12-28,0,24,42,0,11,12,0,109,2958,101,0,109,558,0,0,0,0,0
2014-12-29,0,24,42,0,11,12,0,110,2982,101,0,110,558,0,0,0,0,0
