date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-11-14,0,28,42,0,6,6,0,6,3752,108,0,6,450,0,0,0,0,0
2014-11-15,0,27,43,0,6,6,0,6,3777,108,0,6,450,0,0,0,0,0
2014-11-16,0,27,43,0,6,6,0,6,3801,108,0,6,450,0,0,0,0,0
2014-11-17,0,27,43,0,6,6,0,6,3824,108,0,6,450,0,0,0,0,0
2014-11-18,0,27,43,0,6,6,0,6,3849,108,0,6,450,0,0,0,0,0
2014-11-19,0,27,42,0,6,6,0,6,3873,108,0,6,450,0,0,0,0,0
2014-11-20,0,27,42,0,6,6,0,6,3897,108,0,6,450,0,0,0,0,0
2014-11-21,0,27,42,0,6,6,0,6,3920,108,0,6,450,0,0,0,0,0
2014-11-22,0,27,43,0,6,6,0,6,3945,108,0,6,450,0,0,0,0,0
2014-11-23,0,27,43,0,6,6,0,6,3969,108,0,6,450,0,0,0,0,0
2014-11-24,0,27,42,0,6,6,0,6,3992,108,0,6,450,0,0,0,0,0
2014-11-25,0,27,42,0,6,6,0,6,4017,108,0,6,450,0,0,0,0,0
2014-11-26,0,29,42,0,6,6,0,6,4041,108,0,6,450,0,0,0,0,0
2014-11-27,0,27,43,0,6,6,0,6,4065,108,0,6,450,0,0,0,0,0
2014-11-28,0,27,43,0,6,6,0,6,4088,108,0,6,450,0,0,0,0,0
2014-11-29,0,27,42,0,6,6,0,6,4113,108,0,6,450,0,0,0,0,0
2014-11-30,0,27,43,0,6,6,0,6,4137,108,0,6,450,0,0,0,0,0
2014-12-01,0,27,42,0,6,6,0,6,4160,108,0,6,450,0,0,0,0,0
2014-12-02,0,27,42,0,6,6,0,6,4185,108,0,6,450,0,0,0,0,0
2014-12-03,0,27,42,0,6,6,0,6,4209,108,0,6,450,0,0,0,0,0
2014-12-04,0,27,43,0,6,6,0,6,4232,108,0,6,450,0,0,0,0,0
2014-12-05,0,27,42,0,6,6,0,6,4257,108,0,6,450,0,0,0,0,0
2014-12-06,0,28,42,0,6,6,0,6,4281,108,0,6,450,0,0,0,0,0
2014-12-07,0,27,42,0,6,6,0,6,4305,108,0,6,450,0,0,0,0,0
2014-12-08,0,28,42,0,6,6,0,6,4329,108,0,6,450,0,0,0,0,0
2014-12-09,0,27,42,0,6,6,0,6,4353,108,0,6,450,0,0,0,0,0
2014-12-10,0,28,42,0,6,6,0,6,4377,108,0,6,450,0,0,0,0,0
2014-12-11,0,28,42,0,6,6,0,6,4400,108,0,6,450,0,0,0,0,0
