date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-11-14,0,27,42,0,5,5,0,158,3749,102,0,158,554,0,0,0,0,0
2014-11-15,0,26,43,0,5,5,0,159,3774,102,0,159,554,0,0,0,0,0
2014-11-16,0,26,42,0,5,5,0,160,3798,102,0,160,554,0,0,0,0,0
2014-11-17,0,26,42,0,5,5,0,161,3822,102,0,161,554,0,0,0,0,0
2014-11-18,0,26,43,0,5,5,0,162,3846,102,0,162,554,0,0,0,0,0
2014-11-19,0,26,42,0,5,5,0,163,3870,102,0,163,554,0,0,0,0,0
2014-11-20,0,27,43,0,5,5,0,164,3894,102,0,164,554,0,0,0,0,0
2014-11-21,0,27,42,0,5,5,0,165,3917,102,0,165,554,0,0,0,0,0
2014-11-22,0,27,42,0,5,5,0,166,3942,103,0,166,554,0,0,0,0,0
2014-11-23,0,26,42,0,5,5,0,167,3966,102,0,167,554,0,0,0,0,0
2014-11-24,0,26,42,0,5,5,0,168,3990,102,0,168,554,0,0,0,0,0
2014-11-25,0,26,43,0,5,5,0,169,4013,102,0,169,554,0,0,0,0,0
2014-11-26,0,27,42,0,5,5,0,170,4038,103,0,170,554,0,0,0,0,0
2014-11-27,0,27,42,0,5,5,0,171,4062,102,0,171,554,0,0,0,0,0
2014-11-28,0,27,41,0,5,5,0,172,4085,102,0,172,554,0,0,0,0,0
2014-11-29,0,27,42,0,5,5,0,173,4110,102,0,173,554,0,0,0,0,0
2014-11-30,0,27,42,0,5,5,0,174,4134,102,0,174,554,0,0,0,0,0
2014-12-01,0,27,42,0,5,5,0,175,4157,102,0,175,554,0,0,0,0,0
2014-12-02,0,26,42,0,5,5,0,176,4182,102,0,176,554,0,0,0,0,0
2014-12-03,0,27,42,0,5,5,0,177,4206,102,0,177,554,0,0,0,0,0
2014-12-04,0,27,42,0,5,5,0,178,4230,102,0,178,554,0,0,0,0,0
2014-12-05,0,27,42,0,5,5,0,179,4254,102,0,179,554,0,0,0,0,0
2014-12-06,0,27,43,0,5,5,0,180,4278,102,0,180,554,0,0,0,0,0
2014-12-07,0,27,42,0,5,5,0,181,4302,102,0,181,554,0,0,0,0,0
2014-12-08,0,27,42,0,5,5,0,182,4325,102,0,182,554,0,0,0,0,0
2014-12-09,0,27,42,0,5,5,0,183,4350,102,0,183,554,0,0,0,0,0
2014-12-10,0,27,42,0,5,5,0,184,4374,102,0,184,554,0,0,0,0,0
2014-12-11,0,27,42,0,5,5,0,185,4397,102,0,185,554,0,0,0,0,0
2014-12-12,0,26,42,0,5,5,0,186,4422,102,0,186,554,0,0,0,0,0
2014-12-13,0,28,42,0,5,5,0,187,4446,102,0,187,554,0,0,0,0,0
2014-12-14,0,27,42,0,5,5,0,188,4470,102,0,188,554,0,0,0,0,0
2014-12-15,0,26,42,0,5,5,0,189,4493,103,0,189,554,0,0,0,0,0
2014-12-16,0,27,42,0,6,6,0,190,4517,102,0,190,554,0,0,0,0,0
2014-12-17,0,28,42,0,7,7,0,192,4541,102,0,192,554,0,0,0,0,0
2014-12-18,0,29,43,0,7,7,0,193,4565,102,0,193,554,0,0,0,0,0
2014-12-19,0,29,42,0,7,7,0,194,4590,103,0,194,554,0,0,0,0,0
2014-12-20,0,29,42,0,7,7,0,195,4613,103,0,195,554,0,0,0,0,0
2014-12-21,0,30,42,0,7,7,0,196,4637,103,0,196,554,0,0,0,0,0
2014-12-22,0,29,42,0,7,7,0,197,4662,103,0,197,554,0,0,0,0,0
2014-12-23,0,29,42,0,7,7,0,198,4685,102,0,198,554,0,0,0,0,0
2014-12-24,0,29,42,0,7,7,0,199,4709,102,0,199,554,0,0,0,0,0
2014-12-25,0,29,42,0,7,7,0,200,4733,102,0,200,554,0,0,0,0,0
2014-12-26,0,29,42,0,7,7,0,200,4758,102,0,200,554,0,0,0,0,0
2014-12-27,0,29,42,0,7,7,0,201,4781,102,0,201,554,0,0,0,0,0
2014-12-28,0,28,42,0,7,7,0,202,4805,102,0,202,554,0,0,0,0,0
2014-12-29,0,28,42,0,7,7,0,202,4830,103,0,202,554,0,0,0,0,0
2014-12-30,0,28,42,0,7,7,0,203,4853,103,0,203,554,0,0,0,0,0
2014-12-31,0,29,42,0,7,7,0,204,4877,103,0,204,554,0,0,0,0,0
2015-01-01,0,29,42,0,7,7,0,204,4902,103,0,204,554,0,0,0,0,0
2015-01-02,0,29,42,0,7,7,0,204,4925,103,0,204,554,0,0,0,0,0
2015-01-03,0,29,42,0,7,7,0,204,4949,103,0,204,554,0,0,0,0,0
2015-01-04,0,29,42,0,7,7,0,204,4974,103,0,204,554,0,0,0,0,0
2015-01-05,0,28,42,0,7,7,0,204,4998,103,0,204,554,0,0,0,0,0
2015-01-06,0,28,42,0,7,7,0,205,5021,102,0,205,554,0,0,0,0,0
2015-01-07,0,29,42,0,7,7,0,206,5046,102,0,206,554,0,0,0,0,0
2015-01-08,0,28,42,0,7,7,0,206,5070,102,0,206,554,0,0,0,0,0
