date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-08-13,0,27,0,0,3,3,0,3,8,0,0,3,0,0,0,0,0,0
2014-08-14,0,27,0,0,3,3,0,4,32,0,0,4,0,0,0,0,0,0
2014-08-15,0,30,0,0,3,3,0,5,55,0,0,5,0,0,0,0,0,0
2014-08-16,0,29,0,0,3,3,0,5,80,0,0,5,0,0,0,0,0,0
2014-08-17,0,30,0,0,3,3,0,6,104,0,0,6,0,0,0,0,0,0
2014-08-18,0,30,0,0,3,3,0,6,128,0,0,6,0,0,0,0,0,0
2014-08-19,0,30,0,0,3,3,0,6,151,0,0,6,0,0,0,0,0,0
2014-08-20,0,30,0,0,3,3,0,6,176,0,0,6,0,0,0,0,0,0
2014-08-21,0,31,0,0,3,3,0,6,200,0,0,6,0,0,0,0,0,0
2014-08-22,0,29,0,0,3,3,0,6,223,0,0,6,0,0,0,0,0,0
2014-08-23,0,29,0,0,3,3,0,6,248,0,0,6,0,0,0,0,0,0
2014-08-24,0,29,0,0,3,3,0,6,272,0,0,6,0,0,0,0,0,0
2014-08-25,0,30,0,0,3,3,0,6,296,0,0,6,0,0,0,0,0,0
2014-08-26,0,25,0,0,3,3,0,6,320,0,0,6,0,0,0,0,0,0
2014-10-02,0,22,43,0,3,4,0,12,1208,100,0,12,0,0,0,0,0,0
2014-10-03,0,22,43,0,3,4,0,13,1232,100,0,13,0,0,0,0,0,0
2014-10-04,0,22,43,0,3,4,0,13,1256,100,0,13,0,0,0,0,0,0
2014-10-05,0,22,43,0,3,4,0,13,1280,100,0,13,0,0,0,0,0,0
2014-10-06,0,22,43,0,3,4,0,13,1304,100,0,13,0,0,0,0,0,0
2014-10-07,0,22,43,0,3,4,0,13,1328,100,0,13,0,0,0,0,0,0
2014-10-08,0,23,42,0,3,4,0,14,1352,100,0,14,0,0,0,0,0,0
2014-10-09,0,22,42,0,3,4,0,14,1376,100,0,14,0,0,0,0,0,0
2014-10-10,0,22,42,0,3,4,0,14,1400,100,0,14,0,0,0,0,0,0
2014-10-11,0,22,42,0,3,4,0,15,1424,100,0,15,0,0,0,0,0,0
2014-10-12,0,22,42,0,3,4,0,15,1448,100,0,15,0,0,0,0,0,0
2014-10-13,0,22,42,0,3,4,0,15,1472,100,0,15,0,0,0,0,0,0
2014-10-14,0,21,42,0,3,4,0,15,1496,100,0,15,0,0,0,0,0,0
2014-10-15,0,21,42,0,3,4,0,15,1520,100,0,15,0,0,0,0,0,0
2014-10-16,0,21,42,0,3,4,0,15,1544,100,0,15,0,0,0,0,0,0
2014-10-17,0,21,42,0,3,4,0,16,1568,100,0,16,0,0,0,0,0,0
2014-10-18,0,21,43,0,3,4,0,16,1592,100,0,16,0,0,0,0,0,0
2014-10-19,0,20,42,0,3,4,0,17,1616,100,0,17,0,0,0,0,0,0
2014-10-20,0,20,42,0,3,4,0,18,1640,100,0,18,0,0,0,0,0,0
2014-10-21,0,20,42,0,3,4,0,19,1664,100,0,19,0,0,0,0,0,0
2014-10-22,0,20,42,0,3,4,0,20,1687,100,0,20,0,0,0,0,0,0
2014-10-23,0,20,42,0,3,4,0,21,1712,100,0,21,0,0,0,0,0,0
2014-10-24,0,20,42,0,3,4,0,22,1736,100,0,22,0,0,0,0,0,0
2014-10-25,0,20,42,0,3,4,0,22,1760,100,0,22,0,0,0,0,0,0
2014-10-26,0,21,42,0,3,4,0,22,1784,100,0,22,0,0,0,0,0,0
2014-10-27,0,20,42,0,3,4,0,22,1808,100,0,22,0,0,0,0,0,0
2014-10-28,0,21,42,0,3,4,0,22,1832,101,0,22,0,0,0,0,0,0
2014-10-29,0,21,42,0,3,4,0,22,1856,101,0,22,0,0,0,0,0,0
2014-10-30,0,21,43,0,3,4,0,23,1880,101,0,23,0,0,0,0,0,0
2014-10-31,0,21,43,0,3,4,0,23,1904,101,0,23,0,0,0,0,0,0
2014-11-01,0,21,43,0,3,4,0,23,1927,100,0,23,0,0,0,0,0,0
2014-11-03,0,21,43,0,3,4,0,23,1977,100,0,23,0,0,0,0,0,0
2014-11-04,0,21,43,0,3,4,0,23,2001,100,0,23,0,0,0,0,0,0
2014-11-05,0,26,44,0,3,4,0,23,2025,100,0,23,0,0,0,0,0,0
2014-11-06,0,21,44,0,3,4,0,24,2049,100,0,24,0,0,0,0,0,0
2014-11-07,0,21,44,0,3,4,0,24,2073,100,0,24,0,0,0,0,0,0
2014-11-08,0,21,44,0,3,4,0,24,2097,101,0,24,0,0,0,0,0,0
2014-11-09,0,21,44,0,3,4,0,24,2121,101,0,24,0,0,0,0,0,0
2014-11-10,0,21,43,0,3,4,0,25,2145,101,0,25,0,0,0,0,0,0
2014-11-11,0,21,43,0,3,4,0,25,2169,101,0,25,0,0,0,0,0,0
2014-11-12,0,21,43,0,3,4,0,25,2193,100,0,25,0,0,0,0,0,0
2014-11-13,0,21,43,0,3,4,0,25,2217,100,0,25,0,0,0,0,0,0
2014-11-14,0,21,41,0,3,4,0,26,2241,100,0,26,0,0,0,0,0,0
2014-11-15,0,20,40,0,3,4,0,27,2265,101,0,27,0,0,0,0,0,0
2014-11-16,0,20,42,0,3,4,0,28,2289,100,0,28,0,0,0,0,0,0
2014-11-17,0,20,42,0,3,4,0,29,2313,100,0,29,0,0,0,0,0,0
2014-11-18,0,21,42,0,3,4,0,30,2337,100,0,30,0,0,0,0,0,0
2014-11-19,0,21,42,0,3,4,0,30,2361,100,0,30,0,0,0,0,0,0
2014-11-20,0,21,42,0,3,4,0,31,2385,100,0,31,0,0,0,0,0,0
2014-11-21,0,21,42,0,3,4,0,32,2409,100,0,32,0,0,0,0,0,0
2014-11-22,0,21,42,0,3,4,0,33,2433,100,0,33,0,0,0,0,0,0
2014-11-23,0,21,42,0,3,4,0,33,2457,100,0,33,0,0,0,0,0,0
2014-11-24,0,21,42,0,3,4,0,34,2481,100,0,34,0,0,0,0,0,0
2014-11-25,0,21,42,0,3,4,0,35,2505,100,0,35,0,0,0,0,0,0
2014-11-26,0,21,42,0,3,4,0,35,2529,100,0,35,0,0,0,0,0,0
2014-11-27,0,21,42,0,3,4,0,35,2553,100,0,35,0,0,0,0,0,0
2014-11-28,0,21,42,0,3,4,0,35,2577,100,0,35,0,0,0,0,0,0
2014-11-29,0,21,42,0,3,4,0,35,2601,100,0,35,0,0,0,0,0,0
2014-11-30,0,21,42,0,3,4,0,35,2625,100,0,35,0,0,0,0,0,0
2014-12-01,0,21,42,0,3,4,0,35,2649,100,0,35,0,0,0,0,0,0
2014-12-02,0,21,42,0,3,4,0,35,2673,100,0,35,0,0,0,0,0,0
