date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-08-13,0,26,0,0,3,3,0,3,8,0,0,3,0,0,0,0,0,0,False,False,False
2014-08-14,0,26,0,0,3,3,0,3,32,0,0,3,0,0,0,0,0,0,False,False,False
2014-08-15,0,29,0,0,3,3,0,3,56,0,0,3,0,0,0,0,0,0,False,False,False
2014-08-16,0,28,0,0,3,3,0,4,80,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-17,0,28,0,0,3,3,0,4,104,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-18,0,29,0,0,3,3,0,4,127,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-19,0,29,0,0,3,3,0,4,152,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-20,0,29,0,0,3,3,0,4,176,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-21,0,30,0,0,3,3,0,4,200,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-22,0,29,0,0,3,3,0,4,224,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-23,0,29,0,0,3,3,0,4,248,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-24,0,29,0,0,3,3,0,4,272,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-25,0,29,0,0,3,3,0,4,295,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-26,0,26,0,0,3,3,0,4,320,0,0,4,0,0,0,0,0,0,False,False,False
2014-10-02,0,23,42,0,3,4,0,13,1208,101,0,13,0,0,0,0,0,0,False,False,False
2014-10-03,0,23,42,0,3,4,0,13,1232,101,0,13,0,0,0,0,0,0,False,False,False
2014-10-04,0,24,42,0,3,4,0,13,1256,101,0,13,0,0,0,0,0,0,False,False,False
2014-10-05,0,23,41,0,3,4,0,14,1280,104,0,14,0,0,0,0,0,0,False,False,False
2014-10-06,0,23,41,0,3,4,0,14,1304,104,0,14,0,0,0,0,0,0,False,False,False
2014-10-07,0,24,41,0,3,4,0,15,1328,103,0,15,0,0,0,0,0,0,False,False,False
2014-10-08,0,24,41,0,3,4,0,15,1352,103,0,15,0,0,0,0,0,0,False,False,False
2014-10-09,0,23,41,0,3,4,0,15,1376,104,0,15,0,0,0,0,0,0,False,False,False
2014-10-10,0,24,42,0,3,4,0,15,1400,104,0,15,0,0,0,0,0,0,False,False,False
2014-10-11,0,23,42,0,3,4,0,15,1424,104,0,15,0,0,0,0,0,0,False,False,False
2014-10-12,0,24,42,0,3,4,0,15,1448,103,0,15,0,0,0,0,0,0,False,False,False
2014-10-13,0,23,42,0,3,4,0,15,1472,103,0,15,0,0,0,0,0,0,False,False,False
2014-10-14,0,23,42,0,3,4,0,16,1496,103,0,16,0,0,0,0,0,0,False,False,False
2014-10-15,0,22,42,0,3,4,0,16,1520,103,0,16,0,0,0,0,0,0,False,False,False
2014-10-16,0,22,42,0,3,4,0,16,1544,103,0,16,0,0,0,0,0,0,False,False,False
2014-10-17,0,22,42,0,3,4,0,16,1568,101,0,16,0,0,0,0,0,0,False,False,False
2014-10-18,0,22,41,0,3,4,0,17,1591,101,0,17,0,0,0,0,0,0,False,False,False
2014-10-19,0,22,42,0,3,4,0,18,1616,101,0,18,0,0,0,0,0,0,False,False,False
2014-10-20,0,22,42,0,3,4,0,19,1640,101,0,19,0,0,0,0,0,0,False,False,False
2014-10-21,0,21,42,0,3,4,0,20,1664,101,0,20,0,0,0,0,0,0,False,False,False
2014-10-22,0,22,42,0,3,4,0,21,1688,101,0,21,0,0,0,0,0,0,False,False,False
2014-10-23,0,22,42,0,3,4,0,22,1712,101,0,22,0,0,0,0,0,0,False,False,False
2014-10-24,0,22,42,0,3,4,0,23,1736,100,0,23,0,0,0,0,0,0,False,False,False
2014-10-25,0,22,42,0,3,4,0,23,1760,100,0,23,0,0,0,0,0,0,False,False,False
2014-10-26,0,22,42,0,3,4,0,23,1784,103,0,23,0,0,0,0,0,0,False,False,False
2014-10-27,0,22,42,0,3,4,0,23,1808,103,0,23,0,0,0,0,0,0,False,False,False
2014-10-28,0,22,42,0,3,4,0,23,1831,103,0,23,0,0,0,0,0,0,False,False,False
2014-10-29,0,22,43,0,3,4,0,24,1856,103,0,24,0,0,0,0,0,0,False,False,False
2014-10-30,0,22,42,0,3,4,0,25,1880,102,0,25,0,0,0,0,0,0,False,False,False
2014-10-31,0,22,42,0,3,4,0,25,1904,102,0,25,0,0,0,0,0,0,False,False,False
2014-11-01,0,22,41,0,3,4,0,25,1928,103,0,25,0,0,0,0,0,0,False,False,False
2014-11-03,0,22,41,0,3,4,0,26,1977,103,0,26,0,0,0,0,0,0,False,False,False
2014-11-04,0,22,41,0,3,4,0,27,2001,104,0,27,0,0,0,0,0,0,False,False,False
2014-11-05,0,28,41,0,3,4,0,27,2025,104,0,27,0,0,0,0,0,0,False,False,False
