date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-08-13,0,30,43,0,3,3,0,3,13,102,0,3,0,0,0,0,0,0
2014-08-14,0,30,43,0,3,3,0,3,36,102,0,3,0,0,0,0,0,0
2014-08-15,0,30,43,0,3,3,0,4,61,102,0,4,0,0,0,0,0,0
2014-08-16,0,30,43,0,3,3,0,5,85,102,0,5,0,0,0,0,0,0
2014-08-17,0,29,43,0,3,3,0,5,109,102,0,5,0,0,0,0,0,0
2014-08-18,0,30,43,0,3,3,0,5,133,102,0,5,0,0,0,0,0,0
2014-08-19,0,30,43,0,3,3,0,5,157,102,0,5,0,0,0,0,0,0
2014-08-20,0,30,43,0,3,3,0,5,181,102,0,5,0,0,0,0,0,0
2014-08-21,0,30,43,0,3,3,0,5,204,102,0,5,0,0,0,0,0,0
2014-08-22,0,29,43,0,3,3,0,5,229,102,0,5,0,0,0,0,0,0
2014-08-23,0,29,43,0,3,3,0,5,253,102,0,5,0,0,0,0,0,0
2014-08-24,0,29,43,0,3,3,0,5,276,102,0,5,0,0,0,0,0,0
2014-08-25,0,29,43,0,3,3,0,5,301,102,0,5,0,0,0,0,0,0
2014-08-26,0,25,43,0,3,3,0,5,325,102,0,5,0,0,0,0,0,0
2014-08-27,0,26,43,0,3,3,0,5,349,102,0,5,0,0,0,0,0,0
2014-08-28,0,26,42,0,3,3,0,6,373,103,0,6,0,0,0,0,0,0
2014-08-29,0,26,42,0,3,3,0,7,397,103,0,7,0,0,0,0,0,0
2014-08-30,0,26,42,0,3,3,0,8,421,103,0,8,0,0,0,0,0,0
2014-08-31,0,26,42,0,3,3,0,9,444,103,0,9,0,0,0,0,0,0
2014-09-01,0,26,42,0,3,3,0,10,469,103,0,10,0,0,0,0,0,0
2014-09-02,0,26,42,0,3,3,0,11,493,103,0,11,0,0,0,0,0,0
2014-09-03,0,26,42,0,3,3,0,12,516,103,0,12,0,0,0,0,0,0
2014-09-04,0,26,42,0,3,3,0,13,541,103,0,13,0,0,0,0,0,0
2014-09-05,0,26,42,0,3,3,0,13,565,103,0,13,0,0,0,0,0,0
2014-09-06,0,26,42,0,3,3,0,14,589,103,0,14,0,0,0,0,0,0
2014-09-07,0,26,42,0,3,3,0,15,612,103,0,15,0,0,0,0,0,0
2014-09-08,0,26,42,0,3,3,0,16,637,103,0,16,0,0,0,0,0,0
2014-09-09,0,25,42,0,3,3,0,17,661,103,0,17,0,0,0,0,0,0
2014-09-10,0,26,42,0,3,3,0,17,684,103,0,17,0,0,0,0,0,0
