date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-07-25,0,30,0,0,4,4,0,4,8,0,0,4,0,0,0,0,0,0,False,False,False
2014-07-26,0,30,0,0,4,4,0,5,32,0,0,5,0,0,0,0,0,0,False,False,False
2014-07-27,0,30,0,0,4,4,0,6,56,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-28,0,30,0,0,4,4,0,7,79,0,0,7,0,0,0,0,0,0,False,False,False
2014-07-29,0,30,0,0,4,4,0,8,104,0,0,8,0,0,0,0,0,0,False,False,False
2014-07-30,0,29,0,0,4,4,0,9,128,0,0,9,0,0,0,0,0,0,False,False,False
2014-07-31,0,29,0,0,4,4,0,10,151,0,0,10,0,0,0,0,0,0,False,False,False
2014-08-01,0,29,0,0,4,4,0,11,176,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-02,0,29,0,0,4,4,0,11,200,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-03,0,29,0,0,4,4,0,11,223,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-04,0,29,0,0,4,4,0,11,247,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-05,0,29,0,0,4,4,0,11,272,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-06,0,29,0,0,4,4,0,11,296,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-07,0,29,0,0,4,4,0,11,319,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-08,0,29,0,0,4,4,0,11,344,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-09,0,29,0,0,4,4,0,11,368,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-10,0,32,0,0,4,4,0,11,391,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-11,0,33,0,0,4,4,0,11,416,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-12,0,33,0,0,4,4,0,11,440,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-13,0,35,0,0,4,4,0,11,459,0,0,11,0,0,0,0,0,0,False,False,False
2014-08-26,0,31,42,0,4,4,0,12,776,103,0,12,0,0,0,0,0,0,False,False,False
2014-08-27,0,30,41,0,4,4,0,13,800,101,0,13,0,0,0,0,0,0,False,False,False
2014-08-28,0,31,41,0,4,4,0,13,824,101,0,13,0,0,0,0,0,0,False,False,False
2014-08-29,0,31,41,0,4,4,0,13,847,104,0,13,0,0,0,0,0,0,False,False,False
2014-08-30,0,30,41,0,4,4,0,13,872,104,0,13,0,0,0,0,0,0,False,False,False
2014-08-31,0,31,42,0,4,4,0,14,896,104,0,14,0,0,0,0,0,0,False,False,False
2014-09-01,0,31,42,0,4,4,0,14,919,104,0,14,0,0,0,0,0,0,False,False,False
2014-09-02,0,31,42,0,4,4,0,14,943,104,0,14,0,0,0,0,0,0,False,False,False
2014-09-03,0,31,42,0,4,4,0,14,968,104,0,14,0,0,0,0,0,0,False,False,False
2014-09-04,0,31,42,0,4,4,0,14,992,104,0,14,0,0,0,0,0,0,False,False,False
2014-09-05,0,31,41,0,4,4,0,15,1015,104,0,15,0,0,0,0,0,0,False,False,False
2014-09-06,0,31,41,0,4,4,0,15,1040,104,0,15,0,0,0,0,0,0,False,False,False
2014-09-07,0,31,41,0,4,4,0,15,1064,104,0,15,0,0,0,0,0,0,False,False,False
2014-09-08,0,31,43,0,4,4,0,15,1087,104,0,15,0,0,0,0,0,0,False,False,False
2014-09-09,0,30,43,0,4,4,0,16,1112,104,0,16,0,0,0,0,0,0,False,False,False
2014-09-10,0,31,42,0,4,4,0,17,1136,103,0,17,0,0,0,0,0,0,False,False,False
2014-09-11,0,31,42,0,4,4,0,17,1159,103,0,17,0,0,0,0,0,0,False,False,False
2014-09-12,0,31,42,0,4,4,0,17,1184,104,0,17,0,0,0,0,0,0,False,False,False
2014-09-13,0,31,42,0,4,4,0,17,1208,104,0,17,0,0,0,0,0,0,False,False,False
2014-09-14,0,31,42,0,4,4,0,17,1231,104,0,17,0,0,0,0,0,0,False,False,False
2014-09-15,0,32,43,0,4,4,0,18,1255,104,0,18,0,0,0,0,0,0,False,False,False
2014-09-16,0,32,43,0,4,4,0,18,1280,104,0,18,0,0,0,0,0,0,False,False,False
2014-09-17,0,32,42,0,4,4,0,19,1304,104,0,19,0,0,0,0,0,0,False,False,False
2014-09-18,0,32,42,0,4,4,0,19,1327,104,0,19,0,0,0,0,0,0,False,False,False
2014-09-19,0,32,42,0,4,4,0,20,1352,103,0,20,0,0,0,0,0,0,False,False,False
2014-09-20,0,32,42,0,4,4,0,21,1376,103,0,21,0,0,0,0,0,0,False,False,False
2014-09-21,0,32,42,0,4,4,0,21,1399,103,0,21,0,0,0,0,0,0,False,False,False
2014-09-22,0,32,42,0,4,4,0,21,1424,103,0,21,0,0,0,0,0,0,False,False,False
2014-09-23,0,32,42,0,4,4,0,21,1448,104,0,21,0,0,0,0,0,0,False,False,False
2014-09-24,0,30,42,0,4,4,0,21,1471,104,0,21,0,0,0,0,0,0,False,False,False
2014-09-25,0,30,42,0,4,4,0,21,1496,104,0,21,0,0,0,0,0,0,False,False,False
2014-09-26,0,30,43,0,4,4,0,22,1520,104,0,22,0,0,0,0,0,0,False,False,False
2014-09-27,0,30,43,0,4,4,0,22,1544,104,0,22,0,0,0,0,0,0,False,False,False
2014-09-28,0,30,43,0,4,4,0,22,1567,104,0,22,0,0,0,0,0,0,False,False,False
2014-09-29,0,30,43,0,4,4,0,22,1592,104,0,22,0,0,0,0,0,0,False,False,False
2014-09-30,0,30,43,0,4,4,0,22,1616,104,0,22,0,0,0,0,0,0,False,False,False
2014-10-01,0,31,43,0,4,4,0,22,1639,104,0,22,0,0,0,0,0,0,False,False,False
2014-10-02,0,29,44,0,4,4,0,23,1664,104,0,23,0,0,0,0,0,0,False,False,False
2014-10-03,0,29,44,0,4,4,0,23,1688,104,0,23,0,0,0,0,0,0,False,False,False
2014-10-04,0,30,44,0,4,4,0,23,1711,104,0,23,0,0,0,0,0,0,False,False,False
2014-10-05,0,30,44,0,4,4,0,23,1736,104,0,23,0,0,0,0,0,0,False,False,False
2014-10-06,0,30,42,0,4,4,0,24,1760,104,0,24,0,0,0,0,0,0,False,False,False
2014-10-07,0,30,42,0,4,4,0,24,1784,104,0,24,0,0,0,0,0,0,False,False,False
2014-10-08,0,30,42,0,4,4,0,24,1807,104,0,24,0,0,0,0,0,0,False,False,False
2014-10-09,0,29,42,0,4,4,0,24,1832,104,0,24,0,0,0,0,0,0,False,False,False
2014-10-10,0,30,42,0,4,4,0,24,1856,104,0,24,0,0,0,0,0,0,False,False,False
2014-10-11,0,30,42,0,4,4,0,24,1879,104,0,24,0,0,0,0,0,0,False,False,False
2014-10-12,0,30,42,0,4,4,0,25,1904,104,0,25,0,0,0,0,0,0,False,False,False
2014-10-13,0,29,42,0,4,4,0,25,1928,104,0,25,0,0,0,0,0,0,False,False,False
2014-10-14,0,29,42,0,4,4,0,25,1951,104,0,25,0,0,0,0,0,0,False,False,False
2014-10-15,0,28,42,0,4,4,0,25,1976,104,0,25,0,0,0,0,0,0,False,False,False
2014-10-16,0,28,44,0,4,4,0,26,2000,104,0,26,0,0,0,0,0,0,False,False,False
2014-10-17,0,28,42,0,4,4,0,27,2024,102,0,27,0,0,0,0,0,0,False,False,False
2014-10-18,0,28,43,0,4,4,0,27,2048,102,0,27,0,0,0,0,0,0,False,False,False
2014-10-19,0,28,43,0,4,4,0,28,2072,102,0,28,0,0,0,0,0,0,False,False,False
2014-10-20,0,28,43,0,4,4,0,28,2096,102,0,28,0,0,0,0,0,0,False,False,False
2014-10-21,0,28,43,0,4,4,0,28,2119,102,0,28,0,0,0,0,0,0,False,False,False
2014-10-22,0,29,43,0,4,4,0,28,2144,102,0,28,0,0,0,0,0,0,False,False,False
2014-10-23,0,29,43,0,4,4,0,28,2168,102,0,28,0,0,0,0,0,0,False,False,False
2014-10-24,0,28,43,0,4,4,0,28,2192,104,0,28,0,0,0,0,0,0,False,False,False
2014-10-25,0,28,43,0,4,4,0,28,2216,104,0,28,0,0,0,0,0,0,False,False,False
2014-10-26,0,28,43,0,4,4,0,28,2240,104,0,28,0,0,0,0,0,0,False,False,False
2014-10-27,0,28,43,0,4,4,0,28,2264,104,0,28,0,0,0,0,0,0,False,False,False
2014-10-28,0,28,43,0,4,4,0,28,2288,104,0,28,0,0,0,0,0,0,False,False,False
2014-10-29,0,28,43,0,4,4,0,28,2312,104,0,28,0,0,0,0,0,0,False,False,False
2014-10-30,0,28,43,0,4,4,0,28,2336,104,0,28,0,0,0,0,0,0,False,False,False
2014-10-31,0,29,43,0,4,4,0,28,2359,104,0,28,0,0,0,0,0,0,False,False,False
