date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-07-25,0,30,0,0,4,4,0,4,7,0,0,4,0,0,0,0,0,0
2014-07-26,0,30,0,0,4,4,0,5,32,0,0,5,0,0,0,0,0,0
2014-07-27,0,30,0,0,4,4,0,6,56,0,0,6,0,0,0,0,0,0
2014-07-28,0,30,0,0,4,4,0,6,79,0,0,6,0,0,0,0,0,0
2014-07-29,0,30,0,0,4,4,0,7,103,0,0,7,0,0,0,0,0,0
2014-07-30,0,29,0,0,4,4,0,8,128,0,0,8,0,0,0,0,0,0
2014-07-31,0,29,0,0,4,4,0,9,152,0,0,9,0,0,0,0,0,0
2014-08-01,0,30,0,0,4,4,0,10,175,0,0,10,0,0,0,0,0,0
2014-08-02,0,30,0,0,4,4,0,11,200,0,0,11,0,0,0,0,0,0
2014-08-03,0,30,0,0,4,4,0,11,224,0,0,11,0,0,0,0,0,0
2014-08-04,0,29,0,0,4,4,0,11,247,0,0,11,0,0,0,0,0,0
2014-08-05,0,29,0,0,4,4,0,11,271,0,0,11,0,0,0,0,0,0
2014-08-06,0,29,0,0,4,4,0,11,296,0,0,11,0,0,0,0,0,0
2014-08-07,0,29,0,0,4,4,0,11,320,0,0,11,0,0,0,0,0,0
2014-08-08,0,29,0,0,4,4,0,11,343,0,0,11,0,0,0,0,0,0
2014-08-09,0,30,0,0,4,4,0,11,368,0,0,11,0,0,0,0,0,0
2014-08-10,0,33,0,0,4,4,0,11,392,0,0,11,0,0,0,0,0,0
2014-08-11,0,33,0,0,4,4,0,11,415,0,0,11,0,0,0,0,0,0
2014-08-12,0,33,0,0,4,4,0,11,440,0,0,11,0,0,0,0,0,0
2014-08-13,0,36,0,0,4,4,0,11,459,0,0,11,0,0,0,0,0,0
2014-08-26,0,31,42,0,4,4,0,14,775,102,0,14,0,0,0,0,0,0
2014-08-27,0,31,42,0,4,4,0,15,799,104,0,15,0,0,0,0,0,0
2014-08-28,0,31,42,0,4,4,0,15,824,104,0,15,0,0,0,0,0,0
2014-08-29,0,31,42,0,4,4,0,16,848,104,0,16,0,0,0,0,0,0
2014-08-30,0,31,42,0,4,4,0,16,871,104,0,16,0,0,0,0,0,0
2014-08-31,0,31,42,0,4,4,0,16,896,104,0,16,0,0,0,0,0,0
2014-09-01,0,31,43,0,4,4,0,17,920,104,0,17,0,0,0,0,0,0
2014-09-02,0,31,43,0,4,4,0,17,943,104,0,17,0,0,0,0,0,0
2014-09-03,0,31,43,0,4,4,0,18,967,104,0,18,0,0,0,0,0,0
2014-09-04,0,31,43,0,4,4,0,18,992,104,0,18,0,0,0,0,0,0
2014-09-05,0,31,43,0,4,4,0,18,1015,104,0,18,0,0,0,0,0,0
2014-09-06,0,31,43,0,4,4,0,18,1039,104,0,18,0,0,0,0,0,0
2014-09-07,0,31,41,0,4,4,0,19,1064,104,0,19,0,0,0,0,0,0
2014-09-08,0,31,41,0,4,4,0,19,1088,104,0,19,0,0,0,0,0,0
2014-09-09,0,30,44,0,4,4,0,20,1111,104,0,20,0,0,0,0,0,0
2014-09-10,0,31,42,0,4,4,0,21,1136,101,0,21,0,0,0,0,0,0
2014-09-11,0,32,42,0,4,4,0,22,1160,101,0,22,0,0,0,0,0,0
2014-09-12,0,32,43,0,4,4,0,23,1183,104,0,23,0,0,0,0,0,0
2014-09-13,0,32,43,0,4,4,0,23,1208,104,0,23,0,0,0,0,0,0
2014-09-14,0,32,43,0,4,4,0,23,1232,104,0,23,0,0,0,0,0,0
2014-09-15,0,32,43,0,4,4,0,23,1255,104,0,23,0,0,0,0,0,0
2014-09-16,0,32,43,0,4,4,0,23,1279,104,0,23,0,0,0,0,0,0
2014-09-17,0,33,42,0,4,4,0,24,1304,104,0,24,0,0,0,0,0,0
2014-09-18,0,33,42,0,4,4,0,24,1328,104,0,24,0,0,0,0,0,0
2014-09-19,0,33,40,0,4,4,0,25,1351,104,0,25,0,0,0,0,0,0
2014-09-20,0,33,40,0,4,4,0,26,1376,104,0,26,0,0,0,0,0,0
2014-09-21,0,32,42,0,4,4,0,26,1400,104,0,26,0,0,0,0,0,0
2014-09-22,0,32,42,0,4,4,0,27,1423,104,0,27,0,0,0,0,0,0
2014-09-23,0,32,42,0,4,4,0,27,1448,104,0,27,0,0,0,0,0,0
2014-09-24,0,31,42,0,4,4,0,28,1472,104,0,28,0,0,0,0,0,0
2014-09-25,0,30,42,0,4,4,0,28,1495,103,0,28,0,0,0,0,0,0
2014-09-26,0,30,43,0,4,4,0,29,1520,103,0,29,0,0,0,0,0,0
2014-09-27,0,30,43,0,4,4,0,29,1544,104,0,29,0,0,0,0,0,0
2014-09-28,0,30,42,0,4,4,0,30,1568,104,0,30,0,0,0,0,0,0
2014-09-29,0,30,42,0,4,4,0,30,1591,104,0,30,0,0,0,0,0,0
2014-09-30,0,30,42,0,4,4,0,31,1616,104,0,31,0,0,0,0,0,0
2014-10-01,0,32,42,0,4,4,0,31,1640,104,0,31,0,0,0,0,0,0
2014-10-02,0,30,42,0,4,4,0,31,1663,104,0,31,0,0,0,0,0,0
2014-10-03,0,29,42,0,4,4,0,31,1688,104,0,31,0,0,0,0,0,0
2014-10-04,0,30,43,0,4,4,0,32,1712,104,0,32,0,0,0,0,0,0
2014-10-05,0,30,43,0,4,4,0,32,1735,104,0,32,0,0,0,0,0,0
2014-10-06,0,30,42,0,4,4,0,33,1760,104,0,33,0,0,0,0,0,0
2014-10-07,0,30,42,0,4,4,0,34,1784,104,0,34,0,0,0,0,0,0
2014-10-08,0,30,41,0,4,4,0,35,1808,104,0,35,0,0,0,0,0,0
2014-10-09,0,30,41,0,4,4,0,35,1831,104,0,35,0,0,0,0,0,0
2014-10-10,0,30,43,0,4,4,0,36,1856,104,0,36,0,0,0,0,0,0
2014-10-11,0,30,43,0,4,4,0,36,1880,104,0,36,0,0,0,0,0,0
2014-10-12,0,30,43,0,4,4,0,36,1903,104,0,36,0,0,0,0,0,0
2014-10-13,0,29,43,0,4,4,0,37,1928,104,0,37,0,0,0,0,0,0
2014-10-14,0,29,43,0,4,4,0,38,1952,104,0,38,0,0,0,0,0,0
2014-10-15,0,28,43,0,4,4,0,38,1975,104,0,38,0,0,0,0,0,0
2014-10-16,0,28,43,0,4,4,0,39,2000,104,0,39,0,0,0,0,0,0
2014-10-17,0,28,42,0,4,4,0,40,2024,103,0,40,0,0,0,0,0,0
2014-10-18,0,28,42,0,4,4,0,41,2048,102,0,41,0,0,0,0,0,0
2014-10-19,0,28,42,0,4,4,0,41,2072,102,0,41,0,0,0,0,0,0
2014-10-20,0,28,42,0,4,4,0,42,2096,104,0,42,0,0,0,0,0,0
2014-10-21,0,29,42,0,4,4,0,42,2120,104,0,42,0,0,0,0,0,0
2014-10-22,0,29,42,0,4,4,0,42,2143,104,0,42,0,0,0,0,0,0
2014-10-23,0,29,42,0,4,4,0,43,2168,104,0,43,0,0,0,0,0,0
2014-10-24,0,29,42,0,4,4,0,44,2192,104,0,44,0,0,0,0,0,0
2014-10-25,0,29,42,0,4,4,0,44,2215,104,0,44,0,0,0,0,0,0
2014-10-26,0,29,42,0,4,4,0,44,2240,104,0,44,0,0,0,0,0,0
2014-10-27,0,29,42,0,4,4,0,44,2264,104,0,44,0,0,0,0,0,0
2014-10-28,0,28,42,0,4,4,0,44,2288,104,0,44,0,0,0,0,0,0
2014-10-29,0,29,42,0,4,4,0,44,2312,104,0,44,0,0,0,0,0,0
2014-10-30,0,29,42,0,4,4,0,44,2336,104,0,44,0,0,0,0,0,0
2014-10-31,0,29,42,0,4,4,0,44,2360,104,0,44,0,0,0,0,0,0
2014-11-01,0,29,42,0,4,4,0,44,2383,104,0,44,0,0,0,0,0,0
2014-11-03,0,28,42,0,4,4,0,44,2432,104,0,44,0,0,0,0,0,0
2014-11-04,0,29,42,0,4,4,0,44,2457,104,0,44,0,0,0,0,0,0
2014-11-05,0,30,42,0,4,4,0,44,2481,101,0,44,0,0,0,0,0,0
2014-11-06,0,29,42,0,4,4,0,44,2505,101,0,44,0,0,0,0,0,0
2014-11-07,0,28,42,0,4,4,0,44,2528,101,0,44,0,0,0,0,0,0
2014-11-08,0,28,42,0,4,4,0,44,2553,101,0,44,0,0,0,0,0,0
2014-11-09,0,28,42,0,4,4,0,44,2577,101,0,44,0,0,0,0,0,0
2014-11-10,0,28,42,0,4,4,0,45,2600,101,0,45,0,0,0,0,0,0
2014-11-11,0,28,42,0,4,4,0,45,2625,101,0,45,0,0,0,0,0,0
2014-11-12,0,28,42,0,4,4,0,45,2649,104,0,45,0,0,0,0,0,0
2014-11-13,0,28,41,0,4,4,0,46,2672,104,0,46,0,0,0,0,0,0
2014-11-14,0,28,41,0,4,4,0,46,2697,104,0,46,0,0,0,0,0,0
2014-11-15,0,28,41,0,4,4,0,46,2721,104,0,46,0,0,0,0,0,0
2014-11-16,0,28,41,0,4,4,0,46,2745,104,0,46,0,0,0,0,0,0
2014-11-17,0,28,42,0,4,4,0,47,2769,104,0,47,0,0,0,0,0,0
2014-11-18,0,28,42,0,4,4,0,48,2793,104,0,48,0,0,0,0,0,0
2014-11-19,0,28,42,0,4,4,0,48,2817,104,0,48,0,0,0,0,0,0
2014-11-20,0,28,42,0,4,4,0,48,2840,104,0,48,0,0,0,0,0,0
2014-11-21,0,28,41,0,4,4,0,49,2865,104,0,49,0,0,0,0,0,0
2014-11-22,0,28,41,0,4,4,0,49,2889,104,0,49,0,0,0,0,0,0
2014-11-23,0,28,43,0,4,4,0,50,2912,104,0,50,0,0,0,0,0,0
2014-11-24,0,28,43,0,4,4,0,50,2937,104,0,50,0,0,0,0,0,0
2014-11-25,0,28,43,0,4,4,0,51,2961,104,0,51,0,0,0,0,0,0
2014-11-26,0,28,43,0,4,4,0,51,2985,104,0,51,0,0,0,0,0,0
2014-11-27,0,28,43,0,4,4,0,51,3009,104,0,51,0,0,0,0,0,0
2014-11-28,0,28,43,0,4,4,0,52,3033,104,0,52,0,0,0,0,0,0
2014-11-29,0,28,43,0,4,4,0,53,3057,104,0,53,0,0,0,0,0,0
2014-11-30,0,28,42,0,4,4,0,54,3080,104,0,54,0,0,0,0,0,0
2014-12-01,0,28,42,0,4,4,0,54,3105,104,0,54,0,0,0,0,0,0
2014-12-02,0,28,42,0,4,4,0,54,3129,103,0,54,0,0,0,0,0,0
2014-12-03,0,28,42,0,4,4,0,55,3152,103,0,55,0,0,0,0,0,0
2014-12-04,0,28,42,0,4,4,0,55,3177,103,0,55,0,0,0,0,0,0
2014-12-05,0,28,42,0,4,4,0,55,3201,103,0,55,0,0,0,0,0,0
2014-12-06,0,28,43,0,4,4,0,56,3225,104,0,56,0,0,0,0,0,0
2014-12-07,0,28,43,0,4,4,0,57,3249,104,0,57,0,0,0,0,0,0
2014-12-08,0,28,43,0,4,4,0,57,3273,104,0,57,0,0,0,0,0,0
2014-12-09,0,28,43,0,4,4,0,57,3297,103,0,57,0,0,0,0,0,0
2014-12-10,0,28,43,0,4,4,0,58,3321,103,0,58,0,0,0,0,0,0
2014-12-11,0,28,43,0,4,4,0,58,3345,103,0,58,0,0,0,0,0,0
2014-12-12,0,28,43,0,4,4,0,58,3369,104,0,58,0,0,0,0,0,0
2014-12-13,0,29,42,0,4,4,0,59,3392,104,0,59,0,0,0,0,0,0
2014-12-14,0,28,42,0,4,4,0,59,3417,104,0,59,0,0,0,0,0,0
2014-12-15,0,28,42,0,4,4,0,59,3441,103,0,59,0,0,0,0,0,0
2014-12-16,0,28,42,0,4,4,0,59,3465,103,0,59,0,0,0,0,0,0
2014-12-17,0,28,43,0,4,4,0,60,3489,103,0,60,0,0,0,0,0,0
2014-12-18,0,28,43,0,4,4,0,60,3513,103,0,60,0,0,0,0,0,0
2014-12-19,0,28,43,0,4,4,0,60,3537,103,0,60,0,0,0,0,0,0
2014-12-20,0,28,43,0,4,4,0,60,3561,103,0,60,0,0,0,0,0,0
2014-12-21,0,28,43,0,4,4,0,60,3585,103,0,60,0,0,0,0,0,0
2014-12-22,0,28,42,0,4,4,0,61,3609,103,0,61,0,0,0,0,0,0
2014-12-23,0,28,42,0,4,4,0,61,3632,103,0,61,0,0,0,0,0,0
2014-12-24,0,28,42,0,4,4,0,61,3657,103,0,61,0,0,0,0,0,0
2014-12-25,0,28,42,0,4,4,0,61,3681,104,0,61,0,0,0,0,0,0
2014-12-26,0,28,42,0,4,4,0,61,3705,104,0,61,0,0,0,0,0,0
2014-12-27,0,28,44,0,4,4,0,62,3729,104,0,62,0,0,0,0,0,0
2014-12-28,0,28,44,0,4,4,0,63,3753,104,0,63,0,0,0,0,0,0
2014-12-29,0,28,44,0,4,4,0,63,3777,104,0,63,0,0,0,0,0,0
2014-12-30,0,28,44,0,4,4,0,63,3801,104,0,63,0,0,0,0,0,0
2014-12-31,0,28,44,0,4,4,0,63,3825,104,0,63,0,0,0,0,0,0
2015-01-01,0,28,44,0,4,4,0,63,3849,104,0,63,0,0,0,0,0,0
2015-01-02,0,28,44,0,4,4,0,63,3872,104,0,63,0,0,0,0,0,0
2015-01-03,0,28,43,0,4,4,0,64,3897,104,0,64,0,0,0,0,0,0
2015-01-04,0,28,43,0,4,4,0,64,3921,104,0,64,0,0,0,0,0,0
2015-01-05,0,28,43,0,4,4,0,64,3944,104,0,64,0,0,0,0,0,0
2015-01-06,0,28,43,0,4,4,0,64,3969,104,0,64,0,0,0,0,0,0
2015-01-07,0,28,43,0,4,4,0,64,3993,104,0,64,0,0,0,0,0,0
2015-01-08,0,28,43,0,4,4,0,64,4017,104,0,64,0,0,0,0,0,0
2015-01-09,0,28,43,0,4,4,0,64,4041,104,0,64,0,0,0,0,0,0
2015-01-10,0,28,43,0,4,4,0,64,4065,104,0,64,0,0,0,0,0,0
2015-01-11,0,28,41,0,4,4,0,65,4089,104,0,65,0,0,0,0,0,0
2015-01-12,0,28,41,0,4,4,0,65,4113,104,0,65,0,0,0,0,0,0
2015-01-13,0,28,41,0,4,4,0,65,4137,104,0,65,0,0,0,0,0,0
2015-01-14,0,28,42,0,4,4,0,66,4161,104,0,66,0,0,0,0,0,0
2015-01-15,0,28,42,0,4,4,0,66,4185,104,0,66,0,0,0,0,0,0
2015-01-16,0,28,42,0,4,4,0,66,4209,104,0,66,0,0,0,0,0,0
2015-01-17,0,28,42,0,4,4,0,66,4233,104,0,66,0,0,0,0,0,0
2015-01-18,0,28,42,0,4,4,0,66,4257,104,0,66,0,0,0,0,0,0
2015-01-19,0,28,42,0,4,4,0,66,4281,104,0,66,0,0,0,0,0,0
2015-01-20,0,28,42,0,4,4,0,66,4305,104,0,66,0,0,0,0,0,0
2015-01-21,0,28,42,0,4,4,0,66,4329,104,0,66,0,0,0,0,0,0
2015-01-22,0,28,42,0,4,4,0,66,4353,104,0,66,0,0,0,0,0,0
2015-01-23,0,28,42,0,4,4,0,66,4377,104,0,66,0,0,0,0,0,0
2015-01-24,0,27,42,0,4,4,0,66,4401,104,0,66,0,0,0,0,0,0
2015-01-25,0,27,42,0,4,4,0,66,4425,104,0,66,0,0,0,0,0,0
2015-01-26,0,27,42,0,4,4,0,67,4449,104,0,67,0,0,0,0,0,0
2015-01-27,0,27,42,0,4,4,0,67,4473,104,0,67,0,0,0,0,0,0
2015-01-28,0,27,42,0,4,4,0,67,4497,104,0,67,0,0,0,0,0,0
2015-01-29,0,28,42,0,4,4,0,68,4521,104,0,68,0,0,0,0,0,0
2015-01-30,0,27,42,0,4,4,0,68,4545,104,0,68,0,0,0,0,0,0
2015-01-31,0,28,42,0,4,4,0,68,4569,104,0,68,0,0,0,0,0,0
2015-02-01,0,28,42,0,4,4,0,68,4593,104,0,68,0,0,0,0,0,0
2015-02-02,0,28,42,0,4,4,0,68,4617,104,0,68,0,0,0,0,0,0
2015-02-03,0,28,42,0,4,4,0,68,4641,104,0,68,0,0,0,0,0,0
2015-02-04,0,28,42,0,4,4,0,68,4665,104,0,68,0,0,0,0,0,0
2015-02-05,0,28,42,0,4,4,0,68,4689,104,0,68,0,0,0,0,0,0
2015-02-06,0,28,42,0,4,4,0,68,4713,104,0,68,0,0,0,0,0,0
2015-02-07,0,28,42,0,4,4,0,69,4737,104,0,69,0,0,0,0,0,0
2015-02-08,0,29,42,0,4,4,0,69,4761,104,0,69,0,0,0,0,0,0
