date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-08-13,0,28,0,0,4,4,0,4,11,0,0,4,0,0,0,0,0,0
2014-08-14,0,27,0,0,4,4,0,5,35,0,0,5,0,0,0,0,0,0
2014-08-15,0,28,0,0,4,4,0,6,58,0,0,6,0,0,0,0,0,0
2014-08-16,0,27,0,0,4,4,0,7,83,0,0,7,0,0,0,0,0,0
2014-08-17,0,28,0,0,4,4,0,7,107,0,0,7,0,0,0,0,0,0
2014-08-18,0,28,0,0,4,4,0,7,130,0,0,7,0,0,0,0,0,0
2014-08-19,0,28,0,0,4,4,0,7,154,0,0,7,0,0,0,0,0,0
2014-08-20,0,27,0,0,4,4,0,7,179,0,0,7,0,0,0,0,0,0
2014-08-21,0,27,0,0,4,4,0,7,203,0,0,7,0,0,0,0,0,0
2014-08-22,0,27,0,0,4,4,0,7,226,0,0,7,0,0,0,0,0,0
2014-09-27,0,21,42,0,4,4,0,14,1090,103,0,14,0,0,0,0,0,0
2014-09-28,0,21,42,0,4,4,0,14,1115,103,0,14,0,0,0,0,0,0
2014-09-29,0,21,42,0,4,4,0,14,1139,104,0,14,0,0,0,0,0,0
2014-09-30,0,21,42,0,4,4,0,15,1162,104,0,15,0,0,0,0,0,0
2014-10-01,0,23,42,0,4,4,0,15,1187,104,0,15,0,0,0,0,0,0
2014-10-02,0,22,42,0,4,4,0,15,1211,104,0,15,0,0,0,0,0,0
2014-10-03,0,22,43,0,4,4,0,16,1234,104,0,16,0,0,0,0,0,0
2014-10-04,0,22,43,0,4,4,0,16,1259,104,0,16,0,0,0,0,0,0
2014-10-05,0,22,43,0,4,4,0,16,1283,104,0,16,0,0,0,0,0,0
2014-10-06,0,22,43,0,4,4,0,16,1307,104,0,16,0,0,0,0,0,0
2014-10-07,0,22,43,0,4,4,0,16,1331,104,0,16,0,0,0,0,0,0
2014-10-08,0,22,42,0,4,4,0,17,1355,104,0,17,0,0,0,0,0,0
2014-10-09,0,22,42,0,4,4,0,17,1379,104,0,17,0,0,0,0,0,0
2014-10-10,0,22,42,0,4,4,0,17,1402,104,0,17,0,0,0,0,0,0
2014-10-11,0,22,42,0,4,4,0,18,1427,104,0,18,0,0,0,0,0,0
2014-10-12,0,22,42,0,4,4,0,19,1451,104,0,19,0,0,0,0,0,0
2014-10-13,0,22,42,0,4,4,0,20,1474,104,0,20,0,0,0,0,0,0
2014-10-14,0,22,42,0,4,4,0,20,1499,104,0,20,0,0,0,0,0,0
2014-10-15,0,21,42,0,4,4,0,20,1523,104,0,20,0,0,0,0,0,0
2014-10-16,0,21,42,0,4,4,0,21,1546,104,0,21,0,0,0,0,0,0
2014-10-17,0,21,42,0,4,4,0,22,1571,103,0,22,0,0,0,0,0,0
2014-10-18,0,21,42,0,4,4,0,23,1595,102,0,23,0,0,0,0,0,0
2014-10-19,0,21,42,0,4,4,0,24,1619,102,0,24,0,0,0,0,0,0
2014-10-20,0,21,42,0,4,4,0,24,1642,102,0,24,0,0,0,0,0,0
2014-10-21,0,21,42,0,4,4,0,24,1667,104,0,24,0,0,0,0,0,0
2014-10-22,0,21,41,0,4,4,0,25,1691,104,0,25,0,0,0,0,0,0
2014-10-23,0,21,41,0,4,4,0,25,1714,104,0,25,0,0,0,0,0,0
2014-10-24,0,21,42,0,4,4,0,25,1739,104,0,25,0,0,0,0,0,0
2014-10-25,0,21,42,0,4,4,0,26,1763,104,0,26,0,0,0,0,0,0
2014-10-26,0,21,42,0,4,4,0,26,1787,104,0,26,0,0,0,0,0,0
2014-10-27,0,21,42,0,4,4,0,26,1810,104,0,26,0,0,0,0,0,0
2014-10-28,0,21,42,0,4,4,0,27,1835,104,0,27,0,0,0,0,0,0
2014-10-29,0,21,42,0,4,4,0,28,1859,104,0,28,0,0,0,0,0,0
2014-10-30,0,21,42,0,4,4,0,28,1883,104,0,28,0,0,0,0,0,0
2014-10-31,0,21,42,0,4,4,0,29,1906,104,0,29,0,0,0,0,0,0
2014-11-01,0,21,42,0,4,4,0,30,1931,104,0,30,0,0,0,0,0,0
2014-11-03,0,21,43,0,4,4,0,31,1980,104,0,31,0,0,0,0,0,0
2014-11-04,0,21,42,0,4,4,0,32,2004,102,0,32,0,0,0,0,0,0
2014-11-05,0,24,42,0,4,4,0,33,2028,103,0,33,0,0,0,0,0,0
2014-11-06,0,21,42,0,4,4,0,34,2051,104,0,34,0,0,0,0,0,0
2014-11-07,0,21,42,0,4,4,0,35,2076,102,0,35,0,0,0,0,0,0
2014-11-08,0,21,42,0,4,4,0,36,2100,104,0,36,0,0,0,0,0,0
