date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-10-07,0,27,41,0,3,3,0,5,127,99,0,5,0,0,0,0,0,0
2014-10-08,0,27,41,0,3,3,0,6,151,99,0,6,0,0,0,0,0,0
2014-10-09,0,27,41,0,3,3,0,7,175,99,0,7,0,0,0,0,0,0
2014-10-10,0,28,41,0,3,3,0,8,199,99,0,8,0,0,0,0,0,0
2014-10-11,0,28,41,0,3,3,0,8,223,99,0,8,0,0,0,0,0,0
2014-10-12,0,28,41,0,3,3,0,8,247,99,0,8,0,0,0,0,0,0
2014-10-13,0,28,41,0,3,3,0,8,271,99,0,8,0,0,0,0,0,0
2014-10-14,0,27,41,0,3,3,0,8,294,99,0,8,0,0,0,0,0,0
2014-10-15,0,27,41,0,3,3,0,8,319,99,0,8,0,0,0,0,0,0
2014-10-16,0,27,41,0,3,3,0,8,343,99,0,8,0,0,0,0,0,0
2014-10-17,0,27,41,0,3,3,0,8,366,99,0,8,0,0,0,0,0,0
2014-10-18,0,27,41,0,3,3,0,8,389,99,0,8,0,0,0,0,0,0
2014-10-30,0,26,41,0,7,7,0,17,678,100,0,17,426,0,0,0,0,0
2014-10-31,0,27,41,0,7,7,0,17,702,100,0,17,426,0,0,0,0,0
2014-11-01,0,27,41,0,7,7,0,17,726,100,0,17,426,0,0,0,0,0
2014-11-03,0,27,41,0,7,7,0,17,774,100,0,17,426,0,0,0,0,0
2014-11-04,0,27,41,0,7,7,0,17,799,100,0,17,426,0,0,0,0,0
2014-11-05,0,28,41,0,7,7,0,17,823,100,0,17,426,0,0,0,0,0
2014-11-06,0,27,41,0,7,7,0,17,847,100,0,17,426,0,0,0,0,0
2014-11-07,0,27,41,0,7,7,0,17,871,100,0,17,426,0,0,0,0,0
2014-11-08,0,26,41,0,7,7,0,17,895,100,0,17,426,0,0,0,0,0
2014-11-09,0,27,41,0,7,7,0,17,919,100,0,17,426,0,0,0,0,0
2014-11-10,0,27,41,0,7,7,0,17,943,100,0,17,426,0,0,0,0,0
2014-11-11,0,26,41,0,7,7,0,17,967,100,0,17,426,0,0,0,0,0
2014-11-12,0,26,41,0,7,7,0,17,991,100,0,17,426,0,0,0,0,0
2014-11-13,0,27,41,0,7,7,0,17,1015,100,0,17,426,0,0,0,0,0
2014-11-14,0,26,41,0,7,7,0,17,1039,100,0,17,426,0,0,0,0,0
2014-11-15,0,27,41,0,7,7,0,17,1063,100,0,17,426,0,0,0,0,0
2014-11-16,0,26,41,0,7,7,0,17,1087,100,0,17,426,0,0,0,0,0
2014-11-17,0,26,41,0,7,7,0,17,1111,100,0,17,426,0,0,0,0,0
2014-11-18,0,27,40,1,7,7,0,17,1135,100,0,17,426,0,0,0,0,0
2014-11-19,0,27,40,0,7,7,0,17,1159,100,0,17,426,0,0,0,0,0
2014-11-20,0,27,40,0,7,7,0,17,1183,100,0,17,426,0,0,0,0,0
2014-11-21,0,27,40,0,7,7,0,17,1207,99,0,17,426,0,0,0,0,0
2014-11-22,0,26,39,0,7,7,0,17,1231,99,0,17,426,0,0,0,0,0
2014-11-23,0,26,42,0,7,7,0,17,1255,99,0,17,426,0,0,0,0,0
2014-11-24,0,26,42,0,7,7,0,17,1279,99,0,17,426,0,0,0,0,0
2014-11-25,0,26,41,0,8,8,0,18,1303,99,0,18,426,0,0,0,0,0
2014-11-26,0,26,42,0,8,8,0,18,1327,99,0,18,426,0,0,0,0,0
2014-11-27,0,26,42,0,9,9,0,19,1351,99,0,19,426,0,0,0,0,0
2014-11-28,0,26,42,0,9,9,0,19,1374,99,0,19,426,0,0,0,0,0
2014-11-29,0,27,42,327735,9,9,0,19,1398,99,0,19,426,0,0,0,0,0
2014-11-30,0,26,42,0,9,9,0,19,1422,99,0,19,426,0,0,0,0,0
2014-12-01,0,27,42,0,9,9,0,19,1446,99,0,19,426,0,0,0,0,0
2014-12-02,0,27,42,0,9,9,0,19,1470,99,0,19,426,0,0,0,0,0
2014-12-03,0,27,42,0,9,9,0,19,1494,99,0,19,426,0,0,0,0,0
2014-12-04,0,27,42,0,9,9,0,19,1518,99,0,19,426,0,0,0,0,0
2014-12-05,0,26,42,0,9,9,0,19,1542,99,0,19,426,0,0,0,0,0
2014-12-06,0,26,42,0,9,9,0,19,1566,99,0,19,426,0,0,0,0,0
2014-12-07,0,26,42,0,9,9,0,19,1591,99,0,19,426,0,0,0,0,0
2014-12-08,0,26,42,0,9,9,0,19,1614,99,0,19,426,0,0,0,0,0
2014-12-09,0,27,42,0,9,9,0,19,1638,99,0,19,426,0,0,0,0,0
2014-12-10,0,26,42,0,9,9,0,19,1663,99,0,19,426,0,0,0,0,0
2014-12-11,0,27,42,0,9,9,0,19,1686,99,0,19,426,0,0,0,0,0
2014-12-12,0,27,42,0,9,9,0,19,1710,99,0,19,426,0,0,0,0,0
2014-12-13,0,27,42,0,9,9,0,19,1734,99,0,19,426,0,0,0,0,0
2014-12-14,0,27,42,0,9,9,0,19,1758,99,0,19,426,0,0,0,0,0
2014-12-15,0,27,42,0,9,9,0,19,1782,99,0,19,426,0,0,0,0,0
2014-12-16,0,27,42,0,9,9,0,19,1806,99,0,19,426,0,0,0,0,0
2014-12-17,0,27,42,0,9,9,0,19,1831,99,0,19,426,0,0,0,0,0
2014-12-18,0,27,42,0,9,9,0,19,1854,99,0,19,426,0,0,0,0,0
2014-12-19,0,27,42,0,9,9,0,19,1878,99,0,19,426,0,0,0,0,0
2014-12-20,0,27,42,0,9,9,0,19,1903,99,0,19,426,0,0,0,0,0
2014-12-21,0,24,42,0,9,9,0,19,1926,99,0,19,426,0,0,0,0,0
2014-12-22,0,27,42,0,9,9,0,19,1950,99,0,19,426,0,0,0,0,0
2014-12-23,0,26,42,0,9,9,0,19,1974,99,0,19,426,0,0,0,0,0
2014-12-24,0,26,42,0,9,9,0,19,1998,99,0,19,426,0,0,0,0,0
2014-12-25,0,27,42,0,9,9,0,19,2022,99,0,19,426,0,0,0,0,0
2014-12-26,0,27,42,0,9,9,0,19,2046,99,0,19,426,0,0,0,0,0
2014-12-27,0,26,42,0,9,9,0,19,2071,99,0,19,426,0,0,0,0,0
2014-12-28,0,27,42,0,9,9,0,19,2094,99,0,19,426,0,0,0,0,0
2014-12-29,0,27,42,0,9,9,0,19,2118,99,0,19,426,0,0,0,0,0
2014-12-30,0,27,42,0,9,9,0,19,2143,99,0,19,426,0,0,0,0,0
2014-12-31,0,27,42,0,9,9,0,19,2166,99,0,19,426,0,0,0,0,0
2015-01-01,0,27,42,0,9,9,0,19,2190,99,0,19,426,0,0,0,0,0
2015-01-02,0,27,42,0,9,9,0,19,2214,99,0,19,426,0,0,0,0,0
2015-01-03,0,27,42,0,9,9,0,19,2238,99,0,19,426,0,0,0,0,0
2015-01-04,0,27,42,0,9,9,0,19,2262,99,0,19,426,0,0,0,0,0
2015-01-05,0,26,42,0,9,9,0,19,2286,99,0,19,426,0,0,0,0,0
2015-01-06,0,27,42,0,9,9,0,19,2311,99,0,19,426,0,0,0,0,0
2015-01-07,0,27,42,0,9,9,0,19,2334,99,0,19,426,0,0,0,0,0
2015-01-08,0,27,42,0,9,9,0,19,2358,99,0,19,426,0,0,0,0,0
2015-01-09,0,27,42,0,9,9,0,19,2383,100,0,19,426,0,0,0,0,0
2015-01-10,0,27,42,0,9,9,0,19,2406,100,0,19,426,0,0,0,0,0
2015-01-11,0,27,42,0,9,9,0,19,2430,100,0,19,426,0,0,0,0,0
2015-01-12,0,27,42,0,9,9,0,19,2455,100,0,19,426,0,0,0,0,0
2015-01-13,0,26,42,0,9,9,0,19,2478,100,0,19,426,0,0,0,0,0
2015-01-14,0,26,42,0,9,9,0,19,2502,100,0,19,426,0,0,0,0,0
2015-01-15,0,26,42,0,9,9,0,19,2526,100,0,19,426,0,0,0,0,0
2015-01-16,0,26,42,0,9,9,0,19,2551,100,0,19,426,0,0,0,0,0
2015-01-17,0,26,42,0,9,9,0,19,2574,100,0,19,426,0,0,0,0,0
2015-01-18,0,26,42,0,9,9,0,19,2598,100,0,19,426,0,0,0,0,0
2015-01-19,0,26,42,0,9,9,0,19,2623,100,0,19,426,0,0,0,0,0
2015-01-20,0,26,42,0,9,9,0,19,2646,100,0,19,426,0,0,0,0,0
2015-01-21,0,26,42,0,9,9,0,19,2670,100,0,19,426,0,0,0,0,0
2015-01-22,0,26,42,0,9,9,0,19,2695,100,0,19,426,0,0,0,0,0
2015-01-23,0,27,42,0,9,9,0,19,2719,100,0,19,426,0,0,0,0,0
2015-01-24,0,27,42,0,9,9,0,19,2742,100,0,19,426,0,0,0,0,0
2015-01-25,0,27,41,0,9,9,0,19,2766,100,0,19,426,0,0,0,0,0
2015-01-26,0,27,41,0,9,9,0,19,2791,100,0,19,426,0,0,0,0,0
2015-01-27,0,27,41,0,9,9,0,19,2814,100,0,19,426,0,0,0,0,0
2015-01-28,0,27,41,0,9,9,0,19,2838,100,0,19,426,0,0,0,0,0
2015-01-29,0,27,41,0,9,9,0,19,2863,100,0,19,426,0,0,0,0,0
2015-01-30,0,27,41,0,9,9,0,19,2886,100,0,19,426,0,0,0,0,0
2015-01-31,0,27,41,0,9,9,0,19,2910,100,0,19,426,0,0,0,0,0
2015-02-01,0,27,41,0,9,9,0,19,2935,100,0,19,426,0,0,0,0,0
2015-02-02,0,27,41,0,9,9,0,19,2959,100,0,19,426,0,0,0,0,0
2015-02-03,0,27,41,0,9,9,0,19,2982,100,0,19,426,0,0,0,0,0
2015-02-04,0,27,41,0,9,9,0,19,3006,100,0,19,426,0,0,0,0,0
2015-02-05,0,27,41,0,9,9,0,19,3031,100,0,19,426,0,0,0,0,0
2015-02-06,0,26,41,0,9,9,0,19,3054,100,0,19,426,0,0,0,0,0
2015-02-07,0,26,41,0,9,9,0,19,3078,100,0,19,426,0,0,0,0,0
2015-02-08,0,27,41,0,9,9,0,19,3103,100,0,19,426,0,0,0,0,0
