date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-10-02,0,27,42,0,3,3,0,4,30,102,0,4,0,0,0,0,0,0,False,False,False
2014-10-03,0,27,42,0,3,3,0,5,54,102,0,5,0,0,0,0,0,0,False,False,False
2014-10-04,0,28,42,0,3,3,0,6,77,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-05,0,28,42,0,3,3,0,6,101,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-06,0,28,42,0,3,3,0,6,126,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-07,0,31,42,0,3,3,0,6,150,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-08,0,28,42,0,3,3,0,6,173,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-09,0,28,42,0,3,3,0,6,197,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-10,0,28,42,0,3,3,0,6,222,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-11,0,28,42,0,3,3,0,6,245,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-12,0,28,42,0,3,3,0,6,269,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-13,0,28,42,0,3,3,0,6,294,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-14,0,28,42,0,3,3,0,6,318,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-15,0,27,42,0,3,3,0,6,341,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-16,0,27,42,0,3,3,0,6,366,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-17,0,27,42,0,3,3,0,6,390,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-18,0,27,42,0,3,3,0,6,413,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-19,0,26,42,0,3,3,0,6,437,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-20,0,26,42,0,3,3,0,6,462,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-21,0,27,42,0,3,3,0,6,485,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-22,0,27,42,0,3,3,0,6,509,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-23,0,27,42,0,3,3,0,6,534,102,0,6,0,0,0,0,0,0,False,False,False
2014-10-24,0,27,42,0,3,3,0,7,558,103,0,7,0,0,0,0,0,0,False,False,False
2014-10-25,0,27,42,0,3,3,0,8,581,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-26,0,27,42,0,3,3,0,8,606,103,0,8,0,0,0,0,0,0,False,False,False
2014-10-27,0,27,42,0,3,3,0,9,630,103,0,9,0,0,0,0,0,0,False,False,False
2014-10-28,0,27,42,0,3,3,0,10,653,103,0,10,0,0,0,0,0,0,False,False,False
2014-10-29,0,27,42,0,3,3,0,11,678,103,0,11,0,0,0,0,0,0,False,False,False
2014-10-30,0,27,42,0,3,3,0,11,702,103,0,11,0,0,0,0,0,0,False,False,False
2014-10-31,0,28,42,0,3,3,0,11,725,103,0,11,0,0,0,0,0,0,False,False,False
2014-11-01,0,28,42,0,3,3,0,11,750,103,0,11,0,0,0,0,0,0,False,False,False
2014-11-03,0,27,42,0,3,3,0,11,798,103,0,11,0,0,0,0,0,0,False,False,False
