date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-10-02,0,24,41,0,3,3,0,7,132,100,0,7,0,0,0,0,0,0
2014-10-03,0,25,41,0,3,3,0,8,156,100,0,8,0,0,0,0,0,0
2014-10-04,0,25,41,0,3,3,0,9,180,100,0,9,0,0,0,0,0,0
2014-10-05,0,25,41,0,3,3,0,10,204,100,0,10,0,0,0,0,0,0
2014-10-06,0,25,41,0,3,3,0,11,228,100,0,11,0,0,0,0,0,0
2014-10-07,0,25,41,0,3,3,0,12,252,100,0,12,0,0,0,0,0,0
2014-10-08,0,25,41,0,3,3,0,13,276,100,0,13,0,0,0,0,0,0
2014-10-09,0,25,41,0,3,3,0,14,300,100,0,14,0,0,0,0,0,0
2014-10-10,0,25,41,0,3,3,0,15,324,100,0,15,0,0,0,0,0,0
2014-10-11,0,25,41,0,3,3,0,15,348,100,0,15,0,0,0,0,0,0
2014-10-12,0,25,41,0,3,3,0,15,372,100,0,15,0,0,0,0,0,0
2014-10-13,0,25,41,0,3,3,0,15,396,100,0,15,0,0,0,0,0,0
2014-10-14,0,24,41,0,3,3,0,15,420,100,0,15,0,0,0,0,0,0
2014-10-15,0,24,41,0,3,3,0,15,444,100,0,15,0,0,0,0,0,0
2014-10-16,0,24,41,0,3,3,0,15,468,100,0,15,0,0,0,0,0,0
2014-10-17,0,24,41,0,3,3,0,15,492,100,0,15,0,0,0,0,0,0
2014-10-18,0,25,41,0,3,3,0,15,516,100,0,15,0,0,0,0,0,0
2014-10-19,0,25,41,0,3,3,0,15,540,100,0,15,0,0,0,0,0,0
2014-10-20,0,24,41,0,3,3,0,15,564,100,0,15,0,0,0,0,0,0
2014-10-21,0,24,41,0,3,3,0,15,588,100,0,15,0,0,0,0,0,0
2014-10-22,0,25,41,0,3,3,0,15,612,100,0,15,0,0,0,0,0,0
2014-10-23,0,25,41,0,3,3,0,15,636,100,0,15,0,0,0,0,0,0
2014-10-24,0,24,42,0,3,3,0,15,660,100,0,15,0,0,0,0,0,0
2014-10-25,0,25,42,0,3,3,0,16,684,100,0,16,0,0,0,0,0,0
2014-10-26,0,25,42,0,3,3,0,17,708,100,0,17,0,0,0,0,0,0
2014-10-27,0,25,42,0,3,3,0,18,732,100,0,18,0,0,0,0,0,0
2014-10-28,0,25,42,0,3,3,0,19,756,100,0,19,0,0,0,0,0,0
2014-10-29,0,24,41,0,3,3,0,20,780,100,0,20,0,0,0,0,0,0
2014-10-30,0,25,41,0,3,3,0,21,804,100,0,21,0,0,0,0,0,0
2014-10-31,0,25,41,0,3,3,0,22,828,100,0,22,0,0,0,0,0,0
2014-11-01,0,25,41,0,3,3,0,23,852,100,0,23,0,0,0,0,0,0
2014-11-03,0,25,41,0,3,3,0,23,901,100,0,23,0,0,0,0,0,0
2014-11-04,0,25,41,0,3,3,0,23,925,100,0,23,0,0,0,0,0,0
2014-11-05,0,27,41,0,3,3,0,23,949,100,0,23,0,0,0,0,0,0
2014-11-06,0,26,41,0,4,4,0,24,973,100,0,24,0,0,0,0,0,0
2014-11-07,0,24,43,0,4,4,0,24,997,100,0,24,0,0,0,0,0,0
2014-11-08,0,24,43,0,4,4,0,25,1021,100,0,25,0,0,0,0,0,0
2014-11-09,0,24,43,0,4,4,0,25,1045,100,0,25,0,0,0,0,0,0
2014-11-10,0,24,42,0,4,4,0,27,1069,100,0,27,0,0,0,0,0,0
2014-11-11,0,23,41,0,4,4,0,27,1093,100,0,27,0,0,0,0,0,0
2014-11-12,0,24,42,0,4,4,0,28,1117,100,0,28,0,0,0,0,0,0
2014-11-13,0,23,42,0,4,4,0,29,1141,100,0,29,0,0,0,0,0,0
2014-11-14,0,24,42,0,4,4,0,30,1165,100,0,30,0,0,0,0,0,0
2014-11-15,0,23,42,0,4,4,0,31,1189,100,0,31,0,0,0,0,0,0
2014-11-16,0,23,41,0,4,4,0,32,1213,100,0,32,0,0,0,0,0,0
2014-11-17,0,24,41,0,4,4,0,33,1237,100,0,33,0,0,0,0,0,0
2014-11-18,0,24,42,0,4,4,0,34,1261,100,0,34,0,0,0,0,0,0
2014-11-19,0,26,42,0,4,4,0,35,1285,100,0,35,0,0,0,0,0,0
2014-11-20,0,25,42,0,4,4,0,36,1309,100,0,36,0,0,0,0,0,0
2014-11-21,0,25,42,0,4,4,0,37,1333,100,0,37,0,0,0,0,0,0
2014-11-22,0,25,42,0,4,4,0,38,1357,100,0,38,0,0,0,0,0,0
2014-11-23,0,25,42,0,4,4,0,39,1381,100,0,39,0,0,0,0,0,0
2014-11-24,0,24,42,0,4,4,0,39,1405,100,0,39,0,0,0,0,0,0
2014-11-25,0,24,42,0,4,4,0,39,1429,100,0,39,0,0,0,0,0,0
2014-11-26,0,24,42,0,4,4,0,39,1453,100,0,39,0,0,0,0,0,0
2014-11-27,0,24,42,0,4,4,0,39,1477,100,0,39,0,0,0,0,0,0
2014-11-28,0,24,42,0,4,4,0,39,1501,100,0,39,0,0,0,0,0,0
2014-11-29,0,24,42,0,4,4,0,39,1525,100,0,39,0,0,0,0,0,0
2014-11-30,0,24,42,0,4,4,0,39,1548,100,0,39,0,0,0,0,0,0
2014-12-01,0,24,42,0,4,4,0,39,1573,100,0,39,0,0,0,0,0,0
2014-12-02,0,24,42,0,4,4,0,39,1597,100,0,39,0,0,0,0,0,0
2014-12-03,0,24,42,0,4,4,0,39,1621,100,0,39,0,0,0,0,0,0
2014-12-04,0,24,42,0,4,4,0,39,1645,100,0,39,0,0,0,0,0,0
2014-12-05,0,24,42,0,4,4,0,39,1669,100,0,39,0,0,0,0,0,0
2014-12-06,0,24,42,0,4,4,0,39,1693,100,0,39,0,0,0,0,0,0
2014-12-07,0,24,42,0,4,4,0,39,1717,100,0,39,0,0,0,0,0,0
2014-12-08,0,24,42,0,4,4,0,39,1741,100,0,39,0,0,0,0,0,0
2014-12-09,0,24,42,0,4,4,0,39,1765,100,0,39,0,0,0,0,0,0
2014-12-10,0,24,42,0,4,4,0,39,1788,100,0,39,0,0,0,0,0,0
2014-12-11,0,24,42,0,4,4,0,39,1813,100,0,39,0,0,0,0,0,0
2014-12-12,0,24,42,0,4,4,0,39,1837,100,0,39,0,0,0,0,0,0
2014-12-13,0,25,42,0,4,4,0,39,1860,100,0,39,0,0,0,0,0,0
2014-12-14,0,24,42,0,4,4,0,39,1885,100,0,39,0,0,0,0,0,0
2014-12-15,0,24,42,0,4,4,0,39,1909,100,0,39,0,0,0,0,0,0
2014-12-16,0,24,42,0,4,4,0,39,1933,100,0,39,0,0,0,0,0,0
2014-12-17,0,24,42,0,4,4,0,39,1957,100,0,39,0,0,0,0,0,0
2014-12-18,0,24,42,0,4,4,0,39,1981,100,0,39,0,0,0,0,0,0
2014-12-19,0,24,42,0,4,4,0,39,2005,100,0,39,0,0,0,0,0,0
2014-12-20,0,24,42,0,4,4,0,39,2029,100,0,39,0,0,0,0,0,0
2014-12-21,0,25,42,0,4,4,0,39,2053,100,0,39,0,0,0,0,0,0
2014-12-22,0,24,42,0,4,4,0,39,2077,100,0,39,0,0,0,0,0,0
2014-12-23,0,23,42,0,4,4,0,39,2100,100,0,39,0,0,0,0,0,0
2014-12-24,0,24,42,0,4,4,0,39,2125,100,0,39,0,0,0,0,0,0
2014-12-25,0,24,42,0,4,4,0,39,2149,100,0,39,0,0,0,0,0,0
2014-12-26,0,24,42,0,4,4,0,39,2173,100,0,39,0,0,0,0,0,0
2014-12-27,0,24,42,0,4,4,0,39,2197,100,0,39,0,0,0,0,0,0
2014-12-28,0,24,42,0,4,4,0,39,2221,100,0,39,0,0,0,0,0,0
2014-12-29,0,24,42,0,4,4,0,39,2245,100,0,39,0,0,0,0,0,0
2014-12-30,0,24,42,0,4,4,0,39,2269,100,0,39,0,0,0,0,0,0
2014-12-31,0,24,42,0,4,4,0,39,2293,100,0,39,0,0,0,0,0,0
2015-01-01,0,24,42,0,4,4,0,39,2317,100,0,39,0,0,0,0,0,0
2015-01-02,0,24,42,0,4,4,0,39,2341,100,0,39,0,0,0,0,0,0
2015-01-03,0,24,42,0,4,4,0,39,2365,100,0,39,0,0,0,0,0,0
2015-01-04,0,24,42,0,4,4,0,39,2389,100,0,39,0,0,0,0,0,0
2015-01-05,0,24,42,0,4,4,0,39,2413,100,0,39,0,0,0,0,0,0
2015-01-06,0,24,42,0,4,4,0,39,2437,100,0,39,0,0,0,0,0,0
2015-01-07,0,24,42,0,4,4,0,39,2461,100,0,39,0,0,0,0,0,0
2015-01-08,0,25,42,0,4,4,0,39,2485,100,0,39,0,0,0,0,0,0
2015-01-09,0,24,42,0,4,4,0,39,2509,100,0,39,0,0,0,0,0,0
2015-01-10,0,24,42,0,4,4,0,39,2533,100,0,39,0,0,0,0,0,0
2015-01-11,0,24,42,0,4,4,0,39,2557,100,0,39,0,0,0,0,0,0
2015-01-12,0,24,42,0,4,4,0,39,2581,100,0,39,0,0,0,0,0,0
2015-01-13,0,23,42,0,4,4,0,39,2605,100,0,39,0,0,0,0,0,0
2015-01-14,0,24,42,0,4,4,0,39,2629,100,0,39,0,0,0,0,0,0
2015-01-15,0,23,42,0,4,4,0,39,2653,100,0,39,0,0,0,0,0,0
2015-01-16,0,24,42,0,4,4,0,39,2677,100,0,39,0,0,0,0,0,0
2015-01-17,0,24,42,0,4,4,0,39,2701,100,0,39,0,0,0,0,0,0
2015-01-18,0,24,42,0,4,4,0,39,2725,100,0,39,0,0,0,0,0,0
2015-01-19,0,24,42,0,4,4,0,39,2749,100,0,39,0,0,0,0,0,0
2015-01-20,0,24,42,0,4,4,0,39,2773,100,0,39,0,0,0,0,0,0
2015-01-21,0,24,42,0,4,4,0,39,2797,100,0,39,0,0,0,0,0,0
2015-01-22,0,24,42,0,4,4,0,39,2821,100,0,39,0,0,0,0,0,0
2015-01-23,0,24,42,0,4,4,0,39,2845,100,0,39,0,0,0,0,0,0
2015-01-24,0,25,42,0,4,4,0,39,2869,100,0,39,0,0,0,0,0,0
2015-01-25,0,25,42,0,4,4,0,39,2893,100,0,39,0,0,0,0,0,0
2015-01-26,0,25,42,0,4,4,0,39,2917,100,0,39,0,0,0,0,0,0
2015-01-27,0,25,42,0,4,4,0,39,2941,100,0,39,0,0,0,0,0,0
2015-01-28,0,25,42,0,4,4,0,39,2965,100,0,39,0,0,0,0,0,0
2015-01-29,0,25,42,0,4,4,0,39,2989,100,0,39,0,0,0,0,0,0
2015-01-30,0,25,42,0,4,4,0,39,3013,100,0,39,0,0,0,0,0,0
2015-01-31,0,26,42,0,4,4,0,39,3037,100,0,39,0,0,0,0,0,0
2015-02-01,0,25,42,0,4,4,0,39,3061,100,0,39,0,0,0,0,0,0
2015-02-02,0,26,42,0,4,4,0,39,3085,100,0,39,0,0,0,0,0,0
2015-02-03,0,25,42,0,4,4,0,39,3109,100,0,39,0,0,0,0,0,0
2015-02-04,0,25,42,0,4,4,0,39,3133,100,0,39,0,0,0,0,0,0
2015-02-05,0,25,42,0,4,4,0,39,3157,100,0,39,0,0,0,0,0,0
2015-02-06,0,26,42,0,4,4,0,39,3181,100,0,39,0,0,0,0,0,0
2015-02-07,0,26,42,0,4,4,0,39,3205,100,0,39,0,0,0,0,0,0
2015-02-08,0,27,42,0,4,4,0,39,3229,100,0,39,0,0,0,0,0,0
2015-02-09,0,27,42,0,4,4,0,39,3253,100,0,39,0,0,0,0,0,0
2015-02-10,0,26,42,0,4,4,0,39,3277,100,0,39,0,0,0,0,0,0
2015-02-11,0,26,42,0,4,4,0,39,3301,100,0,39,0,0,0,0,0,0
2015-02-12,0,25,42,0,4,4,0,39,3325,100,0,39,0,0,0,0,0,0
2015-02-13,0,26,42,0,4,4,0,39,3349,100,0,39,0,0,0,0,0,0
2015-02-14,0,26,42,0,4,4,0,39,3373,100,0,39,0,0,0,0,0,0
2015-02-15,0,26,42,0,4,4,0,39,3397,100,0,39,0,0,0,0,0,0
2015-02-16,0,26,42,0,4,4,0,39,3421,100,0,39,0,0,0,0,0,0
2015-02-17,0,26,42,0,4,4,0,39,3445,100,0,39,0,0,0,0,0,0
2015-02-18,0,26,42,0,4,4,0,39,3469,100,0,39,0,0,0,0,0,0
2015-02-19,0,26,42,0,4,4,0,39,3493,100,0,39,0,0,0,0,0,0
2015-02-20,0,26,42,0,4,4,0,39,3517,100,0,39,0,0,0,0,0,0
2015-02-21,0,26,42,0,4,4,0,39,3541,100,0,39,0,0,0,0,0,0
2015-02-22,0,26,42,0,4,4,0,39,3565,100,0,39,0,0,0,0,0,0
2015-02-23,0,25,42,0,4,4,0,39,3589,100,0,39,0,0,0,0,0,0
2015-02-24,0,26,42,0,4,4,0,39,3613,100,0,39,0,0,0,0,0,0
2015-02-25,0,27,41,0,4,4,0,39,3637,100,0,39,0,0,0,0,0,0
2015-02-26,0,26,41,0,4,4,0,40,3661,100,0,40,0,0,0,0,0,0
2015-02-27,0,26,41,0,4,4,0,40,3685,100,0,40,0,0,0,0,0,0
2015-02-28,0,26,41,0,4,4,0,40,3709,100,0,40,0,0,0,0,0,0
2015-03-01,0,26,41,0,4,4,0,40,3733,100,0,40,0,0,0,0,0,0
2015-03-02,0,26,41,0,4,4,0,40,3757,100,0,40,0,0,0,0,0,0
2015-03-03,0,26,41,0,4,4,0,40,3781,100,0,40,0,0,0,0,0,0
2015-03-04,0,26,41,0,4,4,0,40,3805,100,0,40,0,0,0,0,0,0
2015-03-05,0,26,41,0,4,4,0,40,3829,100,0,40,0,0,0,0,0,0
2015-03-06,0,26,41,0,4,4,0,40,3853,100,0,40,0,0,0,0,0,0
2015-03-07,0,26,41,0,4,4,0,40,3877,100,0,40,0,0,0,0,0,0
2015-03-08,0,26,41,0,4,4,0,40,3901,100,0,40,0,0,0,0,0,0
2015-03-09,0,26,41,0,4,4,0,40,3925,100,0,40,0,0,0,0,0,0
2015-03-10,0,26,41,0,4,4,0,40,3948,100,0,40,0,0,0,0,0,0
2015-03-11,0,27,41,0,4,4,0,40,3972,100,0,40,0,0,0,0,0,0
2015-03-12,0,26,41,0,4,4,0,40,3996,100,0,40,0,0,0,0,0,0
2015-03-13,0,27,41,0,4,4,0,40,4020,100,0,40,0,0,0,0,0,0
2015-03-14,0,27,41,0,4,4,0,40,4044,100,0,40,0,0,0,0,0,0
2015-03-15,0,26,41,0,4,4,0,40,4068,100,0,40,0,0,0,0,0,0
2015-03-16,0,26,41,0,4,4,0,40,4092,100,0,40,0,0,0,0,0,0
2015-03-17,0,26,41,0,4,4,0,40,4116,100,0,40,0,0,0,0,0,0
2015-03-18,0,26,41,0,4,4,0,40,4140,100,0,40,0,0,0,0,0,0
2015-03-19,0,28,41,0,4,4,0,40,4164,100,0,40,0,0,0,0,0,0
2015-03-20,0,27,41,0,4,4,0,40,4188,100,0,40,0,0,0,0,0,0
2015-03-21,0,27,41,0,4,4,0,40,4212,100,0,40,0,0,0,0,0,0
2015-03-22,0,27,41,0,4,4,0,40,4236,100,0,40,0,0,0,0,0,0
2015-03-23,0,27,41,0,4,4,0,40,4260,100,0,40,0,0,0,0,0,0
2015-03-24,0,27,41,0,4,4,0,40,4284,100,0,40,0,0,0,0,0,0
2015-03-25,0,27,41,0,4,4,0,40,4308,100,0,40,0,0,0,0,0,0
2015-03-26,0,28,41,0,4,4,0,40,4332,100,0,40,0,0,0,0,0,0
2015-03-27,0,27,41,0,4,4,0,40,4356,100,0,40,0,0,0,0,0,0
2015-03-28,0,27,41,0,4,4,0,40,4380,100,0,40,0,0,0,0,0,0
2015-03-29,0,27,41,0,4,4,0,40,4404,100,0,40,0,0,0,0,0,0
2015-03-30,0,27,41,0,4,4,0,40,4428,100,0,40,0,0,0,0,0,0
2015-03-31,0,27,41,0,4,4,0,40,4452,100,0,40,0,0,0,0,0,0
2015-04-01,0,27,41,0,4,4,0,40,4476,100,0,40,0,0,0,0,0,0
2015-04-02,0,27,41,0,4,4,0,40,4500,100,0,40,0,0,0,0,0,0
2015-04-03,0,27,41,0,4,4,0,40,4524,100,0,40,0,0,0,0,0,0
2015-04-04,0,28,41,0,4,4,0,40,4548,100,0,40,0,0,0,0,0,0
2015-04-05,0,27,41,0,4,4,0,40,4572,100,0,40,0,0,0,0,0,0
2015-04-06,0,28,41,0,4,4,0,40,4596,100,0,40,0,0,0,0,0,0
2015-04-07,0,27,41,0,4,4,0,40,4620,100,0,40,0,0,0,0,0,0
2015-04-08,0,29,41,0,4,4,0,40,4644,100,0,40,0,0,0,0,0,0
2015-04-09,0,30,41,0,4,4,0,40,4668,100,0,40,0,0,0,0,0,0
2015-04-10,0,30,41,0,4,4,0,40,4692,100,0,40,0,0,0,0,0,0
2015-04-11,0,28,41,0,4,4,0,40,4716,100,0,40,0,0,0,0,0,0
2015-04-12,0,28,41,0,4,4,0,40,4740,100,0,40,0,0,0,0,0,0
2015-04-13,0,27,41,0,4,4,0,40,4764,100,0,40,0,0,0,0,0,0
2015-04-14,0,27,41,0,4,4,0,40,4788,100,0,40,0,0,0,0,0,0
2015-04-15,0,27,41,0,4,4,0,40,4812,100,0,40,0,0,0,0,0,0
2015-04-16,0,27,41,0,4,4,0,40,4836,100,0,40,0,0,0,0,0,0
2015-04-17,0,27,41,0,4,4,0,40,4860,100,0,40,0,0,0,0,0,0
2015-04-18,0,26,41,0,4,4,0,40,4884,100,0,40,0,0,0,0,0,0
2015-04-19,0,28,41,0,4,4,0,40,4908,100,0,40,0,0,0,0,0,0
2015-04-20,0,28,41,0,4,4,0,40,4932,100,0,40,0,0,0,0,0,0
2015-04-21,0,28,41,0,4,4,0,40,4956,100,0,40,0,0,0,0,0,0
2015-04-22,0,28,41,0,4,4,0,40,4980,100,0,40,0,0,0,0,0,0
2015-04-23,0,26,41,0,4,4,0,40,5004,100,0,40,0,0,0,0,0,0
2015-04-24,0,28,41,0,4,4,0,40,5028,100,0,40,0,0,0,0,0,0
