date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-10-02,0,28,42,0,3,3,0,4,29,101,0,4,0,0,0,0,0,0
2014-10-03,0,29,42,0,3,3,0,4,53,101,0,4,0,0,0,0,0,0
2014-10-04,0,29,42,0,3,3,0,5,77,101,0,5,0,0,0,0,0,0
2014-10-05,0,29,42,0,3,3,0,6,101,101,0,6,0,0,0,0,0,0
2014-10-06,0,29,42,0,3,3,0,7,125,102,0,7,0,0,0,0,0,0
2014-10-07,0,29,40,0,4,4,0,9,149,102,0,9,0,0,0,0,0,0
2014-10-08,0,30,42,0,4,4,0,10,173,102,0,10,0,0,0,0,0,0
2014-10-09,0,29,42,0,4,4,0,11,197,102,0,11,0,0,0,0,0,0
2014-10-10,0,29,42,0,4,4,0,12,221,102,0,12,0,0,0,0,0,0
2014-10-11,0,29,42,0,4,4,0,13,245,102,0,13,0,0,0,0,0,0
2014-10-12,0,29,42,0,4,4,0,14,269,102,0,14,0,0,0,0,0,0
2014-10-13,0,28,42,0,4,4,0,15,293,102,0,15,0,0,0,0,0,0
2014-10-14,0,28,42,0,4,4,0,16,317,102,0,16,0,0,0,0,0,0
2014-10-15,0,28,41,0,4,4,0,17,341,102,0,17,0,0,0,0,0,0
2014-10-16,0,28,42,0,4,4,0,18,365,102,0,18,0,0,0,0,0,0
2014-10-17,0,28,42,0,4,4,0,19,389,102,0,19,0,0,0,0,0,0
2014-10-18,0,28,42,0,4,4,0,20,413,102,0,20,0,0,0,0,0,0
2014-10-19,0,28,40,0,4,4,0,21,437,103,0,21,0,0,0,0,0,0
2014-10-20,0,28,42,0,4,4,0,22,461,102,0,22,0,0,0,0,0,0
2014-10-21,0,27,42,0,4,4,0,23,485,102,0,23,0,0,0,0,0,0
2014-10-22,0,27,42,0,4,4,0,24,509,103,0,24,0,0,0,0,0,0
2014-10-23,0,26,42,0,4,4,0,25,533,102,0,25,0,0,0,0,0,0
2014-10-24,0,27,42,0,4,4,0,26,557,102,0,26,0,0,0,0,0,0
2014-10-25,0,27,42,0,4,4,0,27,581,102,0,27,0,0,0,0,0,0
2014-10-26,0,27,42,0,4,4,0,28,605,102,0,28,0,0,0,0,0,0
2014-10-27,0,27,42,0,4,4,0,29,629,102,0,29,0,0,0,0,0,0
2014-10-28,0,27,40,0,4,4,0,30,653,102,0,30,0,0,0,0,0,0
2014-10-29,0,27,42,0,4,4,0,31,677,102,0,31,0,0,0,0,0,0
2014-10-30,0,27,42,0,4,4,0,32,701,102,0,32,0,0,0,0,0,0
2014-10-31,0,27,42,0,6,6,0,34,723,102,0,34,459,0,0,0,0,0
2014-11-01,0,27,42,0,6,6,0,34,748,103,0,34,459,0,0,0,0,0
