date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-10-02,0,21,42,0,3,3,0,9,152,102,0,9,0,0,0,0,0,0,False,False,False
2014-10-03,0,21,42,0,3,3,0,10,177,102,0,10,0,0,0,0,0,0,False,False,False
2014-10-04,0,22,42,0,3,3,0,10,200,102,0,10,0,0,0,0,0,0,False,False,False
2014-10-05,0,22,42,0,3,3,0,11,223,102,0,11,0,0,0,0,0,0,False,False,False
2014-10-06,0,22,42,0,3,3,0,12,248,102,0,12,0,0,0,0,0,0,False,False,False
2014-10-07,0,22,42,0,3,3,0,13,273,102,0,13,0,0,0,0,0,0,False,False,False
2014-10-08,0,22,42,0,3,3,0,13,296,102,65536,13,0,0,0,0,0,0,False,False,False
2014-10-09,0,21,42,0,3,3,0,14,320,102,0,14,0,0,0,0,0,0,False,False,False
2014-10-10,0,22,42,0,3,3,0,15,345,102,0,15,0,0,0,0,0,0,False,False,False
2014-10-23,0,20,42,0,3,3,0,24,656,102,0,24,0,0,0,0,0,0,False,False,False
2014-10-24,0,20,42,0,3,3,0,24,680,102,0,24,0,0,0,0,0,0,False,False,False
2014-10-25,0,20,42,0,3,3,0,25,705,102,0,25,0,0,0,0,0,0,False,False,False
2014-10-26,0,20,42,0,3,3,0,25,728,102,0,25,0,0,0,0,0,0,False,False,False
2014-10-27,0,20,43,0,3,3,0,26,752,104,0,26,0,0,0,0,0,0,False,False,False
2014-10-28,0,20,43,0,3,3,0,26,777,104,0,26,0,0,0,0,0,0,False,False,False
2014-10-29,0,20,43,0,3,3,0,26,800,104,0,26,0,0,0,0,0,0,False,False,False
2014-10-30,0,20,42,0,3,3,0,27,824,104,0,27,0,0,0,0,0,0,False,False,False
2014-10-31,0,20,42,0,3,3,0,27,849,104,0,27,0,0,0,0,0,0,False,False,False
2014-11-01,0,20,42,0,3,3,0,27,873,104,0,27,0,0,0,0,0,0,False,False,False
2014-11-03,0,20,42,0,3,3,0,28,922,104,0,28,0,0,0,0,0,0,False,False,False
2014-11-04,0,20,42,0,3,3,0,28,945,104,0,28,0,0,0,0,0,0,False,False,False
2014-11-05,0,27,42,0,3,3,0,29,969,104,0,29,0,0,0,0,0,0,False,False,False
2014-11-06,0,21,42,0,3,3,0,30,994,104,0,30,0,0,0,0,0,0,False,False,False
2014-11-07,0,21,42,0,3,3,0,30,1017,104,0,30,0,0,0,0,0,0,False,False,False
2014-11-08,0,21,42,0,3,3,0,30,1041,104,0,30,0,0,0,0,0,0,False,False,False
2014-11-09,0,21,41,0,3,3,0,31,1066,104,0,31,0,0,0,0,0,0,False,False,False
2014-11-10,0,21,41,0,3,3,0,31,1090,104,0,31,0,0,0,0,0,0,False,False,False
2014-11-11,0,21,41,0,3,3,0,31,1113,104,0,31,0,0,0,0,0,0,False,False,False
2014-11-12,0,20,40,0,3,3,0,32,1137,104,0,32,0,0,0,0,0,0,False,False,False
