date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-09-23,0,27,42,0,3,3,0,6,103,103,0,6,0,0,0,0,0,0
2014-09-24,0,25,42,0,3,3,0,6,127,103,0,6,0,0,0,0,0,0
2014-10-01,0,26,42,0,3,3,0,13,295,104,0,13,0,0,0,0,0,0
2014-10-02,0,25,41,0,3,3,0,14,319,104,0,14,0,0,0,0,0,0
2014-10-03,0,25,42,0,3,3,0,15,342,104,0,15,0,0,0,0,0,0
2014-10-04,0,25,42,0,3,3,0,16,367,104,0,16,0,0,0,0,0,0
2014-10-05,0,25,42,0,3,3,0,17,391,104,0,17,0,0,0,0,0,0
2014-10-06,0,25,43,0,3,3,0,18,415,104,0,18,0,0,0,0,0,0
2014-10-07,0,25,42,0,3,3,0,19,438,104,0,19,0,0,0,0,0,0
2014-10-08,0,25,42,0,3,3,0,20,463,104,0,20,0,0,0,0,0,0
2014-10-09,0,24,41,0,3,3,0,21,487,104,0,21,0,0,0,0,0,0
2014-10-10,0,25,41,0,3,3,0,22,510,104,0,22,0,0,0,0,0,0
2014-10-11,0,25,42,0,3,3,0,23,535,104,0,23,0,0,0,0,0,0
2014-10-12,0,25,42,0,3,3,0,24,559,104,0,24,0,0,0,0,0,0
2014-10-13,0,24,42,0,3,3,0,25,583,104,0,25,0,0,0,0,0,0
2014-10-14,0,24,42,0,3,3,0,26,607,104,0,26,0,0,0,0,0,0
2014-10-15,0,24,41,0,3,3,0,27,631,103,0,27,0,0,0,0,0,0
2014-10-16,0,23,41,0,3,3,0,28,655,104,0,28,0,0,0,0,0,0
2014-10-17,0,25,42,0,3,3,0,29,679,104,0,29,0,0,0,0,0,0
2014-10-18,0,25,42,0,3,3,0,30,703,104,0,30,0,0,0,0,0,0
2014-10-19,0,26,41,0,3,3,0,31,727,104,0,31,0,0,0,0,0,0
2014-10-20,0,25,42,0,3,3,0,32,750,104,0,32,0,0,0,0,0,0
2014-10-21,0,24,41,0,3,3,0,32,775,104,0,32,0,0,0,0,0,0
2014-10-22,0,25,42,0,3,3,0,33,799,104,0,33,0,0,0,0,0,0
2014-10-23,0,25,42,0,3,3,0,34,823,104,0,34,0,0,0,0,0,0
2014-10-24,0,24,42,0,3,3,0,35,847,104,0,35,0,0,0,0,0,0
2014-10-25,0,23,41,0,3,3,0,36,871,104,0,36,0,0,0,0,0,0
2014-10-26,0,23,42,0,3,3,0,37,895,103,0,37,0,0,0,0,0,0
2014-10-27,0,23,42,0,3,3,0,38,919,103,0,38,0,0,0,0,0,0
2014-10-28,0,23,42,0,3,3,0,39,943,103,0,39,0,0,0,0,0,0
2014-10-29,0,23,42,0,3,3,0,40,967,103,0,40,0,0,0,0,0,0
2014-10-30,0,23,41,0,3,3,0,41,991,104,0,41,0,0,0,0,0,0
2014-10-31,0,23,41,0,3,3,0,42,1015,103,0,42,0,0,0,0,0,0
2014-11-01,0,23,43,0,3,3,0,43,1039,103,0,43,0,0,0,0,0,0
2014-11-03,0,23,43,0,3,3,0,45,1088,103,0,45,0,0,0,0,0,0
2014-11-04,0,23,42,0,3,3,0,46,1112,103,0,46,0,0,0,0,0,0
2014-11-05,0,24,41,0,3,3,0,47,1136,104,0,47,0,0,0,0,0,0
2014-11-06,0,24,42,0,3,3,0,48,1160,103,0,48,0,0,0,0,0,0
2014-11-07,0,23,43,0,4,4,0,50,1183,103,0,50,0,0,0,0,0,0
2014-11-08,0,23,41,0,4,4,0,50,1207,104,0,50,0,0,0,0,0,0
2014-11-09,0,23,41,0,4,4,0,50,1231,103,0,50,0,0,0,0,0,0
2014-11-10,0,23,40,0,4,4,0,50,1255,104,0,50,0,0,0,0,0,0
2014-11-11,0,24,40,0,4,4,0,50,1279,104,0,50,0,0,0,0,0,0
2014-11-12,0,23,40,0,4,4,0,50,1303,104,0,50,0,0,0,0,0,0
2014-11-13,0,23,40,0,4,4,0,50,1327,104,0,50,0,0,0,0,0,0
2014-11-14,0,24,40,0,4,4,0,50,1351,104,0,50,0,0,0,0,0,0
2014-11-15,0,23,40,0,4,4,0,50,1375,104,0,50,0,0,0,0,0,0
2014-11-16,0,23,40,0,4,4,0,50,1399,104,0,50,0,0,0,0,0,0
2014-11-17,0,23,40,0,4,4,0,50,1423,104,0,50,0,0,0,0,0,0
2014-11-18,0,23,40,0,4,4,0,50,1447,104,0,50,0,0,0,0,0,0
2014-11-19,0,23,40,0,4,4,0,50,1471,104,0,50,0,0,0,0,0,0
2014-11-20,0,23,40,0,4,4,0,50,1495,104,0,50,0,0,0,0,0,0
2014-11-21,0,23,40,0,4,4,0,50,1519,104,0,50,0,0,0,0,0,0
2014-11-22,0,23,40,0,4,4,0,50,1543,104,0,50,0,0,0,0,0,0
2014-11-23,0,23,40,0,4,4,0,50,1567,104,0,50,0,0,0,0,0,0
2014-11-24,0,23,41,0,4,4,0,50,1591,103,0,50,0,0,0,0,0,0
2014-11-25,0,23,41,0,4,4,0,50,1615,103,0,50,0,0,0,0,0,0
2014-11-26,0,23,41,0,4,4,0,50,1639,103,0,50,0,0,0,0,0,0
2014-11-27,0,23,41,0,4,4,0,50,1663,103,0,50,0,0,0,0,0,0
2014-11-28,0,23,41,0,4,4,0,50,1687,103,0,50,0,0,0,0,0,0
2014-11-29,0,23,42,0,4,4,0,50,1711,104,0,50,0,0,0,0,0,0
2014-11-30,0,23,42,0,4,4,0,50,1735,104,0,50,0,0,0,0,0,0
2014-12-01,0,23,42,0,4,4,0,50,1759,104,0,50,0,0,0,0,0,0
2014-12-02,0,23,42,0,4,4,0,50,1783,104,0,50,0,0,0,0,0,0
2014-12-03,0,23,42,0,4,4,0,50,1807,104,0,50,0,0,0,0,0,0
2014-12-04,0,23,42,0,4,4,0,50,1831,104,0,50,0,0,0,0,0,0
2014-12-05,0,23,41,0,5,5,0,51,1855,104,0,51,470,0,0,0,0,0
2014-12-06,0,23,42,0,5,5,0,52,1879,104,0,52,470,0,0,0,0,0
2014-12-07,0,23,42,0,5,5,0,53,1903,104,0,53,470,0,0,0,0,0
2014-12-08,0,23,42,0,5,5,0,54,1927,104,0,54,470,0,0,0,0,0
2014-12-09,0,23,41,0,5,5,0,55,1951,104,0,55,470,0,0,0,0,0
2014-12-10,0,23,42,0,5,5,0,56,1975,104,0,56,470,0,0,0,0,0
2014-12-11,0,23,42,0,6,6,0,58,1998,104,0,58,470,0,0,0,0,0
2014-12-12,0,23,42,0,6,6,0,58,2021,104,0,58,470,0,0,0,0,0
2014-12-13,0,25,42,0,7,7,0,59,2045,104,0,59,470,0,0,0,0,0
2014-12-14,0,24,42,0,7,7,0,59,2069,104,0,59,470,0,0,0,0,0
2014-12-15,0,23,41,0,7,7,0,60,2094,104,0,60,470,0,0,0,0,0
2014-12-16,0,23,42,0,7,7,0,61,2117,103,0,61,470,0,0,0,0,0
2014-12-17,0,23,42,0,7,7,0,62,2141,103,0,62,470,0,0,0,0,0
2014-12-18,0,23,41,0,7,7,0,63,2166,104,0,63,470,0,0,0,0,0
2014-12-19,0,24,42,0,7,7,0,64,2189,103,0,64,470,0,0,0,0,0
2014-12-20,0,24,42,0,7,7,0,64,2213,103,0,64,470,0,0,0,0,0
2014-12-21,0,24,42,0,7,7,0,65,2238,103,0,65,470,0,0,0,0,0
2014-12-22,0,23,42,0,7,7,0,66,2261,104,0,66,470,0,0,0,0,0
2014-12-23,0,23,43,0,8,8,0,68,2285,103,0,68,470,0,0,0,0,0
2014-12-24,0,23,42,0,8,8,0,68,2309,103,0,68,470,0,0,0,0,0
2014-12-25,0,23,42,0,8,8,0,68,2333,103,0,68,470,0,0,0,0,0
2014-12-26,0,23,42,0,8,8,0,68,2357,103,0,68,470,0,0,0,0,0
2014-12-27,0,23,42,0,8,8,0,68,2381,103,0,68,470,0,0,0,0,0
2014-12-28,0,23,41,0,8,8,0,68,2405,104,0,68,470,0,0,0,0,0
2014-12-29,0,23,42,0,8,8,0,68,2429,103,0,68,470,0,0,0,0,0
2014-12-30,0,23,41,0,8,8,0,68,2453,103,0,68,470,0,0,0,0,0
2014-12-31,0,23,42,0,8,8,0,68,2477,103,0,68,470,0,0,0,0,0
2015-01-01,0,23,41,0,8,8,0,68,2502,104,0,68,470,0,0,0,0,0
2015-01-02,0,23,42,0,8,8,0,68,2525,103,0,68,470,0,0,0,0,0
