date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-04-19,0,28,0,0,5,5,0,5,8,0,0,5,452,0,0,0,0,0
2014-04-20,0,31,0,0,5,5,0,6,32,0,0,6,452,0,0,0,0,0
2014-04-21,0,32,0,0,5,5,0,7,56,0,0,7,452,0,0,0,0,0
2014-04-22,0,27,0,0,5,5,0,8,80,0,0,8,452,0,0,0,0,0
2014-04-23,0,26,0,0,5,5,0,9,104,0,0,9,452,0,0,0,0,0
2014-04-24,0,28,0,0,5,5,0,10,128,0,0,10,452,0,0,0,0,0
2014-04-25,0,28,0,0,5,5,0,11,152,0,0,11,452,0,0,0,0,0
2014-04-26,0,28,0,0,5,5,0,12,176,0,0,12,452,0,0,0,0,0
2014-04-27,0,28,0,0,5,5,0,13,200,0,0,13,452,0,0,0,0,0
2014-04-28,0,28,0,0,5,5,0,14,224,0,0,14,452,0,0,0,0,0
2014-04-29,0,27,0,0,5,5,0,15,248,0,0,15,452,0,0,0,0,0
2014-04-30,0,28,0,0,5,5,0,16,272,0,0,16,452,0,0,0,0,0
2014-05-01,0,28,0,0,5,5,0,17,296,0,0,17,452,0,0,0,0,0
2014-05-02,0,29,0,0,5,5,0,18,320,0,0,18,452,0,0,0,0,0
2014-05-03,0,29,0,0,5,5,0,19,344,0,0,19,452,0,0,0,0,0
2014-05-04,0,29,0,0,5,5,0,20,368,0,0,20,452,0,0,0,0,0
2014-05-05,0,29,0,0,5,5,0,20,392,0,0,20,452,0,0,0,0,0
2014-05-06,0,27,0,0,5,5,0,20,416,0,0,20,452,0,0,0,0,0
2014-05-07,0,26,44,0,6,6,0,22,440,107,0,22,452,0,0,0,0,0
2014-05-08,0,26,42,0,6,6,0,22,464,106,0,22,452,0,0,0,0,0
2014-05-09,0,26,42,0,6,6,0,23,488,106,0,23,452,0,0,0,0,0
2014-05-10,0,25,42,0,7,7,0,25,512,105,0,25,452,0,0,0,0,0
2014-05-11,0,25,42,0,7,7,0,25,536,105,0,25,452,0,0,0,0,0
2014-05-12,0,25,42,0,7,7,0,26,559,105,0,26,452,0,0,0,0,0
2014-05-13,0,25,42,0,7,7,0,27,584,105,0,27,452,0,0,0,0,0
2014-05-14,0,25,42,0,7,7,0,28,608,105,0,28,452,0,0,0,0,0
2014-05-15,0,24,41,0,7,7,0,29,632,107,0,29,452,0,0,0,0,0
2014-05-16,0,25,42,0,7,7,0,30,656,106,0,30,452,0,0,0,0,0
2014-05-17,0,25,42,0,7,7,0,31,680,106,0,31,452,0,0,0,0,0
2014-05-18,0,25,42,0,7,7,0,31,704,106,0,31,452,0,0,0,0,0
2014-05-19,0,25,42,0,7,7,0,32,727,106,0,32,452,0,0,0,0,0
2014-05-20,0,30,42,0,7,7,0,33,752,106,0,33,452,0,0,0,0,0
2014-05-21,0,29,42,0,7,7,0,34,776,105,0,34,452,0,0,0,0,0
2014-05-22,0,29,42,0,7,7,0,35,799,105,0,35,452,0,0,0,0,0
2014-05-23,0,29,42,0,7,7,0,36,824,105,0,36,452,0,0,0,0,0
2014-05-24,0,29,42,0,7,7,0,37,848,106,0,37,452,0,0,0,0,0
2014-05-25,0,29,42,0,7,7,0,38,872,105,0,38,452,0,0,0,0,0
2014-05-26,0,29,42,0,7,7,0,39,896,105,0,39,452,0,0,0,0,0
2014-05-27,0,30,42,0,7,7,0,40,920,105,0,40,452,0,0,0,0,0
2014-05-28,0,29,42,0,7,7,0,41,944,105,0,41,452,0,0,0,0,0
2014-05-29,0,30,42,0,7,7,0,42,968,105,0,42,452,0,0,0,0,0
2014-05-30,0,30,42,0,7,7,0,43,992,105,0,43,452,0,0,0,0,0
2014-05-31,0,31,42,0,7,7,0,44,1016,106,0,44,452,0,0,0,0,0
2014-06-01,0,30,42,0,7,7,0,45,1039,105,0,45,452,0,0,0,0,0
2014-06-02,0,30,42,0,7,7,0,46,1064,105,0,46,452,0,0,0,0,0
2014-06-03,0,30,42,0,7,7,0,47,1088,105,0,47,452,0,0,0,0,0
2014-06-04,0,30,42,0,7,7,0,48,1112,105,0,48,452,0,0,0,0,0
2014-06-05,0,30,42,0,7,7,0,49,1136,105,0,49,452,0,0,0,0,0
2014-06-06,0,30,42,0,7,7,0,50,1160,105,0,50,452,0,0,0,0,0
2014-06-07,0,30,42,0,7,7,0,51,1184,105,0,51,452,0,0,0,0,0
2014-06-08,0,30,42,0,7,7,0,52,1207,105,0,52,452,0,0,0,0,0
2014-06-09,0,30,42,0,7,7,0,53,1232,105,0,53,452,0,0,0,0,0
2014-06-10,0,30,42,0,7,7,0,54,1256,105,0,54,452,0,0,0,0,0
2014-06-11,0,31,42,0,7,7,0,55,1279,106,0,55,452,0,0,0,0,0
2014-06-12,0,31,41,0,7,7,0,56,1304,106,0,56,452,0,0,0,0,0
2014-06-13,0,32,41,0,7,7,0,57,1328,106,0,57,452,0,0,0,0,0
2014-06-14,0,32,41,0,7,7,0,58,1352,106,0,58,452,0,0,0,0,0
2014-06-15,0,31,41,0,7,7,0,58,1376,106,0,58,452,0,0,0,0,0
2014-06-16,0,31,41,0,7,7,0,59,1400,106,0,59,452,0,0,0,0,0
2014-06-17,0,31,41,0,7,7,0,60,1424,106,0,60,452,0,0,0,0,0
2014-06-18,0,31,41,0,7,7,0,61,1448,106,0,61,452,0,0,0,0,0
2014-06-19,0,31,41,0,7,7,0,62,1472,106,0,62,452,0,0,0,0,0
2014-06-20,0,29,41,0,7,7,0,62,1496,106,0,62,452,0,0,0,0,0
2014-06-21,0,29,41,0,7,7,0,62,1520,106,0,62,452,0,0,0,0,0
2014-06-22,0,29,41,0,7,7,0,63,1544,106,0,63,452,0,0,0,0,0
2014-06-23,0,29,41,0,7,7,0,64,1568,106,0,64,452,0,0,0,0,0
2014-06-24,0,32,41,0,7,7,0,64,1592,106,0,64,452,0,0,0,0,0
2014-06-25,0,31,41,0,7,7,0,65,1616,106,0,65,452,0,0,0,0,0
2014-06-26,0,31,41,0,7,7,0,66,1640,106,0,66,452,0,0,0,0,0
2014-06-27,0,31,41,0,7,7,0,66,1664,106,0,66,452,0,0,0,0,0
2014-06-28,0,31,41,0,7,7,0,67,1688,106,0,67,452,0,0,0,0,0
2014-06-29,0,31,41,0,7,7,0,68,1712,106,0,68,452,0,0,0,0,0
2014-06-30,0,31,41,0,7,7,0,68,1736,106,0,68,452,0,0,0,0,0
2014-07-01,0,31,41,0,7,7,0,69,1760,106,0,69,452,0,0,0,0,0
2014-07-02,0,31,41,0,7,7,0,70,1783,106,0,70,452,0,0,0,0,0
2014-07-03,0,31,41,0,7,7,0,70,1808,106,0,70,452,0,0,0,0,0
2014-07-04,0,31,41,0,7,7,0,71,1832,106,0,71,452,0,0,0,0,0
2014-07-05,0,31,41,0,7,7,0,71,1856,106,0,71,452,0,0,0,0,0
2014-07-06,0,30,41,0,7,7,0,72,1880,106,0,72,452,0,0,0,0,0
2014-07-07,0,30,41,0,7,7,0,72,1904,106,0,72,452,0,0,0,0,0
2014-07-08,0,31,41,0,7,7,0,73,1928,106,0,73,452,0,0,0,0,0
2014-07-09,0,31,41,0,7,7,0,74,1952,106,0,74,452,0,0,0,0,0
2014-07-10,0,31,41,0,7,7,0,75,1976,106,0,75,452,0,0,0,0,0
2014-07-11,0,31,41,0,7,7,0,75,2000,106,0,75,452,0,0,0,0,0
2014-07-12,0,31,41,0,7,7,0,76,2024,106,0,76,452,0,0,0,0,0
2014-07-13,0,31,41,0,7,7,0,77,2048,106,0,77,452,0,0,0,0,0
2014-07-14,0,32,41,0,7,7,0,77,2072,106,0,77,452,0,0,0,0,0
2014-07-15,0,31,41,0,7,7,0,78,2096,106,0,78,452,0,0,0,0,0
2014-07-16,0,31,41,0,7,7,0,78,2120,106,0,78,452,0,0,0,0,0
2014-07-17,0,31,41,0,7,7,0,79,2144,106,0,79,452,0,0,0,0,0
2014-07-18,0,32,41,0,7,7,0,80,2168,106,0,80,452,0,0,0,0,0
2014-07-19,0,31,41,0,7,7,0,80,2192,106,0,80,452,0,0,0,0,0
2014-07-20,0,32,41,0,7,7,0,80,2216,106,0,80,452,0,0,0,0,0
2014-07-21,0,31,41,0,7,7,0,81,2240,106,0,81,452,0,0,0,0,0
2014-07-22,0,34,41,0,7,7,0,82,2263,106,0,82,452,0,0,0,0,0
2014-07-23,0,30,41,0,7,7,0,83,2288,106,0,83,452,0,0,0,0,0
2014-07-24,0,30,41,0,7,7,0,83,2312,106,0,83,452,0,0,0,0,0
2014-07-25,0,30,41,0,7,7,0,84,2336,106,0,84,452,0,0,0,0,0
2014-07-26,0,30,41,0,7,7,0,85,2360,106,0,85,452,0,0,0,0,0
2014-07-27,0,30,41,0,7,7,0,86,2384,106,0,86,452,0,0,0,0,0
2014-07-28,0,30,41,0,7,7,0,87,2408,106,0,87,452,0,0,0,0,0
2014-07-29,0,31,41,0,7,7,0,87,2432,106,0,87,452,0,0,0,0,0
2014-07-30,0,30,41,0,7,7,0,88,2456,106,0,88,452,0,0,0,0,0
2014-07-31,0,30,41,0,7,7,0,89,2480,106,0,89,452,0,0,0,0,0
2014-08-01,0,30,42,0,7,7,0,90,2504,105,0,90,452,0,0,0,0,0
2014-08-02,0,30,42,0,7,7,0,90,2528,105,0,90,452,0,0,0,0,0
2014-08-03,0,30,42,0,7,7,0,91,2552,105,0,91,452,0,0,0,0,0
2014-08-04,0,30,42,0,7,7,0,91,2576,105,0,91,452,0,0,0,0,0
2014-08-05,0,31,42,0,7,7,0,92,2600,105,0,92,452,0,0,0,0,0
2014-08-06,0,30,42,0,7,7,0,93,2624,105,0,93,452,0,0,0,0,0
2014-08-07,0,30,42,0,7,7,0,94,2648,105,0,94,452,0,0,0,0,0
2014-08-08,0,30,42,0,7,7,0,94,2672,105,0,94,452,0,0,0,0,0
2014-08-09,0,30,42,0,7,7,0,95,2696,105,0,95,452,0,0,0,0,0
2014-08-10,0,33,42,0,7,7,0,96,2720,105,0,96,452,0,0,0,0,0
2014-08-11,0,33,42,0,7,7,0,96,2744,105,0,96,452,0,0,0,0,0
2014-08-12,0,33,42,0,7,7,0,97,2768,105,0,97,452,0,0,0,0,0
2014-08-13,0,30,42,0,7,7,0,98,2792,105,0,98,452,0,0,0,0,0
2014-08-14,0,30,42,0,7,7,0,98,2816,105,0,98,452,0,0,0,0,0
2014-08-15,0,30,42,0,7,7,0,99,2840,105,0,99,452,0,0,0,0,0
2014-08-16,0,30,42,0,7,7,0,100,2864,105,0,100,452,0,0,0,0,0
2014-08-17,0,30,42,0,7,7,0,100,2888,105,0,100,452,0,0,0,0,0
2014-08-18,0,29,42,0,7,7,0,101,2912,105,0,101,452,0,0,0,0,0
2014-08-19,0,30,42,0,7,7,0,102,2936,105,0,102,452,0,0,0,0,0
2014-08-20,0,30,42,0,7,7,0,102,2960,105,0,102,452,0,0,0,0,0
2014-08-21,0,29,42,0,7,7,0,103,2984,105,0,103,452,0,0,0,0,0
2014-08-22,0,30,42,0,7,7,0,103,3008,105,0,103,452,0,0,0,0,0
2014-08-23,0,30,42,0,7,7,0,104,3032,105,0,104,452,0,0,0,0,0
2014-08-24,0,30,42,0,7,7,0,105,3056,105,0,105,452,0,0,0,0,0
2014-08-25,0,30,42,0,7,7,0,106,3080,105,0,106,452,0,0,0,0,0
2014-08-26,0,29,42,0,7,7,0,106,3104,105,0,106,452,0,0,0,0,0
