date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-04-05,0,26,0,0,7,7,0,7,12,0,0,7,455,0,0,0,0,0,False,False,False
2014-04-06,0,26,0,0,7,7,0,8,35,0,0,8,455,0,0,0,0,0,False,False,False
2014-04-07,0,25,0,0,7,7,0,9,59,0,0,9,455,0,0,0,0,0,False,False,False
2014-04-08,0,25,0,0,7,7,0,9,84,0,0,9,455,0,0,0,0,0,False,False,False
2014-04-09,0,25,42,0,7,7,0,10,108,105,0,10,455,0,0,0,0,0,False,False,False
2014-04-10,0,25,42,0,7,7,0,11,131,105,0,11,455,0,0,0,0,0,False,False,False
2014-04-11,0,25,42,0,7,7,0,12,155,105,0,12,455,0,0,0,0,0,False,False,False
2014-04-12,0,26,42,0,7,7,0,13,180,105,0,13,455,0,0,0,0,0,False,False,False
2014-04-13,0,25,42,0,7,7,0,13,203,105,0,13,455,0,0,0,0,0,False,False,False
2014-04-14,0,25,42,0,7,7,0,14,227,105,0,14,455,0,0,0,0,0,False,False,False
2014-04-15,0,25,42,0,7,7,0,15,252,105,0,15,455,0,0,0,0,0,False,False,False
2014-04-16,0,25,42,0,7,7,0,16,276,105,0,16,455,0,0,0,0,0,False,False,False
2014-04-17,0,25,42,0,7,7,0,16,299,105,0,16,455,0,0,0,0,0,False,False,False
2014-04-18,0,26,42,0,7,7,0,17,324,105,0,17,455,0,0,0,0,0,False,False,False
2014-04-19,0,26,42,0,7,7,0,18,348,105,0,18,455,0,0,0,0,0,False,False,False
2014-04-20,0,24,42,0,7,7,0,18,371,105,0,18,455,0,0,0,0,0,False,False,False
2014-04-21,0,28,42,0,7,7,0,18,395,105,0,18,455,0,0,0,0,0,False,False,False
2014-04-22,0,26,42,0,7,7,0,18,420,105,0,18,455,0,0,0,0,0,False,False,False
2014-04-23,0,25,42,0,7,7,0,18,444,105,0,18,455,0,0,0,0,0,False,False,False
2014-04-24,0,27,42,0,7,7,0,18,467,105,0,18,455,0,0,0,0,0,False,False,False
2014-04-25,0,26,42,0,7,7,0,18,492,105,0,18,455,0,0,0,0,0,False,False,False
2014-04-26,0,26,42,0,7,7,0,18,516,105,0,18,455,0,0,0,0,0,False,False,False
2014-04-27,0,26,42,0,7,7,0,18,539,105,0,18,455,0,0,0,0,0,False,False,False
2014-04-28,0,26,42,0,7,7,0,18,563,105,0,18,455,0,0,0,0,0,False,False,False
2014-04-29,0,26,42,0,7,7,0,18,588,105,0,18,455,0,0,0,0,0,False,False,False
2014-04-30,0,26,42,0,7,7,0,18,611,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-01,0,25,42,0,7,7,0,18,635,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-02,0,26,42,0,7,7,0,18,660,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-03,0,25,42,0,7,7,0,18,684,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-04,0,26,42,0,7,7,0,18,707,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-05,0,27,42,0,7,7,0,18,732,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-06,0,26,42,0,7,7,0,18,756,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-07,0,26,42,0,7,7,0,18,779,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-08,0,26,42,0,7,7,0,18,803,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-09,0,26,42,0,7,7,0,18,828,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-10,0,26,42,0,7,7,0,18,851,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-11,0,26,42,0,7,7,0,18,875,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-12,0,25,42,0,7,7,0,18,899,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-13,0,26,42,0,7,7,0,18,924,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-14,0,26,42,0,7,7,0,18,947,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-15,0,26,42,0,7,7,0,18,972,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-16,0,25,42,0,7,7,0,18,996,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-17,0,25,42,0,7,7,0,18,1019,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-18,0,28,42,0,7,7,0,18,1043,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-19,0,28,42,0,7,7,0,18,1068,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-20,0,28,42,0,7,7,0,18,1092,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-21,0,27,42,0,7,7,0,18,1115,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-22,0,27,42,0,7,7,0,18,1140,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-23,0,27,42,0,7,7,0,18,1164,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-24,0,27,42,0,7,7,0,18,1187,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-25,0,27,42,0,7,7,0,18,1211,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-26,0,27,42,0,7,7,0,18,1236,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-27,0,27,42,0,7,7,0,18,1259,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-28,0,27,42,0,7,7,0,18,1283,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-29,0,29,42,0,7,7,0,18,1308,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-30,0,29,42,0,7,7,0,18,1331,105,0,18,455,0,0,0,0,0,False,False,False
2014-05-31,0,29,42,0,7,7,0,18,1355,105,0,18,455,0,0,0,0,0,False,False,False
2014-06-01,0,29,42,0,7,7,0,18,1380,105,0,18,455,0,0,0,0,0,False,False,False
2014-06-02,0,30,42,0,7,7,0,18,1404,105,0,18,455,0,0,0,0,0,False,False,False
2014-06-03,0,27,42,0,7,7,0,18,1427,105,0,18,455,0,0,0,0,0,False,False,False
2014-06-04,0,29,42,0,7,7,0,18,1451,105,0,18,455,0,0,0,0,0,False,False,False
2014-06-05,0,30,42,0,7,7,0,18,1476,105,0,18,455,0,0,0,0,0,False,False,False
2014-06-06,0,30,42,0,7,7,0,18,1499,106,0,18,455,0,0,0,0,0,False,False,False
2014-06-07,0,30,42,0,7,7,0,18,1524,106,0,18,455,0,0,0,0,0,False,False,False
2014-06-08,0,29,42,0,7,7,0,18,1548,106,0,18,455,0,0,0,0,0,False,False,False
2014-06-09,0,30,42,0,7,7,0,18,1571,106,0,18,455,0,0,0,0,0,False,False,False
