date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2016-04-22,0,31,42,0,3,3,0,3,84,94,0,3,0,0,0,0,0,0
2016-04-23,0,30,42,0,3,3,0,3,108,94,0,3,0,0,0,0,0,0
2016-04-24,0,30,43,0,3,3,0,3,131,94,0,3,0,0,0,0,0,0
2016-04-25,0,30,42,0,3,3,0,3,156,95,0,3,0,0,0,0,0,0
2016-04-26,0,29,42,0,3,3,0,3,180,95,0,3,0,0,0,0,0,0
2016-04-27,0,32,42,0,3,3,0,3,203,95,0,3,0,0,0,0,0,0
2016-04-28,0,31,43,0,3,3,0,3,228,95,0,3,0,0,0,0,0,0
2016-04-29,0,29,43,0,3,3,0,3,252,95,0,3,0,0,0,0,0,0
2016-04-30,0,30,43,0,3,3,0,3,276,95,0,3,0,0,0,0,0,0
2016-05-01,0,31,43,0,3,3,0,3,299,95,0,3,0,0,0,0,0,0
2016-05-02,0,30,43,0,3,3,0,3,323,95,0,3,0,0,0,0,0,0
2016-05-03,0,29,43,0,3,3,0,3,347,95,0,3,0,0,0,0,0,0
2016-05-04,0,29,43,0,3,3,0,3,372,95,0,3,0,0,0,0,0,0
2016-05-05,0,30,43,0,3,3,0,3,395,95,0,3,0,0,0,0,0,0
2016-05-06,0,28,43,0,3,3,0,3,419,95,0,3,0,0,0,0,0,0
2016-05-07,0,28,43,0,3,3,0,3,444,95,0,3,0,0,0,0,0,0
2016-05-08,0,30,43,0,3,3,0,3,467,95,0,3,0,0,0,0,0,0
2016-05-09,0,30,43,0,3,3,0,3,491,95,0,3,0,0,0,0,0,0
2016-05-10,0,30,43,0,3,3,0,3,516,95,0,3,0,0,0,0,0,0
2016-05-11,0,29,43,0,3,3,0,3,540,95,0,3,0,0,0,0,0,0
2016-05-12,0,29,43,0,3,3,0,3,563,95,0,3,0,0,0,0,0,0
2016-05-13,0,29,43,0,3,3,0,3,588,95,0,3,0,0,0,0,0,0
2016-05-14,0,30,43,0,3,3,0,3,611,95,0,3,0,0,0,0,0,0
2016-05-15,0,30,43,0,3,3,0,3,635,95,0,3,0,0,0,0,0,0
2016-05-16,0,36,43,0,3,3,0,3,660,95,0,3,0,0,0,0,0,0
2016-05-17,0,36,43,0,3,3,0,3,683,95,0,3,0,0,0,0,0,0
2016-05-18,0,29,43,0,3,3,0,3,707,95,0,3,0,0,0,0,0,0
2016-05-19,0,29,43,0,3,3,0,3,732,95,0,3,0,0,0,0,0,0
2016-05-20,0,30,43,0,3,3,0,3,756,95,0,3,0,0,0,0,0,0
2016-05-21,0,30,43,0,3,3,0,3,780,95,0,3,0,0,0,0,0,0
2016-05-22,0,30,43,0,3,3,0,3,804,95,0,3,0,0,0,0,0,0
2016-05-23,0,31,43,0,3,3,0,3,828,95,0,3,0,0,0,0,0,0
2016-05-24,0,29,43,0,3,3,0,3,852,95,0,3,0,0,0,0,0,0
2016-05-25,0,30,43,0,3,3,0,3,876,95,0,3,0,0,0,0,0,0
2016-05-26,0,30,43,0,3,3,0,3,899,95,0,3,0,0,0,0,0,0
2016-05-27,0,28,43,0,3,3,0,3,924,95,0,3,0,0,0,0,0,0
2016-05-28,0,32,43,0,3,3,0,3,948,95,0,3,0,0,0,0,0,0
2016-05-29,0,29,43,0,3,3,0,3,972,95,0,3,0,0,0,0,0,0
2016-05-30,0,29,43,0,3,3,0,3,995,95,0,3,0,0,0,0,0,0
2016-05-31,0,29,43,0,3,3,0,3,1020,95,0,3,0,0,0,0,0,0
2016-06-01,0,29,43,0,3,3,0,3,1044,95,0,3,0,0,0,0,0,0
2016-06-02,0,28,43,0,3,3,0,3,1068,95,0,3,0,0,0,0,0,0
2016-06-03,0,29,43,0,3,3,0,3,1092,95,0,3,0,0,0,0,0,0
2016-06-04,0,29,43,0,3,3,0,3,1115,95,0,3,0,0,0,0,0,0
2016-06-05,0,29,43,0,3,3,0,3,1140,95,0,3,0,0,0,0,0,0
2016-06-06,0,29,43,0,3,3,0,3,1164,95,0,3,0,0,0,0,0,0
2016-06-07,0,29,43,0,3,3,0,3,1187,95,0,3,0,0,0,0,0,0
2016-06-08,0,29,43,0,3,3,0,3,1211,95,0,3,0,0,0,0,0,0
2016-06-09,0,28,43,0,3,3,0,3,1236,95,0,3,0,0,0,0,0,0
2016-06-10,0,29,43,0,3,3,0,3,1260,95,0,3,0,0,0,0,0,0
2016-06-11,0,29,43,0,3,3,0,3,1284,95,0,3,0,0,0,0,0,0
2016-06-12,0,31,43,0,3,3,0,3,1307,95,0,3,0,0,0,0,0,0
2016-06-13,0,31,43,0,3,3,0,3,1332,95,0,3,0,0,0,0,0,0
2016-06-14,0,31,43,0,3,3,0,3,1356,95,0,3,0,0,0,0,0,0
2016-06-15,0,30,43,0,3,3,0,3,1379,95,0,3,0,0,0,0,0,0
2016-06-16,0,31,43,0,3,3,0,3,1404,95,0,3,0,0,0,0,0,0
2016-06-17,0,33,43,0,3,3,0,3,1428,95,0,3,0,0,0,0,0,0
2016-06-18,0,28,43,0,3,3,0,3,1452,95,0,3,0,0,0,0,0,0
2016-06-19,0,28,43,0,3,3,0,3,1476,95,0,3,0,0,0,0,0,0
2016-06-20,0,27,43,0,3,3,0,3,1500,95,0,3,0,0,0,0,0,0
2016-06-21,0,28,43,0,3,3,0,3,1524,95,0,3,0,0,0,0,0,0
2016-06-22,0,27,42,0,3,3,0,3,1548,96,0,3,0,0,0,0,0,0
2016-06-23,0,28,42,0,3,3,0,3,1572,96,0,3,0,0,0,0,0,0
2016-06-24,0,28,42,0,3,3,0,3,1596,95,0,3,0,0,0,0,0,0
2016-06-25,0,27,42,0,3,3,0,3,1620,95,0,3,0,0,0,0,0,0
2016-06-26,0,26,42,0,3,3,0,3,1644,95,0,3,0,0,0,0,0,0
2016-06-27,0,28,42,0,3,3,0,3,1668,95,0,3,0,0,0,0,0,0
2016-06-28,0,28,42,0,3,3,0,3,1692,95,0,3,0,0,0,0,0,0
2016-06-29,0,28,43,0,3,3,0,3,1716,95,0,3,0,0,0,0,0,0
2016-06-30,0,28,43,0,3,3,0,3,1740,95,0,3,0,0,0,0,0,0
