date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-04-04,0,31,42,0,4,4,0,6,55,102,0,6,0,0,0,0,0,0,False,False,False
2014-04-05,0,26,42,0,4,4,0,6,79,102,0,6,0,0,0,0,0,0,False,False,False
2014-04-06,0,26,42,0,4,4,0,7,103,102,0,7,0,0,0,0,0,0,False,False,False
2014-04-07,0,26,42,0,4,4,0,8,127,102,0,8,0,0,0,0,0,0,False,False,False
2014-04-08,0,26,42,0,4,4,0,9,151,102,0,9,0,0,0,0,0,0,False,False,False
2014-04-09,0,26,42,0,4,4,0,10,175,102,0,10,0,0,0,0,0,0,False,False,False
2014-04-10,0,26,42,0,4,4,0,11,199,102,0,11,0,0,0,0,0,0,False,False,False
2014-04-11,0,26,42,0,4,4,0,12,223,102,0,12,0,0,0,0,0,0,False,False,False
2014-04-12,0,26,42,0,4,4,0,13,247,102,0,13,0,0,0,0,0,0,False,False,False
2014-04-13,0,26,42,0,4,4,0,14,271,102,0,14,0,0,0,0,0,0,False,False,False
2014-04-14,0,26,42,0,4,4,0,15,295,102,0,15,0,0,0,0,0,0,False,False,False
2014-04-15,0,23,42,0,4,4,0,16,319,102,0,16,0,0,0,0,0,0,False,False,False
2014-04-16,0,23,42,0,4,4,0,17,343,102,0,17,0,0,0,0,0,0,False,False,False
2014-04-17,0,23,42,0,4,4,0,18,367,102,0,18,0,0,0,0,0,0,False,False,False
2014-04-18,0,23,42,0,4,4,0,18,391,102,0,18,0,0,0,0,0,0,False,False,False
2014-04-19,0,22,42,0,4,4,0,19,415,102,0,19,0,0,0,0,0,0,False,False,False
2014-04-20,0,25,42,0,4,4,0,20,439,102,0,20,0,0,0,0,0,0,False,False,False
2014-04-21,0,28,42,0,4,4,0,21,464,102,0,21,0,0,0,0,0,0,False,False,False
2014-04-22,0,26,42,0,4,4,0,22,487,102,0,22,0,0,0,0,0,0,False,False,False
2014-04-23,0,26,42,0,4,4,0,23,511,102,0,23,0,0,0,0,0,0,False,False,False
2014-04-24,0,27,42,0,4,4,0,24,535,102,0,24,0,0,0,0,0,0,False,False,False
2014-04-25,0,27,42,0,4,4,0,25,559,102,0,25,0,0,0,0,0,0,False,False,False
2014-04-26,0,27,42,0,4,4,0,26,583,102,0,26,0,0,0,0,0,0,False,False,False
2014-04-27,0,27,42,0,4,4,0,27,607,102,0,27,0,0,0,0,0,0,False,False,False
2014-04-28,0,27,42,0,4,4,0,28,631,102,0,28,0,0,0,0,0,0,False,False,False
2014-04-29,0,27,42,0,4,4,0,29,655,102,0,29,0,0,0,0,0,0,False,False,False
2014-04-30,0,27,43,0,7,7,0,32,679,102,0,32,468,0,0,0,0,0,False,False,False
2014-05-01,0,28,43,0,7,7,0,33,702,102,0,33,468,0,0,0,0,0,False,False,False
2014-05-02,0,28,43,0,7,7,0,34,726,102,0,34,468,0,0,0,0,0,False,False,False
2014-05-03,0,28,42,0,9,9,0,37,750,102,0,37,468,0,0,0,0,0,False,False,False
2014-05-04,0,28,42,0,9,9,0,38,774,103,0,38,468,0,0,0,0,0,False,False,False
2014-05-05,0,28,41,0,9,9,0,39,798,102,0,39,468,0,0,0,0,0,False,False,False
2014-05-06,0,27,42,0,9,9,0,40,822,102,0,40,468,0,0,0,0,0,False,False,False
