date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-03-29,0,23,43,0,3,3,0,4,33,103,0,4,0,0,0,0,0,0
2014-03-30,0,23,43,0,3,3,0,5,57,103,0,5,0,0,0,0,0,0
2014-03-31,0,23,43,0,3,3,0,6,80,103,0,6,0,0,0,0,0,0
2014-04-01,0,23,43,0,3,3,0,7,104,103,0,7,0,0,0,0,0,0
2014-04-02,0,23,42,0,3,3,0,8,129,103,0,8,0,0,0,0,0,0
2014-04-03,0,23,42,0,3,3,0,9,152,103,0,9,0,0,0,0,0,0
2014-04-04,0,23,42,0,3,3,0,10,176,103,0,10,0,0,0,0,0,0
2014-04-05,0,23,42,0,3,3,0,11,201,103,0,11,0,0,0,0,0,0
2014-04-06,0,23,42,0,3,3,0,11,225,103,0,11,0,0,0,0,0,0
2014-04-07,0,22,42,0,3,3,0,12,248,103,0,12,0,0,0,0,0,0
2014-04-08,0,22,42,0,3,3,0,13,273,103,0,13,0,0,0,0,0,0
2014-04-09,0,22,42,0,3,3,0,14,297,103,0,14,0,0,0,0,0,0
2014-04-10,0,22,42,0,3,3,0,15,320,103,0,15,0,0,0,0,0,0
2014-04-11,0,22,42,0,3,3,0,15,345,103,0,15,0,0,0,0,0,0
2014-04-12,0,23,42,0,3,3,0,15,369,103,0,15,0,0,0,0,0,0
2014-04-13,0,22,42,0,3,3,0,15,392,103,0,15,0,0,0,0,0,0
2014-04-14,0,23,42,0,3,3,0,15,417,103,0,15,0,0,0,0,0,0
2014-04-15,0,23,42,0,3,3,0,15,441,103,0,15,0,0,0,0,0,0
2014-04-16,0,22,42,0,3,3,0,15,465,103,0,15,0,0,0,0,0,0
2014-04-17,0,22,42,0,3,3,0,15,488,103,0,15,0,0,0,0,0,0
2014-04-18,0,23,42,0,3,3,0,15,513,103,0,15,0,0,0,0,0,0
2014-04-19,0,23,42,0,3,3,0,15,537,103,0,15,0,0,0,0,0,0
2014-04-20,0,21,42,0,3,3,0,15,560,103,0,15,0,0,0,0,0,0
2014-04-21,0,21,42,0,3,3,0,15,585,103,0,15,0,0,0,0,0,0
2014-04-22,0,22,42,0,3,3,0,15,609,103,0,15,0,0,0,0,0,0
2014-04-23,0,22,42,0,3,3,0,15,632,103,0,15,0,0,0,0,0,0
2014-04-24,0,23,42,0,3,3,0,15,657,103,0,15,0,0,0,0,0,0
2014-04-25,0,23,42,0,3,3,0,15,681,103,0,15,0,0,0,0,0,0
2014-04-26,0,23,42,0,3,3,0,15,704,103,0,15,0,0,0,0,0,0
2014-04-27,0,23,42,0,3,3,0,15,729,103,0,15,0,0,0,0,0,0
2014-04-28,0,23,42,0,3,3,0,15,753,103,0,15,0,0,0,0,0,0
2014-04-29,0,23,42,0,3,3,0,15,777,103,0,15,0,0,0,0,0,0
2014-04-30,0,23,42,0,3,3,0,15,800,103,0,15,0,0,0,0,0,0
2014-05-01,0,23,42,0,3,3,0,15,825,103,0,15,0,0,0,0,0,0
2014-05-02,0,23,42,0,3,3,0,15,849,103,0,15,0,0,0,0,0,0
2014-05-03,0,23,42,0,3,3,0,15,872,103,0,15,0,0,0,0,0,0
2014-05-04,0,23,42,0,3,3,0,15,896,103,0,15,0,0,0,0,0,0
2014-05-05,0,23,42,0,3,3,0,15,921,103,0,15,0,0,0,0,0,0
2014-05-06,0,21,42,0,3,3,0,15,944,103,0,15,0,0,0,0,0,0
2014-05-07,0,22,42,0,3,3,0,15,968,103,0,15,0,0,0,0,0,0
2014-05-08,0,21,42,0,3,3,0,15,993,103,0,15,0,0,0,0,0,0
2014-05-09,0,22,42,0,3,3,0,15,1017,103,0,15,0,0,0,0,0,0
2014-05-10,0,22,42,0,3,3,0,15,1040,103,0,15,0,0,0,0,0,0
2014-05-11,0,21,42,0,3,3,0,15,1065,103,0,15,0,0,0,0,0,0
2014-05-12,0,22,42,0,3,3,0,15,1089,103,0,15,0,0,0,0,0,0
2014-05-13,0,22,42,0,3,3,0,15,1112,103,0,15,0,0,0,0,0,0
2014-05-14,0,22,42,0,3,3,0,15,1137,103,0,15,0,0,0,0,0,0
2014-05-15,0,22,42,0,3,3,0,15,1161,103,0,15,0,0,0,0,0,0
2014-05-16,0,21,42,0,3,3,0,15,1184,103,0,15,0,0,0,0,0,0
2014-05-17,0,22,42,0,3,3,0,15,1208,103,0,15,0,0,0,0,0,0
2014-05-18,0,27,42,0,3,3,0,15,1233,103,0,15,0,0,0,0,0,0
2014-05-19,0,27,42,0,3,3,0,15,1257,103,0,15,0,0,0,0,0,0
2014-05-20,0,28,42,0,3,3,0,15,1281,103,0,15,0,0,0,0,0,0
2014-05-21,0,28,42,0,3,3,0,15,1305,103,0,15,0,0,0,0,0,0
2014-05-22,0,28,42,0,3,3,0,15,1329,103,0,15,0,0,0,0,0,0
2014-05-23,0,28,42,0,3,3,0,15,1352,103,0,15,0,0,0,0,0,0
2014-05-24,0,29,42,0,3,3,0,15,1377,103,0,15,0,0,0,0,0,0
2014-05-25,0,29,42,0,3,3,0,15,1401,103,0,15,0,0,0,0,0,0
2014-05-26,0,29,42,0,3,3,0,15,1424,103,0,15,0,0,0,0,0,0
2014-05-27,0,29,42,0,3,3,0,15,1449,103,0,15,0,0,0,0,0,0
2014-05-28,0,29,42,0,3,3,0,15,1473,103,0,15,0,0,0,0,0,0
2014-05-29,0,29,42,0,3,3,0,15,1497,103,0,15,0,0,0,0,0,0
2014-05-30,0,29,42,0,3,3,0,15,1520,103,0,15,0,0,0,0,0,0
2014-05-31,0,28,42,0,3,3,0,15,1545,103,0,15,0,0,0,0,0,0
2014-06-01,0,29,42,0,3,3,0,15,1569,103,0,15,0,0,0,0,0,0
2014-06-02,0,29,42,0,3,3,0,15,1592,103,0,15,0,0,0,0,0,0
2014-06-03,0,29,42,0,3,3,0,15,1617,103,0,15,0,0,0,0,0,0
2014-06-04,0,30,42,0,3,3,0,15,1641,103,0,15,0,0,0,0,0,0
2014-06-05,0,30,42,0,3,3,0,15,1664,103,0,15,0,0,0,0,0,0
2014-06-06,0,30,42,0,3,3,0,15,1689,103,0,15,0,0,0,0,0,0
2014-06-07,0,30,42,0,3,3,0,15,1713,103,0,15,0,0,0,0,0,0
