date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-05-25,0,29,43,0,3,3,0,4,31,103,0,4,0,0,0,0,0,0
2014-05-26,0,29,43,0,3,3,0,5,56,103,0,5,0,0,0,0,0,0
2014-05-27,0,28,43,0,3,3,0,5,79,103,0,5,0,0,0,0,0,0
2014-05-28,0,29,43,0,3,3,0,6,103,103,0,6,0,0,0,0,0,0
2014-05-29,0,32,43,0,3,3,0,7,128,103,0,7,0,0,0,0,0,0
2014-05-30,0,33,43,0,3,3,0,8,152,103,0,8,0,0,0,0,0,0
2014-05-31,0,32,43,0,3,3,0,9,175,103,0,9,0,0,0,0,0,0
2014-06-01,0,33,43,0,3,3,0,9,200,103,0,9,0,0,0,0,0,0
2014-06-02,0,33,43,0,3,3,0,10,224,103,0,10,0,0,0,0,0,0
2014-06-03,0,32,43,0,3,3,0,11,247,103,0,11,0,0,0,0,0,0
2014-06-04,0,33,43,0,3,3,0,11,272,103,0,11,0,0,0,0,0,0
2014-06-05,0,33,43,0,3,3,0,11,296,103,0,11,0,0,0,0,0,0
2014-06-06,0,33,43,0,3,3,0,11,319,104,0,11,0,0,0,0,0,0
2014-06-07,0,33,43,0,3,3,0,11,343,104,0,11,0,0,0,0,0,0
