date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-03-27,0,28,0,0,3,3,0,3,11,0,0,3,0,0,0,0,0,0
2014-03-28,0,28,0,0,3,3,0,4,35,104,0,4,0,0,0,0,0,0
2014-03-29,0,28,0,0,3,3,0,4,59,104,0,4,0,0,0,0,0,0
2014-03-30,0,28,0,0,3,3,0,4,82,104,0,4,0,0,0,0,0,0
2014-03-31,0,28,0,0,3,3,0,4,107,104,0,4,0,0,0,0,0,0
2014-04-01,0,29,0,0,3,3,0,4,131,104,0,4,0,0,0,0,0,0
2014-04-02,0,28,42,0,3,3,0,5,155,104,0,5,0,0,0,0,0,0
2014-04-03,0,28,42,0,3,3,0,5,179,104,0,5,0,0,0,0,0,0
2014-04-04,0,28,42,0,3,3,0,6,203,104,0,6,0,0,0,0,0,0
2014-04-05,0,29,43,0,3,3,0,7,227,103,0,7,0,0,0,0,0,0
2014-04-06,0,30,43,0,3,3,0,8,251,103,0,8,0,0,0,0,0,0
2014-04-07,0,30,43,0,3,3,0,8,275,103,0,8,0,0,0,0,0,0
2014-04-08,0,30,43,0,3,3,0,8,299,103,0,8,0,0,0,0,0,0
2014-04-09,0,28,43,0,4,4,0,9,322,103,0,9,0,0,0,0,0,0
2014-04-25,0,31,43,0,33,33,0,41,399,103,0,41,532,0,0,0,0,0
2014-04-26,0,30,42,0,33,33,0,42,423,103,0,42,532,0,0,0,0,0
2014-04-27,0,31,42,0,33,33,0,43,447,103,0,43,532,0,0,0,0,0
2014-04-28,0,31,42,0,33,33,0,44,471,103,0,44,532,0,0,0,0,0
2014-04-29,0,31,42,0,33,33,0,44,488,103,0,44,532,0,0,0,0,0
2014-10-18,0,26,42,0,117,117,0,196,2244,104,0,196,496,0,0,0,0,0
2014-10-19,0,26,42,0,117,117,0,197,2267,104,0,197,496,0,0,0,0,0
2014-10-20,0,26,42,0,117,117,0,198,2292,104,0,198,496,0,0,0,0,0
2014-10-21,0,25,42,0,117,117,0,198,2316,104,0,198,496,0,0,0,0,0
2014-10-22,0,26,42,0,117,117,0,199,2339,104,0,199,496,0,0,0,0,0
2014-10-23,0,26,42,0,117,117,0,199,2364,104,0,199,496,0,0,0,0,0
2014-10-24,0,26,42,0,117,117,0,199,2388,104,0,199,496,0,0,0,0,0
2014-10-25,0,26,42,0,117,117,0,200,2412,104,0,200,496,0,0,0,0,0
2014-10-26,0,26,42,0,117,117,0,200,2436,104,0,200,496,0,0,0,0,0
2014-10-27,0,26,42,0,117,117,0,200,2460,104,0,200,496,0,0,0,0,0
2014-10-28,0,26,42,0,117,117,0,200,2484,104,0,200,496,0,0,0,0,0
