date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-04-19,0,30,0,0,2,2,0,2,8,0,0,2,0,0,0,0,0,0
2014-04-20,0,29,0,0,2,2,0,3,32,0,0,3,0,0,0,0,0,0
2014-04-21,0,28,0,0,2,2,0,4,56,0,0,4,0,0,0,0,0,0
2014-04-22,0,28,0,0,2,2,0,5,79,0,0,5,0,0,0,0,0,0
2014-04-23,0,27,0,0,2,2,0,5,104,0,0,5,0,0,0,0,0,0
2014-04-24,0,28,0,0,2,2,0,5,128,0,0,5,0,0,0,0,0,0
2014-04-25,0,29,0,0,2,2,0,5,151,0,0,5,0,0,0,0,0,0
2014-04-26,0,29,0,0,2,2,0,5,176,0,0,5,0,0,0,0,0,0
2014-04-27,0,28,0,0,2,2,0,5,200,0,0,5,0,0,0,0,0,0
2014-04-28,0,28,0,0,2,2,0,5,223,0,0,5,0,0,0,0,0,0
2014-04-29,0,28,0,0,2,2,0,5,248,0,0,5,0,0,0,0,0,0
2014-04-30,0,28,0,0,2,2,0,5,272,0,0,5,0,0,0,0,0,0
2014-05-01,0,29,0,0,2,2,0,5,296,0,0,5,0,0,0,0,0,0
2014-05-02,0,29,0,0,2,2,0,5,319,0,0,5,0,0,0,0,0,0
2014-05-03,0,30,0,0,2,2,0,5,344,0,0,5,0,0,0,0,0,0
2014-05-04,0,30,0,0,2,2,0,5,368,0,0,5,0,0,0,0,0,0
2014-05-05,0,30,0,0,2,2,0,5,391,0,0,5,0,0,0,0,0,0
2014-05-06,0,29,0,0,2,2,0,5,415,0,0,5,0,0,0,0,0,0
2014-05-07,0,29,0,0,2,2,0,5,440,0,0,5,0,0,0,0,0,0
2014-05-08,0,28,0,0,2,2,0,5,463,0,0,5,0,0,0,0,0,0
2014-05-09,0,28,0,0,2,2,0,5,487,0,0,5,0,0,0,0,0,0
2014-05-10,0,28,0,0,2,2,0,5,512,0,0,5,0,0,0,0,0,0
2014-05-11,0,28,0,0,2,2,0,5,536,0,0,5,0,0,0,0,0,0
2014-05-12,0,28,0,0,2,2,0,5,559,0,0,5,0,0,0,0,0,0
2014-05-13,0,28,0,0,2,2,0,5,584,0,0,5,0,0,0,0,0,0
2014-05-14,0,28,0,0,2,2,0,5,608,0,0,5,0,0,0,0,0,0
2014-05-15,0,29,0,0,2,2,0,5,631,0,0,5,0,0,0,0,0,0
2014-05-16,0,29,0,0,2,2,0,5,656,0,0,5,0,0,0,0,0,0
2014-05-17,0,29,0,0,2,2,0,5,680,0,0,5,0,0,0,0,0,0
2014-05-18,0,29,0,0,2,2,0,5,703,0,0,5,0,0,0,0,0,0
2014-05-19,0,29,0,0,2,2,0,5,727,0,0,5,0,0,0,0,0,0
2014-05-20,0,31,0,0,2,2,0,5,752,0,0,5,0,0,0,0,0,0
2014-05-21,0,31,0,0,2,2,0,5,776,0,0,5,0,0,0,0,0,0
2014-05-22,0,31,0,0,2,2,0,5,799,0,0,5,0,0,0,0,0,0
2014-05-23,0,31,0,0,2,2,0,5,824,0,0,5,0,0,0,0,0,0
2014-05-24,0,30,0,0,2,2,0,5,848,0,0,5,0,0,0,0,0,0
2014-05-25,0,30,0,0,2,2,0,5,871,0,0,5,0,0,0,0,0,0
2014-05-26,0,30,0,0,2,2,0,5,896,0,0,5,0,0,0,0,0,0
2014-05-27,0,30,0,0,2,2,0,5,920,0,0,5,0,0,0,0,0,0
2014-05-28,0,30,0,0,2,2,0,5,943,0,0,5,0,0,0,0,0,0
2014-05-29,0,31,0,0,2,2,0,5,968,0,0,5,0,0,0,0,0,0
2014-05-30,0,31,0,0,2,2,0,5,992,0,0,5,0,0,0,0,0,0
2014-05-31,0,31,0,0,2,2,0,5,1015,0,0,5,0,0,0,0,0,0
2014-06-01,0,31,0,0,2,2,0,5,1039,0,0,5,0,0,0,0,0,0
2014-06-02,0,31,0,0,2,2,0,5,1064,0,0,5,0,0,0,0,0,0
2014-06-03,0,31,0,0,2,2,0,5,1088,0,0,5,0,0,0,0,0,0
2014-06-04,0,31,0,0,2,2,0,5,1111,0,0,5,0,0,0,0,0,0
2014-06-05,0,32,0,0,2,2,0,5,1136,0,0,5,0,0,0,0,0,0
2014-06-06,0,31,0,0,2,2,0,5,1160,0,0,5,0,0,0,0,0,0
2014-06-07,0,31,0,0,2,2,0,5,1183,0,0,5,0,0,0,0,0,0
2014-06-08,0,31,0,0,2,2,0,5,1208,0,0,5,0,0,0,0,0,0
2014-06-09,0,32,0,0,2,2,0,5,1232,0,0,5,0,0,0,0,0,0
2014-06-10,0,32,0,0,2,2,0,5,1255,0,0,5,0,0,0,0,0,0
2014-06-11,0,32,0,0,2,2,0,5,1279,0,0,5,0,0,0,0,0,0
2014-06-12,0,31,0,0,2,2,0,5,1304,0,0,5,0,0,0,0,0,0
2014-06-13,0,32,0,0,2,2,0,5,1328,0,0,5,0,0,0,0,0,0
2014-06-14,0,32,0,0,2,2,0,5,1351,0,0,5,0,0,0,0,0,0
2014-06-15,0,32,0,0,2,2,0,5,1376,0,0,5,0,0,0,0,0,0
2014-06-16,0,31,0,0,2,2,0,5,1400,0,0,5,0,0,0,0,0,0
2014-06-17,0,31,0,0,2,2,0,5,1423,0,0,5,0,0,0,0,0,0
2014-06-18,0,32,0,0,2,2,0,5,1448,0,0,5,0,0,0,0,0,0
2014-06-19,0,32,0,0,2,2,0,5,1472,0,0,5,0,0,0,0,0,0
2014-06-20,0,32,0,0,2,2,0,5,1495,0,0,5,0,0,0,0,0,0
2014-06-21,0,32,0,0,2,2,0,5,1520,0,0,5,0,0,0,0,0,0
2014-06-22,0,32,0,0,2,2,0,5,1544,0,0,5,0,0,0,0,0,0
2014-06-23,0,32,0,0,2,2,0,5,1568,0,0,5,0,0,0,0,0,0
2014-06-24,0,32,0,0,2,2,0,5,1592,0,0,5,0,0,0,0,0,0
2014-06-25,0,32,0,0,2,2,0,5,1616,0,0,5,0,0,0,0,0,0
2014-06-26,0,31,0,0,2,2,0,5,1640,0,0,5,0,0,0,0,0,0
2014-06-27,0,31,0,0,2,2,0,5,1663,0,0,5,0,0,0,0,0,0
2014-06-28,0,31,0,0,2,2,0,5,1688,0,0,5,0,0,0,0,0,0
2014-06-29,0,31,0,0,2,2,0,5,1712,0,0,5,0,0,0,0,0,0
2014-06-30,0,31,0,0,2,2,0,5,1735,0,0,5,0,0,0,0,0,0
2014-07-01,0,31,0,0,2,2,0,5,1760,0,0,5,0,0,0,0,0,0
2014-07-02,0,31,0,0,2,2,0,5,1783,0,0,5,0,0,0,0,0,0
2014-07-03,0,31,0,0,2,2,0,5,1808,0,0,5,0,0,0,0,0,0
2014-07-04,0,31,0,0,2,2,0,5,1832,0,0,5,0,0,0,0,0,0
2014-07-05,0,31,0,0,2,2,0,5,1855,0,0,5,0,0,0,0,0,0
2014-07-06,0,31,0,0,2,2,0,5,1880,0,0,5,0,0,0,0,0,0
2014-07-07,0,31,0,0,2,2,0,5,1904,0,0,5,0,0,0,0,0,0
2014-07-08,0,31,0,0,2,2,0,5,1927,0,0,5,0,0,0,0,0,0
2014-07-09,0,31,0,0,2,2,0,5,1952,0,0,5,0,0,0,0,0,0
2014-07-10,0,31,0,0,2,2,0,5,1976,0,0,5,0,0,0,0,0,0
2014-07-11,0,31,0,0,2,2,0,5,2000,0,0,5,0,0,0,0,0,0
2014-07-12,0,31,0,0,2,2,0,5,2024,0,0,5,0,0,0,0,0,0
2014-07-13,0,31,0,0,2,2,0,5,2048,0,0,5,0,0,0,0,0,0
2014-07-14,0,31,0,0,2,2,0,5,2072,0,0,5,0,0,0,0,0,0
2014-07-15,0,31,0,0,2,2,0,5,2095,0,0,5,0,0,0,0,0,0
2014-07-16,0,31,0,0,2,2,0,5,2120,0,0,5,0,0,0,0,0,0
2014-07-17,0,30,0,0,2,2,0,5,2144,0,0,5,0,0,0,0,0,0
2014-07-18,0,31,0,0,2,2,0,5,2167,0,0,5,0,0,0,0,0,0
2014-07-19,0,31,0,0,2,2,0,5,2192,0,0,5,0,0,0,0,0,0
2014-07-20,0,32,0,0,2,2,0,5,2216,0,0,5,0,0,0,0,0,0
2014-07-21,0,32,0,0,2,2,0,5,2239,0,0,5,0,0,0,0,0,0
2014-07-22,0,33,0,0,2,2,0,5,2264,0,0,5,0,0,0,0,0,0
2014-07-23,0,32,0,0,2,2,0,5,2288,0,0,5,0,0,0,0,0,0
2014-07-24,0,32,0,0,2,2,0,5,2312,0,0,5,0,0,0,0,0,0
2014-07-25,0,32,0,0,2,2,0,5,2336,0,0,5,0,0,0,0,0,0
2014-07-26,0,33,0,0,2,2,0,5,2360,0,0,5,0,0,0,0,0,0
2014-07-27,0,33,0,0,2,2,0,5,2384,0,0,5,0,0,0,0,0,0
2014-07-28,0,33,0,0,2,2,0,5,2407,0,0,5,0,0,0,0,0,0
2014-07-29,0,33,0,0,2,2,0,5,2432,0,0,5,0,0,0,0,0,0
2014-07-30,0,33,0,0,2,2,0,5,2456,0,0,5,0,0,0,0,0,0
2014-07-31,0,32,0,0,2,2,0,5,2479,0,0,5,0,0,0,0,0,0
2014-08-01,0,33,42,0,2,2,0,6,2504,102,0,6,0,0,0,0,0,0
2014-08-02,0,33,42,0,2,2,0,6,2528,102,0,6,0,0,0,0,0,0
2014-08-03,0,33,42,0,2,2,0,6,2552,102,0,6,0,0,0,0,0,0
2014-08-04,0,32,42,0,2,2,0,7,2576,102,0,7,0,0,0,0,0,0
2014-08-05,0,32,42,0,2,2,0,8,2600,102,0,8,0,0,0,0,0,0
2014-08-06,0,32,42,0,2,2,0,8,2624,102,0,8,0,0,0,0,0,0
2014-08-07,0,33,42,0,2,2,0,9,2647,102,0,9,0,0,0,0,0,0
2014-08-08,0,32,42,0,2,2,0,9,2672,102,0,9,0,0,0,0,0,0
2014-08-09,0,33,42,0,2,2,0,10,2696,102,0,10,0,0,0,0,0,0
2014-08-10,0,33,42,0,2,2,0,11,2719,102,0,11,0,0,0,0,0,0
2014-08-11,0,34,42,0,2,2,0,12,2744,102,0,12,0,0,0,0,0,0
2014-08-12,0,33,42,0,2,2,0,12,2768,102,0,12,0,0,0,0,0,0
2014-08-13,0,32,42,0,2,2,0,13,2792,102,0,13,0,0,0,0,0,0
2014-08-14,0,32,42,0,2,2,0,13,2816,102,0,13,0,0,0,0,0,0
2014-08-15,0,32,42,0,2,2,0,14,2840,102,0,14,0,0,0,0,0,0
2014-08-16,0,33,42,0,2,2,0,14,2864,102,0,14,0,0,0,0,0,0
2014-08-17,0,32,42,0,2,2,0,14,2887,102,0,14,0,0,0,0,0,0
2014-08-18,0,32,42,0,2,2,0,15,2912,102,0,15,0,0,0,0,0,0
2014-08-19,0,32,42,0,2,2,0,15,2936,102,0,15,0,0,0,0,0,0
2014-08-20,0,32,42,0,2,2,0,15,2959,102,0,15,0,0,0,0,0,0
2014-08-21,0,32,42,0,2,2,0,16,2984,102,0,16,0,0,0,0,0,0
2014-08-22,0,32,42,0,2,2,0,16,3008,102,0,16,0,0,0,0,0,0
2014-08-23,0,32,42,0,2,2,0,17,3031,102,0,17,0,0,0,0,0,0
2014-08-24,0,33,42,0,2,2,0,17,3056,102,0,17,0,0,0,0,0,0
