date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-03-28,0,27,42,0,1,1,0,2,31,100,0,2,0,0,0,0,0,0,False,False,False
2014-03-29,0,26,42,0,1,1,0,2,54,100,0,2,0,0,0,0,0,0,False,False,False
2014-03-30,0,26,42,0,1,1,0,3,79,100,0,3,0,0,0,0,0,0,False,False,False
2014-03-31,0,27,42,0,1,1,0,4,103,100,0,4,0,0,0,0,0,0,False,False,False
2014-04-01,0,27,42,0,1,1,0,5,127,100,0,5,0,0,0,0,0,0,False,False,False
2014-04-02,0,26,42,0,2,2,0,7,151,100,0,7,0,0,0,0,0,0,False,False,False
2014-04-03,0,27,42,0,2,2,0,8,175,100,0,8,0,0,0,0,0,0,False,False,False
2014-04-04,0,26,42,0,2,2,0,9,198,100,0,9,0,0,0,0,0,0,False,False,False
2014-04-05,0,23,42,0,2,2,0,10,223,100,0,10,0,0,0,0,0,0,False,False,False
2014-04-06,0,23,42,0,2,2,0,11,247,100,0,11,0,0,0,0,0,0,False,False,False
2014-04-07,0,23,42,0,2,2,0,12,270,100,0,12,0,0,0,0,0,0,False,False,False
2014-04-08,0,23,42,0,2,2,0,13,295,100,0,13,0,0,0,0,0,0,False,False,False
2014-04-09,0,23,42,0,2,2,0,14,319,100,0,14,0,0,0,0,0,0,False,False,False
2014-04-10,0,23,42,0,2,2,0,15,343,100,0,15,0,0,0,0,0,0,False,False,False
2014-04-11,0,23,42,0,2,2,0,16,367,100,0,16,0,0,0,0,0,0,False,False,False
2014-04-12,0,23,41,0,2,2,0,17,391,101,0,17,0,0,0,0,0,0,False,False,False
2014-04-13,0,23,42,0,2,2,0,18,415,100,0,18,0,0,0,0,0,0,False,False,False
2014-04-14,0,23,41,0,2,2,0,19,438,100,0,19,0,0,0,0,0,0,False,False,False
2014-04-15,0,23,42,0,2,2,0,20,463,100,0,20,0,0,0,0,0,0,False,False,False
2014-04-16,0,23,40,0,2,2,0,21,487,100,0,21,0,0,0,0,0,0,False,False,False
2014-04-17,0,23,42,0,2,2,0,22,510,100,0,22,0,0,0,0,0,0,False,False,False
2014-04-18,0,23,43,0,2,2,0,23,535,100,0,23,0,0,0,0,0,0,False,False,False
2014-04-19,0,23,43,0,2,2,0,24,559,100,0,24,0,0,0,0,0,0,False,False,False
2014-04-20,0,23,42,0,2,2,0,25,582,102,0,25,0,0,0,0,0,0,False,False,False
2014-04-21,0,23,42,0,2,2,0,26,606,100,0,26,0,0,0,0,0,0,False,False,False
2014-04-22,0,24,42,0,2,2,0,27,631,100,0,27,0,0,0,0,0,0,False,False,False
2014-04-23,0,24,42,0,2,2,0,28,655,100,0,28,0,0,0,0,0,0,False,False,False
2014-04-24,0,26,42,0,2,2,0,29,678,100,0,29,0,0,0,0,0,0,False,False,False
2014-04-25,0,26,43,0,2,2,0,30,703,101,0,30,0,0,0,0,0,0,False,False,False
2014-04-26,0,27,43,0,2,2,0,31,727,100,0,31,0,0,0,0,0,0,False,False,False
2014-04-27,0,26,43,0,2,2,0,32,750,100,0,32,0,0,0,0,0,0,False,False,False
2014-04-28,0,26,43,0,2,2,0,33,775,100,0,33,0,0,0,0,0,0,False,False,False
2014-04-29,0,26,43,0,2,2,0,34,799,100,0,34,0,0,0,0,0,0,False,False,False
2014-04-30,0,26,43,0,2,2,0,35,822,100,0,35,0,0,0,0,0,0,False,False,False
2014-05-01,0,27,43,0,2,2,0,36,847,100,0,36,0,0,0,0,0,0,False,False,False
2014-05-02,0,28,43,0,2,2,0,37,871,100,0,37,0,0,0,0,0,0,False,False,False
2014-05-03,0,27,43,0,2,2,0,38,895,100,0,38,0,0,0,0,0,0,False,False,False
