date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-05-30,0,30,0,0,3,3,0,3,35,0,0,3,0,0,0,0,0,0
2014-05-31,0,30,0,0,3,3,0,3,59,0,0,3,0,0,0,0,0,0
2014-06-01,0,31,0,0,3,3,0,3,83,0,0,3,0,0,0,0,0,0
2014-06-02,0,31,0,0,3,3,0,3,107,0,0,3,0,0,0,0,0,0
2014-06-03,0,29,0,0,3,3,0,3,131,0,0,3,0,0,0,0,0,0
2014-06-04,0,30,0,0,3,3,0,3,155,0,0,3,0,0,0,0,0,0
2014-06-05,0,31,0,0,3,3,0,3,179,0,0,3,0,0,0,0,0,0
2014-06-06,0,31,42,0,3,3,0,4,203,105,0,4,0,0,0,0,0,0
2014-06-07,0,29,42,0,3,3,0,5,227,105,0,5,0,0,0,0,0,0
2014-06-08,0,28,42,0,3,3,0,6,251,105,0,6,0,0,0,0,0,0
2014-06-09,0,28,42,0,3,3,0,7,275,105,0,7,0,0,0,0,0,0
2014-06-10,0,28,42,0,3,3,0,7,299,105,0,7,0,0,0,0,0,0
2014-06-11,0,29,42,0,3,3,0,8,323,105,0,8,0,0,0,0,0,0
2014-06-12,0,28,42,0,3,3,0,9,347,105,0,9,0,0,0,0,0,0
2014-06-13,0,28,42,0,3,3,0,10,371,105,0,10,0,0,0,0,0,0
2014-06-14,0,29,42,0,3,3,0,11,395,105,0,11,0,0,0,0,0,0
2014-06-15,0,29,42,0,3,3,0,11,419,105,0,11,0,0,0,0,0,0
2014-06-16,0,28,42,0,3,3,0,11,443,105,0,11,0,0,0,0,0,0
2014-06-17,0,28,42,0,3,3,0,11,467,105,0,11,0,0,0,0,0,0
2014-06-18,0,29,42,0,3,3,0,11,491,105,0,11,0,0,0,0,0,0
2014-06-19,0,30,42,0,3,3,0,11,515,105,0,11,0,0,0,0,0,0
2014-06-20,0,25,42,0,3,3,0,11,539,105,0,11,0,0,0,0,0,0
2014-06-21,0,25,42,0,3,3,0,11,563,105,0,11,0,0,0,0,0,0
2014-06-22,0,26,42,0,3,3,0,11,587,105,0,11,0,0,0,0,0,0
2014-06-23,0,25,42,0,3,3,0,11,612,105,0,11,0,0,0,0,0,0
2014-06-24,0,29,42,0,3,3,0,11,635,105,0,11,0,0,0,0,0,0
2014-06-25,0,29,42,0,3,3,0,11,659,105,0,11,0,0,0,0,0,0
2014-06-26,0,28,42,0,3,3,0,11,683,105,0,11,0,0,0,0,0,0
2014-06-27,0,28,42,0,3,3,0,11,707,105,0,11,0,0,0,0,0,0
2014-06-28,0,28,42,0,3,3,0,11,731,105,0,11,0,0,0,0,0,0
2014-06-29,0,28,42,0,3,3,0,11,755,105,0,11,0,0,0,0,0,0
2014-06-30,0,28,42,0,3,3,0,11,779,105,0,11,0,0,0,0,0,0
2014-07-01,0,28,42,0,3,3,0,11,803,105,0,11,0,0,0,0,0,0
2014-07-02,0,28,42,0,3,3,0,11,827,105,0,11,0,0,0,0,0,0
2014-07-03,0,28,42,0,3,3,0,11,852,105,0,11,0,0,0,0,0,0
2014-07-04,0,27,42,0,3,3,0,11,875,105,0,11,0,0,0,0,0,0
2014-07-05,0,27,42,0,3,3,0,11,899,105,0,11,0,0,0,0,0,0
2014-07-06,0,27,42,0,3,3,0,11,923,105,0,11,0,0,0,0,0,0
2014-07-07,0,27,42,0,3,3,0,11,947,105,0,11,0,0,0,0,0,0
2014-07-08,0,27,42,0,3,3,0,11,971,105,0,11,0,0,0,0,0,0
2014-07-09,0,26,42,0,3,3,0,11,995,105,0,11,0,0,0,0,0,0
2014-07-10,0,27,42,0,3,3,0,11,1019,105,0,11,0,0,0,0,0,0
2014-07-11,0,27,42,0,3,3,0,11,1043,105,0,11,0,0,0,0,0,0
2014-07-12,0,27,42,0,3,3,0,11,1067,105,0,11,0,0,0,0,0,0
2014-07-13,0,27,42,0,3,3,0,11,1092,105,0,11,0,0,0,0,0,0
2014-07-14,0,26,42,0,3,3,0,11,1115,105,0,11,0,0,0,0,0,0
2014-07-15,0,27,42,0,3,3,0,11,1139,105,0,11,0,0,0,0,0,0
2014-07-16,0,26,42,0,3,3,0,11,1164,105,0,11,0,0,0,0,0,0
2014-07-17,0,26,42,0,3,3,0,11,1187,105,0,11,0,0,0,0,0,0
2014-07-18,0,27,42,0,3,3,0,11,1211,105,0,11,0,0,0,0,0,0
2014-07-19,0,29,42,0,3,3,0,11,1235,105,0,11,0,0,0,0,0,0
2014-07-20,0,28,42,0,3,3,0,11,1259,105,0,11,0,0,0,0,0,0
2014-07-21,0,28,42,0,3,3,0,11,1283,105,0,11,0,0,0,0,0,0
2014-07-22,0,29,42,0,3,3,0,11,1307,105,0,11,0,0,0,0,0,0
2014-07-23,0,27,42,0,3,3,0,11,1332,105,0,11,0,0,0,0,0,0
2014-07-24,0,27,42,0,3,3,0,11,1355,105,0,11,0,0,0,0,0,0
2014-07-25,0,27,42,0,3,3,0,11,1379,105,0,11,0,0,0,0,0,0
2014-07-26,0,27,42,0,3,3,0,11,1404,105,0,11,0,0,0,0,0,0
2014-07-27,0,27,42,0,3,3,0,11,1427,105,0,11,0,0,0,0,0,0
2014-07-28,0,27,42,0,3,3,0,11,1451,105,0,11,0,0,0,0,0,0
2014-07-29,0,27,42,0,3,3,0,11,1475,105,0,11,0,0,0,0,0,0
2014-07-30,0,25,42,0,3,3,0,11,1499,105,0,11,0,0,0,0,0,0
2014-07-31,0,24,42,0,3,3,0,11,1523,105,0,11,0,0,0,0,0,0
2014-08-01,0,24,42,0,3,3,0,11,1547,107,0,11,0,0,0,0,0,0
2014-08-02,0,25,42,0,3,3,0,12,1572,107,0,12,0,0,0,0,0,0
2014-08-03,0,24,42,0,3,3,0,13,1595,107,0,13,0,0,0,0,0,0
2014-08-04,0,24,42,0,3,3,0,14,1619,107,0,14,0,0,0,0,0,0
2014-08-05,0,24,42,0,3,3,0,14,1643,107,0,14,0,0,0,0,0,0
2014-08-06,0,24,42,0,3,3,0,15,1667,107,0,15,0,0,0,0,0,0
2014-08-07,0,24,42,0,3,3,0,16,1691,107,0,16,0,0,0,0,0,0
2014-08-08,0,24,42,0,3,3,0,16,1715,107,0,16,0,0,0,0,0,0
2014-08-09,0,24,42,0,3,3,0,17,1739,107,0,17,0,0,0,0,0,0
2014-08-10,0,25,42,0,3,3,0,18,1763,107,0,18,0,0,0,0,0,0
2014-08-11,0,25,42,0,3,3,0,19,1787,107,0,19,0,0,0,0,0,0
2014-08-12,0,25,42,0,3,3,0,19,1812,107,0,19,0,0,0,0,0,0
2014-08-13,0,26,42,0,3,3,0,20,1835,107,0,20,0,0,0,0,0,0
2014-08-14,0,26,42,0,3,3,0,20,1859,107,0,20,0,0,0,0,0,0
2014-08-15,0,25,42,0,3,3,0,20,1883,107,0,20,0,0,0,0,0,0
2014-08-16,0,26,42,0,3,3,0,20,1907,107,0,20,0,0,0,0,0,0
2014-08-17,0,26,42,0,3,3,0,20,1931,107,0,20,0,0,0,0,0,0
2014-08-18,0,26,42,0,3,3,0,20,1955,107,0,20,0,0,0,0,0,0
2014-08-19,0,26,42,0,3,3,0,20,1980,107,0,20,0,0,0,0,0,0
2014-08-20,0,26,42,0,3,3,0,20,2003,107,0,20,0,0,0,0,0,0
2014-08-21,0,26,42,0,3,3,0,20,2027,107,0,20,0,0,0,0,0,0
2014-08-22,0,26,42,0,3,3,0,20,2052,107,0,20,0,0,0,0,0,0
2014-08-23,0,26,42,0,3,3,0,20,2075,107,0,20,0,0,0,0,0,0
2014-08-24,0,26,42,0,3,3,0,20,2099,107,0,20,0,0,0,0,0,0
2014-08-25,0,26,42,0,3,3,0,20,2123,107,0,20,0,0,0,0,0,0
2014-08-26,0,25,42,0,3,3,0,20,2147,107,0,20,0,0,0,0,0,0
2014-08-27,0,26,43,0,3,3,0,21,2171,105,0,21,0,0,0,0,0,0
2014-08-28,0,26,43,0,3,3,0,22,2195,105,0,22,0,0,0,0,0,0
2014-08-29,0,26,43,0,3,3,0,22,2219,105,0,22,0,0,0,0,0,0
2014-08-30,0,25,43,0,3,3,0,22,2243,105,0,22,0,0,0,0,0,0
2014-08-31,0,26,43,0,3,3,0,22,2267,105,0,22,0,0,0,0,0,0
2014-09-01,0,26,43,0,3,3,0,22,2292,105,0,22,0,0,0,0,0,0
2014-09-02,0,25,43,0,3,3,0,22,2315,105,0,22,0,0,0,0,0,0
2014-09-03,0,26,43,0,3,3,0,22,2339,105,0,22,0,0,0,0,0,0
2014-09-04,0,26,43,0,3,3,0,22,2363,105,0,22,0,0,0,0,0,0
2014-09-05,0,26,43,0,3,3,0,22,2387,105,0,22,0,0,0,0,0,0
2014-09-06,0,25,43,0,3,3,0,22,2411,105,0,22,0,0,0,0,0,0
2014-09-07,0,26,43,0,3,3,0,22,2435,105,0,22,0,0,0,0,0,0
2014-09-08,0,26,43,0,3,3,0,22,2460,105,0,22,0,0,0,0,0,0
2014-09-09,0,24,43,0,3,3,0,22,2483,105,0,22,0,0,0,0,0,0
2014-09-10,0,25,43,0,3,3,0,22,2507,105,0,22,0,0,0,0,0,0
2014-09-11,0,26,43,0,3,3,0,22,2532,105,0,22,0,0,0,0,0,0
2014-09-12,0,26,43,0,3,3,0,22,2555,105,0,22,0,0,0,0,0,0
2014-09-13,0,26,43,0,3,3,0,22,2579,105,0,22,0,0,0,0,0,0
2014-09-14,0,26,43,0,3,3,0,22,2603,105,0,22,0,0,0,0,0,0
2014-09-15,0,26,43,0,3,3,0,22,2627,105,0,22,0,0,0,0,0,0
2014-09-16,0,26,43,0,3,3,0,22,2651,105,0,22,0,0,0,0,0,0
2014-09-17,0,26,43,0,3,3,0,22,2675,105,0,22,0,0,0,0,0,0
2014-09-18,0,27,43,0,3,3,0,22,2700,105,0,22,0,0,0,0,0,0
2014-09-19,0,27,43,0,3,3,0,22,2723,105,0,22,0,0,0,0,0,0
2014-09-20,0,27,43,0,3,3,0,22,2747,105,0,22,0,0,0,0,0,0
2014-09-21,0,26,43,0,3,3,0,22,2772,105,0,22,0,0,0,0,0,0
2014-09-22,0,26,43,0,3,3,0,22,2795,105,0,22,0,0,0,0,0,0
2014-09-23,0,26,43,0,3,3,0,22,2819,105,0,22,0,0,0,0,0,0
2014-09-24,0,24,43,0,3,3,0,22,2844,105,0,22,0,0,0,0,0,0
2014-09-25,0,24,43,0,3,3,0,22,2867,105,0,22,0,0,0,0,0,0
2014-09-26,0,24,43,0,3,3,0,22,2891,105,0,22,0,0,0,0,0,0
2014-09-27,0,24,43,0,3,3,0,22,2915,105,0,22,0,0,0,0,0,0
2014-09-28,0,24,43,0,3,3,0,22,2939,105,0,22,0,0,0,0,0,0
2014-09-29,0,24,43,0,3,3,0,22,2963,105,0,22,0,0,0,0,0,0
2014-09-30,0,24,43,0,3,3,0,22,2987,105,0,22,0,0,0,0,0,0
2014-10-01,0,26,43,0,3,3,0,22,3012,105,0,22,0,0,0,0,0,0
2014-10-02,0,25,43,0,3,3,0,22,3035,105,0,22,0,0,0,0,0,0
2014-10-03,0,25,43,0,3,3,0,22,3059,105,0,22,0,0,0,0,0,0
2014-10-04,0,25,43,0,3,3,0,22,3083,105,0,22,0,0,0,0,0,0
2014-10-05,0,25,43,0,3,3,0,22,3107,105,0,22,0,0,0,0,0,0
2014-10-06,0,25,43,0,3,3,0,22,3131,105,0,22,0,0,0,0,0,0
2014-10-07,0,25,43,0,3,3,0,22,3156,105,0,22,0,0,0,0,0,0
2014-10-08,0,25,43,0,3,3,0,22,3179,105,0,22,0,0,0,0,0,0
