date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-05-03,0,35,0,0,4,4,0,4,9,0,0,4,0,0,0,0,0,0
2014-05-04,0,34,0,0,4,4,0,5,34,0,0,5,0,0,0,0,0,0
2014-05-05,0,34,0,0,4,4,0,6,57,0,0,6,0,0,0,0,0,0
2014-05-06,0,28,0,0,4,4,0,7,81,0,0,7,0,0,0,0,0,0
2014-05-07,0,28,0,0,4,4,0,8,105,0,0,8,0,0,0,0,0,0
2014-05-08,0,28,0,0,4,4,0,9,129,0,0,9,0,0,0,0,0,0
2014-05-09,0,27,43,0,6,6,0,12,153,103,0,12,438,0,0,0,0,0
2014-05-10,0,28,43,0,6,6,0,13,177,103,0,13,438,0,0,0,0,0
2014-05-11,0,28,43,0,6,6,0,14,201,103,0,14,438,0,0,0,0,0
2014-05-12,0,28,43,0,6,6,0,15,225,103,0,15,438,0,0,0,0,0
2014-05-13,0,28,43,0,6,6,0,16,249,103,0,16,438,0,0,0,0,0
2014-05-14,0,28,43,0,6,6,0,17,273,103,0,17,438,0,0,0,0,0
2014-05-15,0,28,43,0,6,6,0,18,297,103,0,18,438,0,0,0,0,0
2014-05-16,0,28,43,0,6,6,0,19,321,103,0,19,438,0,0,0,0,0
2014-05-17,0,28,43,0,6,6,0,20,345,103,0,20,438,0,0,0,0,0
2014-05-18,0,28,43,0,6,6,0,21,369,103,0,21,438,0,0,0,0,0
2014-05-19,0,28,43,0,6,6,0,22,393,103,0,22,438,0,0,0,0,0
2014-05-20,0,30,43,0,6,6,0,23,417,103,0,23,438,0,0,0,0,0
2014-05-21,0,30,43,0,6,6,0,24,441,103,0,24,438,0,0,0,0,0
2014-05-22,0,30,43,0,6,6,0,25,465,103,0,25,438,0,0,0,0,0
2014-05-23,0,30,43,0,6,6,0,26,489,103,0,26,438,0,0,0,0,0
2014-05-24,0,30,43,0,6,6,0,27,513,103,0,27,438,0,0,0,0,0
2014-05-25,0,30,43,0,6,6,0,27,537,103,0,27,438,0,0,0,0,0
2014-05-26,0,29,43,0,6,6,0,28,561,103,0,28,438,0,0,0,0,0
2014-05-27,0,30,43,0,6,6,0,29,585,103,0,29,438,0,0,0,0,0
2014-05-28,0,29,43,0,6,6,0,30,609,103,0,30,438,0,0,0,0,0
2014-05-29,0,30,42,0,7,7,0,32,632,104,0,32,438,0,0,0,0,0
2014-05-30,0,30,42,0,7,7,0,33,656,104,0,33,438,0,0,0,0,0
2014-05-31,0,29,42,0,7,7,0,34,680,104,0,34,438,0,0,0,0,0
2014-06-01,0,30,42,0,7,7,0,34,704,104,0,34,438,0,0,0,0,0
2014-06-02,0,30,42,0,7,7,0,35,729,104,0,35,438,0,0,0,0,0
2014-06-03,0,30,42,0,7,7,0,36,752,104,0,36,438,0,0,0,0,0
2014-06-04,0,31,42,0,7,7,0,37,776,104,0,37,438,0,0,0,0,0
2014-06-05,0,31,42,0,7,7,0,38,800,104,0,38,438,0,0,0,0,0
2014-06-06,0,31,42,0,7,7,0,39,825,104,0,39,438,0,0,0,0,0
2014-06-07,0,30,42,0,7,7,0,40,848,104,0,40,438,0,0,0,0,0
2014-06-08,0,31,42,0,7,7,0,41,872,104,0,41,438,0,0,0,0,0
2014-06-09,0,31,42,0,7,7,0,42,897,104,0,42,438,0,0,0,0,0
2014-06-10,0,31,42,0,7,7,0,42,920,104,0,42,438,0,0,0,0,0
2014-06-11,0,31,42,0,7,7,0,43,944,104,0,43,438,0,0,0,0,0
2014-06-12,0,30,42,0,7,7,0,44,968,104,0,44,438,0,0,0,0,0
2014-06-13,0,31,42,0,7,7,0,45,992,104,0,45,438,0,0,0,0,0
2014-06-14,0,30,42,0,7,7,0,45,1016,104,0,45,438,0,0,0,0,0
2014-06-15,0,31,42,0,7,7,0,45,1040,104,0,45,438,0,0,0,0,0
2014-06-16,0,30,42,0,7,7,0,45,1064,104,0,45,438,0,0,0,0,0
2014-06-17,0,30,42,0,7,7,0,45,1088,104,0,45,438,0,0,0,0,0
2014-06-18,0,30,42,0,7,7,0,46,1112,104,0,46,438,0,0,0,0,0
2014-06-19,0,30,42,0,7,7,0,47,1137,104,0,47,438,0,0,0,0,0
2014-06-20,0,31,42,0,7,7,0,48,1160,104,0,48,438,0,0,0,0,0
2014-06-21,0,30,42,0,7,7,0,49,1184,104,0,49,438,0,0,0,0,0
2014-06-22,0,30,42,0,7,7,0,49,1209,104,0,49,438,0,0,0,0,0
2014-06-23,0,30,42,0,7,7,0,50,1232,104,0,50,438,0,0,0,0,0
