date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-06-07,0,30,42,0,10,10,0,12,77,102,0,12,524,0,0,0,0,0,False,False,False
2014-06-08,0,30,42,0,10,10,0,13,101,102,0,13,524,0,0,0,0,0,False,False,False
2014-06-09,0,30,42,0,10,10,0,13,125,102,0,13,524,0,0,0,0,0,False,False,False
2014-06-10,0,30,42,0,10,10,0,13,150,102,0,13,524,0,0,0,0,0,False,False,False
2014-06-11,0,32,42,0,10,10,0,14,173,102,0,14,524,0,0,0,0,0,False,False,False
2014-06-12,0,32,42,0,10,10,0,15,197,102,0,15,524,0,0,0,0,0,False,False,False
2014-06-13,0,32,42,0,10,10,0,16,221,102,0,16,524,0,0,0,0,0,False,False,False
2014-06-14,0,31,42,0,10,10,0,17,245,102,0,17,524,0,0,0,0,0,False,False,False
2014-06-15,0,31,42,0,10,10,0,18,269,102,0,18,524,0,0,0,0,0,False,False,False
2014-06-16,0,31,40,0,10,10,0,19,293,102,0,19,524,0,0,0,0,0,False,False,False
2014-06-17,0,31,42,0,10,10,0,20,318,102,0,20,524,0,0,0,0,0,False,False,False
2014-06-18,0,32,42,0,10,10,0,21,341,102,0,21,524,0,0,0,0,0,False,False,False
2014-06-19,0,33,42,0,10,10,0,22,365,102,0,22,524,0,0,0,0,0,False,False,False
2014-06-20,0,30,41,0,10,10,0,23,390,102,0,23,524,0,0,0,0,0,False,False,False
2014-06-21,0,30,42,0,10,10,0,24,413,102,0,24,524,0,0,0,0,0,False,False,False
2014-06-22,0,30,41,0,10,10,0,25,437,102,0,25,524,0,0,0,0,0,False,False,False
2014-06-23,0,30,42,0,10,10,0,26,462,102,0,26,524,0,0,0,0,0,False,False,False
2014-06-24,0,33,42,0,10,10,0,27,485,102,0,27,524,0,0,0,0,0,False,False,False
2014-06-25,0,33,42,0,10,10,0,28,509,102,0,28,524,0,0,0,0,0,False,False,False
2014-06-26,0,34,41,0,10,10,0,28,533,102,0,28,524,0,0,0,0,0,False,False,False
