date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-11-14,0,29,42,0,17,17,0,26,3724,101,0,26,443,0,0,0,0,0,False,False,False
2014-11-15,0,28,42,0,17,17,0,27,3748,102,0,27,443,0,0,0,0,0,False,False,False
2014-11-16,0,27,42,0,17,17,0,28,3773,101,0,28,443,0,0,0,0,0,False,False,False
2014-11-17,0,28,43,0,17,17,0,29,3797,101,0,29,443,0,0,0,0,0,False,False,False
2014-11-18,0,27,43,0,17,17,0,30,3820,101,0,30,443,0,0,0,0,0,False,False,False
2014-11-19,0,28,43,0,17,17,0,31,3844,101,0,31,443,0,0,0,0,0,False,False,False
2014-11-20,0,28,42,0,17,17,0,32,3869,101,0,32,443,0,0,0,0,0,False,False,False
2014-11-21,0,28,43,0,17,17,0,33,3892,101,0,33,443,0,0,0,0,0,False,False,False
2014-11-22,0,27,42,0,17,17,0,34,3916,102,0,34,443,0,0,0,0,0,False,False,False
2014-11-23,0,28,43,0,17,17,0,35,3940,101,0,35,443,0,0,0,0,0,False,False,False
2014-11-24,0,28,43,0,17,17,0,36,3965,101,0,36,443,0,0,0,0,0,False,False,False
2014-11-25,0,27,43,0,17,17,0,37,3988,101,0,37,443,0,0,0,0,0,False,False,False
2014-11-26,0,28,44,0,17,17,0,38,4012,101,0,38,443,0,0,0,0,0,False,False,False
2014-11-27,0,27,42,0,17,17,0,39,4037,103,0,39,443,0,0,0,0,0,False,False,False
2014-11-28,0,27,42,0,17,17,0,40,4060,102,0,40,443,0,0,0,0,0,False,False,False
2014-11-29,0,27,43,0,17,17,0,41,4084,101,0,41,443,0,0,0,0,0,False,False,False
2014-11-30,0,27,43,0,17,17,0,42,4108,101,0,42,443,0,0,0,0,0,False,False,False
2014-12-01,0,27,42,0,17,17,0,43,4132,101,0,43,443,0,0,0,0,0,False,False,False
2014-12-02,0,27,42,0,17,17,0,44,4156,101,0,44,443,0,0,0,0,0,False,False,False
2014-12-03,0,27,42,0,17,17,0,45,4180,101,0,45,443,0,0,0,0,0,False,False,False
2014-12-04,0,27,43,0,17,17,0,45,4205,102,0,45,443,0,0,0,0,0,False,False,False
2014-12-05,0,28,42,0,17,17,0,46,4228,102,0,46,443,0,0,0,0,0,False,False,False
2014-12-06,0,28,42,0,17,17,0,47,4252,102,0,47,443,0,0,0,0,0,False,False,False
2014-12-07,0,28,42,0,17,17,0,48,4277,101,0,48,443,0,0,0,0,0,False,False,False
2014-12-08,0,28,43,0,17,17,0,49,4300,101,0,49,443,0,0,0,0,0,False,False,False
