date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-05-29,0,27,42,0,3,3,0,4,31,97,0,4,0,0,0,0,0,0,False,False,False
2014-05-30,0,27,42,0,3,3,0,4,55,97,0,4,0,0,0,0,0,0,False,False,False
2014-05-31,0,27,42,0,3,3,0,4,79,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-01,0,28,42,0,3,3,0,4,103,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-02,0,27,42,0,3,3,0,4,127,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-03,0,27,42,0,3,3,0,4,151,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-04,0,26,42,0,3,3,0,4,175,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-05,0,27,42,0,3,3,0,4,199,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-06,0,27,42,0,3,3,0,4,223,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-07,0,27,42,0,3,3,0,4,247,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-08,0,27,42,0,3,3,0,4,271,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-09,0,27,42,0,3,3,0,4,295,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-10,0,27,42,0,3,3,0,4,319,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-11,0,28,42,0,3,3,0,4,343,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-12,0,28,42,0,3,3,0,4,367,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-13,0,28,42,0,3,3,0,4,391,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-14,0,29,42,0,3,3,0,4,415,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-15,0,29,42,0,3,3,0,4,439,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-16,0,29,42,0,3,3,0,4,463,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-17,0,29,42,0,3,3,0,4,487,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-18,0,29,42,0,3,3,0,4,511,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-19,0,30,42,0,3,3,0,4,535,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-20,0,27,42,0,3,3,0,4,559,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-21,0,27,42,0,3,3,0,4,584,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-22,0,27,42,0,3,3,0,4,607,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-23,0,27,42,0,3,3,0,4,631,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-24,0,30,42,0,3,3,0,4,655,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-25,0,30,42,0,3,3,0,4,679,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-26,0,30,42,0,3,3,0,4,703,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-27,0,29,42,0,3,3,0,4,727,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-28,0,32,42,0,3,3,0,4,751,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-29,0,32,42,0,3,3,0,4,775,97,0,4,0,0,0,0,0,0,False,False,False
2014-06-30,0,32,42,0,3,3,0,4,799,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-01,0,32,42,0,3,3,0,4,823,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-02,0,32,42,0,3,3,0,4,847,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-03,0,32,42,0,3,3,0,4,871,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-04,0,33,42,0,3,3,0,4,895,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-05,0,33,42,0,3,3,0,4,919,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-06,0,33,42,0,3,3,0,4,943,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-07,0,33,42,0,3,3,0,4,967,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-08,0,33,42,0,3,3,0,4,991,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-09,0,35,42,0,3,3,0,4,1015,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-10,0,34,42,0,3,3,0,4,1039,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-11,0,34,42,0,3,3,0,4,1063,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-12,0,35,42,0,3,3,0,4,1087,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-13,0,35,42,0,3,3,0,4,1111,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-14,0,33,42,0,3,3,0,4,1136,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-15,0,35,42,0,3,3,0,4,1159,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-16,0,35,42,0,3,3,0,4,1183,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-17,0,35,42,0,3,3,0,4,1207,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-18,0,35,42,0,3,3,0,4,1231,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-19,0,32,42,0,3,3,0,4,1255,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-20,0,32,42,0,3,3,0,4,1279,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-21,0,32,42,0,3,3,0,4,1303,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-22,0,37,42,0,3,3,0,4,1327,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-23,0,28,42,0,3,3,0,4,1351,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-24,0,28,42,0,3,3,0,4,1376,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-25,0,28,42,0,3,3,0,4,1399,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-26,0,28,42,0,3,3,0,4,1423,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-27,0,27,42,0,3,3,0,4,1447,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-28,0,27,42,0,3,3,0,4,1471,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-29,0,28,42,0,3,3,0,4,1495,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-30,0,27,42,0,3,3,0,4,1519,97,0,4,0,0,0,0,0,0,False,False,False
2014-07-31,0,26,42,0,3,3,0,4,1543,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-01,0,26,42,0,3,3,0,4,1567,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-02,0,26,42,0,3,3,0,4,1591,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-03,0,26,42,0,3,3,0,4,1616,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-04,0,27,42,0,3,3,0,4,1639,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-05,0,27,42,0,3,3,0,4,1663,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-06,0,27,42,0,3,3,0,4,1687,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-07,0,26,42,0,3,3,0,4,1711,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-08,0,26,42,0,3,3,0,4,1735,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-09,0,26,42,0,3,3,0,4,1759,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-10,0,36,42,0,3,3,0,4,1783,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-11,0,35,42,0,3,3,0,4,1807,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-12,0,35,42,0,3,3,0,4,1831,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-13,0,28,42,0,3,3,0,4,1855,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-14,0,28,42,0,3,3,0,4,1879,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-15,0,28,42,0,3,3,0,4,1903,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-16,0,30,42,0,3,3,0,4,1927,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-17,0,29,42,0,3,3,0,4,1951,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-18,0,29,42,0,3,3,0,4,1975,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-19,0,28,42,0,3,3,0,4,1999,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-20,0,30,42,0,3,3,0,4,2024,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-21,0,29,42,0,3,3,0,4,2047,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-22,0,30,42,0,3,3,0,4,2071,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-23,0,30,42,0,3,3,0,4,2096,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-24,0,29,42,0,3,3,0,4,2119,97,0,4,0,0,0,0,0,0,False,False,False
2014-08-25,0,30,42,0,3,3,0,4,2143,97,0,4,0,0,0,0,0,0,False,False,False
