date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-05-25,0,28,43,0,3,3,0,4,30,103,0,4,0,0,0,0,0,0
2014-05-26,0,28,43,0,3,3,0,5,55,103,0,5,0,0,0,0,0,0
2014-05-27,0,28,43,0,3,3,0,6,78,103,0,6,0,0,0,0,0,0
2014-05-28,0,29,43,0,3,3,0,7,102,103,0,7,0,0,0,0,0,0
2014-05-29,0,31,43,0,3,3,0,8,126,103,0,8,0,0,0,0,0,0
2014-05-30,0,31,43,0,3,3,0,8,150,103,0,8,0,0,0,0,0,0
2014-05-31,0,28,43,0,3,3,0,8,174,103,0,8,0,0,0,0,0,0
2014-06-01,0,31,43,0,3,3,0,8,198,103,0,8,0,0,0,0,0,0
2014-06-02,0,31,43,0,3,3,0,8,222,103,0,8,0,0,0,0,0,0
2014-06-03,0,29,43,0,3,3,0,8,246,103,0,8,0,0,0,0,0,0
2014-06-04,0,31,43,0,3,3,0,8,270,103,0,8,0,0,0,0,0,0
2014-06-05,0,31,43,0,3,3,0,8,286,103,0,8,0,0,0,0,0,0
2014-06-06,0,31,43,0,3,3,0,8,318,103,0,8,0,0,0,0,0,0
2014-06-07,0,31,43,0,3,3,0,8,342,103,0,8,0,0,0,0,0,0
2014-06-08,0,31,43,0,3,3,0,8,366,103,0,8,0,0,0,0,0,0
2014-06-09,0,31,43,0,3,3,0,8,390,103,0,8,0,0,0,0,0,0
2014-06-10,0,31,43,0,3,3,0,8,414,103,0,8,0,0,0,0,0,0
2014-06-11,0,31,43,0,3,3,0,8,438,103,0,8,0,0,0,0,0,0
2014-06-12,0,31,43,0,3,3,0,8,462,103,0,8,0,0,0,0,0,0
2014-06-13,0,31,43,0,3,3,0,8,486,103,0,8,0,0,0,0,0,0
2014-06-14,0,31,43,0,3,3,0,8,510,103,0,8,0,0,0,0,0,0
2014-06-15,0,31,43,0,3,3,0,8,534,103,0,8,0,0,0,0,0,0
2014-06-16,0,31,43,0,3,3,0,8,558,103,0,8,0,0,0,0,0,0
2014-06-17,0,31,43,0,3,3,0,8,582,103,0,8,0,0,0,0,0,0
2014-06-18,0,32,43,0,3,3,0,8,607,103,0,8,0,0,0,0,0,0
2014-06-19,0,33,43,0,3,3,0,8,630,103,0,8,0,0,0,0,0,0
2014-06-20,0,30,43,0,3,3,0,8,654,103,0,8,0,0,0,0,0,0
2014-06-21,0,30,43,0,3,3,0,8,678,103,0,8,0,0,0,0,0,0
2014-06-22,0,30,43,0,3,3,0,8,702,103,0,8,0,0,0,0,0,0
2014-06-23,0,30,43,0,3,3,0,8,726,103,0,8,0,0,0,0,0,0
2014-06-24,0,33,43,0,3,3,0,8,750,103,0,8,0,0,0,0,0,0
2014-06-25,0,32,43,0,3,3,0,8,774,103,0,8,0,0,0,0,0,0
2014-06-26,0,33,43,0,3,3,0,8,798,103,0,8,0,0,0,0,0,0
2014-06-27,0,32,43,0,3,3,0,8,822,103,0,8,0,0,0,0,0,0
2014-06-28,0,31,43,0,3,3,0,8,846,103,0,8,0,0,0,0,0,0
2014-06-29,0,30,43,0,3,3,0,8,870,103,0,8,0,0,0,0,0,0
2014-06-30,0,30,43,0,3,3,0,8,894,103,0,8,0,0,0,0,0,0
2014-07-01,0,30,43,0,3,3,0,8,918,103,0,8,0,0,0,0,0,0
2014-07-02,0,31,43,0,3,3,0,8,942,103,0,8,0,0,0,0,0,0
2014-07-03,0,30,43,0,3,3,0,8,966,103,0,8,0,0,0,0,0,0
2014-07-04,0,30,43,0,3,3,0,8,990,103,0,8,0,0,0,0,0,0
2014-07-05,0,29,43,0,3,3,0,8,1014,103,0,8,0,0,0,0,0,0
2014-07-06,0,29,43,0,3,3,0,8,1038,103,0,8,0,0,0,0,0,0
2014-07-07,0,29,43,0,3,3,0,8,1062,103,0,8,0,0,0,0,0,0
2014-07-08,0,29,43,0,3,3,0,8,1087,103,0,8,0,0,0,0,0,0
2014-07-09,0,28,43,0,3,3,0,8,1110,103,0,8,0,0,0,0,0,0
2014-07-10,0,28,43,0,3,3,0,8,1134,103,0,8,0,0,0,0,0,0
2014-07-11,0,29,43,0,3,3,0,8,1158,103,0,8,0,0,0,0,0,0
2014-07-12,0,29,43,0,3,3,0,8,1182,103,0,8,0,0,0,0,0,0
2014-07-13,0,29,43,0,3,3,0,8,1206,103,0,8,0,0,0,0,0,0
2014-07-14,0,31,43,0,3,3,0,8,1230,103,0,8,0,0,0,0,0,0
2014-07-15,0,28,43,0,3,3,0,8,1254,103,0,8,0,0,0,0,0,0
2014-07-16,0,28,43,0,3,3,0,8,1278,103,0,8,0,0,0,0,0,0
2014-07-17,0,28,43,0,3,3,0,8,1302,103,0,8,0,0,0,0,0,0
2014-07-18,0,29,43,0,3,3,0,8,1326,103,0,8,0,0,0,0,0,0
2014-07-19,0,33,43,0,3,3,0,8,1350,103,0,8,0,0,0,0,0,0
2014-07-20,0,32,43,0,3,3,0,8,1374,103,0,8,0,0,0,0,0,0
2014-07-21,0,32,43,0,3,3,0,8,1399,103,0,8,0,0,0,0,0,0
2014-07-22,0,32,43,0,3,3,0,8,1422,103,0,8,0,0,0,0,0,0
2014-07-23,0,32,43,0,3,3,0,8,1446,103,0,8,0,0,0,0,0,0
2014-07-24,0,32,43,0,3,3,0,8,1470,103,0,8,0,0,0,0,0,0
2014-07-25,0,32,43,0,3,3,0,8,1494,103,0,8,0,0,0,0,0,0
2014-07-26,0,32,43,0,3,3,0,8,1518,103,0,8,0,0,0,0,0,0
2014-07-27,0,32,43,0,3,3,0,8,1542,103,0,8,0,0,0,0,0,0
2014-07-28,0,32,43,0,3,3,0,8,1567,103,0,8,0,0,0,0,0,0
2014-07-29,0,32,43,0,3,3,0,8,1590,103,0,8,0,0,0,0,0,0
2014-07-30,0,29,43,0,3,3,0,8,1614,103,0,8,0,0,0,0,0,0
2014-07-31,0,29,43,0,3,3,0,8,1639,103,0,8,0,0,0,0,0,0
2014-08-01,0,29,43,0,3,3,0,8,1662,103,0,8,0,0,0,0,0,0
2014-08-02,0,29,43,0,3,3,0,8,1686,103,0,8,0,0,0,0,0,0
2014-08-03,0,29,43,0,3,3,0,8,1710,103,0,8,0,0,0,0,0,0
2014-08-04,0,29,43,0,3,3,0,8,1734,103,0,8,0,0,0,0,0,0
2014-08-05,0,29,43,0,3,3,0,8,1758,103,0,8,0,0,0,0,0,0
2014-08-06,0,29,43,0,3,3,0,8,1782,103,0,8,0,0,0,0,0,0
2014-08-07,0,29,43,0,3,3,0,8,1807,103,0,8,0,0,0,0,0,0
2014-08-08,0,29,43,0,3,3,0,8,1830,103,0,8,0,0,0,0,0,0
2014-08-09,0,29,43,0,3,3,0,8,1854,103,0,8,0,0,0,0,0,0
2014-08-10,0,29,43,0,3,3,0,8,1879,103,0,8,0,0,0,0,0,0
2014-08-11,0,30,43,0,3,3,0,8,1902,103,0,8,0,0,0,0,0,0
2014-08-12,0,29,43,0,3,3,0,8,1926,103,0,8,0,0,0,0,0,0
2014-08-13,0,29,43,0,3,3,0,8,1950,103,0,8,0,0,0,0,0,0
2014-08-14,0,29,43,0,3,3,0,9,1975,103,0,9,0,0,0,0,0,0
2014-08-15,0,29,43,0,3,3,0,9,1998,103,0,9,0,0,0,0,0,0
2014-08-16,0,30,43,0,3,3,0,10,2022,103,0,10,0,0,0,0,0,0
2014-08-17,0,29,43,0,3,3,0,10,2047,103,0,10,0,0,0,0,0,0
2014-08-18,0,29,43,0,3,3,0,11,2070,103,0,11,0,0,0,0,0,0
2014-08-19,0,29,43,0,3,3,0,12,2094,103,0,12,0,0,0,0,0,0
2014-08-20,0,29,43,0,3,3,0,13,2118,103,0,13,0,0,0,0,0,0
2014-08-21,0,29,43,0,3,3,0,13,2142,103,0,13,0,0,0,0,0,0
2014-08-22,0,30,43,0,3,3,0,14,2166,103,0,14,0,0,0,0,0,0
2014-08-23,0,30,43,0,3,3,0,15,2190,103,0,15,0,0,0,0,0,0
2014-08-24,0,31,43,0,3,3,0,15,2215,103,0,15,0,0,0,0,0,0
2014-08-25,0,30,43,0,3,3,0,16,2238,103,0,16,0,0,0,0,0,0
2014-08-26,0,29,43,0,3,3,0,17,2262,103,0,17,0,0,0,0,0,0
2014-08-27,0,30,43,0,3,3,0,18,2287,104,0,18,0,0,0,0,0,0
2014-08-28,0,29,43,0,3,3,0,18,2310,104,0,18,0,0,0,0,0,0
2014-08-29,0,31,43,0,3,3,0,18,2334,104,0,18,0,0,0,0,0,0
2014-08-30,0,26,43,0,3,3,0,18,2358,104,0,18,0,0,0,0,0,0
2014-08-31,0,30,43,0,3,3,0,18,2382,104,0,18,0,0,0,0,0,0
2014-09-01,0,31,43,0,3,3,0,18,2406,104,0,18,0,0,0,0,0,0
2014-09-02,0,30,43,0,3,3,0,18,2430,104,0,18,0,0,0,0,0,0
2014-09-03,0,31,43,0,3,3,0,18,2455,104,0,18,0,0,0,0,0,0
2014-09-04,0,31,43,0,3,3,0,18,2478,104,0,18,0,0,0,0,0,0
2014-09-05,0,30,43,0,3,3,0,18,2502,104,0,18,0,0,0,0,0,0
2014-09-06,0,30,43,0,3,3,0,18,2526,104,0,18,0,0,0,0,0,0
2014-09-07,0,30,43,0,3,3,0,18,2550,104,0,18,0,0,0,0,0,0
2014-09-08,0,30,43,0,3,3,0,18,2574,104,0,18,0,0,0,0,0,0
2014-09-09,0,29,43,0,3,3,0,18,2598,104,0,18,0,0,0,0,0,0
2014-09-10,0,31,43,0,3,3,0,18,2622,104,0,18,0,0,0,0,0,0
2014-09-11,0,32,43,0,3,3,0,18,2646,104,0,18,0,0,0,0,0,0
2014-09-12,0,32,43,0,3,3,0,18,2670,104,0,18,0,0,0,0,0,0
2014-09-13,0,31,43,0,3,3,0,18,2695,104,0,18,0,0,0,0,0,0
2014-09-14,0,31,43,0,3,3,0,18,2718,104,0,18,0,0,0,0,0,0
2014-09-15,0,31,43,0,3,3,0,18,2742,104,0,18,0,0,0,0,0,0
2014-09-16,0,32,43,0,3,3,0,18,2767,104,0,18,0,0,0,0,0,0
2014-09-17,0,32,43,0,3,3,0,18,2790,104,0,18,0,0,0,0,0,0
2014-09-18,0,32,43,0,3,3,0,18,2814,104,0,18,0,0,0,0,0,0
2014-09-19,0,31,43,0,3,3,0,18,2838,104,0,18,0,0,0,0,0,0
2014-09-20,0,32,43,0,3,3,0,18,2862,104,0,18,0,0,0,0,0,0
2014-09-21,0,32,43,0,3,3,0,18,2886,104,0,18,0,0,0,0,0,0
2014-09-22,0,31,43,0,3,3,0,18,2910,104,0,18,0,0,0,0,0,0
2014-09-23,0,31,43,0,3,3,0,18,2935,104,0,18,0,0,0,0,0,0
2014-09-24,0,30,43,0,3,3,0,18,2958,104,0,18,0,0,0,0,0,0
2014-09-25,0,29,43,0,3,3,0,18,2982,104,0,18,0,0,0,0,0,0
2014-09-26,0,29,43,0,3,3,0,18,3007,104,0,18,0,0,0,0,0,0
2014-09-27,0,30,43,0,3,3,0,18,3030,104,0,18,0,0,0,0,0,0
2014-09-28,0,29,43,0,3,3,0,18,3054,104,0,18,0,0,0,0,0,0
2014-09-29,0,29,43,0,3,3,0,18,3079,104,0,18,0,0,0,0,0,0
2014-09-30,0,29,43,0,3,3,0,18,3102,104,0,18,0,0,0,0,0,0
2014-10-01,0,30,43,0,3,3,0,18,3126,104,0,18,0,0,0,0,0,0
