date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2016-04-09,0,29,42,0,34,34,0,40,173,98,0,40,541,0,0,0,0,0
2016-04-10,0,30,42,0,57,57,0,63,194,98,0,63,541,0,0,0,0,0
2016-04-11,0,28,43,0,57,57,0,63,218,99,0,63,541,0,0,0,0,0
2016-04-12,0,28,43,0,57,57,0,63,242,98,0,63,541,0,0,0,0,0
2016-04-13,0,26,43,0,57,57,0,63,266,98,0,63,541,0,0,0,0,0
2016-04-14,0,26,43,0,57,57,0,63,290,98,0,63,541,0,0,0,0,0
2016-04-15,0,29,43,0,57,57,0,63,314,98,0,63,541,0,0,0,0,0
2016-04-16,0,28,43,0,57,57,0,63,338,98,0,63,541,0,0,0,0,0
2016-04-17,0,28,43,0,57,57,0,63,362,98,0,63,541,0,0,0,0,0
2016-04-18,0,28,43,0,57,57,0,63,386,98,0,63,541,0,0,0,0,0
2016-04-19,0,28,43,0,57,57,0,63,410,98,0,63,541,0,0,0,0,0
2016-04-20,0,27,43,0,57,57,0,63,434,98,0,63,541,0,0,0,0,0
2016-04-21,0,27,43,0,57,57,0,63,458,98,0,63,541,0,0,0,0,0
2016-04-22,0,27,43,0,57,57,0,63,482,98,0,63,541,0,0,0,0,0
2016-04-23,0,28,43,0,57,57,0,63,506,98,0,63,541,0,0,0,0,0
2016-04-24,0,28,43,0,57,57,0,63,530,98,0,63,541,0,0,0,0,0
2016-04-25,0,27,43,0,57,57,0,63,554,98,0,63,541,0,0,0,0,0
2016-04-26,0,27,43,0,57,57,0,63,578,98,0,63,541,0,0,0,0,0
2016-04-27,0,28,43,0,57,57,0,63,602,98,0,63,541,0,0,0,0,0
2016-04-28,0,27,43,0,57,57,0,63,626,98,0,63,541,0,0,0,0,0
2016-04-29,0,26,43,0,57,57,0,63,650,98,0,63,541,0,0,0,0,0
2016-04-30,0,27,43,0,57,57,0,63,674,98,0,63,541,0,0,0,0,0
2016-05-01,0,30,43,0,57,57,0,63,698,98,0,63,541,0,0,0,0,0
2016-05-02,0,27,43,0,57,57,0,63,722,98,0,63,541,0,0,0,0,0
2016-05-03,0,27,43,0,57,57,0,63,746,98,0,63,541,0,0,0,0,0
2016-05-04,0,27,43,0,57,57,0,63,770,98,0,63,541,0,0,0,0,0
2016-05-05,0,27,43,0,57,57,0,63,794,98,0,63,541,0,0,0,0,0
2016-05-06,0,30,43,0,57,57,0,63,818,98,0,63,541,0,0,0,0,0
2016-05-07,0,28,43,0,57,57,0,63,842,98,0,63,541,0,0,0,0,0
2016-05-08,0,28,43,0,57,57,0,63,866,98,0,63,541,0,0,0,0,0
2016-05-09,0,27,43,0,57,57,0,63,890,98,0,63,541,0,0,0,0,0
2016-05-10,0,27,43,0,57,57,0,63,913,98,0,63,541,0,0,0,0,0
2016-05-11,0,26,43,0,57,57,0,63,938,98,0,63,541,0,0,0,0,0
2016-05-12,0,27,43,0,57,57,0,63,962,98,0,63,541,0,0,0,0,0
2016-05-13,0,27,43,0,57,57,0,63,986,98,0,63,541,0,0,0,0,0
2016-05-14,0,27,43,0,57,57,0,63,1010,98,0,63,541,0,0,0,0,0
2016-05-15,0,27,43,0,57,57,0,63,1034,98,0,63,541,0,0,0,0,0
2016-05-16,0,32,43,0,57,57,0,63,1058,98,0,63,541,0,0,0,0,0
2016-05-17,0,32,43,0,57,57,0,63,1082,98,0,63,541,0,0,0,0,0
2016-05-18,0,27,43,0,57,57,0,63,1106,98,0,63,541,0,0,0,0,0
2016-05-19,0,27,43,0,57,57,0,63,1130,98,0,63,541,0,0,0,0,0
2016-05-20,0,27,43,0,57,57,0,63,1154,98,0,63,541,0,0,0,0,0
2016-05-21,0,28,42,0,57,57,0,63,1178,98,0,63,541,0,0,0,0,0
2016-05-22,0,28,42,0,57,57,0,63,1202,99,0,63,541,0,0,0,0,0
2016-05-23,0,28,42,0,57,57,0,63,1226,99,0,63,541,0,0,0,0,0
2016-05-24,0,27,42,0,57,57,0,63,1250,99,0,63,541,0,0,0,0,0
2016-05-25,0,27,43,0,57,57,0,63,1274,99,0,63,541,0,0,0,0,0
2016-05-26,0,27,42,0,57,57,0,63,1298,99,0,63,541,0,0,0,0,0
2016-05-27,0,28,42,0,57,57,0,63,1322,99,0,63,541,0,0,0,0,0
2016-05-28,0,33,42,0,57,57,0,63,1346,99,0,63,541,0,0,0,0,0
2016-05-29,0,27,42,0,57,57,0,63,1370,100,0,63,541,0,0,0,0,0
