date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2016-04-09,0,30,41,0,1,1,0,1,176,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-10,0,29,42,0,1,1,0,1,200,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-11,0,29,42,0,1,1,0,1,225,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-12,0,29,42,0,1,1,0,1,249,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-13,0,28,42,0,1,1,0,1,272,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-14,0,28,42,0,1,1,0,1,296,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-15,0,28,42,0,1,1,0,1,321,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-16,0,29,42,0,1,1,0,1,345,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-17,0,27,42,0,1,1,0,1,368,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-18,0,27,42,0,1,1,0,1,393,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-19,0,26,42,0,1,1,0,1,417,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-20,0,26,42,0,1,1,0,1,440,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-21,0,26,42,0,1,1,0,1,464,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-22,0,28,42,0,1,1,0,1,489,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-23,0,29,42,0,1,1,0,1,512,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-24,0,29,42,0,1,1,0,1,536,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-25,0,28,42,0,1,1,0,1,561,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-26,0,28,42,0,1,1,0,1,585,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-27,0,29,42,0,1,1,0,1,608,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-28,0,28,42,0,1,1,0,1,632,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-29,0,28,42,0,1,1,0,1,656,102,0,1,0,0,0,0,0,0,False,False,False
2016-04-30,0,29,42,0,1,1,0,1,680,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-01,0,27,42,0,1,1,0,1,705,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-02,0,27,42,0,1,1,0,1,728,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-03,0,27,42,0,1,1,0,1,752,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-04,0,27,42,0,1,1,0,1,776,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-05,0,28,42,0,1,1,0,1,801,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-06,0,29,42,0,1,1,0,1,825,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-07,0,29,42,0,1,1,0,1,849,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-08,0,29,42,0,1,1,0,1,872,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-09,0,28,42,0,1,1,0,1,896,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-10,0,28,42,0,1,1,0,1,921,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-11,0,27,42,0,1,1,0,1,945,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-12,0,27,42,0,1,1,0,1,968,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-13,0,26,42,0,1,1,0,1,992,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-14,0,28,42,0,1,1,0,1,1017,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-15,0,29,42,0,1,1,0,1,1041,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-16,0,26,42,0,1,1,0,1,1064,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-17,0,26,42,0,1,1,0,1,1089,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-18,0,27,42,0,1,1,0,1,1112,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-19,0,26,42,0,1,1,0,1,1136,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-20,0,29,42,0,1,1,0,1,1161,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-21,0,30,42,0,1,1,0,1,1185,103,0,1,0,0,0,0,0,0,False,False,False
2016-05-22,0,30,42,0,1,1,0,1,1208,103,0,1,0,0,0,0,0,0,False,False,False
2016-05-23,0,29,42,0,1,1,0,1,1233,103,0,1,0,0,0,0,0,0,False,False,False
2016-05-24,0,29,42,0,1,1,0,1,1257,103,0,1,0,0,0,0,0,0,False,False,False
2016-05-25,0,29,42,0,1,1,0,1,1280,103,0,1,0,0,0,0,0,0,False,False,False
2016-05-26,0,28,42,0,1,1,0,1,1305,103,0,1,0,0,0,0,0,0,False,False,False
2016-05-27,0,27,42,0,1,1,0,1,1329,104,0,1,0,0,0,0,0,0,False,False,False
2016-05-28,0,26,42,0,1,1,0,1,1352,103,0,1,0,0,0,0,0,0,False,False,False
2016-05-29,0,26,42,0,1,1,0,1,1376,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-30,0,26,42,0,1,1,0,1,1401,102,0,1,0,0,0,0,0,0,False,False,False
2016-05-31,0,26,42,0,1,1,0,1,1425,102,0,1,0,0,0,0,0,0,False,False,False
2016-06-01,0,27,42,0,1,1,0,1,1448,103,0,1,0,0,0,0,0,0,False,False,False
2016-06-02,0,26,42,0,1,1,0,1,1472,103,0,1,0,0,0,0,0,0,False,False,False
2016-06-03,0,26,42,0,1,1,0,1,1497,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-04,0,26,42,0,1,1,0,1,1521,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-05,0,27,42,0,1,1,0,1,1544,103,0,1,0,0,0,0,0,0,False,False,False
2016-06-06,0,26,42,0,1,1,0,1,1568,103,0,1,0,0,0,0,0,0,False,False,False
2016-06-07,0,27,42,0,1,1,0,1,1593,103,0,1,0,0,0,0,0,0,False,False,False
2016-06-08,0,27,42,0,1,1,0,1,1616,103,0,1,0,0,0,0,0,0,False,False,False
2016-06-09,0,26,42,0,1,1,0,1,1641,103,0,1,0,0,0,0,0,0,False,False,False
2016-06-10,0,26,42,0,1,1,0,1,1664,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-11,0,28,42,0,1,1,0,1,1688,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-12,0,26,42,0,1,1,0,1,1713,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-13,0,27,42,0,1,1,0,1,1737,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-14,0,26,42,0,1,1,0,1,1760,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-15,0,27,42,0,1,1,0,1,1785,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-16,0,29,42,0,1,1,0,1,1809,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-17,0,26,42,0,1,1,0,1,1833,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-18,0,26,42,0,1,1,0,1,1856,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-19,0,26,42,0,1,1,0,1,1881,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-20,0,26,42,0,1,1,0,1,1905,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-21,0,26,42,0,1,1,0,1,1928,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-22,0,26,42,0,1,1,0,1,1952,104,0,1,0,0,0,0,0,0,False,False,False
2016-06-23,0,26,42,0,1,1,0,1,1977,103,0,1,0,0,0,0,0,0,False,False,False
2016-06-24,0,27,42,0,1,1,0,1,2001,102,0,1,0,0,0,0,0,0,False,False,False
2016-06-25,0,26,42,0,1,1,0,1,2024,102,0,1,0,0,0,0,0,0,False,False,False
2016-06-26,0,26,42,0,1,1,0,1,2048,102,0,1,0,0,0,0,0,0,False,False,False
2016-06-27,0,26,42,0,1,1,0,1,2073,102,0,1,0,0,0,0,0,0,False,False,False
2016-06-28,0,26,42,0,1,1,0,1,2096,102,0,1,0,0,0,0,0,0,False,False,False
2016-06-29,0,26,42,0,1,1,0,1,2120,102,0,1,0,0,0,0,0,0,False,False,False
2016-06-30,0,26,42,0,1,1,0,1,2145,102,0,1,0,0,0,0,0,0,False,False,False
