date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2016-04-09,0,28,43,0,3,3,0,7,157,100,0,7,0,0,0,0,0,0
2016-04-10,0,28,42,0,3,3,0,7,181,100,0,7,0,0,0,0,0,0
2016-04-11,0,28,42,0,3,3,0,7,205,101,0,7,0,0,0,0,0,0
2016-04-12,0,28,42,0,3,3,0,7,230,100,0,7,0,0,0,0,0,0
2016-04-13,0,28,42,0,3,3,0,7,253,100,0,7,0,0,0,0,0,0
2016-04-14,0,28,42,0,3,3,0,7,277,100,0,7,0,0,0,0,0,0
2016-04-15,0,27,42,0,3,3,0,7,301,100,0,7,0,0,0,0,0,0
2016-04-16,0,30,42,0,3,3,0,7,325,100,0,7,0,0,0,0,0,0
2016-04-17,0,28,42,0,3,3,0,7,349,100,0,7,0,0,0,0,0,0
2016-04-18,0,28,42,0,3,3,0,7,373,100,0,7,0,0,0,0,0,0
2016-04-19,0,30,42,0,3,3,0,7,397,100,0,7,0,0,0,0,0,0
2016-04-20,0,30,42,0,3,3,0,7,421,100,0,7,0,0,0,0,0,0
2016-04-21,0,30,42,0,3,3,0,7,445,100,0,7,0,0,0,0,0,0
2016-04-22,0,33,42,0,3,3,0,7,469,100,0,7,0,0,0,0,0,0
2016-04-23,0,31,42,0,3,3,0,7,493,100,0,7,0,0,0,0,0,0
2016-04-24,0,32,42,0,3,3,0,7,517,100,0,7,0,0,0,0,0,0
2016-04-25,0,31,42,0,3,3,0,7,541,100,0,7,0,0,0,0,0,0
2016-04-26,0,31,42,0,3,3,0,7,565,100,0,7,0,0,0,0,0,0
2016-04-27,0,33,42,0,3,3,0,7,589,100,0,7,0,0,0,0,0,0
2016-04-28,0,31,42,0,3,3,0,7,613,100,0,7,0,0,0,0,0,0
2016-04-29,0,31,42,0,3,3,0,7,637,100,0,7,0,0,0,0,0,0
2016-04-30,0,32,42,0,3,3,0,7,661,100,0,7,0,0,0,0,0,0
2016-05-01,0,32,42,0,3,3,0,7,685,100,0,7,0,0,0,0,0,0
2016-05-02,0,31,42,0,3,3,0,7,709,100,0,7,0,0,0,0,0,0
2016-05-03,0,31,42,0,3,3,0,7,734,100,0,7,0,0,0,0,0,0
2016-05-04,0,31,42,0,3,3,0,7,757,100,0,7,0,0,0,0,0,0
2016-05-05,0,31,42,0,3,3,0,7,781,100,0,7,0,0,0,0,0,0
2016-05-06,0,31,42,0,3,3,0,7,805,100,0,7,0,0,0,0,0,0
2016-05-07,0,31,42,0,3,3,0,7,829,100,0,7,0,0,0,0,0,0
2016-05-08,0,31,42,0,3,3,0,7,854,100,0,7,0,0,0,0,0,0
2016-05-09,0,32,42,0,3,3,0,7,877,100,0,7,0,0,0,0,0,0
2016-05-10,0,31,42,0,3,3,0,7,901,100,0,7,0,0,0,0,0,0
2016-05-11,0,31,42,0,3,3,0,7,925,100,0,7,0,0,0,0,0,0
2016-05-12,0,31,42,0,3,3,0,7,949,100,0,7,0,0,0,0,0,0
2016-05-13,0,30,42,0,3,3,0,7,973,100,0,7,0,0,0,0,0,0
2016-05-14,0,31,42,0,3,3,0,7,997,100,0,7,0,0,0,0,0,0
2016-05-15,0,32,42,0,3,3,0,7,1021,100,0,7,0,0,0,0,0,0
2016-05-16,0,31,42,0,3,3,0,7,1045,100,0,7,0,0,0,0,0,0
2016-05-17,0,31,42,0,3,3,0,7,1069,100,0,7,0,0,0,0,0,0
2016-05-18,0,31,42,0,3,3,0,7,1093,100,0,7,0,0,0,0,0,0
2016-05-19,0,31,42,0,3,3,0,7,1117,100,0,7,0,0,0,0,0,0
2016-05-20,0,32,42,0,3,3,0,7,1141,100,0,7,0,0,0,0,0,0
2016-05-21,0,33,42,0,3,3,0,7,1165,100,0,7,0,0,0,0,0,0
2016-05-22,0,33,42,0,3,3,0,7,1190,100,0,7,0,0,0,0,0,0
2016-05-23,0,33,42,0,3,3,0,7,1213,100,0,7,0,0,0,0,0,0
2016-05-24,0,33,42,0,3,3,0,7,1237,100,0,7,0,0,0,0,0,0
2016-05-25,0,33,42,0,3,3,0,7,1261,100,0,7,0,0,0,0,0,0
2016-05-26,0,32,42,0,3,3,0,7,1285,100,0,7,0,0,0,0,0,0
2016-05-27,0,31,42,0,3,3,0,7,1309,100,0,7,0,0,0,0,0,0
2016-05-28,0,30,42,0,3,3,0,7,1333,100,0,7,0,0,0,0,0,0
2016-05-29,0,31,42,0,3,3,0,7,1357,100,0,7,0,0,0,0,0,0
2016-05-30,0,31,41,0,3,3,0,7,1381,101,0,7,0,0,0,0,0,0
2016-05-31,0,31,41,0,3,3,0,7,1405,101,0,7,0,0,0,0,0,0
2016-06-01,0,31,41,0,3,3,0,7,1429,101,0,7,0,0,0,0,0,0
2016-06-02,0,31,41,0,3,3,0,7,1453,101,0,7,0,0,0,0,0,0
2016-06-03,0,30,42,0,3,3,0,7,1477,100,0,7,0,0,0,0,0,0
2016-06-04,0,31,41,0,3,3,0,7,1501,100,0,7,0,0,0,0,0,0
2016-06-05,0,30,41,0,3,3,0,7,1525,100,0,7,0,0,0,0,0,0
2016-06-06,0,31,41,0,3,3,0,7,1549,100,0,7,0,0,0,0,0,0
2016-06-07,0,32,41,0,3,3,0,7,1573,100,0,7,0,0,0,0,0,0
2016-06-08,0,30,42,0,3,3,0,7,1597,100,0,7,0,0,0,0,0,0
2016-06-09,0,30,42,0,3,3,0,7,1621,100,0,7,0,0,0,0,0,0
2016-06-10,0,32,42,0,3,3,0,7,1645,100,0,7,0,0,0,0,0,0
2016-06-11,0,31,42,0,3,3,0,7,1669,100,0,7,0,0,0,0,0,0
2016-06-12,0,32,42,0,3,3,0,7,1693,100,0,7,0,0,0,0,0,0
2016-06-13,0,31,42,0,3,3,0,7,1717,100,0,7,0,0,0,0,0,0
2016-06-14,0,31,42,0,3,3,0,7,1741,100,0,7,0,0,0,0,0,0
2016-06-15,0,31,42,0,3,3,0,7,1765,100,0,7,0,0,0,0,0,0
2016-06-16,0,31,42,0,3,3,0,7,1789,100,0,7,0,0,0,0,0,0
2016-06-17,0,31,42,0,3,3,0,7,1813,100,0,7,0,0,0,0,0,0
2016-06-18,0,31,42,0,3,3,0,7,1837,100,0,7,0,0,0,0,0,0
2016-06-19,0,30,42,0,3,3,0,7,1861,100,0,7,0,0,0,0,0,0
2016-06-20,0,30,42,0,3,3,0,7,1885,100,0,7,0,0,0,0,0,0
2016-06-21,0,31,42,0,3,3,0,7,1910,100,0,7,0,0,0,0,0,0
2016-06-22,0,32,42,0,3,3,0,7,1933,100,0,7,0,0,0,0,0,0
2016-06-23,0,30,42,0,3,3,0,7,1957,100,0,7,0,0,0,0,0,0
2016-06-24,0,29,42,0,3,3,0,7,1981,100,0,7,0,0,0,0,0,0
2016-06-25,0,31,41,0,3,3,0,7,2005,101,0,7,0,0,0,0,0,0
2016-06-26,0,31,40,0,3,3,0,7,2029,101,0,7,0,0,0,0,0,0
2016-06-27,0,32,42,0,3,3,0,7,2053,100,0,7,0,0,0,0,0,0
2016-06-28,0,32,42,0,3,3,0,7,2078,100,0,7,0,0,0,0,0,0
2016-06-29,0,28,42,0,3,3,0,7,2101,101,0,7,0,0,0,0,0,0
2016-06-30,0,31,42,0,3,3,0,7,2125,101,0,7,0,0,0,0,0,0
