date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2016-05-11,0,27,42,0,4,4,0,9,153,104,0,9,0,0,0,0,0,0,False,False,False
2016-05-12,0,28,42,0,4,4,0,10,176,104,0,10,0,0,0,0,0,0,False,False,False
2016-05-13,0,27,42,0,4,4,0,11,200,104,0,11,0,0,0,0,0,0,False,False,False
2016-05-14,0,28,42,0,4,4,0,12,224,104,0,12,0,0,0,0,0,0,False,False,False
2016-05-15,0,28,42,0,4,4,0,13,249,104,0,13,0,0,0,0,0,0,False,False,False
2016-05-16,0,27,42,0,4,4,0,14,272,104,0,14,0,0,0,0,0,0,False,False,False
2016-05-17,0,27,42,0,4,4,0,15,296,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-18,0,27,42,0,4,4,0,15,320,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-19,0,27,42,0,4,4,0,15,344,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-20,0,27,42,0,4,4,0,15,368,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-21,0,27,42,0,4,4,0,15,393,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-22,0,28,42,0,4,4,0,15,417,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-23,0,27,42,0,4,4,0,15,441,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-24,0,28,42,0,4,4,0,15,465,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-25,0,27,42,0,4,4,0,15,489,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-26,0,27,42,0,4,4,0,15,512,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-27,0,26,42,0,4,4,0,15,536,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-28,0,25,42,0,4,4,0,15,560,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-29,0,26,42,0,4,4,0,15,585,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-30,0,25,42,0,4,4,0,15,609,104,0,15,0,0,0,0,0,0,False,False,False
2016-05-31,0,26,42,0,4,4,0,15,632,104,0,15,0,0,0,0,0,0,False,False,False
2016-06-01,0,26,42,0,4,4,0,15,656,104,0,15,0,0,0,0,0,0,False,False,False
2016-06-02,0,27,42,0,4,4,0,15,680,104,0,15,0,0,0,0,0,0,False,False,False
2016-06-03,0,25,42,0,4,4,0,15,705,104,0,15,0,0,0,0,0,0,False,False,False
2016-06-04,0,26,42,0,4,4,0,15,729,104,0,15,0,0,0,0,0,0,False,False,False
2016-06-05,0,25,42,0,4,4,0,15,752,104,0,15,0,0,0,0,0,0,False,False,False
2016-06-06,0,25,42,0,4,4,0,15,776,104,0,15,0,0,0,0,0,0,False,False,False
2016-06-07,0,26,42,0,4,4,0,15,801,104,0,15,0,0,0,0,0,0,False,False,False
2016-06-08,0,26,42,0,4,4,0,15,824,104,0,15,0,0,0,0,0,0,False,False,False
2016-06-09,0,26,42,0,4,4,0,16,848,104,0,16,0,0,0,0,0,0,False,False,False
2016-06-10,0,31,42,0,4,4,0,17,872,104,0,17,0,0,0,0,0,0,False,False,False
2016-06-11,0,31,42,0,4,4,0,18,897,104,0,18,0,0,0,0,0,0,False,False,False
2016-06-12,0,31,42,0,4,4,0,19,920,104,0,19,0,0,0,0,0,0,False,False,False
2016-06-13,0,29,42,0,4,4,0,20,944,104,0,20,0,0,0,0,0,0,False,False,False
2016-06-14,0,33,42,0,4,4,0,20,969,104,0,20,0,0,0,0,0,0,False,False,False
2016-06-15,0,32,42,0,4,4,0,21,992,104,0,21,0,0,0,0,0,0,False,False,False
2016-06-16,0,31,42,0,4,4,0,21,1016,104,0,21,0,0,0,0,0,0,False,False,False
2016-06-17,0,25,42,0,4,4,0,22,1041,104,0,22,0,0,0,0,0,0,False,False,False
2016-06-18,0,26,42,0,4,4,0,22,1065,104,0,22,0,0,0,0,0,0,False,False,False
2016-06-19,0,25,42,0,4,4,0,23,1088,104,0,23,0,0,0,0,0,0,False,False,False
2016-06-20,0,25,42,0,4,4,0,24,1112,104,0,24,0,0,0,0,0,0,False,False,False
2016-06-21,0,29,42,0,4,4,0,24,1136,104,0,24,0,0,0,0,0,0,False,False,False
2016-06-22,0,26,42,0,4,4,0,25,1161,104,0,25,0,0,0,0,0,0,False,False,False
2016-06-23,0,26,42,0,4,4,0,26,1184,104,0,26,0,0,0,0,0,0,False,False,False
2016-06-24,0,29,42,0,4,4,0,26,1208,104,0,26,0,0,0,0,0,0,False,False,False
