date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,30,,0,,,,,12514,,,,,4,3,,,,False,False,False
2013-04-11,0,30,,0,,,,,12538,,,,,4,3,,,,False,False,False
2013-04-12,0,29,,0,,,,,12562,,,,,4,3,,,,False,False,False
2013-04-13,0,29,,0,,,,,12586,,,,,4,3,,,,False,False,False
2013-04-14,0,29,,0,,,,,12610,,,,,4,3,,,,False,False,False
2013-04-15,0,29,,0,,,,,12634,,,,,4,3,,,,False,False,False
2013-04-16,0,29,,0,,,,,12658,,,,,4,3,,,,False,False,False
2013-04-17,0,29,,0,,,,,12682,,,,,4,3,,,,False,False,False
2013-04-18,0,29,,0,,,,,12706,,,,,4,3,,,,False,False,False
2013-04-19,0,29,,0,,,,,12730,,,,,4,3,,,,False,False,False
2013-04-20,0,29,,0,,,,,12754,,,,,4,3,,,,False,False,False
2013-04-21,0,29,,0,,,,,12778,,,,,4,3,,,,False,False,False
2013-04-22,0,29,,0,,,,,12802,,,,,4,3,,,,False,False,False
2013-04-23,0,29,,16,,,,,12826,,,,,4,3,,,,False,False,False
2013-04-24,0,27,,0,,,,,12844,,,,,4,3,,,,False,False,False
2013-04-25,0,28,,0,,,,,12868,,,,,4,3,,,,False,False,False
2013-04-26,0,27,,0,,,,,12892,,,,,4,3,,,,False,False,False
2013-04-27,0,27,,0,,,,,12916,,,,,4,3,,,,False,False,False
2013-04-28,0,27,,0,,,,,12940,,,,,4,3,,,,False,False,False
2013-04-29,0,27,,0,,,,,12964,,,,,4,3,,,,False,False,False
2013-04-30,0,26,,65536,,,,,12988,,,,,4,3,,,,False,False,False
2013-05-01,0,26,,0,,,,,13012,,,,,4,3,,,,False,False,False
2013-05-02,0,27,,0,,,,,13036,,,,,4,3,,,,False,False,False
2013-05-03,0,27,,0,,,,,13060,,,,,4,3,,,,False,False,False
2013-05-04,0,26,,0,,,,,13084,,,,,4,3,,,,False,False,False
2013-05-05,0,27,,0,,,,,13108,,,,,4,3,,,,False,False,False
2013-05-06,0,27,,0,,,,,13132,,,,,4,3,,,,False,False,False
2013-05-07,0,26,,0,,,,,13156,,,,,4,3,,,,False,False,False
2013-05-08,0,26,,0,,,,,13180,,,,,4,3,,,,False,False,False
2013-05-09,0,27,,0,,,,,13204,,,,,4,3,,,,False,False,False
2013-05-10,0,26,,0,,,,,13228,,,,,4,3,,,,False,False,False
2013-05-11,0,26,,0,,,,,13252,,,,,4,3,,,,False,False,False
2013-05-12,0,26,,0,,,,,13276,,,,,4,3,,,,False,False,False
2013-05-13,0,26,,0,,,,,13300,,,,,4,3,,,,False,False,False
2013-05-14,0,26,,0,,,,,13324,,,,,4,3,,,,False,False,False
2013-05-15,0,26,,0,,,,,13348,,,,,4,3,,,,False,False,False
2013-05-16,0,26,,0,,,,,13372,,,,,4,3,,,,False,False,False
2013-05-17,0,26,,1,,,,,13396,,,,,4,3,,,,False,False,False
2013-05-18,0,27,,0,,,,,13420,,,,,4,3,,,,False,False,False
2013-05-19,0,26,,0,,,,,13444,,,,,4,3,,,,False,False,False
2013-05-20,0,26,,0,,,,,13468,,,,,4,3,,,,False,False,False
2013-05-21,0,26,,0,,,,,13492,,,,,4,3,,,,False,False,False
2013-05-22,0,26,,0,,,,,13516,,,,,4,3,,,,False,False,False
2013-05-23,0,25,,0,,,,,13540,,,,,4,2,,,,False,False,False
2013-05-24,0,27,,0,,,,,13564,,,,,4,2,,,,False,False,False
2013-05-25,0,27,,1,,,,,13588,,,,,4,2,,,,False,False,False
2013-05-26,0,26,,0,,,,,13612,,,,,4,2,,,,False,False,False
2013-05-27,0,26,,0,,,,,13636,,,,,4,2,,,,False,False,False
2013-05-28,0,26,,0,,,,,13660,,,,,4,2,,,,False,False,False
2013-05-29,0,26,,0,,,,,13684,,,,,4,2,,,,False,False,False
2013-05-30,0,26,,0,,,,,13708,,,,,4,2,,,,False,False,False
2013-05-31,0,26,,0,,,,,13732,,,,,4,2,,,,False,False,False
2013-06-01,0,26,,0,,,,,13756,,,,,4,2,,,,False,False,False
2013-06-02,0,26,,0,,,,,13780,,,,,4,2,,,,False,False,False
2013-06-03,0,22,,0,,,,,13804,,,,,4,2,,,,False,False,False
2013-06-04,0,22,,0,,,,,13828,,,,,4,2,,,,False,False,False
2013-06-05,0,23,,0,,,,,13852,,,,,4,2,,,,False,False,False
2013-06-06,0,22,,0,,,,,13876,,,,,4,2,,,,False,False,False
2013-06-07,0,23,,0,,,,,13900,,,,,4,2,,,,False,False,False
2013-06-08,0,26,,0,,,,,13924,,,,,4,2,,,,False,False,False
2013-06-09,0,25,,0,,,,,13948,,,,,4,2,,,,False,False,False
2013-06-10,0,26,,0,,,,,13972,,,,,4,2,,,,False,False,False
2013-06-11,0,26,,0,,,,,13996,,,,,4,2,,,,False,False,False
2013-06-12,0,31,,131072,,,,,14020,,,,,4,2,,,,False,False,False
2013-06-13,0,23,,0,,,,,14044,,,,,4,2,,,,False,False,False
2013-06-14,0,25,,0,,,,,14068,,,,,4,2,,,,False,False,False
2013-06-15,0,25,,0,,,,,14092,,,,,4,2,,,,False,False,False
2013-06-16,0,25,,0,,,,,14116,,,,,4,2,,,,False,False,False
2013-06-17,0,26,,0,,,,,14140,,,,,4,2,,,,False,False,False
2013-06-18,0,26,,0,,,,,14164,,,,,4,2,,,,False,False,False
2013-06-19,0,30,,0,,,,,14188,,,,,4,2,,,,False,False,False
2013-06-20,0,25,,0,,,,,14212,,,,,4,2,,,,False,False,False
2013-06-21,0,25,,0,,,,,14236,,,,,4,2,,,,False,False,False
2013-06-22,0,26,,0,,,,,14260,,,,,4,2,,,,False,False,False
2013-06-23,0,25,,0,,,,,14284,,,,,4,2,,,,False,False,False
2013-06-24,0,25,,0,,,,,14308,,,,,5,2,,,,False,False,False
2013-06-25,0,25,,0,,,,,14332,,,,,5,2,,,,False,False,False
2013-06-26,0,25,,0,,,,,14356,,,,,5,2,,,,False,False,False
2013-06-27,0,25,,0,,,,,14380,,,,,5,2,,,,False,False,False
2013-06-28,0,26,,0,,,,,14404,,,,,5,2,,,,False,False,False
2013-06-29,0,25,,0,,,,,14428,,,,,5,2,,,,False,False,False
2013-06-30,0,25,,0,,,,,14452,,,,,5,2,,,,False,False,False
2013-07-01,0,25,,0,,,,,14476,,,,,5,2,,,,False,False,False
2013-07-02,0,25,,0,,,,,14500,,,,,5,2,,,,False,False,False
2013-07-03,0,25,,0,,,,,14524,,,,,5,2,,,,False,False,False
2013-07-04,0,25,,0,,,,,14548,,,,,5,2,,,,False,False,False
2013-07-05,0,25,,0,,,,,14572,,,,,5,2,,,,False,False,False
2013-07-06,0,25,,0,,,,,14596,,,,,5,2,,,,False,False,False
2013-07-07,0,25,,0,,,,,14620,,,,,5,2,,,,False,False,False
2013-07-08,0,25,,0,,,,,14644,,,,,5,2,,,,False,False,False
2013-07-09,0,25,,0,,,,,14668,,,,,5,2,,,,False,False,False
2013-07-10,0,25,,0,,,,,14692,,,,,5,2,,,,False,False,False
2013-07-11,0,25,,0,,,,,14716,,,,,5,2,,,,False,False,False
2013-07-12,0,25,,0,,,,,14740,,,,,5,2,,,,False,False,False
2013-07-13,0,25,,0,,,,,14764,,,,,5,2,,,,False,False,False
2013-07-14,0,25,,0,,,,,14788,,,,,5,2,,,,False,False,False
2013-07-15,0,25,,0,,,,,14812,,,,,5,2,,,,False,False,False
2013-07-16,0,26,,0,,,,,14836,,,,,5,2,,,,False,False,False
2013-07-17,0,25,,0,,,,,14860,,,,,5,2,,,,False,False,False
2013-07-18,0,28,,0,,,,,14884,,,,,5,2,,,,False,False,False
2013-07-19,0,24,,0,,,,,14908,,,,,5,2,,,,False,False,False
2013-07-20,0,24,,0,,,,,14932,,,,,5,2,,,,False,False,False
2013-07-21,0,25,,0,,,,,14956,,,,,5,2,,,,False,False,False
2013-07-22,0,25,,0,,,,,14980,,,,,5,2,,,,False,False,False
2013-07-23,0,24,,0,,,,,15004,,,,,5,2,,,,False,False,False
2013-07-24,0,25,,0,,,,,15028,,,,,5,2,,,,False,False,False
2013-07-25,0,26,,0,,,,,15052,,,,,5,2,,,,False,False,False
2013-07-26,0,25,,0,,,,,15076,,,,,5,2,,,,False,False,False
2013-07-27,0,27,,0,,,,,15100,,,,,5,2,,,,False,False,False
2013-07-28,0,25,,0,,,,,15124,,,,,5,2,,,,False,False,False
2013-07-29,0,26,,0,,,,,15148,,,,,5,2,,,,False,False,False
2013-07-30,0,26,,2,,,,,15172,,,,,5,2,,,,False,False,False
2013-07-31,0,26,,0,,,,,15196,,,,,5,2,,,,False,False,False
2013-08-01,0,25,,0,,,,,15220,,,,,5,2,,,,False,False,False
2013-08-02,0,25,,0,,,,,15244,,,,,5,2,,,,False,False,False
2013-08-03,0,25,,0,,,,,15268,,,,,5,2,,,,False,False,False
2013-08-04,0,26,,0,,,,,15292,,,,,5,2,,,,False,False,False
2013-08-05,0,25,,0,,,,,15316,,,,,5,2,,,,False,False,False
2013-08-06,0,26,,0,,,,,15340,,,,,5,2,,,,False,False,False
2013-08-07,0,25,,0,,,,,15364,,,,,5,2,,,,False,False,False
2013-08-08,0,26,,0,,,,,15388,,,,,5,2,,,,False,False,False
2013-08-09,0,26,,0,,,,,15412,,,,,5,2,,,,False,False,False
2013-08-10,0,26,,0,,,,,15436,,,,,5,2,,,,False,False,False
2013-08-11,0,25,,0,,,,,15460,,,,,5,2,,,,False,False,False
2013-08-12,0,25,,0,,,,,15484,,,,,5,2,,,,False,False,False
2013-08-13,0,25,,0,,,,,15508,,,,,5,2,,,,False,False,False
2013-08-14,0,25,,0,,,,,15532,,,,,5,2,,,,False,False,False
2013-08-15,0,26,,0,,,,,15556,,,,,5,2,,,,False,False,False
2013-08-16,0,26,,0,,,,,15580,,,,,5,2,,,,False,False,False
2013-08-17,0,26,,0,,,,,15604,,,,,5,2,,,,False,False,False
2013-08-18,0,26,,0,,,,,15628,,,,,5,2,,,,False,False,False
2013-08-19,0,27,,0,,,,,15652,,,,,5,2,,,,False,False,False
2013-10-15,0,23,,0,,,,,17020,,,,,5,2,,,,False,False,False
2013-10-16,0,27,,1,,,,,17044,,,,,5,2,,,,False,False,False
2013-10-17,0,27,,0,,,,,17068,,,,,5,2,,,,False,False,False
2013-10-18,0,27,,0,,,,,17092,,,,,5,2,,,,False,False,False
2013-10-19,0,26,,0,,,,,17116,,,,,5,2,,,,False,False,False
2013-10-20,0,26,,0,,,,,17140,,,,,5,2,,,,False,False,False
2013-10-21,0,26,,0,,,,,17164,,,,,5,2,,,,False,False,False
2013-10-22,0,27,,0,,,,,17188,,,,,5,2,,,,False,False,False
2013-10-23,0,26,,0,,,,,17212,,,,,5,2,,,,False,False,False
2013-10-24,0,26,,0,,,,,17236,,,,,5,2,,,,False,False,False
2013-10-25,0,26,,0,,,,,17260,,,,,5,2,,,,False,False,False
2013-10-26,0,26,,0,,,,,17284,,,,,5,2,,,,False,False,False
2013-10-27,0,27,,0,,,,,17308,,,,,5,2,,,,False,False,False
2013-10-28,0,26,,0,,,,,17332,,,,,5,2,,,,False,False,False
2013-10-29,0,27,,0,,,,,17356,,,,,5,2,,,,False,False,False
2013-10-30,0,26,,0,,,,,17380,,,,,5,2,,,,False,False,False
2013-10-31,0,26,,0,,,,,17404,,,,,5,2,,,,False,False,False
2013-11-01,0,26,,0,,,,,17428,,,,,5,2,,,,False,False,False
2013-11-02,0,27,,0,,,,,17452,,,,,5,2,,,,False,False,False
2013-11-03,0,26,,0,,,,,17476,,,,,5,2,,,,False,False,False
2013-11-04,0,26,,0,,,,,17501,,,,,5,2,,,,False,False,False
2013-11-05,0,27,,0,,,,,17525,,,,,5,2,,,,False,False,False
2013-11-06,0,27,,0,,,,,17549,,,,,5,2,,,,False,False,False
2013-11-07,0,26,,0,,,,,17573,,,,,5,2,,,,False,False,False
2013-11-08,0,27,,0,,,,,17597,,,,,5,2,,,,False,False,False
2013-11-09,0,26,,0,,,,,17621,,,,,5,2,,,,False,False,False
2013-11-10,0,27,,0,,,,,17645,,,,,5,2,,,,False,False,False
2013-11-11,0,27,,0,,,,,17669,,,,,5,2,,,,False,False,False
2013-11-12,0,27,,0,,,,,17693,,,,,5,2,,,,False,False,False
2013-11-13,0,27,,0,,,,,17717,,,,,5,2,,,,False,False,False
2013-11-14,0,24,,0,,,,,17741,,,,,5,2,,,,False,False,False
2013-11-15,0,23,,0,,,,,17765,,,,,5,2,,,,False,False,False
2013-11-16,0,24,,0,,,,,17789,,,,,5,2,,,,False,False,False
2013-11-17,0,25,,1,,,,,17813,,,,,5,2,,,,False,False,False
2013-11-18,0,23,,0,,,,,17837,,,,,5,2,,,,False,False,False
2013-11-19,0,22,,0,,,,,17861,,,,,5,2,,,,False,False,False
2013-11-20,0,23,,0,,,,,17885,,,,,5,2,,,,False,False,False
2013-11-21,0,24,,0,,,,,17909,,,,,5,2,,,,False,False,False
2013-11-22,0,24,,0,,,,,17933,,,,,5,2,,,,False,False,False
2013-11-23,0,24,,0,,,,,17957,,,,,5,2,,,,False,False,False
2013-11-24,0,24,,0,,,,,17981,,,,,5,2,,,,False,False,False
2013-11-25,0,24,,0,,,,,18005,,,,,5,2,,,,False,False,False
2013-11-26,0,26,,0,,,,,18029,,,,,5,2,,,,False,False,False
2013-11-27,0,24,,0,,,,,18053,,,,,5,2,,,,False,False,False
2013-11-28,0,24,,0,,,,,18077,,,,,5,2,,,,False,False,False
2013-11-29,0,24,,0,,,,,18101,,,,,5,2,,,,False,False,False
2013-11-30,0,22,,0,,,,,18125,,,,,5,2,,,,False,False,False
2013-12-01,0,24,,0,,,,,18149,,,,,5,2,,,,False,False,False
2013-12-02,0,26,,0,,,,,18173,,,,,5,2,,,,False,False,False
2013-12-03,0,25,,0,,,,,18197,,,,,5,2,,,,False,False,False
2013-12-04,0,30,,0,,,,,18221,,,,,5,2,,,,False,False,False
2013-12-05,0,26,,65536,,,,,18245,,,,,5,2,,,,False,False,False
2013-12-06,0,30,,0,,,,,18269,,,,,5,2,,,,False,False,False
2013-12-07,0,26,,0,,,,,18293,,,,,5,2,,,,False,False,False
2013-12-08,0,25,,0,,,,,18317,,,,,5,2,,,,False,False,False
2013-12-09,0,26,,0,,,,,18341,,,,,5,2,,,,False,False,False
2013-12-10,0,29,,59,,,,,18365,,,,,5,2,,,,False,False,False
2013-12-11,0,24,,59,,,,,18385,,,,,5,2,,,,False,False,False
2013-12-12,0,24,,59,,,,,18409,,,,,5,2,,,,False,False,False
2013-12-13,0,25,,0,,,,,18433,,,,,5,2,,,,False,False,False
2013-12-14,0,25,,0,,,,,18457,,,,,5,2,,,,False,False,False
2013-12-15,0,25,,0,,,,,18481,,,,,5,2,,,,False,False,False
2013-12-16,0,25,,0,,,,,18505,,,,,5,2,,,,False,False,False
2013-12-17,0,24,,0,,,,,18529,,,,,5,2,,,,False,False,False
2013-12-18,0,26,,0,,,,,18553,,,,,5,2,,,,False,False,False
2013-12-19,0,24,,0,,,,,18577,,,,,5,2,,,,False,False,False
2013-12-20,0,25,,0,,,,,18601,,,,,5,2,,,,False,False,False
2013-12-21,0,25,,0,,,,,18625,,,,,5,2,,,,False,False,False
2013-12-22,0,25,,0,,,,,18649,,,,,5,2,,,,False,False,False
2013-12-23,0,25,,0,,,,,18673,,,,,5,2,,,,False,False,False
2013-12-24,0,24,,0,,,,,18697,,,,,5,2,,,,False,False,False
2013-12-25,0,25,,0,,,,,18721,,,,,5,2,,,,False,False,False
2013-12-26,0,25,,0,,,,,18745,,,,,5,2,,,,False,False,False
2013-12-27,0,24,,0,,,,,18769,,,,,5,2,,,,False,False,False
